service,contract_name,file_path,type_kind,fields_summary,typed_or_untyped,producer,consumer,versioned,validation,error_semantics,cdp_read,cdp_write,evidence_level,target_contract_candidate,notes
clinical-parsing-service,Settings,clinical-parsing-service/app/config/settings.py:7,Pydantic model,app_name:str;app_version:str;host:str;port:int;ocr_service_url:Optional[str];ocr_service_timeout:int;ocr_service_retry:int;vocabulary_base_path:str;redis_host:Optional[str];redis_port:int;redis_db:int;redis_password:Optional[str];log_level:str,typed (nested dict/Any may remain),environment/config,clinical-parsing-service,NO,Pydantic; version varies by service,model-specific; often exception handlers or fallback dictionaries,possible,NO,CODE_CONFIRMED,EVALUATE,Repeated names across services are separate source copies; camelCase and snake_case coexist
clinical-parsing-service,ClinicalParsingRequest,clinical-parsing-service/app/models/request.py:7,Pydantic model,"userId:str;sessionId:str;text:str;cdpId:Optional[str];input:Optional[Dict[str, Any]]",typed (nested dict/Any may remain),HTTP caller or agent,clinical-parsing-service,NO,Pydantic; version varies by service,model-specific; often exception handlers or fallback dictionaries,possible,NO,CODE_CONFIRMED,EVALUATE,Repeated names across services are separate source copies; camelCase and snake_case coexist
clinical-parsing-service,NormalizedConcept,clinical-parsing-service/app/models/response.py:7,Pydantic model,originalText:str;normalizedSymptom:str;cui:Optional[str];icd:Optional[str];snomed:Optional[str];loinc:Optional[str];atc:Optional[str];confidence:float;conceptType:str,typed (nested dict/Any may remain),clinical-parsing-service,clinical-parsing-service,NO,Pydantic; version varies by service,model-specific; often exception handlers or fallback dictionaries,possible,NO,CODE_CONFIRMED,EVALUATE,Repeated names across services are separate source copies; camelCase and snake_case coexist
clinical-parsing-service,Symptom,clinical-parsing-service/app/models/response.py:19,Pydantic model,name:str;cui:Optional[str];duration:Optional[str];severity:Optional[str];trigger:Optional[str];location:Optional[str],typed (nested dict/Any may remain),clinical-parsing-service,clinical-parsing-service,NO,Pydantic; version varies by service,model-specific; often exception handlers or fallback dictionaries,possible,NO,CODE_CONFIRMED,EVALUATE,Repeated names across services are separate source copies; camelCase and snake_case coexist
clinical-parsing-service,Sign,clinical-parsing-service/app/models/response.py:28,Pydantic model,name:str;value:Optional[str];unit:Optional[str],typed (nested dict/Any may remain),clinical-parsing-service,clinical-parsing-service,NO,Pydantic; version varies by service,model-specific; often exception handlers or fallback dictionaries,possible,NO,CODE_CONFIRMED,EVALUATE,Repeated names across services are separate source copies; camelCase and snake_case coexist
clinical-parsing-service,Examination,clinical-parsing-service/app/models/response.py:34,Pydantic model,name:str;loinc:Optional[str];result:Optional[str];abnormal:bool,typed (nested dict/Any may remain),clinical-parsing-service,clinical-parsing-service,NO,Pydantic; version varies by service,model-specific; often exception handlers or fallback dictionaries,possible,NO,CODE_CONFIRMED,EVALUATE,Repeated names across services are separate source copies; camelCase and snake_case coexist
clinical-parsing-service,MedicalHistory,clinical-parsing-service/app/models/response.py:41,Pydantic model,disease:str;icd:Optional[str];status:str,typed (nested dict/Any may remain),clinical-parsing-service,clinical-parsing-service,NO,Pydantic; version varies by service,model-specific; often exception handlers or fallback dictionaries,possible,NO,CODE_CONFIRMED,EVALUATE,Repeated names across services are separate source copies; camelCase and snake_case coexist
clinical-parsing-service,Medication,clinical-parsing-service/app/models/response.py:47,Pydantic model,name:str;atc:Optional[str];status:str,typed (nested dict/Any may remain),clinical-parsing-service,clinical-parsing-service,NO,Pydantic; version varies by service,model-specific; often exception handlers or fallback dictionaries,possible,NO,CODE_CONFIRMED,EVALUATE,Repeated names across services are separate source copies; camelCase and snake_case coexist
clinical-parsing-service,Allergy,clinical-parsing-service/app/models/response.py:53,Pydantic model,allergen:str;reaction:Optional[str],typed (nested dict/Any may remain),clinical-parsing-service,clinical-parsing-service,NO,Pydantic; version varies by service,model-specific; often exception handlers or fallback dictionaries,possible,NO,CODE_CONFIRMED,EVALUATE,Repeated names across services are separate source copies; camelCase and snake_case coexist
clinical-parsing-service,StructuredData,clinical-parsing-service/app/models/response.py:58,Pydantic model,symptoms:List[Symptom];signs:List[Sign];examinations:List[Examination];medicalHistory:List[MedicalHistory];medications:List[Medication];allergies:List[Allergy],typed (nested dict/Any may remain),clinical-parsing-service,clinical-parsing-service,NO,Pydantic; version varies by service,model-specific; often exception handlers or fallback dictionaries,possible,NO,CODE_CONFIRMED,EVALUATE,Repeated names across services are separate source copies; camelCase and snake_case coexist
clinical-parsing-service,AmbiguousExpression,clinical-parsing-service/app/models/response.py:67,Pydantic model,text:str;type:str;suggestedQuestions:List[str],typed (nested dict/Any may remain),clinical-parsing-service,clinical-parsing-service,NO,Pydantic; version varies by service,model-specific; often exception handlers or fallback dictionaries,possible,NO,CODE_CONFIRMED,EVALUATE,Repeated names across services are separate source copies; camelCase and snake_case coexist
clinical-parsing-service,ClinicalParsingResponse,clinical-parsing-service/app/models/response.py:73,Pydantic model,concepts:List[NormalizedConcept];structuredData:StructuredData;ambiguousExpressions:Optional[List[AmbiguousExpression]],typed (nested dict/Any may remain),clinical-parsing-service,HTTP caller or agent,NO,Pydantic; version varies by service,model-specific; often exception handlers or fallback dictionaries,possible,NO,CODE_CONFIRMED,EVALUATE,Repeated names across services are separate source copies; camelCase and snake_case coexist
clinical-parsing-service,CdpReference,clinical-parsing-service/app/models/tool_context.py:9,Pydantic model,cdp_id:str;version:int;read_fields:List[str],typed (nested dict/Any may remain),clinical-parsing-service,clinical-parsing-service,NO,Pydantic; version varies by service,model-specific; often exception handlers or fallback dictionaries,YES,NO,CODE_CONFIRMED,Shared Contracts v1,Repeated names across services are separate source copies; camelCase and snake_case coexist
clinical-parsing-service,AgentStateSummary,clinical-parsing-service/app/models/tool_context.py:16,Pydantic model,current_step:int;work_mode:str,typed (nested dict/Any may remain),clinical-parsing-service,clinical-parsing-service,NO,Pydantic; version varies by service,model-specific; often exception handlers or fallback dictionaries,possible,NO,CODE_CONFIRMED,Shared Contracts v1,Repeated names across services are separate source copies; camelCase and snake_case coexist
clinical-parsing-service,Constraints,clinical-parsing-service/app/models/tool_context.py:22,Pydantic model,max_time_seconds:int;max_cost:float;risk_level_limit:Optional[str],typed (nested dict/Any may remain),clinical-parsing-service,clinical-parsing-service,NO,Pydantic; version varies by service,model-specific; often exception handlers or fallback dictionaries,possible,NO,CODE_CONFIRMED,Shared Contracts v1,Repeated names across services are separate source copies; camelCase and snake_case coexist
clinical-parsing-service,ToolContext,clinical-parsing-service/app/models/tool_context.py:29,Pydantic model,"trace_id:str;cdp_reference:CdpReference;agent_state_summary:AgentStateSummary;constraints:Constraints;call_params:Dict[str, Any]",typed (nested dict/Any may remain),HTTP caller or agent,clinical-parsing-service,NO,Pydantic; version varies by service,model-specific; often exception handlers or fallback dictionaries,YES,NO,CODE_CONFIRMED,Shared Contracts v1,Repeated names across services are separate source copies; camelCase and snake_case coexist
clinical-parsing-service,Evidence,clinical-parsing-service/app/models/tool_result.py:9,Pydantic model,source:str;reference:str;strength:str;affected_direction:Optional[str];evidence_direction:Optional[str];evidence_name:Optional[str],typed (nested dict/Any may remain),clinical-parsing-service,clinical-parsing-service,NO,Pydantic; version varies by service,model-specific; often exception handlers or fallback dictionaries,possible,NO,CODE_CONFIRMED,Shared Contracts v1,Repeated names across services are separate source copies; camelCase and snake_case coexist
clinical-parsing-service,Quality,clinical-parsing-service/app/models/tool_result.py:19,Pydantic model,confidence:float;completeness:float;accuracy:Optional[float],typed (nested dict/Any may remain),clinical-parsing-service,clinical-parsing-service,NO,Pydantic; version varies by service,model-specific; often exception handlers or fallback dictionaries,possible,NO,CODE_CONFIRMED,Shared Contracts v1,Repeated names across services are separate source copies; camelCase and snake_case coexist
clinical-parsing-service,SuggestedWrite,clinical-parsing-service/app/models/tool_result.py:26,Pydantic model,field_path:str;value:Any;reason:str,typed (nested dict/Any may remain),clinical-parsing-service,clinical-parsing-service,NO,Pydantic; version varies by service,model-specific; often exception handlers or fallback dictionaries,possible,suggested only,CODE_CONFIRMED,Shared Contracts v1,Repeated names across services are separate source copies; camelCase and snake_case coexist
clinical-parsing-service,ErrorInfo,clinical-parsing-service/app/models/tool_result.py:33,Pydantic model,"error_type:str;error_message:str;error_details:Dict[str, Any]",typed (nested dict/Any may remain),clinical-parsing-service,clinical-parsing-service,NO,Pydantic; version varies by service,model-specific; often exception handlers or fallback dictionaries,possible,NO,CODE_CONFIRMED,Shared Contracts v1,Repeated names across services are separate source copies; camelCase and snake_case coexist
clinical-parsing-service,ToolResult,clinical-parsing-service/app/models/tool_result.py:40,Pydantic model,"trace_id:str;tool_id:str;status:str;payload:Dict[str, Any];evidence:List[Evidence];quality:Quality;suggested_writes:List[SuggestedWrite];errors:List[ErrorInfo];duration_ms:int;metadata:Dict[str, Any]",typed (nested dict/Any may remain),clinical-parsing-service,HTTP caller or agent,NO,Pydantic; version varies by service,model-specific; often exception handlers or fallback dictionaries,possible,suggested only,CODE_CONFIRMED,Shared Contracts v1,Repeated names across services are separate source copies; camelCase and snake_case coexist
