finding_id,severity,category,file,row_or_section,description,evidence,required_fix,fix_status,blocking,notes
F-A65C-C03-R01,P1,FAILURE_ISOLATION_UNDERCLASSIFIED,a6-5-c-observability-mapping.csv,A65C-C03-WF-010,WF-010 failure_isolation=UNKNOWN_REQUIRES_TEST understates static control flow: recordEvent(start) before proceed; recordEvent(end) can convert success to failure; recordEvent(error) can mask business exceptions.,ExecutionTraceAspect.trace try/catch ordering; blob a94e9ef8; H-A65C-C03-01,Set failure_isolation=FAIL_CLOSED_WORKFLOW; update exception_behavior/notes; align Test Matrix CURRENT_STATIC_PATH; document desired FAIL_OPEN_OBSERVABILITY_ONLY as migration goal only,FIXED,YES,Remediated in review branch; C-RISK-006 remains OPEN
F-A65C-C03-R02,P1,FAILURE_ISOLATION_UNDERCLASSIFIED,a6-5-c-observability-mapping.csv,A65C-C03-WF-012,WF-012 failure_isolation=UNKNOWN_REQUIRES_TEST conflated Feign library header semantics unknown with known recordEvent exception control flow that can abort outbound calls.,FeignTraceInterceptor.apply: X-CDP-Id then recordEvent then other headers; blob 3d7f5012; H-A65C-C03-02,Set failure_isolation=FAIL_CLOSED_WORKFLOW for asset-level recordEvent path; keep duplicate/caller header UNKNOWN separately; document header ordering,FIXED,YES,Remediated; library duplicate semantics remain UNKNOWN_REQUIRES_TEST in notes/tests
F-A65C-C03-R03,P1,FAIL_OPEN_SCOPE_OVERCLAIM,a6-5-c-observability-mapping.csv,A65C-C03-ENG-006,ENG-006 whole-asset failure_isolation=FAIL_OPEN_OBSERVABILITY_ONLY overclaims based on TraceClient.record_event HTTP catch while sync_wrapper run_until_complete on a running loop can prevent business execution.,trace_decorator.py record_event try/except vs sync_wrapper; H-A65C-C03-03,Downgrade asset-level to UNKNOWN_REQUIRES_TEST; note LAYER_A HTTP isolated; add sync_wrapper_running_event_loop test row,FIXED,YES,Remediated; NOT PATIENT_SAFETY_FAIL_OPEN
F-A65C-C03-R04,P2,PHI_CAPTURE_CLASSIFICATION,a6-5-c-observability-mapping.csv,A65C-C03-WF-010,WF-010 phi_capture_risk=PAYLOAD_CAPABLE overstates emitted START/END path which currently records type metadata only; raw args exist in memory but are not emitted by sanitize*.,sanitizeInput/sanitizeOutput type-only; errorMessage unsanitized; H-A65C-C03-04,Reclassify to METADATA_CAPABLE; clarify IN_MEMORY vs OBSERVED_EMITTED vs RUNTIME_UNKNOWN; keep NEEDS_* review status,FIXED,NO,P2 non-blocking after fix; WF-013 remains PAYLOAD_CAPABLE for CLOB schema capability
F-A65C-C03-R05,P2,FEIGN_HEADER_ORDERING_EVIDENCE,a6-5-c-observability-mapping.csv;legacy-observability-migration.md,WF-012 propagation_header / §12,Implementation understated header setting order: X-CDP-Id before recordEvent; remaining four headers after recordEvent — material static evidence for failure impact.,FeignTraceInterceptor.apply lines order; H-A65C-C03-02 related,Record ORDER explicitly in mapping propagation_header and migration report,FIXED,NO,Fixed with R02 remediation
F-A65C-C03-R06,P1,TEST_MATRIX_CURRENT_BEHAVIOR_GAP,a6-5-c-observability-test-matrix.csv,TST-001..003 Failure Isolation,Failure Isolation matrix treated WF-010/WF-012 observability exceptions as pure UNKNOWN without recording CURRENT_STATIC_PATH FAIL_CLOSED_WORKFLOW observations already proven by source.,Pre-review expected_failure_isolation=UNKNOWN_REQUIRES_TEST on TST-002/003; H-A65C-C03-11,Update TST-001..003; add TST-038 end-after-success and TST-039 error-masking scenarios distinguishing CURRENT vs DESIRED,FIXED,YES,Remediated; status remains PLANNED (definition only)
F-A65C-C03-R07,P2,TEST_MATRIX_COVERAGE_GAP,a6-5-c-observability-test-matrix.csv,ENG-006 sync wrapper,Missing synthetic scenario for sync_wrapper invoked with already-running event loop — material to ENG-006 whole-asset failure classification.,Pre-review 37 rows lacked sync_wrapper_running_event_loop; H-A65C-C03-11,Add A65C-C03-TST-040 sync_wrapper_running_event_loop,FIXED,NO,Added as TST-040
F-A65C-C03-R08,P1,IMPLEMENTATION_FALSE_PASS,a6-5-c-observability-validation-evidence.csv,unknown_runtime_behavior_fail_closed / failure isolation related,Implementation validation PASS for unknown_runtime_behavior_fail_closed / mapping integrity did not detect material underclassification of WF-010/WF-012 failure isolation; semantic conclusion protected by those checks was wrong.,Impl VAL rows remain; H-A65C-C03-08; H-A65C-C03-12; historical 65 rows preserved,Preserve impl rows; append Independent Review validation; remediate mapping/test matrix; document pre_fix_observation in review PASS notes,FIXED,YES,Historical PASS rows not rewritten; review execution records false-pass scan + remediation
F-A65C-C03-R09,P3,COMMIT_MESSAGE_METADATA,git commit d6ae2fd,commit message body,Implementation Commit 1 message body contains stray EOF text; Evidence files do not contain stray EOF.,git log d6ae2fd; evidence EOF scan=0,Do not amend/force-push; treat as cosmetic metadata,NOT_APPLICABLE,NO,Commit-message only; no Evidence contamination
F-A65C-C03-R10,P2,VALIDATION_EVIDENCE_STRENGTH,a6-5-c-observability-validation-evidence.csv,patient_data_access;runtime_store_access;clinical_content_access;external_model_api_calls,Several safety checks are execution attestations (ACCESS_LOG) rather than git-diff-provable facts; method/notes insufficiently distinguished strength.,H-A65C-C03-08; impl method=ACCESS_LOG,Review validation must label attestation-only vs GIT-DIFF-PROVABLE; do not elevate attestation to technical proof,FIXED,NO,Addressed in Independent Review validation rows/notes; impl rows preserved
