gap_id,execution_id,task_id,source_asset_id,source_path,source_field_path,candidate_contract,gap_type,compatibility_impact,runtime_impact,patient_safety_impact,phi_risk,proposed_resolution_class,required_owner_role,required_evidence,status,notes
A65C-C01-GAP-WF-004-820C80FB5EEB,A65C-C01-20260807-FD246A2,TASK-C01,WF-004,diagnosis-service/src/main/java/com/aidoctor/diagnosis/entity/CDP.java,cdpStatus,NONE,NO_TARGET_FIELD,DOCUMENTED_ONLY,runtime_wiring_authorized=no;runtime_wiring_created=no;evidence_only=yes,none_direct_static_mapping,low,INSUFFICIENT_EVIDENCE,platform-contracts,independent_C01_review,OPEN,No Shared Contract field for CDP lifecycle status string; C-OD-001 remains open. | proposed_resolution is candidate only; not AUTHORIZED_RESOLUTION. | REVIEW_REMEDIATION F-A65C-C01-R05.
A65C-C01-GAP-WF-004-181EFE9B2C9E,A65C-C01-20260807-FD246A2,TASK-C01,WF-004,diagnosis-service/src/main/java/com/aidoctor/diagnosis/entity/CDP.java,healthStateAssessment,NONE,NO_TARGET_FIELD,ADAPTER_REQUIRED,runtime_wiring_authorized=no;runtime_wiring_created=no;evidence_only=yes,phi_capable_structure_review_required,phi_capable_payload_structure,ADAPTER_REQUIRED,architecture,independent_C01_review,OPEN,Legacy JSON CLOB field aligns with StatePatch operation path domain /health_state_assessment/... but source stores whole blob String/Map; not a StatePatch field. StatePatch validation != field authorization. runtime_wiring_authorized=no. | proposed_resolution is candidate only; not AUTHORIZED_RESOLUTION.
A65C-C01-GAP-WF-004-744A0423C65A,A65C-C01-20260807-FD246A2,TASK-C01,WF-004,diagnosis-service/src/main/java/com/aidoctor/diagnosis/entity/CDP.java,wellnessPlan,NONE,NO_TARGET_FIELD,ADAPTER_REQUIRED,runtime_wiring_authorized=no;runtime_wiring_created=no;evidence_only=yes,phi_capable_structure_review_required,phi_capable_payload_structure,ADAPTER_REQUIRED,architecture,independent_C01_review,OPEN,Legacy JSON CLOB field aligns with StatePatch operation path domain /wellness_plan/... but source stores whole blob String/Map; not a StatePatch field. StatePatch validation != field authorization. runtime_wiring_authorized=no. | proposed_resolution is candidate only; not AUTHORIZED_RESOLUTION.
A65C-C01-GAP-WF-004-F6A3DD352129,A65C-C01-20260807-FD246A2,TASK-C01,WF-004,diagnosis-service/src/main/java/com/aidoctor/diagnosis/entity/CDP.java,patientState,NONE,NO_TARGET_FIELD,ADAPTER_REQUIRED,runtime_wiring_authorized=no;runtime_wiring_created=no;evidence_only=yes,phi_capable_structure_review_required,phi_capable_payload_structure,ADAPTER_REQUIRED,architecture,independent_C01_review,OPEN,Legacy JSON CLOB field aligns with StatePatch operation path domain /patient_state/... but source stores whole blob String/Map; not a StatePatch field. StatePatch validation != field authorization. runtime_wiring_authorized=no. | proposed_resolution is candidate only; not AUTHORIZED_RESOLUTION.
A65C-C01-GAP-WF-004-169017375E70,A65C-C01-20260807-FD246A2,TASK-C01,WF-004,diagnosis-service/src/main/java/com/aidoctor/diagnosis/entity/CDP.java,ddx,NONE,NO_TARGET_FIELD,ADAPTER_REQUIRED,runtime_wiring_authorized=no;runtime_wiring_created=no;evidence_only=yes,phi_capable_structure_review_required,phi_capable_payload_structure,ADAPTER_REQUIRED,architecture,independent_C01_review,OPEN,Legacy JSON CLOB field aligns with StatePatch operation path domain /ddx/... but source stores whole blob String/Map; not a StatePatch field. StatePatch validation != field authorization. runtime_wiring_authorized=no. | proposed_resolution is candidate only; not AUTHORIZED_RESOLUTION.
A65C-C01-GAP-WF-004-015A5997EF43,A65C-C01-20260807-FD246A2,TASK-C01,WF-004,diagnosis-service/src/main/java/com/aidoctor/diagnosis/entity/CDP.java,evidenceGraph,NONE,NO_TARGET_FIELD,ADAPTER_REQUIRED,runtime_wiring_authorized=no;runtime_wiring_created=no;evidence_only=yes,phi_capable_structure_review_required,phi_capable_payload_structure,ADAPTER_REQUIRED,architecture,independent_C01_review,OPEN,Legacy JSON CLOB field aligns with StatePatch operation path domain /evidence_graph/... but source stores whole blob String/Map; not a StatePatch field. StatePatch validation != field authorization. runtime_wiring_authorized=no. | proposed_resolution is candidate only; not AUTHORIZED_RESOLUTION.
A65C-C01-GAP-WF-004-B98923371515,A65C-C01-20260807-FD246A2,TASK-C01,WF-004,diagnosis-service/src/main/java/com/aidoctor/diagnosis/entity/CDP.java,workupPlan,NONE,NO_TARGET_FIELD,ADAPTER_REQUIRED,runtime_wiring_authorized=no;runtime_wiring_created=no;evidence_only=yes,phi_capable_structure_review_required,phi_capable_payload_structure,ADAPTER_REQUIRED,architecture,independent_C01_review,OPEN,Legacy JSON CLOB field aligns with StatePatch operation path domain /workup_plan/... but source stores whole blob String/Map; not a StatePatch field. StatePatch validation != field authorization. runtime_wiring_authorized=no. | proposed_resolution is candidate only; not AUTHORIZED_RESOLUTION.
A65C-C01-GAP-WF-004-B011F9D1F3B7,A65C-C01-20260807-FD246A2,TASK-C01,WF-004,diagnosis-service/src/main/java/com/aidoctor/diagnosis/entity/CDP.java,managementPlan,NONE,NO_TARGET_FIELD,ADAPTER_REQUIRED,runtime_wiring_authorized=no;runtime_wiring_created=no;evidence_only=yes,phi_capable_structure_review_required,phi_capable_payload_structure,ADAPTER_REQUIRED,architecture,independent_C01_review,OPEN,Legacy JSON CLOB field aligns with StatePatch operation path domain /management_plan/... but source stores whole blob String/Map; not a StatePatch field. StatePatch validation != field authorization. runtime_wiring_authorized=no. | proposed_resolution is candidate only; not AUTHORIZED_RESOLUTION.
A65C-C01-GAP-WF-004-E41537DDD44E,A65C-C01-20260807-FD246A2,TASK-C01,WF-004,diagnosis-service/src/main/java/com/aidoctor/diagnosis/entity/CDP.java,triage,NONE,NO_TARGET_FIELD,ADAPTER_REQUIRED,runtime_wiring_authorized=no;runtime_wiring_created=no;evidence_only=yes,phi_capable_structure_review_required,phi_capable_payload_structure,ADAPTER_REQUIRED,architecture,independent_C01_review,OPEN,Legacy JSON CLOB field aligns with StatePatch operation path domain /triage/... but source stores whole blob String/Map; not a StatePatch field. StatePatch validation != field authorization. runtime_wiring_authorized=no. | proposed_resolution is candidate only; not AUTHORIZED_RESOLUTION.
A65C-C01-GAP-WF-004-EEAEBEA7BA0B,A65C-C01-20260807-FD246A2,TASK-C01,WF-004,diagnosis-service/src/main/java/com/aidoctor/diagnosis/entity/CDP.java,uncertainty,NONE,NO_TARGET_FIELD,ADAPTER_REQUIRED,runtime_wiring_authorized=no;runtime_wiring_created=no;evidence_only=yes,phi_capable_structure_review_required,phi_capable_payload_structure,ADAPTER_REQUIRED,architecture,independent_C01_review,OPEN,Legacy JSON CLOB field aligns with StatePatch operation path domain /uncertainty/... but source stores whole blob String/Map; not a StatePatch field. StatePatch validation != field authorization. runtime_wiring_authorized=no. | proposed_resolution is candidate only; not AUTHORIZED_RESOLUTION.
