service_name,path,entrypoint,framework,dependency_file,python_version,start_command,port,health_endpoint,external_dependencies,current_status,evidence_level,notes
health-state-assessment-service,health-state-assessment-service,app.main:app,FastAPI,requirements.txt,3.10.19,python -m uvicorn app.main:app --host 0.0.0.0 --port 8081,8081,/health,LLM provider; clinical parser,DEPENDENCY PASS; IMPORT FAIL; STARTUP/API BLOCKED; TEST BLOCKED,BLOCKED,BaseLLM is undefined while importing common LLM fallback; no service start attempted
clinical-parsing-service,clinical-parsing-service,app.main:app,FastAPI,requirements.txt,3.10.19,python -m uvicorn app.main:app --host 0.0.0.0 --port 8082,8082,/health,local vocabularies; optional OCR/Redis,DEPENDENCY/IMPORT/STARTUP/HEALTH/API PASS; script EXECUTED_NON_ASSERTION_SCRIPT,RUNTIME_VERIFIED,Health and OpenAPI returned 200; controlled local parsing script ran three synthetic cases
dialog-service,dialog-service,app.main:app,FastAPI,requirements.txt,3.10.19,python -m uvicorn app.main:app --host 0.0.0.0 --port 8088,8088,/health,Redis; diagnosis CDP API; LLM provider,DEPENDENCY PASS; IMPORT/STARTUP/API/TEST BLOCKED,BLOCKED,Ambient DEBUG=release is invalid; with DEBUG=false import reaches Redis fallback then requires OPENAI_API_KEY
diagnosis-engine-service,diagnosis-engine-service,app.main:app,FastAPI,requirements.txt,3.10.19,python -m uvicorn app.main:app --host 0.0.0.0 --port 8086,8086,/health,Neo4j; optional Redis; LLM provider; diagnosis CDP API,DEPENDENCY FAIL; IMPORT/STARTUP/API/TEST BLOCKED,BLOCKED,pip resolver backtracking ended ResolutionImpossible; exact minimal conflict remains UNKNOWN
workup-planner-service,workup-planner-service,app.main:app,FastAPI,requirements.txt,3.10.19,python -m uvicorn app.main:app --host 0.0.0.0 --port 8090,8090,/health,diagnosis CDP API,DEPENDENCY PASS; IMPORT FAIL; STARTUP/API BLOCKED; TEST N/A,BLOCKED,routes import ServiceException but app.utils.exceptions does not export it
treatment-engine-service,treatment-engine-service,app.main:app,FastAPI,requirements.txt,3.10.19,python -m uvicorn app.main:app --host 0.0.0.0 --port 8091,8091,/health,diagnosis CDP API,DEPENDENCY/IMPORT/STARTUP/HEALTH/API PASS; TEST N/A,RUNTIME_VERIFIED,Health and OpenAPI returned 200
risk-assessment-service,risk-assessment-service,app.main:app,FastAPI,requirements.txt,3.10.19,python -m uvicorn app.main:app --host 0.0.0.0 --port 8092,8092,/health,diagnosis CDP API,DEPENDENCY/IMPORT/STARTUP/HEALTH/API PASS; TEST N/A,RUNTIME_VERIFIED,Health and OpenAPI returned 200
explanation-service,explanation-service,app.main:app,FastAPI,requirements.txt,3.10.19,python -m uvicorn app.main:app --host 0.0.0.0 --port 8089,8089,/health,diagnosis CDP API; LLM provider,DEPENDENCY FAIL; IMPORT/STARTUP/API/TEST BLOCKED,BLOCKED,pydantic==2.5.0 conflicts with common/aidoctor_llm pydantic>=2.7.0
ocr-service,ocr-service,app.main:app,FastAPI,requirements.txt,3.10.19,python -m uvicorn app.main:app --host 0.0.0.0 --port 8087,8087,/health,Tesseract executable,DEPENDENCY PASS; IMPORT FAIL; STARTUP/API BLOCKED; TEST N/A,BLOCKED,opencv-python 4.8.1.78 resolved numpy 2.2.6 and fails ABI import
knowledge-management-service,knowledge-management-service,app.main:app,FastAPI,requirements.txt,3.10.19,python -m uvicorn app.main:app --host 0.0.0.0 --port 8094,8094,/health,Neo4j; local CSV/JSON/YAML/XLSX,DEPENDENCY/IMPORT/STARTUP/HEALTH/API PASS; TEST BLOCKED,RUNTIME_VERIFIED,Health and OpenAPI returned 200; pytest is not declared/installed so one placeholder test did not run
aidoctor_llm,common/aidoctor_llm,library package,Python library,setup.py; requirements.txt,>=3.10 (declared),N/A,N/A,N/A,OpenAI; ChatGLM; Ollama; custom HTTP,CODE CONFIRMED; editable install packaging is non-importable without service sys.path fallback,CODE_CONFIRMED,Broad LangChain ranges cause long resolver backtracking; OpenAI SDK pinned 1.10.0
aidoctor_trace,common/aidoctor_trace,library package,Python library,setup.py,UNKNOWN,N/A,N/A,N/A,execution trace HTTP service,CODE CONFIRMED,CODE_CONFIRMED,HTTP trace decorator; not a standalone service
aidoctor_logger,common/aidoctor_logger,library package,Python library,setup.py,UNKNOWN,N/A,N/A,N/A,local logging,CODE CONFIRMED,CODE_CONFIRMED,not a standalone service
knowledge-extraction-scripts,docs/AI医生/知识内容提取/提取脚本,multiple scripts,offline scripts,requirements.txt,UNKNOWN,script-specific,N/A,N/A,translation APIs; local knowledge files,CODE CONFIRMED; not executed,CODE_CONFIRMED,contains direct translation model/API call paths
DRKnows research,DRKnows-main,trainer/test scripts,PyTorch research code,none found,UNKNOWN,script-specific,N/A,N/A,CUDA; absolute local model/checkpoint/data paths,BLOCKED,BLOCKED,not a service; assets unavailable and paths are host-specific
repository scripts,scripts,standalone scripts,offline scripts,none found,UNKNOWN,script-specific,N/A,N/A,repository files,CODE CONFIRMED; not a service,CODE_CONFIRMED,one Python script discovered
