contract,requirement_coverage,schema_path,valid_fixture,invalid_fixture_count,semantic_or_boundary_tests,legacy_evidence,evidence_level,remaining_limit
ContractEnvelope,"exact name/version,message/correlation/trace,producer,capability",contracts/v1/schemas/contract-envelope.schema.json,contracts/v1/fixtures/valid/foundation-cases.json,2,"exact outer-name binding; metadata completeness",A1-A4 API/schema drift,TEST_VERIFIED,"not adopted by services"
IdentifierSet,"optional opaque CDP/patient/encounter/session/tenant/review/delivery IDs",contracts/v1/schemas/identifier-set.schema.json,contracts/v1/fixtures/valid/foundation-cases.json,2,"opaque string; at least one ID; empty rejection",A4 identifier drift,CODE_CONFIRMED,"PHI meaning and tenant isolation are policy/runtime concerns"
StatePatch,"base version,idempotency,leaf proposals,source/sensitivity,evidence",contracts/v1/schemas/state-patch.schema.json,contracts/v1/fixtures/valid/foundation-cases.json,4,"Schema domain/leaf checks; validator canonical protected-container/token/dot/array-append/index/confusable checks",A1/A2/A4 multi-writer evidence,TEST_VERIFIED,"no field authorization or State Committer runtime"
CommitResult,"five atomic outcomes,version/time,reason,conflicts,rejections,errors,audit,retryable",contracts/v1/schemas/commit-result.schema.json,contracts/v1/fixtures/valid/foundation-cases.json,3,"complete status matrix; committed version ordering",A4 CDP version evidence,TEST_VERIFIED,"no persistence/concurrency runtime"
ContractConflict,"path,expected/actual version/value,resolution,retryable,bounded details",contracts/v1/schemas/contract-conflict.schema.json,contracts/v1/fixtures/valid/foundation-cases.json,2,"enum and JavaScript-safe version bounds",A4 version gap,CODE_CONFIRMED,"taxonomy and sensitive-value access require consumer review"
ToolContext,"actor,identifiers,capability,state ref,auth scope,deadline,operation,input refs",contracts/v1/schemas/tool-context.schema.json,contracts/v1/fixtures/valid/interaction-cases.json,2,"requested subset; deadline order; duplicate scopes rejected",A1 Java DTO/A2 repeated contracts,TEST_VERIFIED,"no service adoption or runtime authorization"
ToolResult,"closed outcomes,reason/retry,bounded output,patch proposals,evidence/errors,time",contracts/v1/schemas/tool-result.schema.json,contracts/v1/fixtures/valid/interaction-cases.json,3,"six-state matrix; time ordering; proposals not committed",A1 Java DTO/A2 repeated contracts,TEST_VERIFIED,"no service or tool runtime validation"
EvidencePack,"release,typed claims,SourceSpan,conflicts,limitations",contracts/v1/schemas/evidence-pack.schema.json,contracts/v1/fixtures/valid/interaction-cases.json,2,"unique IDs; citation/conflict resolution; type matrix; validity order",A2 evidence variants/A3 patient gaps,TEST_VERIFIED,"source quality/license/clinical validity remain policy gates"
SourceArtifact,"owner/content/size/checksum/logical storage/processing/lineage/sensitivity/retention",contracts/v1/schemas/source-artifact.schema.json,contracts/v1/fixtures/valid/interaction-cases.json,3,"host/dot/encoded traversal; parent/derived direct self; duplicate derivation",A4 source/lifecycle inventories,TEST_VERIFIED,"global cycles and resolver safety later"
KnowledgeReleaseRef,"registry version,status,source refs,checksum,withdraw/supersede",contracts/v1/schemas/knowledge-release-ref.schema.json,contracts/v1/fixtures/valid/foundation-cases.json,3,"status matrix; self/time checks; withdrawn delivery gate",A4 knowledge release gap,TEST_VERIFIED,"no runtime release registry"
TraceRef,"reference-only ID/type/version/time/access/PHI capability",contracts/v1/schemas/trace-ref.schema.json,contracts/v1/fixtures/valid/foundation-cases.json,2,"closed payload and integer bounds",A1/A3/A4 trace inventories,CODE_CONFIRMED,"legacy trace payloads not migrated"
AuditRef,"reference-only ID/type/version/time/access/PHI capability",contracts/v1/schemas/audit-ref.schema.json,contracts/v1/fixtures/valid/foundation-cases.json,2,"closed payload and integer bounds",A1/A4 audit inventories,CODE_CONFIRMED,"no audit store integration"
PatientDeliveryView,"delivery states,review/display,structured source/conflict/applicability/limitations,safety/actions/follow-up,versions",contracts/v1/schemas/patient-delivery-view.schema.json,contracts/v1/fixtures/valid/interaction-cases.json,3,"limited/degraded; reviewed optional fields; structured UI; recursive forbidden fields; cross-card refs",A3 patient gap/UI contract,TEST_VERIFIED,"free-text content safety/authorization are POLICY_ENFORCED_LATER; no API/UI"
