access_id,asset_id,path,task_id,access_class,authorization_status,allowed_operation,forbidden_operation,executor_role,required_reviewer_role,raw_content_persistence,output_redaction,external_access,patient_data_risk,clinical_content_risk,status,evidence_reference,notes
A65B-ACCESS-TASK-B01-CLIN-001,CLIN-001,clinical-parsing-service/data/vocabularies/symptom_normalization.csv,TASK-B01,STRUCTURAL_PARSE_ALLOWED,AUTHORIZED,LOCAL_STRUCTURE_PARSE_AND_HASH_ONLY,PERSIST_RAW_CONTENT;IMPORT_EXECUTE_MODULE;EXTERNAL_ACCESS,architecture,architecture;evidence,no,COUNTS_HASHES_TYPES_ONLY,FORBIDDEN,NONE,STRUCTURE_ONLY,COMPLETED,A65B-B01-CLIN-001,
A65B-ACCESS-TASK-B01-CLIN-002,CLIN-002,clinical-parsing-service/data/vocabularies/disease_normalization.csv,TASK-B01,STRUCTURAL_PARSE_ALLOWED,AUTHORIZED,LOCAL_STRUCTURE_PARSE_AND_HASH_ONLY,PERSIST_RAW_CONTENT;IMPORT_EXECUTE_MODULE;EXTERNAL_ACCESS,architecture,architecture;evidence,no,COUNTS_HASHES_TYPES_ONLY,FORBIDDEN,NONE,STRUCTURE_ONLY,COMPLETED,A65B-B01-CLIN-002,
A65B-ACCESS-TASK-B01-CLIN-003,CLIN-003,clinical-parsing-service/data/vocabularies/medication_normalization.csv,TASK-B01,STRUCTURAL_PARSE_ALLOWED,AUTHORIZED,LOCAL_STRUCTURE_PARSE_AND_HASH_ONLY,PERSIST_RAW_CONTENT;IMPORT_EXECUTE_MODULE;EXTERNAL_ACCESS,architecture,architecture;evidence,no,COUNTS_HASHES_TYPES_ONLY,FORBIDDEN,NONE,STRUCTURE_ONLY,COMPLETED,A65B-B01-CLIN-003,
A65B-ACCESS-TASK-B01-CLIN-004,CLIN-004,clinical-parsing-service/data/vocabularies/allergy_normalization.csv,TASK-B01,STRUCTURAL_PARSE_ALLOWED,AUTHORIZED,LOCAL_STRUCTURE_PARSE_AND_HASH_ONLY,PERSIST_RAW_CONTENT;IMPORT_EXECUTE_MODULE;EXTERNAL_ACCESS,architecture,architecture;evidence,no,COUNTS_HASHES_TYPES_ONLY,FORBIDDEN,NONE,STRUCTURE_ONLY,COMPLETED,A65B-B01-CLIN-004,
A65B-ACCESS-TASK-B01-CLIN-005,CLIN-005,clinical-parsing-service/data/vocabularies/examination_normalization.csv,TASK-B01,STRUCTURAL_PARSE_ALLOWED,AUTHORIZED,LOCAL_STRUCTURE_PARSE_AND_HASH_ONLY,PERSIST_RAW_CONTENT;IMPORT_EXECUTE_MODULE;EXTERNAL_ACCESS,architecture,architecture;evidence,no,COUNTS_HASHES_TYPES_ONLY,FORBIDDEN,NONE,STRUCTURE_ONLY,COMPLETED,A65B-B01-CLIN-005,
A65B-ACCESS-TASK-B01-CLIN-006,CLIN-006,clinical-parsing-service/data/vocabularies/indicator_normalization.csv,TASK-B01,STRUCTURAL_PARSE_ALLOWED,AUTHORIZED,LOCAL_STRUCTURE_PARSE_AND_HASH_ONLY,PERSIST_RAW_CONTENT;IMPORT_EXECUTE_MODULE;EXTERNAL_ACCESS,architecture,architecture;evidence,no,COUNTS_HASHES_TYPES_ONLY,FORBIDDEN,NONE,STRUCTURE_ONLY,COMPLETED,A65B-B01-CLIN-006,
A65B-ACCESS-TASK-B01-CLIN-007,CLIN-007,clinical-parsing-service/data/vocabularies/ambiguity_rules.json,TASK-B01,STRUCTURAL_PARSE_ALLOWED,AUTHORIZED,LOCAL_STRUCTURE_PARSE_AND_HASH_ONLY,PERSIST_RAW_CONTENT;IMPORT_EXECUTE_MODULE;EXTERNAL_ACCESS,architecture,architecture;evidence,no,COUNTS_HASHES_TYPES_ONLY,FORBIDDEN,NONE,STRUCTURE_ONLY,COMPLETED,A65B-B01-CLIN-007,
A65B-ACCESS-TASK-B01-CLIN-008,CLIN-008,health-state-assessment-service/data/健康管理路径规则/健康管理路径规则.yaml,TASK-B01,STRUCTURAL_PARSE_ALLOWED,AUTHORIZED,LOCAL_STRUCTURE_PARSE_AND_HASH_ONLY,PERSIST_RAW_CONTENT;IMPORT_EXECUTE_MODULE;EXTERNAL_ACCESS,architecture,architecture;evidence,no,COUNTS_HASHES_TYPES_ONLY,FORBIDDEN,NONE,STRUCTURE_ONLY,COMPLETED,A65B-B01-CLIN-008,
A65B-ACCESS-TASK-B01-CLIN-009,CLIN-009,health-state-assessment-service/data/入口判定规则/入口判定与工作态切换规则.yaml,TASK-B01,STRUCTURAL_PARSE_ALLOWED,AUTHORIZED,LOCAL_STRUCTURE_PARSE_AND_HASH_ONLY,PERSIST_RAW_CONTENT;IMPORT_EXECUTE_MODULE;EXTERNAL_ACCESS,architecture,architecture;evidence,no,COUNTS_HASHES_TYPES_ONLY,FORBIDDEN,NONE,STRUCTURE_ONLY,COMPLETED,A65B-B01-CLIN-009,
A65B-ACCESS-TASK-B01-CLIN-010,CLIN-010,health-state-assessment-service/data/入口判定规则/入口角度统一转换规则.yaml,TASK-B01,STRUCTURAL_PARSE_ALLOWED,AUTHORIZED,LOCAL_STRUCTURE_PARSE_AND_HASH_ONLY,PERSIST_RAW_CONTENT;IMPORT_EXECUTE_MODULE;EXTERNAL_ACCESS,architecture,architecture;evidence,no,COUNTS_HASHES_TYPES_ONLY,FORBIDDEN,NONE,STRUCTURE_ONLY,COMPLETED,A65B-B01-CLIN-010,
