model_call_id,service,file_path,symbol,provider,model_name,task_type,sdk_or_http,base_url_source,api_key_env,prompt_reference,temperature,max_tokens,timeout,retry,fallback,structured_output,validation,phi_boundary,external_transfer,evidence_level,target_action_candidate,notes
M001,aidoctor_llm,common/aidoctor_llm/llm_client.py,LangChainLLMClient.generate,OpenAI or Ollama,OPENAI_MODEL/LLM_MODEL or OLLAMA_MODEL,text generation,LangChain ainvoke/predict,OPENAI_BASE_URL/OLLAMA_BASE_URL,OPENAI_API_KEY,caller,LLM_TEMPERATURE,LLM_MAX_TOKENS,LLM_TIMEOUT,LLM_MAX_RETRIES,API compatibility fallbacks,NO,caller-specific,possible,YES for remote provider,CODE_CONFIRMED,WRAP,
M002,aidoctor_llm,common/aidoctor_llm/llm_client.py,_call_chatglm_api,ChatGLM,LLM_MODEL,text generation,HTTPX,CHATGLM_API_URL,CHATGLM_API_KEY,caller,LLM_TEMPERATURE,LLM_MAX_TOKENS,LLM_TIMEOUT,LLM_MAX_RETRIES,none,OpenAI-like JSON,response indexing,possible,YES,CODE_CONFIRMED,WRAP,
M003,aidoctor_llm,common/aidoctor_llm/llm_client.py,_call_custom_api,custom,UNKNOWN,text generation,HTTPX,CUSTOM_LLM_API_URL,CUSTOM_LLM_API_KEY,caller,LLM_TEMPERATURE,LLM_MAX_TOKENS,LLM_TIMEOUT,LLM_MAX_RETRIES,three response shapes,NO,key selection,possible,YES,CODE_CONFIRMED,WRAP,
M004,aidoctor_llm,common/aidoctor_llm/llm_client.py,generate_sync,OpenAI or Ollama or HTTP backends,environment-configured,text generation,LangChain/async bridge,provider-specific env,provider-specific env,caller,configured,configured,configured,configured,predict/generate compatibility,NO,caller-specific,possible,provider-dependent,CODE_CONFIRMED,WRAP,
M005,diagnosis-engine-service,diagnosis-engine-service/app/engines/llm_engine.py,LLMEngine.diagnose,via common client,environment-configured,diagnosis reasoning,common LangChain client,provider env,provider env,diagnosis_reasoning/path_injection,configured,configured,configured,configured,code fallback varies,varies,response parser/JSON fallback,YES,provider-dependent,CODE_CONFIRMED,ADAPT,
M006,diagnosis-engine-service,diagnosis-engine-service/app/multi-engine-fusion/llm_engine.py,LLMEngine.diagnose_async,via common client,environment-configured,diagnosis reasoning duplicate,common LangChain client,provider env,provider env,diagnosis_reasoning/path_injection,configured,configured,configured,configured,code fallback varies,varies,response parser/JSON fallback,YES,provider-dependent,CODE_CONFIRMED,ADAPT,
M007,dialog-service,dialog-service/app/core/nlu.py,NaturalLanguageUnderstanding.understand,via common client,environment-configured,dialogue understanding,common LangChain client,provider env,provider env,P021,configured,configured,configured,configured,code fallback varies,varies,response parser/JSON fallback,YES,provider-dependent,CODE_CONFIRMED,ADAPT,
M008,dialog-service,dialog-service/app/core/nlg.py,_generate_question_with_llm,via common client,environment-configured,question generation,common LangChain client,provider env,provider env,P003,configured,configured,configured,configured,code fallback varies,varies,response parser/JSON fallback,YES,provider-dependent,CODE_CONFIRMED,ADAPT,
M009,explanation-service,explanation-service/app/builders/explanation_generator.py,ExplanationGenerator.generate,via common client,environment-configured,explanation generation,common LangChain client,provider env,provider env,P004/P029,configured,configured,configured,configured,code fallback varies,varies,response parser/JSON fallback,YES,provider-dependent,CODE_CONFIRMED,ADAPT,
M010,health-state-assessment-service,health-state-assessment-service/app/services/entry_assessment/step2_enhanced/situation_judger.py,_judge_with_llm,via common client,environment-configured,situation judgment,common LangChain client,provider env,provider env,P014,configured,configured,configured,configured,code fallback varies,varies,response parser/JSON fallback,YES,provider-dependent,CODE_CONFIRMED,ADAPT,
M011,health-state-assessment-service,health-state-assessment-service/app/services/entry_assessment/step2_enhanced/symptom_concern_identifier.py,_identify_with_llm,via common client,environment-configured,symptom/concern extraction,common LangChain client,provider env,provider env,P013,configured,configured,configured,configured,code fallback varies,varies,response parser/JSON fallback,YES,provider-dependent,CODE_CONFIRMED,ADAPT,
M012,health-state-assessment-service,health-state-assessment-service/app/services/entry_assessment/step3_enhanced/question_generator.py,_generate_with_llm,via common client,environment-configured,clarification question,common LangChain client,provider env,provider env,P015,configured,configured,configured,configured,code fallback varies,varies,response parser/JSON fallback,YES,provider-dependent,CODE_CONFIRMED,ADAPT,
M013,health-state-assessment-service,health-state-assessment-service/app/services/entry_assessment/step3_enhanced/result_processor.py,_process_with_llm,via common client,environment-configured,clarification classification,common LangChain client,provider env,provider env,P016,configured,configured,configured,configured,code fallback varies,varies,response parser/JSON fallback,YES,provider-dependent,CODE_CONFIRMED,ADAPT,
M014,health-state-assessment-service,health-state-assessment-service/app/services/nlu/entity_extractor.py,_extract_with_llm,via common client,environment-configured,entity extraction,common LangChain client,provider env,provider env,P012,configured,configured,configured,configured,code fallback varies,varies,response parser/JSON fallback,YES,provider-dependent,CODE_CONFIRMED,ADAPT,
M015,health-state-assessment-service,health-state-assessment-service/app/services/nlu/intent_recognizer.py,_recognize_with_llm,via common client,environment-configured,intent recognition,common LangChain client,provider env,provider env,P011,configured,configured,configured,configured,code fallback varies,varies,response parser/JSON fallback,YES,provider-dependent,CODE_CONFIRMED,ADAPT,
M016,knowledge-extraction-scripts,docs/AI医生/知识内容提取/提取脚本/merge_hpo_chinese.py,_call_openai_api,OpenAI-compatible,script-configured,medical terminology translation,requests,script config/env,provider-specific env/config,P030-P032,script-configured,script-configured,script-configured,script retry,alternate providers,varies,manual parsing,NO patient data expected,YES except local Ollama,CODE_CONFIRMED,EVALUATE,not executed
M017,knowledge-extraction-scripts,docs/AI医生/知识内容提取/提取脚本/merge_hpo_chinese.py,_call_ollama_api,Ollama,script-configured,medical terminology translation,requests,script config/env,provider-specific env/config,P030-P032,script-configured,script-configured,script-configured,script retry,alternate providers,varies,manual parsing,NO patient data expected,YES except local Ollama,CODE_CONFIRMED,EVALUATE,not executed
