service,file_path,class_name,method_name,operation,state_object,field_or_domain,direct_or_indirect,call_source,repository_or_client,transactional,version_check,possible_multi_writer,evidence_level,risk,target_action_candidate,notes
diagnosis-service,diagnosis-service/src/main/java/com/aidoctor/diagnosis/service/cdp/CDPManager.java,CDPManager,createCDP,CREATE,CDP,all JSON fields,direct,DiagnosisOrchestrationService,CDPRepository,yes,initial version only,yes,CODE_CONFIRMED,large mixed aggregate,ADAPT,creates CDP then initial snapshot
diagnosis-service,diagnosis-service/src/main/java/com/aidoctor/diagnosis/service/cdp/CDPManager.java,CDPManager,updateCDP,UPDATE,CDP,health/wellness/patientState/ddx/evidence/workup/management/triage/uncertainty/status/trace/conclusion,direct,controllers+workflow+trace callback+agent paths,CDPRepository,yes,pessimistic lock and server-side increment,yes,CODE_CONFIRMED,no caller expected-version and broad Map writes,SPLIT,three retries with Thread.sleep when row absent
diagnosis-service,diagnosis-service/src/main/java/com/aidoctor/diagnosis/service/cdp/CDPManager.java,CDPManager,getCDPById,READ,CDP,all,direct,controllers+services,CDPRepository,no,no,yes,CODE_CONFIRMED,full aggregate exposure,WRAP,
diagnosis-service,diagnosis-service/src/main/java/com/aidoctor/diagnosis/service/cdp/CDPManager.java,CDPManager,deleteCDP,DELETE,CDP,all,direct,unconfirmed caller,CDPRepository,yes,no,yes,CODE_CONFIRMED,hard delete with no code-level audit,EVALUATE,
diagnosis-service,diagnosis-service/src/main/java/com/aidoctor/diagnosis/service/cdp/CDPVersionService.java,CDPVersionService,createInitialVersion,APPEND,CDPVersion,full serialized CDP,direct,CDPManager.createCDP,CDPVersionRepository,yes,versionNumber=1,no,CODE_CONFIRMED,snapshot contains mixed PHI/trace/audit,ADAPT,
diagnosis-service,diagnosis-service/src/main/java/com/aidoctor/diagnosis/service/cdp/CDPVersionService.java,CDPVersionService,createVersion,APPEND,CDPVersion,full serialized CDP,direct,CDPManager.updateCDP,CDPVersionRepository,yes,max+1 query,no,CODE_CONFIRMED,max+1 race relies on outer locking,ADAPT,snapshot is pre-update copy-on-write
diagnosis-service,diagnosis-service/src/main/java/com/aidoctor/diagnosis/service/cdp/CDPReplayService.java,CDPReplayService,replayCDP,SUPERSEDE,CDP,full snapshot,direct,manual service caller,CDPRepository,unknown,selected version,yes,CODE_CONFIRMED,replay writes old object as current,EVALUATE,
diagnosis-service,diagnosis-service/src/main/java/com/aidoctor/diagnosis/service/cdp/CDPRollbackService.java,CDPRollbackService,rollbackToVersion,SUPERSEDE,CDP,full snapshot,direct,manual service caller,CDPRepository,unknown,selected version,yes,CODE_CONFIRMED,rollback write semantics and audit unknown,EVALUATE,
diagnosis-service,diagnosis-service/src/main/java/com/aidoctor/diagnosis/controller/CDPController.java,CDPController,getCDP,READ,CDP,full Map,indirect,external HTTP,CDPManager,no,no,yes,CODE_CONFIRMED,authentication and PHI boundary unknown,WRAP,
diagnosis-service,diagnosis-service/src/main/java/com/aidoctor/diagnosis/controller/CDPController.java,CDPController,updateCDP,UPDATE,CDP,patientState,indirect,external HTTP including dialog-service,CDPManager,manager transaction,no caller version,yes,CODE_CONFIRMED,external broad Map writer and unchecked merge,SPLIT,
