service,component_type,file_path,class_or_symbol,pointcut_or_scope,trace_id_source,propagation_method,remote_dependency,async_behavior,phi_risk,failure_impact,evidence_level,target_migration_candidate,notes
diagnosis-service,ANNOTATION,diagnosis-service/src/main/java/com/aidoctor/diagnosis/annotation/TraceExecution.java,TraceExecution,METHOD or TYPE,n/a,Spring AOP,n/a,synchronous,traceInput/traceOutput default true but aspect records types only,none alone,CODE_CONFIRMED,ADAPT,semantic service/module attributes
diagnosis-service,ASPECT,diagnosis-service/src/main/java/com/aidoctor/diagnosis/aspect/ExecutionTraceAspect.java,ExecutionTraceAspect,@annotation(TraceExecution) OR @within(TraceExecution),random UUID per method,TraceContext ThreadLocal,execution-trace-service via TraceServiceClient,synchronous remote calls before and after proceed,input/output types only; error message may contain PHI,client catches remote errors but synchronous latency remains,CODE_CONFIRMED,ADAPT,bean exists only when execution.trace.enabled=true; default false
diagnosis-service,CONTEXT,diagnosis-service/src/main/java/com/aidoctor/diagnosis/util/TraceContext.java,TraceContext,one CDP id per current thread,none,ThreadLocal set/get/remove,none,no async propagation,CDP identifier is sensitive linkage,context absent causes trace skip,CODE_CONFIRMED,REWRITE,no MDC TaskDecorator Reactor or executor propagation found
diagnosis-service,REMOTE_CLIENT,diagnosis-service/src/main/java/com/aidoctor/diagnosis/client/TraceServiceClient.java,TraceServiceClient,POST events and GET CDP summary,event UUID supplied by caller,RestTemplate JSON,execution-trace-service localhost:8093,synchronous,event/error metadata may contain identifiers and messages,exceptions caught and empty summary returned,CODE_CONFIRMED,SPLIT,technical telemetry and event semantics share client
diagnosis-service,FEIGN_REQUEST,diagnosis-service/src/main/java/com/aidoctor/diagnosis/config/FeignTraceInterceptor.java,FeignTraceInterceptor,all Feign requests when trace enabled,random UUID per Feign call,custom X-CDP-Id X-Trace-Id X-Start-Time X-Service-Name X-Method-Name,execution-trace-service,synchronous,URL and CDP id recorded,trace service delay adds request latency though failure caught,CODE_CONFIRMED,ADAPT,not W3C traceparent/tracestate
diagnosis-service,FEIGN_RESPONSE,diagnosis-service/src/main/java/com/aidoctor/diagnosis/config/FeignTraceResponseInterceptor.java,TraceDecoder,successful Feign decode path,request X-Trace-Id,custom request headers,execution-trace-service,synchronous,response body and URL identifiers,trace call latency before response decode,CODE_CONFIRMED,ADAPT,decode exceptions and non-decode failures may miss end event
diagnosis-service,CONFIGURATION,diagnosis-service/src/main/java/com/aidoctor/diagnosis/config/FeignConfig.java,requestInterceptor,all Feign clients via bean,from FeignTraceInterceptor,delegation,none,synchronous,none,none,CODE_CONFIRMED,ADAPT,conditional component injected when enabled
diagnosis-service,ANNOTATION_USAGE,diagnosis-service/src/main/java/com/aidoctor/diagnosis/service/orchestration/DiagnosisWorkflowOrchestrator.java,executeDiagnosisWorkflow+step1IdentifyProblem,public methods,aspect-generated UUID,ThreadLocal CDP id,execution-trace-service,synchronous,clinical method types and error text,trace exception intended non-blocking,CODE_CONFIRMED,ADAPT,private Step2-5 self-invocations are not independently intercepted
diagnosis-service,ANNOTATION_USAGE,diagnosis-service/src/main/java/com/aidoctor/diagnosis/service/wellness/WellnessScreeningOrchestrator.java,executeWellnessScreening,public method,aspect-generated UUID,ThreadLocal CDP id,execution-trace-service,synchronous,clinical identifiers,trace exception intended non-blocking,CODE_CONFIRMED,ADAPT,
diagnosis-service,CDP_TRACE_WRITE,diagnosis-service/src/main/java/com/aidoctor/diagnosis/controller/CDPController.java,updateTraceSummary,/api/v1/diagnosis/cdp/update-trace-summary,external event id unknown,HTTP callback,execution-trace-service,synchronous,trace summary stored beside PHI,can contend with clinical CDP updates,CODE_CONFIRMED,SPLIT,technical trace is a CDP multi-writer
diagnosis-service,AUDIT,diagnosis-service/src/main/java/com/aidoctor/diagnosis/service/audit/AuditTrailManager.java,AuditTrailManager,tool/CDP/agent events,caller trace id in arbitrary Map,repository append,relational database,synchronous,arbitrary Map may contain PHI,save exceptions depend on caller,CODE_CONFIRMED,SPLIT,AgentEvent ClinicalDecision Compliance Audit not separated
examination-service,OBSERVABILITY_DEPENDENCY,examination-service/pom.xml,Micrometer+Actuator,application metrics,framework,framework metrics,Prometheus registry,synchronous framework instrumentation,UNKNOWN,UNKNOWN,CODE_CONFIRMED,KEEP,no custom Trace AOP MDC async propagation found
