--ICPC-2e  Alphabetical Index inverse with filename: ICPC-2e-v.7.0-Alphabetical-index-inverse_CSV.txt
--This file is generated by Norwegian Directorate of eHealth, Norway, Dr.Melleby 2018-02-01
--This file can be downloaded from https://ehelse.no/Sider/ICPC-2e-–-English-version.aspx
--It contains 2054 rows (Uppecase=ICPC Text, Lowercase=Included)
--Columns: ICPC2_Code,Text
--------------------------------------------------------------------------------------------------
"-30";"MEDICAL EXAMINATION/HEALTH EVALUATION-COMPLETE"
"-31";"MEDICAL EXAMINATION/HEALTH EVALUATION-PARTIAL"
"-32";"SENSITIVITY TEST"
"-33";"MICROBIOLOGICAL/IMMUNOLOGICAL TEST"
"-34";"BLOOD TEST"
"-35";"URINE TEST"
"-36";"FAECES TEST"
"-37";"HISTOLOGICAL/EXFOLIATIVE CYTOLOGY"
"-38";"OTHER LABORATORY TEST NEC"
"-39";"PHYSICAL FUNCTION TEST"
"-40";"DIAGNOSTIC ENDOSCOPY"
"-41";"DIAGNOSTIC RADIOLOGY/IMAGING"
"-42";"ELECTRICAL TRACING"
"-43";"OTHER DIAGNOSTIC PROCEDURES"
"-44";"PREVENTIVE IMMUNIZATIONS/MEDICATIONS"
"-45";"OBSERVATION/HEALTH EDUCATION/ADVICE/DIET"
"-46";"CONSULTATION WITH PRIMARY CARE PROVIDER"
"-47";"CONSULTATION WITH SPECIALIST"
"-48";"CLARIFICATION/DISCUSSION OF PATIENT'S RFE/DEMAND"
"-49";"OTHER PREVENTIVE PROCEDURES"
"-50";"MEDICATION/PRESCRIPTION/RENEWAL/INJECTION"
"-51";"INCISION/DRAINAGE/FLUSHING/ASPIRATION/REMOVAL BODY FLUID (EXCL. CATHETERISATION - 53)"
"-52";"EXCISION/REMOVAL OF TISSUE/BIOPSY/DESTRUCTION/DEBRIDEMENT/CAUTERIZATION"
"-53";"INSTRUMENTATION/CATHETERIZATION/INTUBATION/DILATION"
"-54";"REPAIR/FIXATION-SUTURE/CAST/PROSTHETIC DEVICE (APPLY/REMOVE)"
"-55";"LOCAL INJECTION/INFILTRATION"
"-56";"DRESSING/PRESSURE/COMPRESSION/TAMPONADE"
"-57";"PHYSICAL MEDICINE/REHABILITATION"
"-58";"THERAPEUTIC COUNSELLING/LISTENING"
"-59";"OTHER THERAPEUTIC PROCEDURE/MINOR SURGERY NEC"
