legacy_asset,legacy_location,observed_shape_or_gap,target_contract,mapping_decision,evidence_level,remaining_action
Java ToolContext,diagnosis-service/src/main/java/com/aidoctor/diagnosis/dto/tool/ToolContext.java,"traceId; nested CDPReference; constraints; Map callParams",ToolContext,ADAPT,CODE_CONFIRMED,"replace arbitrary map through a separately reviewed service migration"
Java ToolResult,diagnosis-service/src/main/java/com/aidoctor/diagnosis/dto/tool/ToolResult.java,"free-text status; Map payload/metadata/errorDetails; suggestedWrites",ToolResult,ADAPT,CODE_CONFIRMED,"map output and errors; proposals become StatePatch; do not change service in A5"
Python repeated ToolContext,docs/refactoring/evidence/phase-a/a2/python-contract-variant-inventory.csv,"eight copied definitions; Dict call_params; snake_case",ToolContext,ADAPT,CODE_CONFIRMED,"generate bindings only in a later authorized phase"
Python repeated ToolResult,docs/refactoring/evidence/phase-a/a2/python-contract-variant-inventory.csv,"eight copied definitions; Any/dict payload and values",ToolResult,ADAPT,CODE_CONFIRMED,"generate bindings only in a later authorized phase"
Java CDP writes,docs/refactoring/evidence/phase-a/a1/java-state-write-inventory.csv,"multiple writers; server-side version increment",StatePatch;CommitResult;ContractConflict,WRAP_AND_SPLIT,CODE_CONFIRMED,"implement State Committer and compatibility adapter later"
Python CDP writers,docs/refactoring/evidence/phase-a/a2/python-cdp-access-inventory.csv,"two direct writers and eight suggested-write producers",StatePatch,WRAP,CODE_CONFIRMED,"remove direct writes only in later service migration"
Identifier fields,docs/refactoring/evidence/phase-a/a4/data-schema-drift-inventory.csv,"patient/session/CDP identifiers drift between String and Long",IdentifierSet,ADAPT,CODE_CONFIRMED,"define storage adapters and migration policy"
ExecutionTrace,execution-trace-service/src/main/java/com/aidoctor/trace/entity/ExecutionTrace.java,"trace rows can include CDP-linked input/output",TraceRef;AuditRef,SPLIT,CODE_CONFIRMED,"retain payload in governed internal stores; exchange references only"
Knowledge source files,docs/refactoring/evidence/phase-a/a4/data-store-inventory.csv,"tracked sources lack uniform provenance/release/withdrawal",SourceArtifact;KnowledgeReleaseRef,ADAPT,CODE_CONFIRMED,"create reviewed registry and lineage later"
Frontend diagnosis result,frontend/src/services/diagnosisApi.ts,"any conversion; default confidence; raw response logging",PatientDeliveryView,REWRITE,CODE_CONFIRMED,"build approved patient-delivery API/UI later"
Patient evidence UI design,docs/refactoring/患者端证据与引用UI契约.md,"delivery states; review/display; structured sources/conflicts/applicability/limitations; safety notices",PatientDeliveryView;EvidencePack,ADAPT,TEST_VERIFIED,"Schema mapping and reviewed optional-field semantics are tested; API/UI/content-safety and clinical/product review remain"
