asset_id,asset_path,writeback_source,authority_class,migration_label,coverage_label,runtime_adoption,replacement_status,physical_file,in_e01_board,in_e02_historical_seed,evidence_pointer,notes
BOUND-001,contracts/v1,E01_BOARD,NEW_A5_BOUNDARY,KEEP_READ_ONLY,NOT_LEGACY_RETENTION_SUBJECT,NOT_RUNTIME_ADOPTED,NEW_A5_CONTRACTS_IN_PLACE,PRESERVED,YES,NO,docs/refactoring/plans/phase-a/a6-5/a6-5-legacy-asset-inventory.csv;docs/refactoring/plans/phase-a/a6-5/a6-5-e01-disposition-board.csv;docs/refactoring/plans/phase-a/a6-5/a6-5-legacy-clinical-non-adoption-strategy.md;docs/refactoring/plans/phase-a/a6-5/legacy-asset-decommission-register.csv,E02 matrix write-back only. No physical delete. No E02 clinical body read. A6.5 Exit not executed.
BOUND-002,capabilities/adult_respiratory_v1,E01_BOARD,NEW_A6_BOUNDARY,KEEP_READ_ONLY,NOT_LEGACY_RETENTION_SUBJECT,NOT_RUNTIME_ADOPTED,NEW_A6_PACKAGE_IN_PLACE,PRESERVED,YES,NO,docs/refactoring/plans/phase-a/a6-5/a6-5-legacy-asset-inventory.csv;docs/refactoring/plans/phase-a/a6-5/a6-5-e01-disposition-board.csv;docs/refactoring/plans/phase-a/a6-5/a6-5-legacy-clinical-non-adoption-strategy.md;docs/refactoring/plans/phase-a/a6-5/legacy-asset-decommission-register.csv,E02 matrix write-back only. No physical delete. No E02 clinical body read. A6.5 Exit not executed.
CLIN-001,clinical-parsing-service/data/vocabularies/symptom_normalization.csv,E01_BOARD,LEGACY_CLINICAL,NOT_MIGRATED,NOT_AUTHORITY,NOT_RUNTIME_ADOPTED,FUTURE_REBUILD_REQUIRED,PRESERVED,YES,YES,docs/refactoring/plans/phase-a/a6-5/a6-5-legacy-asset-inventory.csv;docs/refactoring/plans/phase-a/a6-5/a6-5-e01-disposition-board.csv;docs/refactoring/plans/phase-a/a6-5/a6-5-legacy-clinical-non-adoption-strategy.md;docs/refactoring/plans/phase-a/a6-5/legacy-asset-decommission-register.csv,E02 matrix write-back only. No physical delete. No E02 clinical body read. A6.5 Exit not executed.
CLIN-002,clinical-parsing-service/data/vocabularies/disease_normalization.csv,E01_BOARD,LEGACY_CLINICAL,NOT_MIGRATED,NOT_AUTHORITY,NOT_RUNTIME_ADOPTED,FUTURE_REBUILD_REQUIRED,PRESERVED,YES,YES,docs/refactoring/plans/phase-a/a6-5/a6-5-legacy-asset-inventory.csv;docs/refactoring/plans/phase-a/a6-5/a6-5-e01-disposition-board.csv;docs/refactoring/plans/phase-a/a6-5/a6-5-legacy-clinical-non-adoption-strategy.md;docs/refactoring/plans/phase-a/a6-5/legacy-asset-decommission-register.csv,E02 matrix write-back only. No physical delete. No E02 clinical body read. A6.5 Exit not executed.
CLIN-003,clinical-parsing-service/data/vocabularies/medication_normalization.csv,E01_BOARD,LEGACY_CLINICAL,NOT_MIGRATED,NOT_AUTHORITY,NOT_RUNTIME_ADOPTED,FUTURE_REBUILD_REQUIRED,PRESERVED,YES,YES,docs/refactoring/plans/phase-a/a6-5/a6-5-legacy-asset-inventory.csv;docs/refactoring/plans/phase-a/a6-5/a6-5-e01-disposition-board.csv;docs/refactoring/plans/phase-a/a6-5/a6-5-legacy-clinical-non-adoption-strategy.md;docs/refactoring/plans/phase-a/a6-5/legacy-asset-decommission-register.csv,E02 matrix write-back only. No physical delete. No E02 clinical body read. A6.5 Exit not executed.
CLIN-004,clinical-parsing-service/data/vocabularies/allergy_normalization.csv,E01_BOARD,LEGACY_CLINICAL,NOT_MIGRATED,NOT_AUTHORITY,NOT_RUNTIME_ADOPTED,FUTURE_REBUILD_REQUIRED,PRESERVED,YES,YES,docs/refactoring/plans/phase-a/a6-5/a6-5-legacy-asset-inventory.csv;docs/refactoring/plans/phase-a/a6-5/a6-5-e01-disposition-board.csv;docs/refactoring/plans/phase-a/a6-5/a6-5-legacy-clinical-non-adoption-strategy.md;docs/refactoring/plans/phase-a/a6-5/legacy-asset-decommission-register.csv,E02 matrix write-back only. No physical delete. No E02 clinical body read. A6.5 Exit not executed.
CLIN-005,clinical-parsing-service/data/vocabularies/examination_normalization.csv,E01_BOARD,LEGACY_CLINICAL,NOT_MIGRATED,NOT_AUTHORITY,NOT_RUNTIME_ADOPTED,FUTURE_REBUILD_REQUIRED,PRESERVED,YES,YES,docs/refactoring/plans/phase-a/a6-5/a6-5-legacy-asset-inventory.csv;docs/refactoring/plans/phase-a/a6-5/a6-5-e01-disposition-board.csv;docs/refactoring/plans/phase-a/a6-5/a6-5-legacy-clinical-non-adoption-strategy.md;docs/refactoring/plans/phase-a/a6-5/legacy-asset-decommission-register.csv,E02 matrix write-back only. No physical delete. No E02 clinical body read. A6.5 Exit not executed.
CLIN-006,clinical-parsing-service/data/vocabularies/indicator_normalization.csv,E01_BOARD,LEGACY_CLINICAL,NOT_MIGRATED,NOT_AUTHORITY,NOT_RUNTIME_ADOPTED,FUTURE_REBUILD_REQUIRED,PRESERVED,YES,YES,docs/refactoring/plans/phase-a/a6-5/a6-5-legacy-asset-inventory.csv;docs/refactoring/plans/phase-a/a6-5/a6-5-e01-disposition-board.csv;docs/refactoring/plans/phase-a/a6-5/a6-5-legacy-clinical-non-adoption-strategy.md;docs/refactoring/plans/phase-a/a6-5/legacy-asset-decommission-register.csv,E02 matrix write-back only. No physical delete. No E02 clinical body read. A6.5 Exit not executed.
CLIN-007,clinical-parsing-service/data/vocabularies/ambiguity_rules.json,E01_BOARD,LEGACY_CLINICAL,NOT_MIGRATED,NOT_AUTHORITY,NOT_RUNTIME_ADOPTED,FUTURE_REBUILD_REQUIRED,PRESERVED,YES,YES,docs/refactoring/plans/phase-a/a6-5/a6-5-legacy-asset-inventory.csv;docs/refactoring/plans/phase-a/a6-5/a6-5-e01-disposition-board.csv;docs/refactoring/plans/phase-a/a6-5/a6-5-legacy-clinical-non-adoption-strategy.md;docs/refactoring/plans/phase-a/a6-5/legacy-asset-decommission-register.csv,E02 matrix write-back only. No physical delete. No E02 clinical body read. A6.5 Exit not executed.
CLIN-008,health-state-assessment-service/data/健康管理路径规则/健康管理路径规则.yaml,E01_BOARD,LEGACY_CLINICAL,NOT_MIGRATED,NOT_AUTHORITY,NOT_RUNTIME_ADOPTED,FUTURE_REBUILD_REQUIRED,PRESERVED,YES,YES,docs/refactoring/plans/phase-a/a6-5/a6-5-legacy-asset-inventory.csv;docs/refactoring/plans/phase-a/a6-5/a6-5-e01-disposition-board.csv;docs/refactoring/plans/phase-a/a6-5/a6-5-legacy-clinical-non-adoption-strategy.md;docs/refactoring/plans/phase-a/a6-5/legacy-asset-decommission-register.csv,E02 matrix write-back only. No physical delete. No E02 clinical body read. A6.5 Exit not executed.
