entity_id,store_id,service,source_file,line_or_symbol,table_collection_or_key,entity_or_model,primary_key,patient_or_tenant_key,fields_or_schema,json_clob_blob,version_field,audit_fields,soft_delete,constraints,indexes,migration_source,contract_variants,data_class,sensitivity,evidence_level,evidence_reference
cdp,relational-clinical,diagnosis-service,diagnosis-service/src/main/java/com/aidoctor/diagnosis/entity/CDP.java,"class CDP lines 30-199",cdp,CDP,id,"patient_id; session_id","id; patientId; sessionId; version; status; 11 aggregate payloads; timestamps","health_state_assessment; wellness_plan; patient_state; ddx; evidence_graph; workup_plan; management_plan; triage; uncertainty; audit_info; execution_trace as CLOB",version_no,"created_at; updated_at; audit_info; execution_trace",NO,"PK only; nullable constraints; no FK","patient_id; session_id; version_no; created_at","migration-oracle/V1 plus V2 trace column","Python snake_case/camelCase readers; broad Map writes; frontend raw result/CDP view",PATIENT_PROVIDED,PHI,CODE_CONFIRMED,diagnosis-service/src/main/java/com/aidoctor/diagnosis/entity/CDP.java:30
cdp-version,relational-clinical,diagnosis-service,diagnosis-service/src/main/java/com/aidoctor/diagnosis/entity/CDPVersion.java,"class CDPVersion lines 9-27",cdp_version,CDPVersion,id,cdp_id,"id; cdpId; versionNumber; cdpDataJson; createTime",cdp_data LONGTEXT/CLOB,version_number,create_time,NO,"PK only; no FK or uniqueness","cdp_id; version_number only in Oracle migration",migration-oracle/V1,"Entity says LONGTEXT while Oracle migration uses CLOB; full CDP snapshot includes mixed domains",AUDIT_TRACE,PHI,CODE_CONFIRMED,diagnosis-service/src/main/java/com/aidoctor/diagnosis/entity/CDPVersion.java:9
diagnosis-record,relational-clinical,diagnosis-service,diagnosis-service/src/main/java/com/aidoctor/diagnosis/entity/DiagnosisRecord.java,"class DiagnosisRecord lines 22-149",diagnosis_record,DiagnosisRecord,id,"user_id; family_id; cdp_id","diagnosis workflow state, symptoms, vitals, examinations, result, dialogue and timestamps","TEXT/JSON fields for symptoms, vitals, examination results, diagnosis result and dialogue",NONE,"created_at; updated_at; completed_at",NO,"PK; enum fields; no FK","user_id; family_id; status; created_at; migration also cdp_id",migration-oracle/V1,"Separate legacy diagnosis flow alongside CDP; Java JSON mapping relies on hibernate-types",CLINICAL_INFERENCE,PHI,CODE_CONFIRMED,diagnosis-service/src/main/java/com/aidoctor/diagnosis/entity/DiagnosisRecord.java:22
examination-plan-diagnosis,relational-clinical,diagnosis-service,diagnosis-service/src/main/java/com/aidoctor/diagnosis/entity/ExaminationPlan.java,"class ExaminationPlan lines 22-61",examination_plan,ExaminationPlan,id,user_id,"plan name/type/items/target conditions/timestamps","plan_items and target_conditions JSON",NONE,"created_at; updated_at",NO,"PK; enum plan_type; no FK","user_id; plan_type",migration-oracle/V1,"Duplicate entity also exists in examination-service without declared indexes",CLINICIAN_DECISION,PHI,CODE_CONFIRMED,diagnosis-service/src/main/java/com/aidoctor/diagnosis/entity/ExaminationPlan.java:22
examination-record-diagnosis,relational-clinical,diagnosis-service,diagnosis-service/src/main/java/com/aidoctor/diagnosis/entity/ExaminationRecord.java,"class ExaminationRecord lines 23-87",examination_record,ExaminationRecord,id,"user_id; family_id","report file path, OCR and interpretation payloads, dates","plan_items; report_ocr_result; report_structured_data; interpretation_result JSON",NONE,"created_at; updated_at",NO,"PK; enum examination_type; no FK","user_id; family_id; examination_type; examination_date",migration-oracle/V1,"examination-service variant adds ocr_status and omits explicit indexes",CLINICAL_OBSERVATION,PHI,CODE_CONFIRMED,diagnosis-service/src/main/java/com/aidoctor/diagnosis/entity/ExaminationRecord.java:23
examination-plan-service,relational-clinical,examination-service,examination-service/src/main/java/com/aidoctor/examination/entity/ExaminationPlan.java,"class ExaminationPlan lines 22-58",examination_plan,ExaminationPlan,id,user_id,"plan name/type/items/target conditions/timestamps","plan_items and target_conditions JSON",NONE,"created_at; updated_at",NO,"PK; enum plan_type; no FK",NONE_DECLARED,NO_MIGRATION_IN_SERVICE,"Same physical table name as diagnosis entity; annotations differ",CLINICIAN_DECISION,PHI,CODE_CONFIRMED,examination-service/src/main/java/com/aidoctor/examination/entity/ExaminationPlan.java:22
examination-record-service,relational-clinical,examination-service,examination-service/src/main/java/com/aidoctor/examination/entity/ExaminationRecord.java,"class ExaminationRecord lines 23-85",examination_record,ExaminationRecord,id,"user_id; family_id","report metadata, file path, OCR status/result, structured data, interpretation and dates","plan_items; report_ocr_result; report_structured_data; interpretation_result JSON",NONE,"created_at; updated_at",NO,"PK; enum examination_type; no FK",NONE_DECLARED,NO_MIGRATION_IN_SERVICE,"Adds ocr_status absent from diagnosis entity and Oracle migration",CLINICAL_OBSERVATION,PHI,CODE_CONFIRMED,examination-service/src/main/java/com/aidoctor/examination/entity/ExaminationRecord.java:23
follow-up-plan,relational-clinical,diagnosis-service,diagnosis-service/src/main/java/com/aidoctor/diagnosis/entity/FollowUpPlan.java,"class FollowUpPlan lines 9-33",follow_up_plan,FollowUpPlan,id,patient_id,"plan content; next follow-up; status; create/update times",plan_content LONGTEXT/CLOB,NONE,"create_time; update_time",NO,"PK only; patient key nullable; no FK",NONE,migration-oracle/V1,"patient_id is Long here while CDP patient_id is String",CLINICIAN_DECISION,PHI,CODE_CONFIRMED,diagnosis-service/src/main/java/com/aidoctor/diagnosis/entity/FollowUpPlan.java:9
health-state-record,relational-clinical,diagnosis-service,diagnosis-service/src/main/java/com/aidoctor/diagnosis/entity/HealthStateAssessmentRecord.java,"class lines 9-27",health_state_assessment_record,HealthStateAssessmentRecord,id,patient_id,"assessment result; path selection; create time",assessment_result LONGTEXT/CLOB,NONE,create_time,NO,"PK only; patient key nullable; no FK",NONE,migration-oracle/V1,"patient_id Long differs from CDP String and Python ToolContext variants",CLINICAL_INFERENCE,PHI,CODE_CONFIRMED,diagnosis-service/src/main/java/com/aidoctor/diagnosis/entity/HealthStateAssessmentRecord.java:9
wellness-screening-record,relational-clinical,diagnosis-service,diagnosis-service/src/main/java/com/aidoctor/diagnosis/entity/WellnessScreeningRecord.java,"class lines 9-30",wellness_screening_record,WellnessScreeningRecord,id,patient_id,"demand type; health profile; screening result; create time","health_profile and screening_result LONGTEXT/CLOB",NONE,create_time,NO,"PK only; patient key nullable; no FK",NONE,migration-oracle/V1,"patient_id Long differs from CDP String",CLINICAL_INFERENCE,PHI,CODE_CONFIRMED,diagnosis-service/src/main/java/com/aidoctor/diagnosis/entity/WellnessScreeningRecord.java:9
