execution_id,runtime_target_id,exact_base,command_or_check,environment_class,source_blob_or_tree,expected_evidence,actual_result,evidence_level,result_class,external_dependency,provider_used,patient_data,clinical_content,production_change,remediation_class,blocking,notes
NC-CLOSE-05-20260817-8C95060,NC05-A1-DIAG-COMPILE,8c95060b12f8c68a59c3e29e14d59a46e57cb888,reuse CI 32007012548 mvn -f diagnosis-service/pom.xml test,github-actions-ubuntu,tree:b92ccd8854aed021e1f200d95f20bb3112771803,current compile/test,44 tests 0 fail,CI_VERIFIED,PASS_VERIFIED,none,false,false,false,false,none,no,do not upgrade to RUNTIME_VERIFIED
NC-CLOSE-05-20260817-8C95060,NC05-A1-DIAG-PACKAGE,8c95060b12f8c68a59c3e29e14d59a46e57cb888,reuse diagnosis-build-repair historical package,historical-local,a1-diagnosis-build-repair report,package accounting,historical jar BUILD_VERIFIED,BUILD_VERIFIED,PASS_VERIFIED,none,false,false,false,false,none,no,not re-packaged on this Base
NC-CLOSE-05-20260817-8C95060,NC05-A1-DIAG-STARTUP,8c95060b12f8c68a59c3e29e14d59a46e57cb888,optional process start not attempted,n/a,tree:b92ccd8854aed021e1f200d95f20bb3112771803,optional startup,not attempted; workspace HEAD != authorized Base,UNKNOWN,NOT_REQUIRED_FOR_FREEZE,JPA/Nacos/Redis,false,false,false,false,none,no,optional only
NC-CLOSE-05-20260817-8C95060,NC05-A1-EXAM-COMPILE,8c95060b12f8c68a59c3e29e14d59a46e57cb888,mvn -B -ntp -f examination-service/pom.xml clean test,windows-local-jdk8,pom blob e06d60f86df865d0af92bca6f7c7893ced2059ab,current compile/test,BUILD SUCCESS; 12 sources; 0 tests,BUILD_VERIFIED,PASS_VERIFIED,none,false,false,false,false,none,no,exit 0; not TEST_VERIFIED
NC-CLOSE-05-20260817-8C95060,NC05-A2-HEALTH,8c95060b12f8c68a59c3e29e14d59a46e57cb888,isolated venv import app.main; uvicorn 127.0.0.1:18081 /health,windows-conda-3.10.19-isolated,main blob 1ddbe5d23667be2b05144bcec8fe121765e10371,import or block,IMPORT_OK; /health 200,RUNTIME_VERIFIED_LOCAL,PASS_VERIFIED,none,false,false,false,false,none,no,BaseLLM historical blocker SUPERSEDED
NC-CLOSE-05-20260817-8C95060,NC05-A2-CLINICAL,8c95060b12f8c68a59c3e29e14d59a46e57cb888,simple-req venv import app.main; uvicorn 127.0.0.1:18082 /health,windows-conda-3.10.19-isolated,main blob 2267e4e0ff31ccf896bfd7c83bd2e00c8ffff9dc,import or block,IMPORT_OK; /health 200 healthy,RUNTIME_VERIFIED_LOCAL,PASS_VERIFIED,none,false,false,false,false,none,no,spacy/transformers not required for health
NC-CLOSE-05-20260817-8C95060,NC05-A2-DIALOG,8c95060b12f8c68a59c3e29e14d59a46e57cb888,pip -r requirements.txt; import app.main DEBUG=false no provider key,windows-conda-3.10.19-isolated,main blob 5a5efd63e105785a6dbd6b1486d64b05a76a01a3,import or block,pip OK; import LegacyLLMDisabledError,DEPENDENCIES_INSTALLABLE,FAIL_CURRENT_IMPLEMENTATION,Redis timeout then memory,false,false,false,false,STARTUP_REMEDIATION,no,do not enable provider or restore legacy LLM
NC-CLOSE-05-20260817-8C95060,NC05-A2-ENGINE,8c95060b12f8c68a59c3e29e14d59a46e57cb888,pip -r requirements.txt; import app.main,windows-conda-3.10.19-isolated,requirements blob 9d31fe48fb193baa795fa48772565b31b1caaead,import or block,pip OK; ModuleNotFoundError jinja2,DEPENDENCIES_INSTALLABLE,FAIL_CURRENT_IMPLEMENTATION,none,false,false,false,false,DEPENDENCY_REMEDIATION,no,do not add jinja2 in this batch
NC-CLOSE-05-20260817-8C95060,NC05-A2-WORKUP,8c95060b12f8c68a59c3e29e14d59a46e57cb888,simple-req venv import app.main,windows-conda-3.10.19-isolated,exceptions blob 540ac3c7a40d579c30d00648b2130fc5a2e49ba4,import or block,ImportError ServiceException,DEPENDENCIES_INSTALLABLE,FAIL_CURRENT_IMPLEMENTATION,none,false,false,false,false,STARTUP_REMEDIATION,no,FAILED_CURRENTLY_RELEVANT; do not add symbol
NC-CLOSE-05-20260817-8C95060,NC05-A2-TREATMENT,8c95060b12f8c68a59c3e29e14d59a46e57cb888,simple-req venv import; uvicorn 127.0.0.1:18091 /health,windows-conda-3.10.19-isolated,main blob def3e0a66e11328c17aec542638a5f26629412af,import or block,IMPORT_OK; /health 200,RUNTIME_VERIFIED_LOCAL,PASS_VERIFIED,none,false,false,false,false,none,no,current-Base retest
NC-CLOSE-05-20260817-8C95060,NC05-A2-RISK,8c95060b12f8c68a59c3e29e14d59a46e57cb888,simple-req venv import; uvicorn 127.0.0.1:18092 /health,windows-conda-3.10.19-isolated,main blob c4d965cf971803a0899c5e7404cce0072665d4b9,import or block,IMPORT_OK; /health 200,RUNTIME_VERIFIED_LOCAL,PASS_VERIFIED,none,false,false,false,false,none,no,current-Base retest
NC-CLOSE-05-20260817-8C95060,NC05-A2-EXPLANATION,8c95060b12f8c68a59c3e29e14d59a46e57cb888,pip -r requirements.txt; import; uvicorn 127.0.0.1:18089 /health,windows-conda-3.10.19-isolated,requirements blob 5c93233422728923ddc440137addd30aa019a08a,import or block,IMPORT_OK; /health 200,RUNTIME_VERIFIED_LOCAL,PASS_VERIFIED,none,false,false,false,false,none,no,historical pydantic conflict SUPERSEDED
NC-CLOSE-05-20260817-8C95060,NC05-A2-OCR,8c95060b12f8c68a59c3e29e14d59a46e57cb888,pip -r requirements.txt; import app.main,windows-conda-3.10.19-isolated,requirements blob b9d1a6c609a090a4a0d3cacac2695704f02b4c76,import or block,pip OK; cv2 ImportError numpy 2.2.6 ABI,DEPENDENCIES_INSTALLABLE,FAIL_CURRENT_IMPLEMENTATION,none,false,false,false,false,DEPENDENCY_REMEDIATION,no,do not pin numpy
NC-CLOSE-05-20260817-8C95060,NC05-A2-KNOWLEDGE,8c95060b12f8c68a59c3e29e14d59a46e57cb888,pip -r requirements.txt; import; uvicorn 127.0.0.1:18094 /health,windows-conda-3.10.19-isolated,main blob b5bec7f9f50e5f1b3287e68974fd8a12e5f9d74b,import or block,IMPORT_OK; /health 200,RUNTIME_VERIFIED_LOCAL,PASS_VERIFIED,Neo4j unused,false,false,false,false,none,no,current-Base retest
NC-CLOSE-05-20260817-8C95060,NC05-A3-FRONTEND,8c95060b12f8c68a59c3e29e14d59a46e57cb888,reuse CI 32007012548 npm --prefix frontend run build,github-actions-ubuntu,tree:b92ccd8854aed021e1f200d95f20bb3112771803,build accounting,job frontend success,CI_VERIFIED,PASS_VERIFIED,none,false,false,false,false,none,no,not browser/E2E
NC-CLOSE-05-20260817-8C95060,NC05-A3-ADMIN,8c95060b12f8c68a59c3e29e14d59a46e57cb888,reuse CI 32007012548 npm --prefix frontend-admin run build,github-actions-ubuntu,tree:b92ccd8854aed021e1f200d95f20bb3112771803,build accounting,job frontend success,CI_VERIFIED,PASS_VERIFIED,none,false,false,false,false,none,no,not browser/E2E
NC-CLOSE-05-20260817-8C95060,NC05-A3-COMPOSE-ROOT,8c95060b12f8c68a59c3e29e14d59a46e57cb888,docker compose -f docker-compose.yml config --quiet,windows-docker-compose-v2.35.1,compose blob b064da6e62b15a0f4d520fd11bf7fcb5c0ef90c8,config render,exit 0; obsolete version warning,CONFIG_VERIFIED,PASS_VERIFIED,none,false,false,false,false,none,no,no compose up
NC-CLOSE-05-20260817-8C95060,NC05-A3-COMPOSE-MON,8c95060b12f8c68a59c3e29e14d59a46e57cb888,docker compose -f monitoring/docker-compose.yml config --quiet,windows-docker-compose-v2.35.1,tree:b92ccd8854aed021e1f200d95f20bb3112771803,config render,exit 0; obsolete version warning,CONFIG_VERIFIED,PASS_VERIFIED,none,false,false,false,false,none,no,no compose up
NC-CLOSE-05-20260817-8C95060,NC05-A3-DOCKER-IMAGE,8c95060b12f8c68a59c3e29e14d59a46e57cb888,not executed,n/a,tree:b92ccd8854aed021e1f200d95f20bb3112771803,not required,historical image FAIL not retested,UNKNOWN,NOT_REQUIRED_FOR_FREEZE,registry,false,false,false,false,none,no,do not remediate registry
NC-CLOSE-05-20260817-8C95060,NC05-A3-COMPOSE-FULL,8c95060b12f8c68a59c3e29e14d59a46e57cb888,not executed,n/a,tree:b92ccd8854aed021e1f200d95f20bb3112771803,not required,A3 safety omit remains,BLOCKED,NOT_REQUIRED_FOR_FREEZE,credentials/milvus,false,false,false,false,none,no,CURRENT_VALID safety block
NC-CLOSE-05-20260817-8C95060,NC05-A3-BROWSER,8c95060b12f8c68a59c3e29e14d59a46e57cb888,not executed,n/a,tree:b92ccd8854aed021e1f200d95f20bb3112771803,not required,no browser/full-stack,UNKNOWN,NOT_REQUIRED_FOR_FREEZE,backend,false,false,false,false,none,no,out of 05
