finding_id,severity,category,file,section,description,evidence,required_fix,fix_status,blocking,notes
F-A65D-D01-P01,P1,DATA_EV_PATH_SEMANTICS,a6-5-d-d01-eval-target-register.csv;a6-5-d-d01-synthetic-regression-plan.md,Target Register resolved_path / §10,DATA-EV001..003 place documentation path in resolved_path while inventory marks concrete suites MISSING_EXPECTED_ASSET creating MISSING_ASSET_BUT_PATH_RESOLVED ambiguity for future Implementation,authoritative inventory path field embeds 评估验证体系.md + MISSING_DATASET; Target Register resolved_path mirrors documentation path; concrete suite files absent,Split reference_document_path vs concrete_eval_asset_path=ABSENT; forbid treating documentation path as concrete suite,OPEN,yes,H-A65D-D01-01;H-A65D-D01-02
F-A65D-D01-P02,P1,SYNTHETIC_PROVENANCE,a6-5-d-d01-open-decisions.md;a6-5-d-d01-synthetic-regression-plan.md,A65D-OD-002 / §7,CONTENT_READ_BLOCKED_UNTIL_SYNTHETIC_PROVEN is circular: Plan does not define how synthetic status is proven without first opening patient-like content,OD-002 fail-closed rule only; no allowlisted provenance proof sources listed,Define safe provenance sources (authoritative metadata; generator provenance; explicit synthetic marker; trusted manifest) and forbid open-file-first inspection,OPEN,yes,H-A65D-D01-03
F-A65D-D01-P03,P1,INVENTORY_SCHEMA,a6-5-d-d01-synthetic-regression-plan.md,§30 Future inventory schema,Future inventory schema cannot answer fixture origin / synthetic proof / content-read state / oracle executable-vs-proposed; synthetic_only=yes is insufficient provenance,Locked header lacks synthetic_provenance and content_read_state; planned_or_existing lacks EXISTING proof rules,Add synthetic_provenance and content_read_state; lock EXISTING requires artifact+safe provenance; clarify INVENTORIED!=PASS,OPEN,yes,H-A65D-D01-11
F-A65D-D01-P04,P1,CLINICAL_GOLD_SEMANTICS,a6-5-d-d01-suite-coverage-plan.csv;a6-5-d-d01-synthetic-regression-plan.md,COV-020/021 clinical_gold_required,clinical_gold_required=no coexists with coverage_status=GAP_BLOCKED_CLINICAL_GOLD without locking Interpretation A vs B; easy to misread as contradiction,COV-020/021 fields; Plan §9 forbids gold but does not define coverage-plan flag semantics,Lock Interpretation A: clinical_gold_required=no means authorized D01 execution must not require gold; GAP_BLOCKED_CLINICAL_GOLD means desired clinical-semantic coverage remains blocked,OPEN,yes,H-A65D-D01-05
F-A65D-D01-P05,P1,RUNTIME_EXTERNAL_OVERCLAIM,a6-5-d-d01-suite-coverage-plan.csv;a6-5-d-d01-synthetic-regression-plan.md,runtime_required/external_dependency_required columns,runtime_required=no and external_dependency_required=no are written as if harness feasibility is proven; for WF-001/WF-002 this overclaims PLANNING AUTHORIZATION as PROVEN IMPLEMENTATION FEASIBILITY,Coverage rows default no/no; Plan §14-15 say no runtime store required by default; OD-006 remains UNRESOLVED; AgentLoop/Orchestrator are RUNTIME_COUPLING_BLOCKER in inventory,Clarify fields as authorized-scope boundary; require mock seam / local substitute or GAP_RUNTIME_DEPENDENCY / NONDETERMINISTIC_BLOCKED; mark harness feasibility INSUFFICIENT_EVIDENCE until Implementation,OPEN,yes,H-A65D-D01-08;H-A65D-D01-09
F-A65D-D01-P06,P1,GATE_DI0,a6-5-d-d01-synthetic-regression-plan.md,§35 Gate-DI0,High-risk Gate-DI0 checks GDI0-05/07/12/14-17 are slogan-only without method/evidence/pass criterion; Gate also lacks explicit checks that missing DATA-EV assets cannot be EXISTING and that synthetic provenance proof is defined,Gate table lists 21 one-line checks only,Add method/evidence/pass criteria for high-risk checks; add GDI0-22/23 for provenance and missing-asset EXISTING prohibition,OPEN,yes,H-A65D-D01-12
F-A65D-D01-P07,P2,PROMPT_INLINE_BODY,a6-5-d-d01-synthetic-regression-plan.md;PROMPT-001 source metadata,§16 PROMPT-001,prompt_manager.py contains long string/f-string literals (INLINE_PROMPT_CONTENT_PRESENT) but Plan does not fail-closed against extracting manager-embedded clinical prompt text during structural review/impl,AST structural scan: long_string_or_fstring_nodes=17; BODY not dumped in review,Record INLINE_PROMPT_CONTENT_PRESENT; BODY_READ_NOT_AUTHORIZED applies to embedded literals; structural-only obligations remain,OPEN,no,Supports H-A65D-D01-04 boundary hardening; not body-required for structural plan
F-A65D-D01-P08,P2,COVERAGE_STATUS_OVERCLAIM,a6-5-d-d01-suite-coverage-plan.csv,COV-010/014/018,PARTIALLY_COVERED used for path/metadata-only STATIC rows with NONE_IN_D01 fixtures; risks reading as existing synthetic coverage,existing_fixture_or_harness=NONE_IN_D01 while coverage_status=PARTIALLY_COVERED,Reclassify path-only rows to INSUFFICIENT_EVIDENCE or clarify PARTIALLY_COVERED excludes COVERED_EXISTING_SYNTHETIC without provenance,OPEN,no,Non-blocking after remediation clarity
F-A65D-D01-P09,P2,GAP_TAXONOMY_CONSISTENCY,a6-5-d-d01-synthetic-regression-plan.md,§21-22 / future status,GAP_RUNTIME_DEPENDENCY is planning-noted but not mapped to inventory status BLOCKED_RUNTIME_DEPENDENCY / gap_type allowed values,Plan notes GAP_RUNTIME_DEPENDENCY outside coverage_status enum; future status lists BLOCKED_RUNTIME_DEPENDENCY,Define explicit mapping: coverage_status/gap_type may use GAP_RUNTIME_DEPENDENCY; inventory status uses BLOCKED_RUNTIME_DEPENDENCY,OPEN,no,
F-A65D-D01-P10,P2,WF002_MOCK_SEAM,a6-5-d-d01-synthetic-regression-plan.md;a6-5-d-d01-open-decisions.md,§15 / OD-006/009,WF-002 pause/resume/retry and trajectory plan asserts MOCKED_DETERMINISTIC without defining required mock seam / local substitute if control flow enters model invocation,Static symbol scan shows plan/act/observe/runLoop; inventory RUNTIME_COUPLING_BLOCKER; no seam definition,Require mock seam or local substitute definition before INTERACTIVE/TRAJECTORY Evidence rows; else GAP_NO_HARNESS or NONDETERMINISTIC_BLOCKED,OPEN,no,Supports H-A65D-D01-09
F-A65D-D01-P11,P3,TARGET_SUITE_CLASS_WORDING,a6-5-d-d01-eval-target-register.csv,DATA-EV001 planned_suite_classes,DATA-EV001 planned_suite_classes lists STATIC;INTERACTIVE;TRAJECTORY while coverage correctly marks INTERACTIVE/TRAJECTORY NOT_APPLICABLE by asset role,Target Register vs COV-002/003,Set planned_suite_classes=STATIC (primary) with N/A note for other classes,OPEN,no,H-A65D-D01-07 role justification remains valid
