gap_id,area,item,current_status,blocked_reason,required_reviewer,required_evidence,future_phase,block_runtime,evidence_level,evidence_reference
gap-population-001,population,adult numeric age boundary,REQUIRES_CLINICAL_REVIEW,No approved numeric adult boundary,clinical-policy-owner,Approved population policy,A6.5/B,true,BLOCKED,docs/refactoring/evidence/phase-a/a6/capability-package-skeleton-report.md
gap-safety-red-flags-001,safety,red-flag rules and thresholds,REQUIRES_CLINICAL_REVIEW,No approved red-flag rule set,clinical-safety-owner,Approved red-flag rules and safety eval,A6.5/B,true,BLOCKED,docs/refactoring/evidence/phase-a/a6/capability-package-skeleton-report.md
gap-safety-triage-001,safety,triage rules and mapping,REQUIRES_CLINICAL_REVIEW,No approved triage rules,clinical-safety-owner,Approved triage rules and eval,A6.5/B,true,BLOCKED,docs/refactoring/evidence/phase-a/a6/capability-package-skeleton-report.md
gap-safety-special-pop-001,safety,special population handling,REQUIRES_CLINICAL_REVIEW,No approved special-population rules,clinical-safety-owner,Approved special-population policy,A6.5/B,true,BLOCKED,docs/refactoring/evidence/phase-a/a6/capability-package-skeleton-report.md
gap-question-001,questions,mandatory/discriminator/stopping content,REQUIRES_CLINICAL_REVIEW,No approved patient-facing questions,clinical-question-owner,Approved question content and burden review,A6.5/C,true,BLOCKED,docs/refactoring/evidence/phase-a/a6/capability-package-skeleton-report.md
gap-hypothesis-001,hypotheses,finite candidate and must-not-miss lists,REQUIRES_CLINICAL_REVIEW,No approved hypothesis set,clinical-review-owner,Clinically reviewed finite hypothesis set,A6.5/D,true,BLOCKED,docs/refactoring/evidence/phase-a/a6/capability-package-skeleton-report.md
gap-knowledge-001,knowledge,approved medical sources and release,REQUIRES_CLINICAL_REVIEW,approved sources = 0,knowledge-governance-owner,Licensed and clinically reviewed Knowledge Release,A6.5/D,true,BLOCKED,docs/refactoring/evidence/phase-a/a6/capability-package-skeleton-report.md
gap-runtime-001,runtime,tool/skill/prompt/model allowlists,NOT_IMPLEMENTED,A7 Model Runtime not started,tool-governance-owner,Registered runtime releases and permission evidence,A7,true,BLOCKED,docs/refactoring/evidence/phase-a/a6/capability-package-skeleton-report.md
gap-delivery-001,delivery,Patient API/UI and free-text safety,NOT_IMPLEMENTED,Delivery runtime and content safety not implemented,patient-delivery-owner,"Authorization, content-safety, clinician review, E2E",E,true,BLOCKED,docs/refactoring/evidence/phase-a/a6/capability-package-skeleton-report.md
gap-binding-001,contracts,Java/Python/TypeScript Shared Contract bindings,NOT_IMPLEMENTED,A5 delivered language-neutral schemas only; binding is A11 prerequisite,platform-contracts-owner,Cross-language binding and contract tests,A11,true,UNKNOWN,docs/refactoring/evidence/phase-a/a6/capability-package-skeleton-report.md
