task_id,batch,title,description,asset_ids,dependencies,priority,risk,owner_role,reviewer_role,expected_files,validation_commands,acceptance_criteria,stop_conditions,estimated_complexity,status
TASK-A01,A6.5-A,Complete discovery pass for all inventoried assets,"Verify paths, classify unknowns, expand DOC-KG-CLUSTER and DTO trees to file-level where P0/P1",BOUND-001;BOUND-002;CLIN-001;CLIN-002;CLIN-003;CLIN-004;CLIN-005;CLIN-006;CLIN-007;CLIN-008;CLIN-009;CLIN-010;CLIN-020;CLIN-021;CLIN-022;CLIN-023;CLIN-024;CLIN-025;CLIN-026;CLIN-027;CLIN-028;CLIN-029;CTR-001;CTR-002;CTR-003;CTR-004;CTR-005;CTR-006;CTR-007;CTR-008;CTR-009;DATA-DR001;DATA-DR002;DATA-DR003;DATA-DR004;DATA-DR005;DATA-DR006;DATA-EV001;DATA-EV002;DATA-EV003;DATA-K001;DATA-K002;DATA-K003;DATA-K004;DATA-K005;DATA-K006;DATA-K007;DATA-K008;DATA-K009;DATA-K010;DATA-K011;DATA-K012;DATA-K013;DATA-K014;DATA-K015;DATA-K016;DATA-K017;DATA-K018;DATA-K019;DATA-K020;DATA-K021;DATA-K022;DATA-K023;DATA-K024;DATA-K025;DATA-K026;DATA-K027;DATA-K028;DATA-K029;DATA-K030;DATA-K031;DATA-KG001;DATA-KG002;DATA-KG003;DATA-KG004;DATA-KG005;DATA-KG006;DATA-S001;DATA-S002;DATA-S003,plan-approval,P0,P0,architecture,architecture,updated inventory; discovery report,git ls-files; path exists checks; ripgrep consumers,every P0/P1 asset path classified EXISTS or MISSING; no untracked critical clinical/prompt asset,confirmed real patient data sample found; conflicting A6.5 implementation appears,L,PLANNED
TASK-A02,A6.5-A,Quarantine PHI-capable and unlicensed medical sources,Mark quarantine dispositions; forbid content sampling; open privacy/legal reviews,PHI-001;PHI-002;PHI-003;PHI-004;PHI-005;PHI-006;DATA-K001;DATA-K002;DATA-K003;DATA-K004;DATA-K005;DATA-K006;DATA-K007;DATA-K008;DATA-K009;DATA-K010;DATA-K011;DATA-K012;DATA-K013;DATA-K014;DATA-K015;DATA-K016;DATA-K017;DATA-K018;DATA-K019;DATA-K020;DATA-DR001;DATA-DR002;DATA-DR003;DATA-DR004;DATA-DR005;DATA-DR006,TASK-A01,P0,P0,security,security|legal,quarantine list; risk register updates,privacy checklist; no content dump,all PHI-capable and medical-source assets QUARANTINE or explicit exception with owner,need to read private live patient stores without authorization,M,PLANNED
TASK-A03,A6.5-A,Locate clinical-policy candidate asset paths without content extraction,Path/reference discovery only for red-flag/triage/prompt/rule assets; record candidate locations and risk_basis; do NOT extract clinical rule bodies; do NOT open data-file contents; blocked content extraction deferred to TASK-B04,CLIN-020;CLIN-021;CLIN-022;CLIN-025;CLIN-026;PROMPT-001;PROMPT-003;PROMPT-004;PROMPT-008,TASK-A01,P0,P0,clinical-ops,clinical,clinical-policy-candidate-path-register.md,path exists; symbol/path reference grep; no content dumps,candidate asset_ids and paths listed; no clinical rule text extracted; approved counts remain 0,content-level clinical extraction attempted; patient-data content inspection; approve into A6,M,PLANNED
TASK-B01,A6.5-B,Structural parse of clinical/knowledge/prompt files,Parse formats; record schema completeness; no clinical correctness claims,CLIN-001;CLIN-002;CLIN-003;CLIN-004;CLIN-005;CLIN-006;CLIN-007;CLIN-008;CLIN-009;CLIN-010;CLIN-020;CLIN-021;CLIN-022;CLIN-023;CLIN-024;CLIN-025;CLIN-026;CLIN-027;CLIN-028;CLIN-029;DATA-K001;DATA-K002;DATA-K003;DATA-K004;DATA-K005;DATA-K006;DATA-K007;DATA-K008;DATA-K009;DATA-K010;DATA-K011;DATA-K012;DATA-K013;DATA-K014;DATA-K015;DATA-K016;DATA-K017;DATA-K018;DATA-K019;DATA-K020;PROMPT-001;PROMPT-002;PROMPT-003;PROMPT-004;PROMPT-005;PROMPT-006;PROMPT-007;PROMPT-008;PROMPT-009;PROMPT-010;PROMPT-011;PROMPT-012;PROMPT-013;PROMPT-014;PROMPT-015,TASK-A01,P0,P1,engineering,engineering,legacy-design-code-evidence.csv partial,python parse harness local-only; yaml/json/csv loads,L1 status recorded per asset; failures quarantined,external model/API required to parse,L,PLANNED
TASK-B02,A6.5-B,Provenance license privacy governance pass,Owner/license/privacy/clinical-status fields populated or BLOCKED,DATA-K001;DATA-K002;DATA-K003;DATA-K004;DATA-K005;DATA-K006;DATA-K007;DATA-K008;DATA-K009;DATA-K010;DATA-K011;DATA-K012;DATA-K013;DATA-K014;DATA-K015;DATA-K016;DATA-K017;DATA-K018;DATA-K019;DATA-K020;DATA-DR001;DATA-DR002;DATA-DR003;DATA-DR004;DATA-DR005;DATA-DR006;CLIN-001;CLIN-002;CLIN-003;CLIN-004;CLIN-005;CLIN-006;CLIN-007;CLIN-008;CLIN-009;CLIN-010;CLIN-020;CLIN-021;CLIN-022;CLIN-023;CLIN-024;CLIN-025;CLIN-026;CLIN-027;CLIN-028;CLIN-029;PHI-001;PHI-002;PHI-003;PHI-004;PHI-005;PHI-006,TASK-A02,P0,P0,governance,legal|security|clinical,governance checklist evidence,manual reviews,no UNKNOWN license on P0 medical sources without NEEDS_LEGAL_REVIEW flag,production use of unlicensed corpus discovered,XL,PLANNED
TASK-B03,A6.5-B,Duplication and conflict detection,Detect duplicate prompts/engines/rules and doc-code conflicts,PROMPT-001;PROMPT-002;MODEL-004;MODEL-005;DOC-001;DOC-002;DOC-003,TASK-B01,P1,P1,architecture,architecture,conflict appendix in decision log,hash/text similarity; behavior diff notes,duplicates listed with SoT candidate or CONFLICTING,none,M,PLANNED
TASK-B04,A6.5-B,Extract clinical-policy candidates without approval (content-level),HISTORICAL PURPOSE PRESERVED: human-supervised extraction of candidate clinical policy text into legacy-clinical-policy-extraction.md. SUPERSEDED_BY_LEGACY_CLINICAL_NON_ADOPTION (A6.5-NONADOPT-001): content-level extraction is NOT_REQUIRED_FOR_NEW_RUNTIME_MIGRATION because Owner forbids legacy clinical content migration. Do NOT produce legacy-clinical-policy-extraction.md. Do NOT treat this row as EXECUTED_COMPLETE or B04 COMPLETE. Machine status remains BLOCKED (existing enum; not a new SUPERSEDED enum).,CLIN-020;CLIN-021;CLIN-022;CLIN-025;CLIN-026;PROMPT-001;PROMPT-003;PROMPT-004;PROMPT-008,TASK-A03;TASK-B01,P0,P0,clinical owner role,clinical,legacy-clinical-policy-extraction.md,do not execute extraction; verify strategy pointer only,NOT_REQUIRED_BY_POLICY; extraction not executed; approved counts remain 0; no Capability mutation,attempt to approve rules into A6; treat superseded task as EXECUTED_COMPLETE,L,BLOCKED
TASK-C01,A6.5-C,Map Tool/CDP/AgentState/AuditTrail to Shared Contracts,Field-level mapping to contracts/v1; record gaps; no runtime wiring,WF-004;WF-005;WF-006;WF-007;WF-015;WF-016;CTR-001;CTR-009;BOUND-001,TASK-B01,P0,P0,contracts,architecture,legacy-contract-extraction.md,schema diff; fixture compare planning,mapping complete for P0 state/tool assets; incompatibilities listed,runtime service changes requested as part of mapping,L,PLANNED
TASK-C02,A6.5-C,Map legacy clinical packs to A6 Capability schemas,HISTORICAL PURPOSE PRESERVED: map rules/terminology/prompts to capability slots without filling approved content. NOT_REQUIRED_FOR_REJECTED_ASSETS (A6.5-NONADOPT-001): rejected/quarantined/keep-read-only legacy clinical assets must not be mapped into Capability clinical authority. Do NOT treat this row as EXECUTED_COMPLETE or C02 COMPLETE. Metadata not-mapped/not-authority records belong to E01/E02. Machine status remains BLOCKED (existing enum; policy block not extraction-complete).,CLIN-001;CLIN-002;CLIN-003;CLIN-004;CLIN-005;CLIN-006;CLIN-007;CLIN-008;CLIN-009;CLIN-010;CLIN-020;CLIN-021;CLIN-022;CLIN-023;CLIN-024;CLIN-025;CLIN-026;CLIN-027;CLIN-028;CLIN-029;PROMPT-001;PROMPT-002;PROMPT-003;PROMPT-004;PROMPT-005;PROMPT-006;PROMPT-007;PROMPT-008;PROMPT-009;PROMPT-010;PROMPT-011;PROMPT-012;PROMPT-013;PROMPT-014;PROMPT-015;BOUND-002,TASK-B01,P0,P0,capability,clinical|architecture,capability mapping matrix appendix,do not execute rejected-asset content/schema mapping,NOT_REQUIRED_BY_NON_ADOPTION_DECISION; A6 approved_* remain 0; lifecycle remains DRAFT; no MAP_CONTENT_INTO_CAPABILITY,any attempt to set APPROVED/ACTIVE/ELIGIBLE; treat not-required task as EXECUTED_COMPLETE,L,BLOCKED
TASK-C03,A6.5-C,AOP/Trace and observability migration mapping,"Specialized validation plan for Trace failure isolation, PHI, Feign/OTel",WF-010;WF-011;WF-012;WF-013;ENG-006,TASK-C01,P0,P1,observability,security|architecture,legacy-observability-migration.md,planned tests only; no production cutover,migration plan+test matrix complete; old path not deleted,proposal to disable legacy trace without fallback,L,PLANNED
