asset_name,asset_type,service_or_path,format,clinical_scope,population,source,version,review_status,evidence_level,target_action_candidate,validation_needed,notes
symptom normalization,terminology,clinical-parsing-service/data/vocabularies/symptom_normalization.csv,CSV,symptoms,UNKNOWN,repository,unversioned,not clinically reviewed in A2,CODE_CONFIRMED,EVALUATE,clinical review and source provenance,asset existence is code-confirmed; the non-assertion script execution is only documented and is not automated test or clinical validation
disease normalization,terminology,clinical-parsing-service/data/vocabularies/disease_normalization.csv,CSV,diseases,UNKNOWN,repository,unversioned,not reviewed,CODE_CONFIRMED,EVALUATE,clinical review/provenance,asset existence is code-confirmed; the non-assertion script execution is only documented and is not automated test or clinical validation
medication normalization,terminology,clinical-parsing-service/data/vocabularies/medication_normalization.csv,CSV,medications,UNKNOWN,repository,unversioned,not reviewed,CODE_CONFIRMED,EVALUATE,clinical review/provenance,asset existence is code-confirmed; the non-assertion script execution is only documented and is not automated test or clinical validation
allergy normalization,terminology,clinical-parsing-service/data/vocabularies/allergy_normalization.csv,CSV,allergies,UNKNOWN,repository,unversioned,not reviewed,CODE_CONFIRMED,EVALUATE,clinical review/provenance,not runtime exercised
examination normalization,terminology,clinical-parsing-service/data/vocabularies/examination_normalization.csv,CSV,examinations,UNKNOWN,repository,unversioned,not reviewed,CODE_CONFIRMED,EVALUATE,clinical review/provenance,not runtime exercised
indicator normalization,terminology,clinical-parsing-service/data/vocabularies/indicator_normalization.csv,CSV,indicators,UNKNOWN,repository,unversioned,not reviewed,CODE_CONFIRMED,EVALUATE,clinical review/provenance,asset existence is code-confirmed; the non-assertion script execution is only documented and is not automated test or clinical validation
ambiguity rules,question/rule,clinical-parsing-service/data/vocabularies/ambiguity_rules.json,JSON,ambiguous symptom expressions,UNKNOWN,repository,unversioned,not reviewed,CODE_CONFIRMED,ADAPT,clinical review,asset existence is code-confirmed; the non-assertion script execution is only documented and is not automated test or clinical validation
red flag rules,safety rules,health-state-assessment-service/app/rules/red_flag_rules.py,Python,red flags,UNKNOWN,repository,unversioned,not reviewed,CODE_CONFIRMED,EVALUATE,clinical validation/golden set,must not be treated as clinically validated
risk screening rules,risk rules,health-state-assessment-service/app/rules/risk_screening_rules.py,Python,risk screening,UNKNOWN,repository,unversioned,not reviewed,CODE_CONFIRMED,EVALUATE,clinical validation,
severity rules,severity rules,health-state-assessment-service/app/rules/severity_rules.py,Python,symptom severity,UNKNOWN,repository,unversioned,not reviewed,CODE_CONFIRMED,EVALUATE,clinical validation,
work mode rules,routing rules,health-state-assessment-service/app/rules/work_mode_rules.py,Python,screening vs clinical mode,UNKNOWN,repository,unversioned,not reviewed,CODE_CONFIRMED,ADAPT,clinical/product validation,
wellness plan rules,management rules,health-state-assessment-service/app/rules/wellness_plan_rules.py,Python,wellness advice,UNKNOWN,repository,unversioned,not reviewed,CODE_CONFIRMED,EVALUATE,clinical validation,
information gap list,question requirements,dialog-service/app/identifiers/information_gap_identifier.py,Python,history and symptom questions,adult/UNKNOWN,repository,unversioned,not reviewed,CODE_CONFIRMED,ADAPT,clinical validation,required/important/optional field sets
fallback questions,question templates,dialog-service/app/core/nlg.py,Python,follow-up interview,adult/UNKNOWN,repository,unversioned,not reviewed,CODE_CONFIRMED,KEEP,clinical/usability validation,six typed fallbacks plus a default
triage engine rules,triage rules,risk-assessment-service/app/services/triage_engine.py,Python,triage,UNKNOWN,repository,unversioned,not reviewed,CODE_CONFIRMED,EVALUATE,clinical safety validation,service health was verified; business rule path was not
upgrade rules,safety rules,risk-assessment-service/app/services/upgrade_rule_engine.py,Python,risk escalation/review,UNKNOWN,repository,unversioned,not reviewed,CODE_CONFIRMED,EVALUATE,clinical safety validation,
knowledge importers,knowledge pipeline,knowledge-management-service/app/importers,Python,terminology/knowledge graph,UNKNOWN,repository,unversioned,not reviewed,CODE_CONFIRMED,ADAPT,data validation in A4,Neo4j-backed import paths; only health endpoint exercised
HPO/ICD/ICPC knowledge files,medical knowledge,docs/AI医生/知识内容提取,CSV/JSONL/PDF/scripts,terminology and respiratory knowledge,varied/UNKNOWN,mixed repository sources,mixed,not reviewed,CODE_CONFIRMED,EVALUATE,source/license/version/data validation,A2 did not inspect production data contents
DRKnows graph reasoning,research asset,DRKnows-main,Python/checkpoint references,diagnostic graph reasoning,research/UNKNOWN,research code,unversioned,not reviewed,BLOCKED,ARCHIVE,reproducibility and clinical evaluation,absolute model/checkpoint paths and CUDA dependency
synthetic parsing cases,test cases,clinical-parsing-service/test_service.py,Python script,clinical parsing,synthetic,repository,unversioned,not reviewed,CODE_CONFIRMED,EVALUATE,convert to assertions/golden set,script and three scenarios are code-confirmed; execution is documented but the script has no assertions and catches exceptions without a reliable failure exit so it is neither automated test evidence nor clinical validation
