prompt_id,service,file_path,symbol,prompt_type,clinical_or_technical,purpose,input_variables,output_contract,model_route,fallback,contains_medical_policy,contains_patient_data,versioned,tested,evidence_level,target_action_candidate,notes
P001,aidoctor_llm,common/aidoctor_llm/prompt_manager.py,PromptTemplateManager._builtin_templates[diagnosis_reasoning],Jinja2 builtin,clinical,diagnostic reasoning,symptoms;signs;context;paths,JSON-like diagnosis,dynamic OpenAI/Ollama/ChatGLM/custom,none in manager,YES,NO,NO,NO,CODE_CONFIRMED,ADAPT,runtime-created templates directory is unversioned
P002,aidoctor_llm,common/aidoctor_llm/prompt_manager.py,PromptTemplateManager._builtin_templates[path_injection],Jinja2 builtin,clinical,inject graph paths,paths;path_scores,prompt fragment,dynamic OpenAI/Ollama/ChatGLM/custom,none in manager,YES,NO,NO,NO,CODE_CONFIRMED,ADAPT,runtime-created templates directory is unversioned
P003,aidoctor_llm,common/aidoctor_llm/prompt_manager.py,PromptTemplateManager._builtin_templates[question_generation],Jinja2 builtin,clinical,generate follow-up question,missing_info;context,short question,dynamic OpenAI/Ollama/ChatGLM/custom,none in manager,YES,NO,NO,NO,CODE_CONFIRMED,ADAPT,runtime-created templates directory is unversioned
P004,aidoctor_llm,common/aidoctor_llm/prompt_manager.py,PromptTemplateManager._builtin_templates[explanation_generation],Jinja2 builtin,clinical,generate patient-readable explanation,diagnosis;evidence;reasoning_path,natural language,dynamic OpenAI/Ollama/ChatGLM/custom,none in manager,YES,NO,NO,NO,CODE_CONFIRMED,ADAPT,runtime-created templates directory is unversioned
P005,diagnosis-engine-service,diagnosis-engine-service/app/utils/prompt_templates.py,PromptTemplateManager._builtin_templates[diagnosis_reasoning],Jinja2 builtin,clinical,diagnostic reasoning duplicate,symptoms;signs;context;paths,JSON-like diagnosis,common LLM client,file template then builtin,YES,NO,NO,NO,CODE_CONFIRMED,SPLIT,duplicates common definitions
P006,diagnosis-engine-service,diagnosis-engine-service/app/utils/prompt_templates.py,PromptTemplateManager._builtin_templates[path_injection],Jinja2 builtin,clinical,inject graph paths duplicate,paths;path_scores,prompt fragment,common LLM client,file template then builtin,YES,NO,NO,NO,CODE_CONFIRMED,SPLIT,duplicates common definitions
P007,diagnosis-engine-service,diagnosis-engine-service/app/utils/prompt_templates.py,PromptTemplateManager._builtin_templates[question_generation],Jinja2 builtin,clinical,follow-up question duplicate,missing_info;context,short question,common LLM client,file template then builtin,YES,NO,NO,NO,CODE_CONFIRMED,SPLIT,duplicates common definitions
P008,diagnosis-engine-service,diagnosis-engine-service/app/utils/prompt_templates.py,PromptTemplateManager._builtin_templates[explanation_generation],Jinja2 builtin,clinical,explanation duplicate,diagnosis;evidence;reasoning_path,natural language,common LLM client,file template then builtin,YES,NO,NO,NO,CODE_CONFIRMED,SPLIT,duplicates common definitions
P009,diagnosis-engine-service,diagnosis-engine-service/app/config/prompt_templates/question_generation.jinja2,file template,Jinja2 file,clinical,follow-up question override,missing_info;context,short question,common LLM client,builtin duplicate,YES,NO,NO,NO,CODE_CONFIRMED,ADAPT,
P010,diagnosis-engine-service,diagnosis-engine-service/app/kg-reasoning-engine/path_injector.py,PathInjector.inject_paths.enhanced_prompt,augmentation,clinical,append graph reasoning paths,prompt;path_text,augmented prompt,downstream LLM,original prompt,YES,NO,NO,NO,CODE_CONFIRMED,WRAP,
P011,health-state-assessment-service,health-state-assessment-service/app/services/nlu/prompt_manager.py,INTENT_RECOGNITION_PROMPT,Python template,clinical,intent classification,user_input;context,JSON intent,configured LLM client,rule/template fallback,YES,NO,NO,NO,CODE_CONFIRMED,EVALUATE,
P012,health-state-assessment-service,health-state-assessment-service/app/services/nlu/prompt_manager.py,ENTITY_EXTRACTION_PROMPT,Python template,clinical,clinical entity extraction,user_input;context,JSON entities,configured LLM client,rule/template fallback,YES,NO,NO,NO,CODE_CONFIRMED,EVALUATE,
