"project_id","source_file","line_or_symbol","consumer_surface","transport","http_method_or_event","target_service","target_path","request_type","response_type","auth_mode","error_handling","retry_timeout","streaming","cdp_exposure","patient_visible","citation_support","contract_risk","evidence_level","evidence_reference"
"patient-frontend","frontend/src/services/clinicalParsingApi.ts","parse line 16","ClinicalParsingTestPage","REST","POST","clinical-parsing-service via Vite 8082","/api/v1/parsing/parse","ClinicalParsingRequest","ApiResponse<ClinicalParsingResponse>","Optional Bearer from localStorage","Shared Axios interceptor rejects non-200 envelope and HTTP/network errors","No retry; 60s timeout","NO","Request may include cdpId and arbitrary medicalHistory/vitalSigns records","NO; test page","NONE","Hand-written camelCase types differ from Python variants; arbitrary records","CODE_CONFIRMED","frontend/src/services/clinicalParsingApi.ts:16"
"patient-frontend","frontend/src/services/clinicalParsingApi.ts","health line 27","ClinicalParsingTestPage","REST","GET","clinical-parsing-service via Vite 8082","/api/v1/parsing/health","none","ApiResponse<{status;service}>","Optional Bearer from localStorage","Shared Axios interceptor","No retry; 60s timeout","NO","NO","NO","NONE","Health response proves neither parsing contract nor clinical validity","CODE_CONFIRMED","frontend/src/services/clinicalParsingApi.ts:27"
"patient-frontend","frontend/src/services/dialogApi.ts","getFieldConfig line 23","DiagnosisInfoPanel/store","REST","GET","dialog-service via Vite 8088","/api/v1/dialog/field-config","none","ApiResponse<FieldConfigResponse>","Optional Bearer from localStorage","Shared Axios interceptor","No retry; 60s timeout","NO","NO","YES","NONE","Local InformationGap types are not generated from a shared contract","CODE_CONFIRMED","frontend/src/services/dialogApi.ts:23"
"patient-frontend","frontend/src/services/diagnosisApi.ts","assessHealthState line 252","Diagnosis entry flow","REST","POST","health-state-assessment-service via Vite 8081","/api/v1/health-state-assessment/assess","Inline object with userId/basicInfo/symptoms/vitalSigns","ApiResponse<HealthStateAssessmentResult>","Optional Bearer from localStorage","Shared Axios interceptor","No retry; 60s timeout","NO","Response includes cdpId and risk state","YES","NONE","Patient identifiers and clinical values use hand-written contract; no delivery boundary","CODE_CONFIRMED","frontend/src/services/diagnosisApi.ts:252"
"patient-frontend","frontend/src/services/diagnosisApi.ts","start line 261","DiagnosisPage/store","REST","POST","diagnosis-service via Vite 8084","/api/v1/diagnosis/start","DiagnosisRequest","ApiResponse<DiagnosisResponse>","Optional Bearer from localStorage","Shared Axios interceptor","No retry; 60s timeout","NO","Response may include cdpId","YES","NONE","DiagnosisResponse is hand-written and conflicts with store usage","CODE_CONFIRMED","frontend/src/services/diagnosisApi.ts:261"
"patient-frontend","frontend/src/services/diagnosisApi.ts","startWellnessScreening line 267","Wellness flow/store","REST","POST","diagnosis-service via Vite 8084","/api/v1/diagnosis/{cdpId}/wellness-screening/start","cdpId path parameter","ApiResponse<DiagnosisResponse>","Optional Bearer from localStorage","Shared Axios interceptor","No retry; 60s timeout","NO","Direct cdpId path and response","YES","NONE","Wellness payload mixes snake_case camelCase and any fields","CODE_CONFIRMED","frontend/src/services/diagnosisApi.ts:267"
"patient-frontend","frontend/src/services/diagnosisApi.ts","answer line 278","Diagnosis chat/store","REST","POST","diagnosis-service via Vite 8084","/api/v1/diagnosis/{diagnosisId}/answer","UserAnswer","ApiResponse<DiagnosisResponse>","Optional Bearer from localStorage","Shared Axios interceptor","No retry; 60s timeout","NO","Store sends cdpId not declared by UserAnswer","YES","NONE","Compile error proves request contract drift","CODE_CONFIRMED","frontend/src/services/diagnosisApi.ts:278"
"patient-frontend","frontend/src/services/diagnosisApi.ts","getResult line 288","Diagnosis result cards/store","REST","GET","diagnosis-service via Vite 8084","/api/v1/diagnosis/{diagnosisId}/result","diagnosisId path parameter","any converted to ApiResponse<DiagnosisResult>","Optional Bearer from localStorage","Raw response/result logged; fallback constructs result; may return raw response","No retry; 60s timeout","NO","HIGH; accepts raw response/conclusionPackage/threeLayerResult","YES","NONE","HIGH: any; raw browser logs; default hypotheses/confidence; internal state conversion; no patient allowlist","CODE_CONFIRMED","frontend/src/services/diagnosisApi.ts:288"
"patient-frontend","frontend/src/services/diagnosisApi.ts","getHistory line 338","Diagnosis history drawer/page","REST","GET","diagnosis-service via Vite 8084","/api/v1/diagnosis/history?userId&page&pageSize","userId/page/pageSize query","ApiResponse<PaginatedResponse<DiagnosisRecord>>","Optional Bearer from localStorage","Shared Axios interceptor","No retry; 60s timeout","NO","Records contain diagnosis/user identifiers and risk/status","YES","NONE","Client-supplied userId; authorization enforcement not visible","CODE_CONFIRMED","frontend/src/services/diagnosisApi.ts:338"
"patient-frontend","frontend/src/services/diagnosisApi.ts","analyze line 349","Diagnosis store","REST","POST","diagnosis-service via Vite 8084","/api/v1/diagnosis/{diagnosisId}/analyze","diagnosisId path parameter","ApiResponse<void>","Optional Bearer from localStorage","Shared Axios interceptor","No retry; 60s timeout","NO","Diagnosis/CDP-related execution","YES","NONE","No idempotency/retry contract; runtime not tested","CODE_CONFIRMED","frontend/src/services/diagnosisApi.ts:349"
