coverage_id,task_id,asset_id,behavior_domain,suite_class,coverage_obligation,existing_evidence,existing_fixture_or_harness,fixture_class,oracle_class,determinism_class,synthetic_only,phi_required,clinical_gold_required,runtime_required,external_dependency_required,planned_validation_level,coverage_status,gap_type,blocking,required_followup,evidence_reference,notes
A65D-D01-COV-001,TASK-D01,DATA-EV001,static_case_eval,STATIC,locate_or_declare_absent_static_suite_and_plan_synthetic_schema_fixtures,Coverage Matrix DESIGNED; inventory MISSING_EXPECTED_ASSET,NONE,MINIMAL_SYNTHETIC;CONTRACT_FIXTURE,SCHEMA_ORACLE;INVARIANT_ORACLE,DETERMINISTIC,yes,no,no,no,no,PLAN_DEFINITION,GAP_NO_FIXTURE,GAP_NO_FIXTURE,yes,D01_impl_inventory_row_for_static_synthetic,inventory DATA-EV001,Primary obligation for DATA-EV001.
A65D-D01-COV-002,TASK-D01,DATA-EV001,static_case_eval,INTERACTIVE,classify_interactive_not_applicable_for_static_suite_asset,inventory static_case_eval_suite,NONE,NOT_APPLICABLE,NO_SAFE_ORACLE,NOT_APPLICABLE,yes,no,no,no,no,PLAN_DEFINITION,NOT_APPLICABLE,NOT_APPLICABLE,no,none,inventory DATA-EV001,Explicit suite disposition: INTERACTIVE N/A for static suite asset.
A65D-D01-COV-003,TASK-D01,DATA-EV001,static_case_eval,TRAJECTORY,classify_trajectory_not_applicable_for_static_suite_asset,inventory static_case_eval_suite,NONE,NOT_APPLICABLE,NO_SAFE_ORACLE,NOT_APPLICABLE,yes,no,no,no,no,PLAN_DEFINITION,NOT_APPLICABLE,NOT_APPLICABLE,no,none,inventory DATA-EV001,Explicit suite disposition: TRAJECTORY N/A for static suite asset.
A65D-D01-COV-004,TASK-D01,DATA-EV002,interactive_interview_eval,STATIC,static_schema_shape_for_future_interactive_fixture_envelope,Coverage Matrix DESIGNED; inventory MISSING,NONE,CONTRACT_FIXTURE,SCHEMA_ORACLE,DETERMINISTIC,yes,no,no,no,no,PLAN_DEFINITION,GAP_NO_FIXTURE,GAP_NO_FIXTURE,yes,define_synthetic_envelope_schema,inventory DATA-EV002,Supporting STATIC obligation before INTERACTIVE harness.
A65D-D01-COV-005,TASK-D01,DATA-EV002,interactive_interview_eval,INTERACTIVE,plan_bounded_synthetic_multi_turn_non_clinical_interaction,Coverage Matrix DESIGNED; inventory MISSING,NONE,BOUNDARY_SYNTHETIC;STATE_SEQUENCE_SYNTHETIC;MOCK_TOOL_RESULT,STATE_TRANSITION_ORACLE;EVENT_SEQUENCE_ORACLE,MOCKED_DETERMINISTIC,yes,no,no,no,no,PLAN_DEFINITION,GAP_NO_FIXTURE,GAP_NO_FIXTURE,yes,D01_impl_inventory_interactive_rows,inventory DATA-EV002,Primary obligation; no clinical correctness.
A65D-D01-COV-006,TASK-D01,DATA-EV002,interactive_interview_eval,TRAJECTORY,optional_short_trajectory_linking_interactive_turns,inventory interactive suite missing,NONE,STATE_SEQUENCE_SYNTHETIC,EVENT_SEQUENCE_ORACLE,MOCKED_DETERMINISTIC,yes,no,no,no,no,PLAN_DEFINITION,GAP_NO_FIXTURE,GAP_NO_FIXTURE,no,may_reuse_interactive_fixtures,inventory DATA-EV002,Planned optional TRAJECTORY linkage; still synthetic-only.
A65D-D01-COV-007,TASK-D01,DATA-EV003,trajectory_replay_eval,STATIC,static_trajectory_fixture_shape_and_identifier_fields,Coverage Matrix DESIGNED; inventory MISSING,NONE,CONTRACT_FIXTURE,SCHEMA_ORACLE;IDENTIFIER_PROPAGATION_ORACLE,DETERMINISTIC,yes,no,no,no,no,PLAN_DEFINITION,GAP_NO_FIXTURE,GAP_NO_FIXTURE,yes,define_trajectory_fixture_schema,inventory DATA-EV003,Supporting STATIC obligation.
A65D-D01-COV-008,TASK-D01,DATA-EV003,trajectory_replay_eval,INTERACTIVE,single_step_resume_or_replay_boundary_interaction,inventory trajectory suite missing,NONE,BOUNDARY_SYNTHETIC;ERROR_INJECTION_SYNTHETIC,ERROR_CLASS_ORACLE;STATE_TRANSITION_ORACLE,MOCKED_DETERMINISTIC,yes,no,no,no,no,PLAN_DEFINITION,GAP_NO_FIXTURE,GAP_NO_FIXTURE,no,optional_interactive_resume_case,inventory DATA-EV003,Supporting INTERACTIVE disposition.
A65D-D01-COV-009,TASK-D01,DATA-EV003,trajectory_replay_eval,TRAJECTORY,multi_step_synthetic_workflow_path_ordering_and_termination,Coverage Matrix DESIGNED; inventory MISSING,NONE,STATE_SEQUENCE_SYNTHETIC;TRACE_CONTEXT_SYNTHETIC,EVENT_SEQUENCE_ORACLE;IDENTIFIER_PROPAGATION_ORACLE;TRACE_LINKAGE_ORACLE,SEEDED_DETERMINISTIC,yes,no,no,no,no,PLAN_DEFINITION,GAP_NO_FIXTURE,GAP_NO_FIXTURE,yes,D01_impl_inventory_trajectory_rows,inventory DATA-EV003,Primary obligation; no patient outcome oracle.
A65D-D01-COV-010,TASK-D01,WF-001,workflow_topology_and_symbols,STATIC,static_symbol_and_reference_integrity_for_orchestrator,inventory TRACKED_FILE; path exists,NONE_IN_D01,CONTRACT_FIXTURE,SCHEMA_ORACLE;INVARIANT_ORACLE,DETERMINISTIC,yes,no,no,no,no,PLAN_DEFINITION,PARTIALLY_COVERED,none,no,symbol_map_in_D01_impl,blob:4405be7c,Static path/metadata planning ready.
