asset_id,store_id,data_class,sensitivity,source,owner,created_at,updated_at,versioning,ttl_or_retention,delete,withdrawal,anonymization,export,backup,restore,lineage,release_binding,known_gap,recommended_phase,evidence_level,evidence_reference
clinical-relational-data,relational-clinical,"PATIENT_PROVIDED; CLINICAL_OBSERVATION; CLINICAL_INFERENCE",PHI,"patient/API/workflow/service outputs",UNKNOWN,"present on most entities","present on some entities","CDP server-side integer and snapshot history; most entities none",UNKNOWN,"CDP hard delete only; broad entity deletion governance absent",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"CDP ID/session/patient links without enforced foreign keys",NONE,"No tenant/consent/retention/backup/restore governance and no database data profile",A4_B_F,CODE_CONFIRMED,diagnosis-service/src/main/java/com/aidoctor/diagnosis/entity/CDP.java:190
cdp-snapshots,relational-clinical,AUDIT_TRACE,PHI,CDPManager,diagnosis-service,create_time,NOT_APPLICABLE,"version_number max+1",UNKNOWN,"repository delete possible but no policy",UNKNOWN,UNKNOWN,"replay/rollback reads snapshot",UNKNOWN,UNKNOWN,"full serialized CDP",NONE,"No checksum, source schema version, unmapped-field registry or retention policy",A5_B_F,CODE_CONFIRMED,diagnosis-service/src/main/java/com/aidoctor/diagnosis/entity/CDPVersion.java:9
agent-state-data,relational-clinical,INTERNAL,INTERNAL_SENSITIVE,Agent runtime candidate,diagnosis-service,created_at,updated_at,NONE,UNKNOWN,"deleteBySessionId exists",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"sessionId and cdpId",NONE,"Fixed workflow relationship and durable recovery semantics are unknown",A5_C,CODE_CONFIRMED,diagnosis-service/src/main/java/com/aidoctor/diagnosis/entity/AgentState.java:29
audit-trail-data,relational-clinical,AUDIT_TRACE,PHI,"tool/CDP/agent events",diagnosis-service,"timestamp; created_at",NONE,NONE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,query_only,UNKNOWN,UNKNOWN,"cdpId/sessionId/eventType",NONE,"Append coverage, immutability, retention, PHI filtering and compliance ownership unknown",A5_C_F,CODE_CONFIRMED,diagnosis-service/src/main/java/com/aidoctor/diagnosis/entity/AuditTrail.java:26
execution-trace-data,relational-trace,AUDIT_TRACE,PHI,"service and Feign trace events",execution-trace-service,event_timestamp,NONE,NONE,30_days_configured,"cutoff query/delete candidate",UNKNOWN,UNKNOWN,"REST and WebSocket",UNKNOWN,UNKNOWN,"cdpId/traceId",NONE,"Actual scheduler, deletion execution, authorization and input/output filtering are unverified",C_F,CODE_CONFIRMED,execution-trace-service/src/main/resources/application.yml:40
dialog-context-data,redis-dialog-context,PATIENT_PROVIDED,PHI,"dialog requests and CDP reads",dialog-service,UNKNOWN,"each set overwrites",NONE,1800_seconds,"explicit DEL",UNKNOWN,UNKNOWN,UNKNOWN,"Redis persistence volume only; not a backup",UNKNOWN,cdpId,NONE,"Redis failure changes to memory semantics; no reconciliation or consent withdrawal",A5_C,CODE_CONFIRMED,dialog-service/app/services/dialog_service.py:483
dialog-memory-data,dialog-memory-fallback,PATIENT_PROVIDED,PHI,"Redis fallback",dialog-service,UNKNOWN,"dict mutation",NONE,"none; process lifetime","explicit cleanup or process exit",UNKNOWN,UNKNOWN,UNKNOWN,NOT_APPLICABLE,NOT_APPLICABLE,cdpId,NONE,"Unbounded memory and no crash recovery/reconciliation",A5_C,CODE_CONFIRMED,dialog-service/app/services/dialog_service.py:500
neo4j-medical-knowledge,neo4j-knowledge-graph,MEDICAL_KNOWLEDGE,INTERNAL_SENSITIVE,"tracked/import candidate files",UNKNOWN,UNKNOWN,UNKNOWN,"Source/Version labels only documented",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"query APIs",UNKNOWN,UNKNOWN,"Source and Version labels are expected but population unverified",NONE,"No data sample, provenance, release, withdrawal, duplicate, patient isolation or rollback evidence",A4_D,BLOCKED,knowledge-management-service/app/services/schema_service.py:13
milvus-index,milvus-reference,MEDICAL_KNOWLEDGE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NONE,"No deployed service/client/collection/dimension/metric/source/version/namespace",A8_D,BLOCKED,docker-compose.yml:35
exam-report-originals,exam-report-files,PATIENT_PROVIDED,PHI,patient_upload,UNKNOWN,"timestamp embedded in generated filename",UNKNOWN,NONE,UNKNOWN,NONE_LOCATED,UNKNOWN,NONE,NONE,UNKNOWN,UNKNOWN,"userId directory plus DB path",NONE,"No retention/delete/withdrawal/access-control/MIME/path-safety evidence; file and DB are not atomic",B_E_F,CODE_CONFIRMED,examination-service/src/main/java/com/aidoctor/examination/service/ExaminationService.java:165
