asset_id,path,category,tracked,size_bytes,format,parse_result,record_count_or_shape,sha256,verification_scope,evidence_level,evidence_reference
allergy-normalization,clinical-parsing-service/data/vocabularies/allergy_normalization.csv,CLINICAL_NORMALIZATION,YES,572,CSV,PARSED,"8 non-empty data rows; 4 columns",3DEAB6DEB536CBCE1B38D18B23AB4605A87AAF049AB088FAA7EDAD8091EA1455,"file existence; Git tracked status; byte size; format parsing; row/column structure; SHA256 only",DATA_VERIFIED,clinical-parsing-service/data/vocabularies/allergy_normalization.csv
disease-normalization,clinical-parsing-service/data/vocabularies/disease_normalization.csv,CLINICAL_NORMALIZATION,YES,557,CSV,PARSED,"10 non-empty data rows; 5 columns",63645B1254CFBA916268A55A475E3B3AF6A6276403D0C1AC408BBA8382D741C0,"file existence; Git tracked status; byte size; format parsing; row/column structure; SHA256 only",DATA_VERIFIED,clinical-parsing-service/data/vocabularies/disease_normalization.csv
examination-normalization,clinical-parsing-service/data/vocabularies/examination_normalization.csv,CLINICAL_NORMALIZATION,YES,598,CSV,PARSED,"10 non-empty data rows; 5 columns",E8A5A5C770AF4CFE45421270D21F3926EFF288F5EEC1911C68DAEB6C19C8A443,"file existence; Git tracked status; byte size; format parsing; row/column structure; SHA256 only",DATA_VERIFIED,clinical-parsing-service/data/vocabularies/examination_normalization.csv
indicator-normalization,clinical-parsing-service/data/vocabularies/indicator_normalization.csv,CLINICAL_NORMALIZATION,YES,573,CSV,PARSED,"10 non-empty data rows; 4 columns",B7463461EF9819CF5C1F47EFAB22973E334924EDD5081091E17BB5BFC05C85D6,"file existence; Git tracked status; byte size; format parsing; row/column structure; SHA256 only",DATA_VERIFIED,clinical-parsing-service/data/vocabularies/indicator_normalization.csv
medication-normalization,clinical-parsing-service/data/vocabularies/medication_normalization.csv,CLINICAL_NORMALIZATION,YES,715,CSV,PARSED,"10 non-empty data rows; 5 columns",25679A4F09F28848E289B7E8B189AE24197A667A0CAF0FC1342AA41E3E3A1A87,"file existence; Git tracked status; byte size; format parsing; row/column structure; SHA256 only",DATA_VERIFIED,clinical-parsing-service/data/vocabularies/medication_normalization.csv
symptom-normalization,clinical-parsing-service/data/vocabularies/symptom_normalization.csv,CLINICAL_NORMALIZATION,YES,568,CSV,PARSED,"10 non-empty data rows; 5 columns",01B04C2ED462AE3A89BB17250673F5C991BD3399262891E63528709BE8F7D046,"file existence; Git tracked status; byte size; format parsing; row/column structure; SHA256 only",DATA_VERIFIED,clinical-parsing-service/data/vocabularies/symptom_normalization.csv
ambiguity-rules,clinical-parsing-service/data/vocabularies/ambiguity_rules.json,CLINICAL_RULE,YES,1118,JSON,PARSED,"top-level list; 5 items",941CE7961034379E6C98351C8D6BA5D0CBCFE9F3D85FD190B8430BF11FF35B77,"file existence; Git tracked status; byte size; format parsing; top-level structure; SHA256 only",DATA_VERIFIED,clinical-parsing-service/data/vocabularies/ambiguity_rules.json
hpo-chinese-mapping,docs/AI医生/知识内容提取/提取结果/hpo/hpo_chinese_mapping.csv,DERIVED_MEDICAL_KNOWLEDGE,YES,1292433,CSV,PARSED,"18988 data rows; 4 columns",BA71FC3B5714E125EF7AA1EF09CF0D43DABF80216E96A5408A4FDF7EECE63386,"file existence; Git tracked status; byte size; format parsing; row/column structure; SHA256 only",DATA_VERIFIED,docs/AI医生/知识内容提取/提取结果/hpo/hpo_chinese_mapping.csv
icpc-chinese-csv,docs/AI医生/知识内容提取/提取结果/icpc/icpc_xml_chinese.csv,DERIVED_MEDICAL_KNOWLEDGE,YES,352922,CSV,PARSED,"726 data rows; 18 columns",D50C0135B408569F91CF86F7DFD7C35470A8DA420FDB72C3D1F57C4C0926E6A7,"file existence; Git tracked status; byte size; format parsing; row/column structure; SHA256 only",DATA_VERIFIED,docs/AI医生/知识内容提取/提取结果/icpc/icpc_xml_chinese.csv
icpc-chinese-json,docs/AI医生/知识内容提取/提取结果/icpc/icpc_xml_chinese.json,DERIVED_MEDICAL_KNOWLEDGE,YES,651364,JSON,PARSED,"top-level list; 726 items",4365391E54DD8CA2EC56E8B4B51D67C66B631A862C8BC9720FBDFE517D19B112,"file existence; Git tracked status; byte size; format parsing; top-level structure; SHA256 only",DATA_VERIFIED,docs/AI医生/知识内容提取/提取结果/icpc/icpc_xml_chinese.json
