scope_id,a7_item,lane,classification,dependency,allowed_before_b04,allowed_operation,forbidden_operation,clinical_content_access,patient_data_access,external_model_access,capability_mutation,shared_contract_mutation,implementation_batch,exit_gate,rejoin_dependency,stop_condition,status,notes
NC-01,ModelSpec,A7-NC,NON_CLINICAL_PLATFORM,A5 Shared Contracts and frozen runtime design,yes,Define structural model metadata and status mechanics,CLINICALLY_APPROVED status or clinical model approval,no,no,no,no,no,A7-NC-P1,EG-01,A7-NC Exit,Clinical approval becomes necessary,NOT_STARTED,Original A7 item 1
NC-02,ModelRoutePolicy,A7-NC,NON_CLINICAL_PLATFORM,NC-01,yes,Define route matching fallback topology requirements and eligibility mechanics,Eligible clinical route or approved clinical decision route,no,no,no,no,no,A7-NC-P1,EG-03,A7-NC Exit,Clinical route becomes eligible,NOT_STARTED,Original A7 item 2; clinical routes default BLOCKED and ELIGIBLE=false
NC-03,PromptSpec,A7-NC,NON_CLINICAL_PLATFORM,Frozen Prompt design,yes,Define identifier version variables output contract checksum metadata and status,Clinical Prompt body medical instruction or recommendation,no,no,no,no,no,A7-NC-P1,EG-02,A7-NC Exit,Clinical Prompt body is required,NOT_STARTED,Original A7 item 3
NC-04,Prompt Registry,A7-NC,NON_CLINICAL_PLATFORM,NC-03,yes,Support empty registry synthetic entries and schema-validation-only entries,Production or legacy clinical Prompt registration,no,no,no,no,no,A7-NC-P2,EG-04,A7-NC Exit,Clinical Prompt registration is required,NOT_STARTED,Original A7 item 4
NC-05,Prompt Loader,A7-NC,NON_CLINICAL_PLATFORM,NC-03;NC-04,yes,Explicit-version loading schema validation hashing and deterministic errors,Implicit latest drift or clinical content discovery,no,no,no,no,no,A7-NC-P2,EG-05,A7-NC Exit,B04 content or clinical discovery is required,NOT_STARTED,Original A7 item 5
NC-06,Prompt Builder,A7-NC,NON_CLINICAL_PLATFORM,NC-03;NC-05,yes,Variable substitution required-input validation context handling and deterministic rendering,Medical instruction logic diagnostic template or clinical system Prompt,no,no,no,no,no,A7-NC-P2,EG-06,A7-NC Exit,Clinical instruction logic is required,NOT_STARTED,Original A7 item 6
NC-07,Output Schema Registry,A7-NC,NON_CLINICAL_PLATFORM,A5 Shared Contracts v1,yes,Register existing Shared Contracts v1 read-only,New or changed clinical semantics,no,no,no,no,no,A7-NC-P3,EG-07;EG-08,A7-NC Exit,Shared Contract semantic mutation is required,NOT_STARTED,Original A7 item 7
NC-08,Model Gateway,A7-NC,NON_CLINICAL_PLATFORM,NC-01;NC-02;NC-03;NC-07,yes,Validate request lookup route select provider normalize errors validate result and record provenance,Clinical decision output approval or direct clinical-state write,no,no,no,no,no,A7-NC-P3,EG-09,A7-NC Exit,Gateway must decide clinically or write state,NOT_STARTED,Original A7 item 8
NC-09,ProviderAdapter interface,A7-NC,NON_CLINICAL_PLATFORM,NC-08,yes,Define provider protocol boundary and use deterministic fake,Real provider implementation traffic or direct SDK call,no,no,no,no,no,A7-NC-P4,EG-10;EG-11;EG-12,A7-NC Exit,External provider is needed for correctness,NOT_STARTED,Original A7 item 9
NC-10,common/aidoctor_llm Legacy Adapter,A7-NC,NON_CLINICAL_PLATFORM,NC-08;NC-09,yes,Provide disabled-by-default mechanical compatibility facade,Legacy clinical Prompt execution provider traffic or clinical behavior activation,no,no,no,no,no,A7-NC-P5,EG-14,A7-NC Exit,Legacy adapter reads clinical content or creates traffic,NOT_STARTED,Original A7 item 10
NC-11,Prompt YAML specification,A7-NC,NON_CLINICAL_PLATFORM,NC-03,yes,Specify non-clinical synthetic deterministic examples,Clinical Prompt medical examples or production registration,no,no,no,no,no,A7-NC-P2,EG-02;EG-04,A7-NC Exit,Clinical example is needed,NOT_STARTED,Original A7 item 11
NC-12,Provider SDK architecture rule,A7-NC,NON_CLINICAL_PLATFORM,NC-08;NC-09,yes,Require business code to use Model Gateway then ProviderAdapter,Provider SDK calls from business code,no,no,no,no,no,A7-NC-P5,EG-13,A7-NC Exit,Business code must bypass Gateway,NOT_STARTED,Original A7 item 12
NC-13,Observation Extraction BLOCKED shell,A7-NC,NON_CLINICAL_PLATFORM,NC-02;NC-07;NC-08,yes,Define route identifier contract references and default BLOCKED configuration,Clinical extraction Prompt instructions eligibility binding or evaluation,no,no,no,no,no,A7-NC-P6,EG-15,Full A7 Rejoin Gate,Route becomes eligible or needs clinical body,NOT_STARTED,Structural half of original A7 item 13
NC-14,Question Wording BLOCKED shell,A7-NC,NON_CLINICAL_PLATFORM,NC-02;NC-07;NC-08,yes,Define route identifier contract references and default BLOCKED configuration,Clinical wording template Prompt eligibility binding or evaluation,no,no,no,no,no,A7-NC-P6,EG-16,Full A7 Rejoin Gate,Route becomes eligible or needs clinical body,NOT_STARTED,Structural half of original A7 item 14
CL-01,Observation Extraction clinical activation,A7-CL,CLINICAL_ACTIVATION_DEPENDENT,B04;C02;E01;E02;A6.5 Exit;A7-NC Exit,no,After rejoin register reviewed Prompt eligibility Capability binding and evaluation,Any activation before Full A7 Rejoin Gate,blocked,blocked,blocked,blocked,blocked,A7-CL,Full A7 Exit,RG-01 through RG-13,Any rejoin condition is missing,BLOCKED_BY_A6_5_CLINICAL_LANE,Clinical half of original A7 item 13
CL-02,Question Wording clinical activation,A7-CL,CLINICAL_ACTIVATION_DEPENDENT,B04;C02;E01;E02;A6.5 Exit;A7-NC Exit,no,After rejoin register reviewed Prompt eligibility Capability binding and evaluation,Any activation before Full A7 Rejoin Gate,blocked,blocked,blocked,blocked,blocked,A7-CL,Full A7 Exit,RG-01 through RG-13,Any rejoin condition is missing,BLOCKED_BY_A6_5_CLINICAL_LANE,Clinical half of original A7 item 14
SUP-01,DeterministicFakeProviderAdapter,A7-NC,SUPPORT_NON_CLINICAL,NC-09,yes,Provide no-network fixture-defined deterministic responses and failure injection,Network traffic paid API or real provider behavior,no,no,no,no,no,A7-NC-P4,EG-10;EG-11;EG-12,A7-NC Exit,External provider becomes required,NOT_STARTED,Supporting item outside original A7 14-item list
SUP-02,Non-clinical synthetic deterministic fixtures,A7-NC,SUPPORT_NON_CLINICAL,NC-03;NC-07;NC-09,yes,Provide offline non-clinical deterministic test inputs,PHI patient data clinical gold medical labels or DATA-EV001..003 identity,no,no,no,no,no,A7-NC-P2;A7-NC-P4;A7-NC-P6,EG-04;EG-11;EG-19 through EG-23,A7-NC Exit,Clinical or patient content becomes necessary,NOT_STARTED,Supporting item outside original A7 14-item list
