risk_id,task_id,category,description,trigger,impact,likelihood,severity,mitigation,owner_role,status,blocking,evidence_reference,notes
A65D-RISK-001,TASK-D01,PRIVACY,REAL_PATIENT_FIXTURE_LEAK — Real patient cases proposed or used as fixtures,fixture design or inventory import,PHI exposure / authorization violation,MED,P0,synthetic-only policy; stop condition; fixture taxonomy forbid REAL_PATIENT,evaluation,OPEN,yes,backlog stop condition,
A65D-RISK-002,TASK-D01,PRIVACY,DEIDENTIFIED_PATIENT_MISTAKEN_FOR_SYNTHETIC — Deidentified/pseudonymized patient data treated as synthetic,reuse of historical datasets,unauthorized PHI-class data in D01,MED,P0,explicit forbid DEIDENTIFIED/PSEUDONYMIZED/PRODUCTION_LOG_DERIVED,evaluation|security,OPEN,yes,fixture taxonomy,
A65D-RISK-003,TASK-D01,CLINICAL_GOVERNANCE,CLINICAL_GOLD_LABEL_SNEAKS_IN — Clinical gold labels used as evaluation oracles,eval suite design,false clinical validation claim,MED,P0,oracle taxonomy exclude clinical oracles; NO_SAFE_ORACLE gap,clinical-advisor|evaluation,OPEN,yes,oracle taxonomy,
A65D-RISK-004,TASK-D01,SCOPE,PROMPT_BODY_SCOPE_BLEED — PROMPT-001 target used to justify prompt body dump,planning or impl curiosity,clinical content access without authorization,MED,P0,PATH_METADATA only; PROMPT_BODY_NOT_AUTHORIZED; OD-003,evaluation,OPEN,yes,PROMPT-001 boundary,
A65D-RISK-005,TASK-D01,EVIDENCE,TEST_PLAN_MISTAKEN_FOR_EXECUTED_PASS — Planning or PLANNED matrix treated as runtime PASS,status wording,false readiness,HIGH,P1,status taxonomies forbid TEST_PASS/RUNTIME_PASS; Gate-DI0 separates planning,evaluation,OPEN,yes,future inventory status,
A65D-RISK-006,TASK-D01,RUNTIME,RUNTIME_DEPENDENCY_SNEAKS_IN — Coverage requires prod/staging/DB/Redis/Neo4j/trace backend,harness design,unauthorized runtime access,MED,P1,runtime_required=no default; GAP_RUNTIME_DEPENDENCY if unavoidable,engineering|evaluation,OPEN,yes,runtime boundary,
A65D-RISK-007,TASK-D01,EXTERNAL,EXTERNAL_MODEL_DEPENDENCY — External LLM/API required for evaluation,agent loop testing,nondeterminism + external authorization violation,HIGH,P1,MOCKED_DETERMINISTIC only; NONDETERMINISTIC_BLOCKED,evaluation,OPEN,yes,determinism taxonomy,
A65D-RISK-008,TASK-D01,EVALUATION,NONDETERMINISTIC_ORACLE — Oracle depends on nondeterministic model output,trajectory design,irreproducible evidence,MED,P1,prefer DETERMINISTIC/SEEDED/MOCKED; block otherwise,evaluation,OPEN,no,determinism taxonomy,
A65D-RISK-009,TASK-D01,EVALUATION,STATIC_COVERAGE_MISTAKEN_FOR_TRAJECTORY_COVERAGE — Static fixture pass claimed as trajectory verification,coverage reporting,overclaim suite coverage,MED,P1,explicit suite dispositions; separate coverage rows,evaluation,OPEN,no,suite taxonomy,
A65D-RISK-010,TASK-D01,EVIDENCE,C03_SYNTHETIC_PLAN_MISTAKEN_FOR_RUNTIME_VALIDATION — C03 PLANNED observability matrix treated as runtime validated,C03 reuse,false observability verification,MED,P1,REFERENCE_ONLY; note PLANNED!=executed,architecture|evaluation,OPEN,yes,C03 boundary,
A65D-RISK-011,TASK-D01,SCOPE,C02_B04_SCOPE_BLEED — D01 unlocks clinical extraction or C02/B04 work,prompt/clinical gaps,unauthorized clinical work,MED,P0,clinical gaps remain BLOCKED; C02/B04 untouched,architecture,OPEN,yes,phase isolation,
A65D-RISK-012,TASK-D01,GOVERNANCE,A6_5_F_COVERAGE_OVERCLAIM — Claiming A6.5-F Coverage Matrix complete via D01 planning,write-back wording,false matrix readiness,MED,P1,OD-001/OD-010; inventory capable of future write-back only,architecture,OPEN,yes,Coverage Matrix relationship,
