planning_target_id,task_id,asset_id,path,planning_role,source_class,path_status,dependency,risk_basis,patient_data_risk,clinical_content_risk,static_source_read,runtime_content_access,allowed_planning_operation,forbidden_operation,candidate_contracts,future_evidence_artifact,required_owner_role,required_reviewer_role,planning_status,notes
A65C-PLAN-TASK-C01-WF-004,TASK-C01,WF-004,diagnosis-service/src/main/java/com/aidoctor/diagnosis/entity/CDP.java,LEGACY_STATE_ENTITY_SOURCE,JAVA_ENTITY,EXISTS,TASK-B01,PHI_CAPABLE_STATIC_PATH,PHI_CAPABLE_STATIC_PATH,MED,yes,no,STATIC_FIELD_AND_TYPE_INSPECTION,RUNTIME_CONTENT_ACCESS;CONTRACT_MUTATION;RUNTIME_WIRING,ContractEnvelope;IdentifierSet;StatePatch;CommitResult,a6-5-c-contract-field-mapping.csv,architecture,architecture|security,PLANNED,Static source field mapping only; no patient record access
A65C-PLAN-TASK-C01-WF-005,TASK-C01,WF-005,diagnosis-service/src/main/java/com/aidoctor/diagnosis/entity/CDPVersion.java,LEGACY_VERSION_STATE_SOURCE,JAVA_ENTITY,EXISTS,TASK-B01,IDENTIFIER_VERSION_SEMANTICS,PHI_CAPABLE_STATIC_PATH,MED,yes,no,STATIC_FIELD_AND_TYPE_INSPECTION,RUNTIME_CONTENT_ACCESS;CONTRACT_MUTATION;RUNTIME_WIRING,ContractEnvelope;IdentifierSet;StatePatch;CommitResult,a6-5-c-contract-field-mapping.csv,architecture,architecture|security,PLANNED,Version field semantics vs Exact Contract Version 1.0.0 must be separated
A65C-PLAN-TASK-C01-WF-006,TASK-C01,WF-006,diagnosis-service/src/main/java/com/aidoctor/diagnosis/entity/AgentState.java,LEGACY_AGENT_STATE_SOURCE,JAVA_ENTITY,EXISTS,TASK-B01,PHI_CAPABLE_STATIC_PATH,PHI_CAPABLE_STATIC_PATH,MED,yes,no,STATIC_FIELD_AND_TYPE_INSPECTION,RUNTIME_CONTENT_ACCESS;CONTRACT_MUTATION;RUNTIME_WIRING,ContractEnvelope;IdentifierSet;StatePatch;CommitResult,a6-5-c-contract-field-mapping.csv,architecture,architecture|security,PLANNED,StatePatch validation must not be treated as field authorization
A65C-PLAN-TASK-C01-WF-007,TASK-C01,WF-007,diagnosis-service/src/main/java/com/aidoctor/diagnosis/entity/AuditTrail.java,LEGACY_AUDIT_SOURCE,JAVA_ENTITY,EXISTS,TASK-B01,AUDIT_SEMANTICS,PHI_CAPABLE_STATIC_PATH,HIGH,yes,no,STATIC_FIELD_AND_TYPE_INSPECTION,RUNTIME_CONTENT_ACCESS;CONTRACT_MUTATION;RUNTIME_WIRING;TREAT_AS_TRACE,AuditRef;ContractConflict,a6-5-c-contract-field-mapping.csv,architecture,architecture|security|audit,PLANNED,Map candidate to AuditRef; TraceRef conflation forbidden
A65C-PLAN-TASK-C01-WF-015,TASK-C01,WF-015,diagnosis-service/src/main/java/com/aidoctor/diagnosis/dto/tool/ToolContext.java,LEGACY_TOOL_INPUT_DTO,JAVA_DTO,EXISTS,TASK-B01,TOOL_SCHEMA_ALIGNMENT,IDENTIFIER_METADATA_POSSIBLE,MED,yes,no,STATIC_FIELD_AND_TYPE_INSPECTION,RUNTIME_CONTENT_ACCESS;CONTRACT_MUTATION;RUNTIME_WIRING,ToolContext;IdentifierSet;ContractEnvelope,a6-5-c-contract-field-mapping.csv,architecture,architecture,PLANNED,Exact map vs adapter is C-OD-003
A65C-PLAN-TASK-C01-WF-016,TASK-C01,WF-016,diagnosis-service/src/main/java/com/aidoctor/diagnosis/dto/tool/ToolResult.java,LEGACY_TOOL_RESULT_DTO,JAVA_DTO,EXISTS,TASK-B01,TOOL_SCHEMA_ALIGNMENT,IDENTIFIER_METADATA_POSSIBLE,MED,yes,no,STATIC_FIELD_AND_TYPE_INSPECTION,RUNTIME_CONTENT_ACCESS;CONTRACT_MUTATION;RUNTIME_WIRING,ToolResult;EvidencePack;ContractConflict,a6-5-c-contract-field-mapping.csv,architecture,architecture,PLANNED,Exact map vs adapter is C-OD-003
A65C-PLAN-TASK-C01-CTR-001,TASK-C01,CTR-001,diagnosis-service/src/main/java/com/aidoctor/diagnosis/dto,DTO_TREE_AND_CONSUMER_SCOPE,JAVA_DTO_TREE,EXISTS,TASK-B01,CONSUMER_SCOPE_EXPANSION,IDENTIFIER_METADATA_POSSIBLE,MED,yes,no,STATIC_TREE_ENUMERATION_AND_CONSUMER_LIST,RUNTIME_CONTENT_ACCESS;CONTRACT_MUTATION;RUNTIME_WIRING;FULL_CLINICAL_DTO_EXTRACTION,ContractEnvelope;ToolContext;ToolResult;IdentifierSet;ContractConflict,a6-5-c-contract-field-mapping.csv,architecture,architecture,PLANNED,Expansion granularity unresolved C-OD-004; no clinical body extraction
A65C-PLAN-TASK-C01-CTR-009,TASK-C01,CTR-009,docs/refactoring/evidence/phase-a/a2/python-cdp-access-inventory.csv,PRIOR_CDP_ACCESS_EVIDENCE,CSV_EVIDENCE,EXISTS,TASK-B01,PRIOR_EVIDENCE_CONSISTENCY,NONE_PATH_METADATA,LOW,yes,no,READ_PRIOR_EVIDENCE_ONLY,RUNTIME_CONTENT_ACCESS;REWRITE_HISTORY;TREAT_AS_AUTHORITATIVE_WITHOUT_DIFF,IdentifierSet;StatePatch;ContractConflict,a6-5-c-contract-gap-register.csv,architecture,architecture,PLANNED,Must reconcile with Java legacy state; conflicts fail-closed C-OD-005
A65C-PLAN-TASK-C01-BOUND-001,TASK-C01,BOUND-001,contracts/v1,MAPPING_DESTINATION,SHARED_CONTRACTS_V1,EXISTS,TASK-B01,CONTRACT_BOUNDARY,NONE,LOW,yes,no,READ_SCHEMA_AND_MANIFEST_ONLY,MODIFY_CONTRACT;ADD_CONTRACT;CHANGE_VERSION;RUNTIME_WIRING,ContractEnvelope;IdentifierSet;StatePatch;CommitResult;ToolContext;ToolResult;AuditRef;TraceRef;ContractConflict;EvidencePack,a6-5-c-contract-field-mapping.csv,platform-contracts,architecture|platform-contracts,PLANNED,contracts/v1 remains READ_ONLY; PatientDeliveryView/KnowledgeReleaseRef/SourceArtifact OUT_OF_CURRENT_SCOPE
A65C-PLAN-TASK-C03-WF-010,TASK-C03,WF-010,diagnosis-service/src/main/java/com/aidoctor/diagnosis/aspect/ExecutionTraceAspect.java,JAVA_AOP_TRACE_CAPTURE,JAVA_AOP,EXISTS,TASK-C01,OBSERVABILITY_FAILURE_ISOLATION,PHI_CAPABLE_STATIC_PATH,HIGH,yes,no,STATIC_AOP_AND_EXCEPTION_PATH_INSPECTION,RUNTIME_STORE_ACCESS;PAYLOAD_PERSISTENCE;PRODUCTION_CUTOVER;DELETE_LEGACY_PATH,TraceRef;AuditRef;ContractEnvelope;IdentifierSet,a6-5-c-observability-mapping.csv,architecture,security|architecture,PLANNED,Depends on C01 TraceRef/Identifier mapping rules
