surface_id,surface,current_owner,current_state,current_evidence,target_owner,target_state,disposition,replacement_or_wrapper,contract_or_boundary,phase,authorization_state,completion_gate,decommission_prerequisite,rollback_dependency,nc_exit_impact,a11_impact,notes
SUR-JAVA-ORCH,Java orchestration,diagnosis-service DiagnosisOrchestrationService / WorkflowOrchestrator,CURRENT_IMPLEMENTED,NC-CLOSE-04 WF-01 TEST_VERIFIED; CODE_CONFIRMED HTTP authority,Java orchestration remains current boundary,KEEP current HTTP authority,KEEP,none as HTTP authority; AgentLoop not HTTP owner,ADR-05 / NC-CLOSE-WF-01,Phase A,NOT_AUTHORIZED to change clinical policy,A11 fixed Workflow evidence,none,retain fallback class,CLOSED_WITH_DURABLE_DEBT,BLOCKING_FOR_A11_NOT_NC_EXIT if Workflow gate expands,Double-run fields recorded; no clinical policy change
SUR-PY-LEGACY,Python legacy services,ten Python runtime services,CURRENT_LEGACY mixed,NC-CLOSE-05 accounting; 6 RUNTIME_VERIFIED_LOCAL; 4 FAIL_CURRENT_IMPLEMENTATION,future Python Runtime adapters wrap selected tools,WRAP then later ADAPT,WRAP,future packages/python_runtime may wrap; do not delete now,ADR-04,Phase A map / later impl,implementation NOT_AUTHORIZED,mapping complete for NC06; startup repair separate,ACCOUNTING_COMPLETE != ALL_RUNTIME_PASS,do not delete failing services,NON_BLOCKING_DEBT,UNKNOWN_REQUIRES_A11_REVIEW,A11_RUNTIME_GATE_AMBIGUOUS; do not invent per-service A11 blockers here
SUR-PY-RUNTIME,future Python Runtime,ABSENT as adopted package,DESIGNED_NOT_IMPLEMENTED,ADR-04 MERGED_AND_VERIFIED,Python Runtime package owner,TARGET_BOUNDARY,REWRITE,new package layout; legacy services remain until authorized cutover,ADR-04 / ADR-03,later implementation,NOT_AUTHORIZED,NC Exit does not require package existence,legacy tools remain,rollback = keep legacy HTTP tools,NON_BLOCKING_DEBT,BLOCKING_FOR_A11_NOT_NC_EXIT if A11 requires Runtime package,Do not absorb Model Runtime
SUR-MODEL-RUNTIME,Model Runtime / A7-NC,A7-NC Fake / blocked shell / legacy containment,CLOSED / STABLE,A7-NC COMPLETE / Exit PASSED,A7-NC remains owner of non-clinical Model Runtime,KEEP closed semantics,KEEP,Fake and blocked-shell remain; real provider forbidden,A7-NC amendment,Phase A closed,A7-NC COMPLETE; reopen NOT_AUTHORIZED,do not reopen ModelSpec Gateway Fake,none,none,CLOSED,CLOSED for NC; A7-CL separate,Do not reopen ModelSpec ModelRoutePolicy Prompt Runtime Output Schema Registry Gateway ProviderAdapter Fake Legacy containment blocked-shell
SUR-CONTRACTS,Shared Contracts v1,contracts/v1 + three-language bindings,MERGED_AND_VERIFIED,NC-CLOSE-02; last contracts/v1 commit is bindings; schemas unchanged after,JSON Schema / manifest semantic oracle,KEEP semantics,KEEP,bindings REVIEWED_BINDING; Feign/FastAPI/frontend runtime still parallel,Shared Contracts v1 IMMUTABLE_WITHIN_LANE,Phase A,semantic change NOT_AUTHORIZED,CONTRACT_SEMANTIC_DIFF_CONTROLLED_UNCHANGED,do not delete legacy DTOs,bindings != runtime migrated,CLOSED,A11 binding/freeze gaps remain A11-only,13 schemas listed in bindings README
SUR-CAPABILITY,Capability package adult_respiratory_v1,A6 skeleton,DRAFT PARTIALLY_VALIDATED REQUIRES_CLINICAL_REVIEW NOT_IMPLEMENTED Production BLOCKED,A6 evidence; A7-NC capability boundary,Capability owner under new-clinical governance,BLOCKED_CLINICAL,EVALUATE,evaluated-not-enabled; no runtime adopt,Capability version in E2E gate,Phase A / A7-CL,upgrade NOT_AUTHORIZED,NC06 must not upgrade lifecycle,none,none,CLINICAL_BLOCKED_OUTSIDE_NC_LANE,BLOCKING_FOR_A11_NOT_NC_EXIT,FB-11 new clinical baseline remains
SUR-STATE-COMMITTER,State Committer,ABSENT; CDPManager transitional writer,DESIGNED_NOT_IMPLEMENTED,ADR-02; StatePatch / CommitResult contracts,State Committer unique target writer,TARGET_BOUNDARY,REWRITE,CDPManager remains transitional until Phase B / later auth,ADR-02 / StatePatch / CommitResult,Phase B,NOT_AUTHORIZED,NC Exit does not require implementation,CDPManager remains,rollback = keep JPA path,PHASE_B_DEFERRED,BLOCKING_FOR_A11_NOT_NC_EXIT if A11 requires live committer,checkpoint != SoR
SUR-WORKFLOW,Fixed Workflow,DiagnosisWorkflowOrchestrator / WellnessScreeningOrchestrator,CURRENT_IMPLEMENTED VERIFIED characterization,NC-CLOSE-WF-01 VERIFIED,keep fixed Workflow authority,KEEP,KEEP,AgentLoop not HTTP authority,ADR-05 / NC-CLOSE-WF-01,Phase A,clinical policy change forbidden,A11 fixed Workflow evidence,none,fallback retention,CLOSED_WITH_DURABLE_DEBT,A11 Workflow gate,TEST PASS != REQUIREMENT PASS
SUR-TRACE,Trace / Observability,ExecutionTraceAspect / TraceContext / Feign / TraceServiceClient,PARTIALLY_VALIDATED CURRENT_LEGACY,NC-CLOSE-04 TRACE-01; C03 five-asset reuse,Technical Span via OTel later; AOP-OTel bridge,ADAPT,WRAP then ADAPT,AOP remains until OTel verified; fail-open is TARGET,ADR-10 ADR-11 ADR-12 / NC-CLOSE-TRACE-01,Phase A evidence closed as PARTIAL,OTel install NOT_AUTHORIZED,EXIT_SEMANTICS_REQUIRE_NC_CLOSE_07_DECISION,do not remove legacy trace,legacy fallback required,UNKNOWN_REQUIRES_EXIT_REVIEW,BLOCKING_FOR_A11_NOT_NC_EXIT possible,Authoring BLOCKING_FOR_NC_CLOSE_04_EXIT is REVIEW_SUPERSEDED_AUTHORING_SEVERITY
SUR-PATIENT-RAG,Patient RAG,ABSENT as adopted runtime; CDP fields hold some facts,DESIGNED_NOT_IMPLEMENTED,ADR-06 DOCUMENTED split,isolated Patient RAG owner,TARGET_BOUNDARY,DEFER,deferred-with-gate; must not become medical evidence,ADR-06 Patient != Medical,later retrieval auth,NOT_AUTHORIZED,mapping only,none,none,DEFERRED_BY_VALID_ADR,A11 retrieval gate later,Logical isolation required even if physical backend shared
