runtime_target_id,phase,component,path,entrypoint,evidence_required,current_highest_evidence,historical_evidence,later_superseding_evidence,external_dependency,provider_required,clinical_required,phi_required,local_infra_required,execution_authority,status,blocking_for_nc_exit,notes
NC05-A1-DIAG-COMPILE,A1,diagnosis-service,diagnosis-service,pom.xml,compile/test accounting,CI_VERIFIED,a1-java-build-baseline FAIL then diagnosis-build-repair BUILD/TEST,CI 32007012548; NC-CLOSE-04 JUnit,none,false,false,false,false,NC_CLOSE_05_ACCOUNTING_ONLY,ACCOUNTED_PASS,no,historical compile FAIL SUPERSEDED
NC05-A1-DIAG-PACKAGE,A1,diagnosis-service,diagnosis-service,spring-boot-maven-plugin,package accounting,BUILD_VERIFIED,diagnosis-build-repair package PASS,none current CI package,none,false,false,false,false,NC_CLOSE_05_ACCOUNTING_ONLY,ACCOUNTED_PASS,no,historical package only; not re-run
NC05-A1-DIAG-STARTUP,A1,diagnosis-service,diagnosis-service,DiagnosisServiceApplication,optional process/health,UNKNOWN,A1 no runtime claim,none,JPA/MySQL/Nacos/Redis/Feign,false,false,false,true,PREEXISTING_A1_AUTHORITY,NOT_REQUIRED_FOR_FREEZE,no,optional; not attempted; local tree not isolated Base checkout
NC05-A1-EXAM-COMPILE,A1,examination-service,examination-service,pom.xml,current compile/test,BUILD_VERIFIED,A1 clean compile PASS 0 tests,this batch mvn clean test,none,false,false,false,false,PREEXISTING_A1_AUTHORITY,ACCOUNTED_PASS,no,12 sources; 0 tests; not TEST_VERIFIED
NC05-A2-HEALTH,A2,health-state-assessment-service,health-state-assessment-service,app.main:app,import or current block,RUNTIME_VERIFIED_LOCAL,A2 IMPORT FAIL BaseLLM,this batch import+ /health 200,none for /health,false,false,false,false,PREEXISTING_A2_AUTHORITY,ACCOUNTED_PASS,no,historical BaseLLM SUPERSEDED
NC05-A2-CLINICAL,A2,clinical-parsing-service,clinical-parsing-service,app.main:app,import or current block,RUNTIME_VERIFIED_LOCAL,A2 RUNTIME_VERIFIED stale,this batch import+ /health 200,local vocab only for health,false,false,false,false,PREEXISTING_A2_AUTHORITY,ACCOUNTED_PASS,no,simple-req venv sufficient for health
NC05-A2-DIALOG,A2,dialog-service,dialog-service,app.main:app,import or current block,DEPENDENCIES_INSTALLABLE,A2 DEBUG/OPENAI_API_KEY BLOCKED,this batch pip OK; import LegacyLLMDisabledError,Redis optional; legacy LLM facade,false,false,false,false,PREEXISTING_A2_AUTHORITY,ACCOUNTED_FAIL,no,historical DEBUG/key SUPERSEDED; current fail is disabled facade
NC05-A2-ENGINE,A2,diagnosis-engine-service,diagnosis-engine-service,app.main:app,import or current block,DEPENDENCIES_INSTALLABLE,A2 pip ResolutionImpossible,this batch pip OK; import missing jinja2,Neo4j unused at import,false,false,false,false,PREEXISTING_A2_AUTHORITY,ACCOUNTED_FAIL,no,historical resolver SUPERSEDED; jinja2 undeclared
NC05-A2-WORKUP,A2,workup-planner-service,workup-planner-service,app.main:app,import or current block,DEPENDENCIES_INSTALLABLE,A2 missing ServiceException,this batch same ImportError,none,false,false,false,false,PREEXISTING_A2_AUTHORITY,ACCOUNTED_FAIL,no,FAILED_CURRENTLY_RELEVANT; do not add symbol
NC05-A2-TREATMENT,A2,treatment-engine-service,treatment-engine-service,app.main:app,import or current block,RUNTIME_VERIFIED_LOCAL,A2 RUNTIME_VERIFIED stale,this batch import+ /health 200,none for /health,false,false,false,false,PREEXISTING_A2_AUTHORITY,ACCOUNTED_PASS,no,current-Base retest
