finding_id,severity,category,file,asset_id,description,evidence,impact,recommendation,resolution,merge_blocking,merge_blocking_at_discovery,verification,notes
A6.5-PR-001,P0,RISK_MODEL,a6-5-legacy-asset-inventory.csv,DOC-022,16 design documents were automatic P0 without stop/safety risk_basis; UNASSIGNED owner alone inflated P0,before P0=84; design P0 fraction high; after calibration P0=77,A6.5-A overload; false emergency semantics,Require risk_basis; downgrade pure design docs to P1/P2,FIXED,false,true,risk_basis field present; design docs no longer auto P0,recalculated totals must be used in plan/PR body
A6.5-PR-002,P0,BATCH_BOUNDARY,a6-5-implementation-backlog.csv,CLIN-020,TASK-A03 performed content-level clinical-policy extraction inside A6.5-A,TASK-A03 title/description/expected legacy-clinical-policy-extraction.md in batch A,A6.5-A exceeds allowed discovery/quarantine scope,Split path-location task in A; move content extraction to B as BLOCKED on clinical owner,FIXED,false,true,TASK-A03 path-only; TASK-B04 BLOCKED in A6.5-B,
A6.5-PR-003,P0,PRIVACY_SEMANTICS,a6-5-legacy-asset-validation-plan.md,PHI-001,potential_patient_data semantics not explicitly distinguished from confirmed patient data,18 YES flags without mandatory tracked=0 / content_inspected=no block in inventory schema,readers may overclaim confirmed PHI discovery,Add path_status/phi_path_class and mandatory semantics block,FIXED,false,true,plan+inventory fields; no content inspection performed in review,Tracked real patient records found: 0
A6.5-PR-004,P1,OPEN_DECISION,a6-5-decision-log.md,,"OD-001..007 lacked blocking_batches, default_fail_closed_decision, unblock evidence fields",original OD table only had question/why/roles,decisions not executable as gates,Expand structured OD sections with fail-closed defaults,FIXED,false,true,decision-log structured OD blocks present,
A6.5-PR-005,P1,A6_5_F_RETENTION,a6-5-decision-log.md,DATA-EV001,A6.5-F folding stated narratively without deliverable retention table,Coverage Matrix A6.5-F eval suites + decommission register,deliverable loss risk when renaming batches,Add explicit retention table mapping each F deliverable to D/E tasks,FIXED,false,true,OD-007 retention table,
A6.5-PR-006,P1,RISK_REGISTER_COVERAGE,a6-5-risk-register.csv,,18 one-asset risks did not bind the majority of P0 assets,direct P0 coverage gap before remediation; theme risks now bind related_asset_ids,P0 blockers not trackable to register,Theme risks with related_asset_ids + blocking_batches/unblock_evidence/containment,FIXED,false,true,risk rows=8 with related_asset_ids,
A6.5-PR-007,P1,INVENTORY_SCHEMA,a6-5-legacy-asset-inventory.csv,,Inventory could not express TRACKED_FILE vs RUNTIME_PATH_ONLY vs MISSING_EXPECTED_ASSET,runtime DB paths mixed with file paths without path_status,false file-existence claims,Add path_status field,FIXED,false,true,path_status populated for all rows,
A6.5-PR-008,P2,NAMING,a6-5-legacy-asset-validation-plan.md,,PR/plan title says Legacy Asset Validation while normative docs say Legacy Design Asset Validation,可执行实施路线.md / mapping §15 wording,minor authority wording drift,Document alias in D-001; keep normative phrase in plan body,FIXED,false,false,D-001 updated,ACCEPTED as alias with explicit note
A6.5-PR-009,P2,VALIDATION_GUARDRAIL,a6-5-validation-matrix.csv,,L4/L5 safety boundaries needed stronger non-claim language,L5 expected_result unions could be misread as readiness,overclaim risk,Strengthen safety_boundary text for L4/L5,FIXED,false,false,L4/L5 safety_boundary updated,
A6.5-PR-010,P1,RISK_REGISTER_COVERAGE,a6-5-risk-register.csv,DATA-KG004,Theme RISK-004 omitted sibling KG P0 assets DATA-KG004 and DATA-KG006 from related_asset_ids,"pre-merge coverage check: 75/77 P0 covered; uncovered DATA-KG004,DATA-KG006",runtime-coupling P0 assets not fully traceable from risk register,include all path-injection/KG runtime P0 siblings in RISK-004 related_asset_ids,FIXED,false,true,P0 uncovered count=0 after related_asset_ids update,found during merge-closure precheck
A6.5-PR-010,P1,RISK_REGISTER_COVERAGE,a6-5-risk-register.csv,DATA-KG004,Theme RISK-004 omitted sibling KG P0 assets DATA-KG004 and DATA-KG006 from related_asset_ids,"pre-merge coverage check: 75/77 P0 covered; uncovered DATA-KG004,DATA-KG006",runtime-coupling P0 assets not fully traceable from risk register,include all path-injection/KG runtime P0 siblings in RISK-004 related_asset_ids,FIXED,false,true,P0 uncovered count=0 after related_asset_ids update,found during merge-closure precheck
