item_id,component,scope,disposition,future_gate,contract_impact,clinical_content_risk,runtime_impact,production_impact,authorization_status,notes
PBNC-B2-CORE,State Committer mechanical core,StatePatch input and CommitResult output plus schema validation and deterministic error mapping,IN_LANE_FUTURE,PBNC-01 Exit,REUSE_EXISTING_V1,none,test_only_after_auth,none,PROPOSED_NOT_AUTHORIZED,Does not complete historical B2; unique-writer architecture preserved
PBNC-B2-POLICY,Capability and policy lookup abstraction,Synthetic policy fixture lookup for field permission and capability identity,IN_LANE_FUTURE,PBNC-01 Exit,REUSE_EXISTING_V1,none,test_only_after_auth,none,PROPOSED_NOT_AUTHORIZED,No Capability activation; synthetic-capability-v1 only
PBNC-B2-CONSENT,Consent fail-closed validation,Missing or failed synthetic consent rejects commit,IN_LANE_FUTURE,PBNC-01 Exit,REUSE_EXISTING_V1,none,test_only_after_auth,none,PROPOSED_NOT_AUTHORIZED,Synthetic consent fixtures only; no real consent store
PBNC-B2-SOURCE,Source validation,Invalid or unauthorized synthetic source rejects commit,IN_LANE_FUTURE,PBNC-01 Exit,REUSE_EXISTING_V1,none,test_only_after_auth,none,PROPOSED_NOT_AUTHORIZED,No SourceArtifact canonical expansion
PBNC-B2-IDEMPOTENCY,Idempotency,Duplicate idempotency key does not double commit,IN_LANE_FUTURE,PBNC-01 Exit,REUSE_EXISTING_V1,none,test_only_after_auth,none,PROPOSED_NOT_AUTHORIZED,Uses existing StatePatch.idempotency_key
PBNC-B2-VERSION,Version validation,base_version and expected_version checks; exact single increment on commit,IN_LANE_FUTURE,PBNC-01 Exit,REUSE_EXISTING_V1,none,test_only_after_auth,none,PROPOSED_NOT_AUTHORIZED,No EncounterCDP canonical version model
PBNC-B2-CONFLICT,Conflict detection,Stale base_version maps to CONFLICT,IN_LANE_FUTURE,PBNC-01 Exit,REUSE_EXISTING_V1,none,test_only_after_auth,none,PROPOSED_NOT_AUTHORIZED,Deterministic conflict mapping only
PBNC-B2-ATOMICITY,Atomic multi-operation patch,One failed operation leaves no partial mutation,IN_LANE_FUTURE,PBNC-01 Exit,REUSE_EXISTING_V1,none,test_only_after_auth,none,PROPOSED_NOT_AUTHORIZED,Aligns with CommitResult no-partial-success semantics
PBNC-B2-AUDIT,Audit emission,Emit AuditRef-shaped evidence on commit or reject,IN_LANE_FUTURE,PBNC-01 Exit,REUSE_EXISTING_V1,none,test_only_after_auth,none,PROPOSED_NOT_AUTHORIZED,AuditRef is a reference not a production AuditTrail SoR
PBNC-B2-EVENT,Non-authoritative internal event evidence,Internal evidence only; no AgentEvent contract addition,IN_LANE_FUTURE,PBNC-01 Exit,NO_NEW_CONTRACT,none,test_only_after_auth,none,PROPOSED_NOT_AUTHORIZED,Adding AgentEvent canonical contract requires A5 review
PBNC-SYNTHETIC-STORE,Synthetic versioned state store,In-memory store for base_version expected_version snapshot replay and conflict,IN_LANE_FUTURE,PBNC-02 Exit,REUSE_EXISTING_V1,none,in_memory_test_only,none,PROPOSED_NOT_AUTHORIZED,No restart or production persistence unless separately authorized
B1-FULL,Canonical Clinical State,Encounter EncounterCDP ClinicalObservation Evidence Ledger,BLOCKED_PENDING_A5_CONTRACT_IMPACT_REVIEW,A5_CONTRACT_SEMANTIC_CHANGE_REQUIRES_SEPARATE_REVIEW,NEW_OR_CHANGED_CANONICAL_TYPES,high,clinical_state,high,NOT_IN_INITIAL_LANE,Must not start from PBNC-01 or PBNC-02
B3,Legacy CDP Adapter,Read old CLOB or JSON and map to new contracts,BLOCKED_PENDING_A5_CONTRACT_IMPACT_REVIEW,A5_CONTRACT_SEMANTIC_CHANGE_REQUIRES_SEPARATE_REVIEW,TARGET_SCHEMA_UNDEFINED,medium,legacy_compat,medium,NOT_IN_INITIAL_LANE,Dual write remains forbidden
B4,adult_respiratory_v1 Safety Pack,Red flags triage thresholds emergency respiratory safety,EXCLUDED,A7-CL-02 and Phase B B4 separate authorization,none,high,clinical_runtime,high,EXCLUDED,Clinical content and Mandatory Safety runtime are out of this lane
B5,Clinical Parsing Adapter,Adapt parsing output to ObservationCandidate,BLOCKED_PENDING_A5_CONTRACT_IMPACT_REVIEW,A5_CONTRACT_SEMANTIC_CHANGE_REQUIRES_SEPARATE_REVIEW,OBSERVATION_CANDIDATE_UNDEFINED,high,clinical_runtime,medium,NOT_IN_INITIAL_LANE,Must not write CDP
B6,Business API v2,Encounter APIs and frontend foundation,BLOCKED_PENDING_A5_CONTRACT_IMPACT_REVIEW,A5_CONTRACT_SEMANTIC_CHANGE_REQUIRES_SEPARATE_REVIEW,ENCOUNTER_API_UNDEFINED,high,product_api,high,NOT_IN_INITIAL_LANE,No production API exposure
B7,Phase B Exit Gate,State Safety E2E red-flag set adapter reconciliation,EXCLUDED,Future Phase B Exit governance,none,high,clinical_runtime,high,EXCLUDED,PHASE_B_NC EXIT is not B7 PASS
