gate_id,historical_requirement,current_effective_requirement,authority,supersession_status,gate_role,current_state,required_evidence,owner_role,reviewer_role,clinical_content_required,implementation_required,A7_CL_relevance,FB11_relevance,Full_A7_relevance,A11_relevance,stop_condition,notes
RG-01,TASK-B04 COMPLETE,Do not execute B04 extraction; legacy clinical assets will not be migrated,PR29_A7_NC_AMENDMENT_S15; A6_5_NONADOPT_001,SUPERSEDED_BY_A6_5_NON_ADOPTION,SUPERSEDED,SUPERSEDED,A6.5 non-adoption Exit evidence; E01/E02 write-back,none,none,false,false,NONE,NONE,CONSUMES_SUPERSESSION,PRESERVED_HISTORICAL,none,Historical PR29 text preserved; current effective status SUPERSEDED_BY_A6_5_NON_ADOPTION
RG-02,TASK-C02 COMPLETE,C02 not required for rejected assets; do not map rejected legacy clinical assets,PR29_A7_NC_AMENDMENT_S15; A6_5_NONADOPT_001,SUPERSEDED_NOT_REQUIRED_FOR_REJECTED_ASSETS,SUPERSEDED,SUPERSEDED,A6.5 non-adoption Exit evidence; rejected-asset non-mapping,none,none,false,false,NONE,NONE,CONSUMES_SUPERSESSION,PRESERVED_HISTORICAL,none,Historical PR29 text preserved; current effective status SUPERSEDED_NOT_REQUIRED_FOR_REJECTED_ASSETS
RG-03,TASK-E01 COMPLETE,E01 disposition board remains MERGED_AND_VERIFIED,PR29_A7_NC_AMENDMENT_S15; PR39,NOT_SUPERSEDED,SATISFIED_PREREQUISITE,SATISFIED,PR39 merge evidence,legacy_governance_owner,independent_governance_reviewer,false,false,NONE,NONE,REQUIRED_SATISFIED,NONE,none,Satisfied as legacy governance; not a new-clinical baseline
RG-04,TASK-E02 COMPLETE,E02 matrix write-back remains MERGED_AND_VERIFIED,PR29_A7_NC_AMENDMENT_S15; PR40,NOT_SUPERSEDED,SATISFIED_PREREQUISITE,SATISFIED,PR40 merge evidence,legacy_governance_owner,independent_governance_reviewer,false,false,NONE,NONE,REQUIRED_SATISFIED,NONE,none,Satisfied as legacy governance; not a new-clinical baseline
RG-05,A6.5 Exit PASSED,A6.5 Exit PASS_LEGACY_GOVERNANCE_ONLY; does not satisfy FB-11 or A7-CL ready,PR29_A7_NC_AMENDMENT_S15; A6_5_EXIT_RECORD,NOT_SUPERSEDED,SATISFIED_PREREQUISITE,SATISFIED_LEGACY_GOVERNANCE_ONLY,A6.5 Exit record dated 2026-08-14,legacy_governance_owner,independent_governance_reviewer,false,false,NONE,NONE,REQUIRED_SATISFIED_LEGACY_ONLY,FB20_CONSUMES,none,A6.5 Exit != new clinical baseline; FB-11 remains UNSATISFIED
RG-06,Clinical Owner evidence exists,Clinical Owner must be ASSIGNED before A7-CL-02 content authoring,PR29_A7_NC_AMENDMENT_S15; A6_5_NONADOPT_S11; capability_manifest owner_status,NOT_SUPERSEDED,PRE_CONTENT_START_GATE,UNASSIGNED,role; person_identifier; qualification_basis; scope; effective_date; approval_authority; independence_or_conflict_declaration; artifact_or_version_coverage; status,CLINICAL_OWNER,approval_authority,false,false,REQUIRED,INDIRECT,REQUIRED,NONE,A7_CL_CLINICAL_EXPERT_REVIEW_REQUIRED,Do not fabricate identity; current UNASSIGNED
RG-07,Human Clinical Reviewer evidence exists,Human Clinical Reviewer must be ASSIGNED before A7-CL-02 content authoring,PR29_A7_NC_AMENDMENT_S15; A6_5_NONADOPT_S11,NOT_SUPERSEDED,PRE_CONTENT_START_GATE,UNASSIGNED,role; person_identifier; qualification_basis; scope; effective_date; approval_authority; independence_or_conflict_declaration; artifact_or_version_coverage; status,HUMAN_CLINICAL_REVIEWER,approval_authority,false,false,REQUIRED,INDIRECT,REQUIRED,NONE,A7_CL_CLINICAL_EXPERT_REVIEW_REQUIRED,Do not fabricate identity; current UNASSIGNED
RG-08,Written clinical content-access authorization exists,CLINICAL_CONTENT_ACCESS_AUTHORIZATION must be GRANTED before Safety Question Hypothesis or clinical Prompt authoring,PR29_A7_NC_AMENDMENT_S15,NOT_SUPERSEDED,PRE_CONTENT_START_GATE,ABSENT,written authorization instrument; scope adult_respiratory_v1; grantor; effective_date; status GRANTED,authorization_grantor,CLINICAL_OWNER,false,false,REQUIRED,INDIRECT,REQUIRED,NONE,A7_CL_CLINICAL_EXPERT_REVIEW_REQUIRED,A7-CL-01 does not grant authorization and does not simulate a signature
RG-09,Provenance license and privacy governance complete for selected clinical content,Provenance license and privacy governance required for selected NEW clinical content; no content selected yet,PR29_A7_NC_AMENDMENT_S15; A6_5_NONADOPT_S11,NOT_SUPERSEDED,CONTENT_APPROVAL_GATE,UNSATISFIED,selected_content_id; source_provenance; license; privacy_class; non_PHI_declaration,CLINICAL_OWNER,HUMAN_CLINICAL_REVIEWER,true,false,REQUIRED,INDIRECT,REQUIRED,NONE,PHASE_A_CLINICAL_PHI_SEPARATE_AUTHORIZATION_REQUIRED,Applies after content is selected in A7-CL-02 or later; PHI remains 0
RG-10,Clinical Prompt review is complete,Reviewed clinical Prompt is A7-CL-03/Exit evidence; not a pre-content start gate,PR29_A7_NC_AMENDMENT_S15_S7; CL-01; CL-02; A6_5_NONADOPT_S13; A7_CL_01_AMENDMENT,RECONCILED_BY_CURRENT_EFFECTIVE_A7_CL_AMENDMENT,A7_CL_EXIT_GATE,UNSATISFIED,reviewed_prompt_id; version; reviewer; review_decision; capability_id,CLINICAL_OWNER,HUMAN_CLINICAL_REVIEWER,true,false,REQUIRED,NOT_REQUIRED_BY_CURRENT_FB11_AUTHORITY,REQUIRED,NONE,none,Historical PR29 ordering preserved as history; A7-CL-01 changes current-effective sequencing under A6.5 §13 A7_ROADMAP_AMENDMENT_REQUIRED. Substantive gate requirement remains mandatory.
