risk_id,asset_id,severity,category,description,trigger,impact,mitigation,required_owner,required_review,blocking,status
RISK-001,PHI-001,P0,PRIVACY,Runtime clinical DB is PHI-capable even if static scan found no patient rows,live DB populated or staging restore,privacy breach; regulatory exposure,quarantine; no content inspection without authorization; privacy review before any export,security/privacy,SECURITY,YES,OPEN
RISK-002,PHI-002,P0,PRIVACY,Examination upload path may store real clinical documents,user uploads,PHI at rest without validated controls,path quarantine; access controls; no sample copying into docs,security/privacy,SECURITY,YES,OPEN
RISK-003,CLIN-020,P0,CLINICAL,Red-flag rules exist in code without clinical approval evidence,rules executed in legacy services,unsafe triage/missed red flags if treated as approved,do not map into A6 approved safety; extract for clinical review only,clinical,CLINICAL,YES,OPEN
RISK-004,CLIN-025,P0,CLINICAL,Triage engine encodes clinical thresholds without provenance,risk-assessment-service calls,incorrect triage if promoted,quarantine for mapping; require clinical+evaluation review,clinical,CLINICAL,YES,OPEN
RISK-005,PROMPT-001,P0,PROMPT_CLINICAL_LOGIC,Prompt manager embeds clinical strategy without versioned Prompt Release,LLM calls via common/aidoctor_llm,hidden clinical policy drift,inventory callers; forbid overwrite before A6.5; map to A7 PromptSpec later,model-governance,ARCHITECTURE+CLINICAL,YES,OPEN
RISK-006,PROMPT-004,P0,PROMPT_CLINICAL_LOGIC,Path-injection prompt couples KG paths into LLM clinical reasoning,kg path injector enabled,ungoverned clinical influence from graph paths,keep EVALUATE+ADAPT/BLOCKED; no enablement in A6.5,evidence/model,CLINICAL+ARCHITECTURE,YES,OPEN
RISK-007,DATA-K001,P0,LICENSE,Medical source/derived corpora lack verified license and withdrawal policy,knowledge import or release,IP/legal exposure; unapproved sources,legal review; quarantine; approved_source_count remains 0,legal+evidence,LEGAL,YES,OPEN
RISK-008,DATA-DR002,P0,LICENSE,DRKnows LICENSE present but terms applicability to product use unverified,productization of DRKnows,license violation,legal review before any EVALUATE experiment beyond read-only,legal,LEGAL,YES,OPEN
RISK-009,DATA-KG005,P0,RUNTIME_COUPLING,Path injector couples research KG into diagnosis engine,engine path enabled,clinical behavior without Capability approval,fail-closed; mapping only; A7/A6 clinical gates separate,runtime+evidence,ARCHITECTURE,YES,OPEN
RISK-010,WF-004,P0,STATE_PHI,"CDP aggregates clinical facts, reasoning, evidence, delivery, audit",multi-writer CDP updates,state corruption; PHI sprawl; replay failure,map to State Committer; preserve until validated; no deletion,state,ARCHITECTURE+SECURITY,YES,OPEN
RISK-011,WF-010,P1,OBSERVABILITY,AOP/Trace may block or leak PHI; ThreadLocal/Feign propagation incomplete,trace client failure or async hop,availability or privacy incident,AOP/Trace specialized validation plan; isolation tests,observability,SECURITY+ARCHITECTURE,YES,OPEN
RISK-012,MODEL-005,P1,DUPLICATION,Duplicate LLM engine implementations may diverge,parallel edits,inconsistent model behavior,duplication check; designate SoT candidate,model,ARCHITECTURE,NO,OPEN
RISK-013,DATA-EV001,P1,EVAL_GAP,Three designed eval suites lack concrete datasets in repo,regression claims,false confidence; cannot validate KEEP/ADAPT,synthetic-only planning in A6.5-D; locate or declare absent,evaluation,EVALUATION,YES,OPEN
RISK-014,BOUND-002,P1,SCOPE,Risk of treating A6 skeleton as legacy or upgrading DRAFT lifecycle in A6.5,scope confusion,false clinical/runtime readiness claims,explicit OUT_OF_SCOPE boundary; no lifecycle mutation,capability,ARCHITECTURE,YES,OPEN
RISK-015,ENG-001,P1,SECURITY,Compose/dev credentials and persistence may be unsafe if reused,shared environments,credential leak,security review; secret scan; no production use,platform,SECURITY,NO,OPEN
RISK-016,CLIN-007,P1,PROVENANCE,Ambiguity rules lack owner/version/clinical provenance,parser uses rules,silent clinical interpretation changes,provenance+clinical review before adaptation,clinical-parsing,CLINICAL,YES,OPEN
RISK-017,DOC-001,P2,DOC_CODE_DRIFT,Design docs may drift from code; evidence levels still DESIGNED,implementation without re-validation,wrong retention decisions,require DOCUMENTED->CODE_CONFIRMED upgrades in A6.5-B/C,architecture,ARCHITECTURE,NO,OPEN
RISK-018,MODEL-009,P2,MISSING_DEPENDENCY,Milvus referenced without service/client/dimension evidence,assuming vector RAG ready,blocked architecture decisions,keep BLOCKED until ADR/evidence; out of A6.5 enablement,platform,ARCHITECTURE,NO,OPEN
