asset_id,current_file_state,runtime_consumer_status,authority_status,replacement_status,decommission_eligibility,rollback_or_retention,evidence_pointer,owner_role,notes
BOUND-001,PRESERVED,NOT_RUNTIME_ASSET,NOT_LEGACY_RETENTION_SUBJECT,NEW_A5_CONTRACTS_IN_PLACE,NOT_APPLICABLE_NEW_BOUNDARY,PRESERVE_NEW_PACKAGE,docs/refactoring/plans/phase-a/a6-5/a6-5-legacy-asset-inventory.csv;docs/refactoring/plans/phase-a/a6-5/a6-5-legacy-clinical-non-adoption-strategy.md;docs/refactoring/plans/phase-a/a6-5/a6-5-e01-disposition-board.csv,contracts,Physical deletion NOT_AUTHORIZED. Consumer presence fail-closes eligibility.
BOUND-002,PRESERVED,NOT_RUNTIME_ASSET,NOT_LEGACY_RETENTION_SUBJECT,NEW_A6_PACKAGE_IN_PLACE,NOT_APPLICABLE_NEW_BOUNDARY,PRESERVE_NEW_PACKAGE,docs/refactoring/plans/phase-a/a6-5/a6-5-legacy-asset-inventory.csv;docs/refactoring/plans/phase-a/a6-5/a6-5-legacy-clinical-non-adoption-strategy.md;docs/refactoring/plans/phase-a/a6-5/a6-5-e01-disposition-board.csv,architecture,Physical deletion NOT_AUTHORIZED. Consumer presence fail-closes eligibility.
CLIN-001,PRESERVED,CONFIRMED_CONSUMER,REJECT_FOR_NEW_RUNTIME,FUTURE_REBUILD_REQUIRED,NOT_ELIGIBLE_CONSUMER_PRESENT,PRESERVE_UNTIL_SEPARATE_AUTHORIZATION,docs/refactoring/plans/phase-a/a6-5/a6-5-legacy-asset-inventory.csv;docs/refactoring/plans/phase-a/a6-5/a6-5-legacy-clinical-non-adoption-strategy.md;docs/refactoring/plans/phase-a/a6-5/a6-5-e01-disposition-board.csv;docs/refactoring/evidence/phase-a/a6-5/a6-5-b-governance-evidence.csv,governance,Physical deletion NOT_AUTHORIZED. Consumer presence fail-closes eligibility.
CLIN-002,PRESERVED,CONFIRMED_CONSUMER,REJECT_FOR_NEW_RUNTIME,FUTURE_REBUILD_REQUIRED,NOT_ELIGIBLE_CONSUMER_PRESENT,PRESERVE_UNTIL_SEPARATE_AUTHORIZATION,docs/refactoring/plans/phase-a/a6-5/a6-5-legacy-asset-inventory.csv;docs/refactoring/plans/phase-a/a6-5/a6-5-legacy-clinical-non-adoption-strategy.md;docs/refactoring/plans/phase-a/a6-5/a6-5-e01-disposition-board.csv;docs/refactoring/evidence/phase-a/a6-5/a6-5-b-governance-evidence.csv,governance,Physical deletion NOT_AUTHORIZED. Consumer presence fail-closes eligibility.
CLIN-003,PRESERVED,CONFIRMED_CONSUMER,REJECT_FOR_NEW_RUNTIME,FUTURE_REBUILD_REQUIRED,NOT_ELIGIBLE_CONSUMER_PRESENT,PRESERVE_UNTIL_SEPARATE_AUTHORIZATION,docs/refactoring/plans/phase-a/a6-5/a6-5-legacy-asset-inventory.csv;docs/refactoring/plans/phase-a/a6-5/a6-5-legacy-clinical-non-adoption-strategy.md;docs/refactoring/plans/phase-a/a6-5/a6-5-e01-disposition-board.csv;docs/refactoring/evidence/phase-a/a6-5/a6-5-b-governance-evidence.csv,governance,Physical deletion NOT_AUTHORIZED. Consumer presence fail-closes eligibility.
CLIN-004,PRESERVED,CONFIRMED_CONSUMER,REJECT_FOR_NEW_RUNTIME,FUTURE_REBUILD_REQUIRED,NOT_ELIGIBLE_CONSUMER_PRESENT,PRESERVE_UNTIL_SEPARATE_AUTHORIZATION,docs/refactoring/plans/phase-a/a6-5/a6-5-legacy-asset-inventory.csv;docs/refactoring/plans/phase-a/a6-5/a6-5-legacy-clinical-non-adoption-strategy.md;docs/refactoring/plans/phase-a/a6-5/a6-5-e01-disposition-board.csv;docs/refactoring/evidence/phase-a/a6-5/a6-5-b-governance-evidence.csv,governance,Physical deletion NOT_AUTHORIZED. Consumer presence fail-closes eligibility.
CLIN-005,PRESERVED,CONFIRMED_CONSUMER,REJECT_FOR_NEW_RUNTIME,FUTURE_REBUILD_REQUIRED,NOT_ELIGIBLE_CONSUMER_PRESENT,PRESERVE_UNTIL_SEPARATE_AUTHORIZATION,docs/refactoring/plans/phase-a/a6-5/a6-5-legacy-asset-inventory.csv;docs/refactoring/plans/phase-a/a6-5/a6-5-legacy-clinical-non-adoption-strategy.md;docs/refactoring/plans/phase-a/a6-5/a6-5-e01-disposition-board.csv;docs/refactoring/evidence/phase-a/a6-5/a6-5-b-governance-evidence.csv,governance,Physical deletion NOT_AUTHORIZED. Consumer presence fail-closes eligibility.
CLIN-006,PRESERVED,CONFIRMED_CONSUMER,REJECT_FOR_NEW_RUNTIME,FUTURE_REBUILD_REQUIRED,NOT_ELIGIBLE_CONSUMER_PRESENT,PRESERVE_UNTIL_SEPARATE_AUTHORIZATION,docs/refactoring/plans/phase-a/a6-5/a6-5-legacy-asset-inventory.csv;docs/refactoring/plans/phase-a/a6-5/a6-5-legacy-clinical-non-adoption-strategy.md;docs/refactoring/plans/phase-a/a6-5/a6-5-e01-disposition-board.csv;docs/refactoring/evidence/phase-a/a6-5/a6-5-b-governance-evidence.csv,governance,Physical deletion NOT_AUTHORIZED. Consumer presence fail-closes eligibility.
CLIN-007,PRESERVED,CONFIRMED_CONSUMER,REJECT_FOR_NEW_RUNTIME,FUTURE_REBUILD_REQUIRED,NOT_ELIGIBLE_CONSUMER_PRESENT,PRESERVE_UNTIL_SEPARATE_AUTHORIZATION,docs/refactoring/plans/phase-a/a6-5/a6-5-legacy-asset-inventory.csv;docs/refactoring/plans/phase-a/a6-5/a6-5-legacy-clinical-non-adoption-strategy.md;docs/refactoring/plans/phase-a/a6-5/a6-5-e01-disposition-board.csv;docs/refactoring/evidence/phase-a/a6-5/a6-5-b-governance-evidence.csv,governance,Physical deletion NOT_AUTHORIZED. Consumer presence fail-closes eligibility.
CLIN-008,PRESERVED,CONFIRMED_CONSUMER,REJECT_FOR_NEW_RUNTIME,FUTURE_REBUILD_REQUIRED,NOT_ELIGIBLE_CONSUMER_PRESENT,PRESERVE_UNTIL_SEPARATE_AUTHORIZATION,docs/refactoring/plans/phase-a/a6-5/a6-5-legacy-asset-inventory.csv;docs/refactoring/plans/phase-a/a6-5/a6-5-legacy-clinical-non-adoption-strategy.md;docs/refactoring/plans/phase-a/a6-5/a6-5-e01-disposition-board.csv;docs/refactoring/evidence/phase-a/a6-5/a6-5-b-governance-evidence.csv,governance,Physical deletion NOT_AUTHORIZED. Consumer presence fail-closes eligibility.
CLIN-009,PRESERVED,CONFIRMED_CONSUMER,REJECT_FOR_NEW_RUNTIME,FUTURE_REBUILD_REQUIRED,NOT_ELIGIBLE_CONSUMER_PRESENT,PRESERVE_UNTIL_SEPARATE_AUTHORIZATION,docs/refactoring/plans/phase-a/a6-5/a6-5-legacy-asset-inventory.csv;docs/refactoring/plans/phase-a/a6-5/a6-5-legacy-clinical-non-adoption-strategy.md;docs/refactoring/plans/phase-a/a6-5/a6-5-e01-disposition-board.csv;docs/refactoring/evidence/phase-a/a6-5/a6-5-b-governance-evidence.csv,governance,Physical deletion NOT_AUTHORIZED. Consumer presence fail-closes eligibility.
