gap_id,source_batch,surface,current_state,evidence,classification,blocking_for_nc_exit,blocking_for_a11,owner,required_action,authorization_needed,clinical_boundary,provider_boundary,phi_boundary,future_extension_boundary,disposition,notes
GAP-NC04-EXIT-SEMANTICS,NC-CLOSE-04,Workflow/Trace evidence-closed vs PARTIALLY_VALIDATED,evidence MERGED_AND_VERIFIED; control PARTIALLY_VALIDATED,amendment Exit list; PR48 IR; nc-close-04-verification-report.md,UNKNOWN_REQUIRES_EXIT_REVIEW,UNKNOWN_REQUIRES_EXIT_REVIEW,not a proven A11 individual blocker from this lane,NC-CLOSE-07 Independent Exit Review,NC-CLOSE-07 Independent Exit Review judgment,false,false,false,false,false,UNKNOWN_REQUIRES_EXIT_REVIEW,Also described as EVIDENCE_CLOSED_RESULT_PARTIALLY_VALIDATED. Do not write 04 VERIFIED COMPLETE or SATISFIES_EXIT. repair_required_now=false
GAP-NC04-TRACE-DEBT,NC-CLOSE-04,Trace implementation debt,PARTIALLY_VALIDATED CURRENT_LEGACY,NC-CLOSE-04 report sections 6-8; PR48 review,NON_BLOCKING_DEBT,false,UNKNOWN_REQUIRES_A11_REVIEW,observability / later remediation,record durable debt; do not remediate in 06,false,false,false,false,false,NON_BLOCKING_DEBT,Includes caller defense-in-depth; executeRemainingSteps coverage; errorMessage privacy structure; async propagation; production occupancy UNKNOWN; OTel equivalence deferred. Authoring BLOCKING_FOR_NC_CLOSE_04_EXIT is REVIEW_SUPERSEDED_AUTHORING_SEVERITY
GAP-A2-WORKUP,NC-CLOSE-05,workup-planner-service startup,FAIL_CURRENT_IMPLEMENTATION,NC-CLOSE-05 coordination report A2; missing ServiceException,NON_BLOCKING_DEBT,false,UNKNOWN_REQUIRES_A11_REVIEW,workup service owner,STARTUP_REMEDIATION under separate token,false,false,false,false,false,NON_BLOCKING_DEBT,NC Exit uses NON_BLOCKING_DURABLE_DEBT because accounting is complete. A11_IMPACT_UNRESOLVED_UNDER_A11_RUNTIME_GATE_AMBIGUOUS. Do not invent BLOCKING_FOR_A11
GAP-A2-DIAG-ENGINE,NC-CLOSE-05,diagnosis-engine-service import,FAIL_CURRENT_IMPLEMENTATION,NC-CLOSE-05; undeclared jinja2,NON_BLOCKING_DEBT,false,UNKNOWN_REQUIRES_A11_REVIEW,diagnosis-engine owner,DEPENDENCY_REMEDIATION under separate token,false,false,false,false,false,NON_BLOCKING_DEBT,ACCOUNTING_COMPLETE != ALL_RUNTIME_PASS. A11_IMPACT_UNRESOLVED_UNDER_A11_RUNTIME_GATE_AMBIGUOUS
GAP-A2-DIALOG,NC-CLOSE-05,dialog-service startup,FAIL_CURRENT_IMPLEMENTATION with A7-NC containment,NC-CLOSE-05; LegacyLLMDisabledError; eager LangChainLLMClient construction,NON_BLOCKING_DEBT,false,UNKNOWN_REQUIRES_A11_REVIEW,dialog service / A7-NC containment remains CLOSED,optional later startup-path cleanup; do not reopen A7-NC,false,false,false,false,false,NON_BLOCKING_DEBT,Legacy containment is working as designed; import-time construction is durable debt. A11_IMPACT_UNRESOLVED_UNDER_A11_RUNTIME_GATE_AMBIGUOUS
GAP-A2-OCR,NC-CLOSE-05,ocr-service import,FAIL_CURRENT_IMPLEMENTATION,NC-CLOSE-05; OpenCV 4.8.1.78 vs NumPy 2.2.6 ABI,NON_BLOCKING_DEBT,false,UNKNOWN_REQUIRES_A11_REVIEW,ocr service owner,DEPENDENCY_REMEDIATION under separate token,false,false,false,false,false,NON_BLOCKING_DEBT,A11_IMPACT_UNRESOLVED_UNDER_A11_RUNTIME_GATE_AMBIGUOUS. Not an NC Exit blocker
GAP-STATE-COMMITTER,NC-CLOSE-01A,State Committer implementation,DESIGNED_NOT_IMPLEMENTED,ADR-02,PHASE_B_DEFERRED,false,BLOCKING_FOR_A11_NOT_NC_EXIT,Phase B / State Committer owner,implement only under Phase B or later explicit auth,false,true if clinical write,false,false,false,PHASE_B_DEFERRED,Current CDPManager is transitional. NC Exit does not require implementation
GAP-A7-CL,A7-CL,clinical Model Runtime / clinical content,BLOCKED,A6.5 Exit; A7-NC != A7 COMPLETE,CLINICAL_BLOCKED_OUTSIDE_NC_LANE,false,BLOCKING_FOR_A11_NOT_NC_EXIT,new-clinical governance,keep blocked; do not start A7-CL from NC06,false,true,false,false,false,CLINICAL_BLOCKED_OUTSIDE_NC_LANE,Future clinical work is new-clinical not legacy migration
GAP-FB11,A11,FB-11 new clinical Safety/Question/Hypothesis baseline,UNSATISFIED,amendment legal dual state; A6.5 Exit non-claims,BLOCKING_FOR_A11_NOT_NC_EXIT,false,BLOCKING_FOR_A11_NOT_NC_EXIT,A11 Freeze Review / clinical owners,do not satisfy from NC lane,false,true,false,false,false,BLOCKING_FOR_A11_NOT_NC_EXIT,PHASE_A_NC_CLOSURE_EXIT != A11 PASS
GAP-FULL-A7,A7,Full A7 Exit,NOT_COMPLETE,A7-NC COMPLETE != A7 COMPLETE,BLOCKING_FOR_A11_NOT_NC_EXIT,false,BLOCKING_FOR_A11_NOT_NC_EXIT,Full A7 Rejoin Gate,keep A7 NOT_COMPLETE,false,true,false,false,false,BLOCKING_FOR_A11_NOT_NC_EXIT,Legal after NC Exit: A7 remains NOT_COMPLETE
