drift_id,domain,representation_a,representation_b,field_or_concept,drift_type,current_behavior,risk,a5_requirement,evidence_level,evidence_reference
rdbms-profile-drift,relational_database,"tracked application.yml selects dev/Oracle but contains no datasource","tracked application-mysql.yml and root Compose use MySQL",database_profile,CONFIGURATION_DRIFT,"Actual selected datasource depends on untracked/absent profile configuration","Migration and runtime schema cannot be inferred; accidental environment connection risk","Define environment-neutral datastore contract and explicit profile/schema compatibility record",CODE_CONFIRMED,"diagnosis-service/src/main/resources/application.yml; examination-service/src/main/resources/application-mysql.yml"
flyway-location-drift,relational_database,"execution trace Flyway points to classpath:db/migration","only tracked trace migration is db/migration-oracle",migration_location,PATH_DRIFT,"Visible default location does not contain the Oracle migration","Schema may not initialize under visible configuration","Bind migration dialect/location/version explicitly and test compatibility",CODE_CONFIRMED,"execution-trace-service/src/main/resources/application.yml:25; execution-trace-service/src/main/resources/db/migration-oracle/V1__init_execution_trace_table.sql"
cdp-json-dialect,CDP,"Java CDP uses CLOB strings and manual JSON mapping","DiagnosisRecord/examination fields declare json while Oracle migration uses CLOB",JSON_storage,TYPE_DRIFT,"Serialization and database validation differ by entity/dialect","Invalid JSON and cross-dialect behavior can be silent","Define source JSON Schema, canonical serialization and database representation mapping",CODE_CONFIRMED,"diagnosis-service/src/main/java/com/aidoctor/diagnosis/entity/CDP.java:91; diagnosis-service/src/main/resources/db/migration-oracle/V1__init_diagnosis_tables.sql:8"
cdp-version-contract,CDP,"CDPManager uses pessimistic lock and server-side version increment","Python ToolContext carries reference version but readers/direct writers do not enforce it",expected_version,CONCURRENCY_DRIFT,"Multiple writers can submit broad maps without caller expected-version","Lost intent, stale overwrites and non-replayable ordering","StatePatch/CommitResult must require expected version, idempotency and conflict result",CODE_CONFIRMED,"docs/refactoring/evidence/phase-a/a1/java-state-write-inventory.csv; docs/refactoring/evidence/phase-a/a2/python-cdp-access-inventory.csv"
cdp-shape-variants,CDP,"Java entity stores named CLOB aggregates","eight Python readers map snake_case/camelCase; services define varied ToolContext/ToolResult shapes",field_naming_and_shape,CONTRACT_DRIFT,"Adapters use arbitrary dict/map fields and silent empty fallbacks","Unmapped fields, type loss and inconsistent clinical state","A5 schemas must enumerate canonical fields, aliases, optionality and unmapped-field preservation",CODE_CONFIRMED,docs/refactoring/evidence/phase-a/a2/python-contract-variant-inventory.csv
examination-record-duplicate,examination,"diagnosis-service ExaminationRecord lacks ocr_status and declares indexes","examination-service ExaminationRecord adds ocr_status and declares no indexes",ocr_status_and_indexes,ENTITY_DRIFT,"Two services map the same table name with different entity definitions","Runtime DDL/update behavior and field visibility can diverge","One canonical schema plus generated language mappings and explicit ownership",CODE_CONFIRMED,"diagnosis-service/src/main/java/com/aidoctor/diagnosis/entity/ExaminationRecord.java; examination-service/src/main/java/com/aidoctor/examination/entity/ExaminationRecord.java"
examination-migration-gap,examination,"Oracle migration has examination_record without ocr_status","examination-service visible MySQL config uses hibernate.ddl-auto=update",ocr_status,MIGRATION_DRIFT,"Hibernate may mutate MySQL while Oracle migration stays unchanged","Environment-specific schema and unreviewed DDL","A5 records field contract; later migration task owns explicit dialect migrations",CODE_CONFIRMED,"diagnosis-service/src/main/resources/db/migration-oracle/V1__init_diagnosis_tables.sql:119; examination-service/src/main/resources/application-mysql.yml:16"
patient-id-type-drift,identity,"CDP patient_id is String/VARCHAR2(64)","follow-up, health-state and wellness entities use Long/NUMBER(19)",patient_id,TYPE_DRIFT,"Patient identity type changes across tables without foreign keys","Cross-record linkage and tenant/patient isolation are unreliable","Define canonical Patient/Encounter identifier types and compatibility mapping",CODE_CONFIRMED,"diagnosis-service/src/main/java/com/aidoctor/diagnosis/entity/CDP.java:54; diagnosis-service/src/main/java/com/aidoctor/diagnosis/entity/FollowUpPlan.java:17"
trace-duplication,observability,"execution_trace relational rows contain input/output/error payloads","CDP contains execution_trace CLOB summary and frontend consumes stream DTO variants",trace_representation,OWNERSHIP_DRIFT,"Technical trace is stored and projected through multiple clinical/data surfaces","PHI duplication, inconsistent retention and unclear authority","Separate technical Trace, AgentEvent, ClinicalDecisionRecord and patient-safe delivery contracts",CODE_CONFIRMED,"execution-trace-service/src/main/java/com/aidoctor/trace/entity/ExecutionTrace.java; diagnosis-service/src/main/java/com/aidoctor/diagnosis/entity/CDP.java:184"
redis-memory-semantics,dialog_context,"Redis SETEX gives 1800-second TTL and persisted Compose volume","memory fallback has no TTL or persistence",retention_and_authority,FALLBACK_DRIFT,"A Redis error silently changes retention and recovery behavior","Unbounded memory, lost context on restart and cache divergence","Contract must declare authority, expiry, fallback state and reconciliation behavior",CODE_CONFIRMED,dialog-service/app/services/dialog_service.py:483
neo4j-schema-import-drift,knowledge_graph,"schema_service defines 18 labels, 21 relationships, 17 constraints and 9 indexes","four importers and validator are TODO and return success with zero rows",schema_vs_data,IMPLEMENTATION_DRIFT,"Schema APIs can report created structures while imports report success without data","False readiness and unverifiable medical knowledge lineage","Knowledge contracts require source/version/release/import result and non-zero validation semantics",CODE_CONFIRMED,"knowledge-management-service/app/services/schema_service.py:13; knowledge-management-service/app/importers/kg_importers/disease_importer.py:17"
neo4j-query-schema-drift,knowledge_graph,"diagnosis path query assumes Symptom/Disease with cui/name","management schema emphasizes display_id/uuid and many extra labels",identity_fields,QUERY_SCHEMA_DRIFT,"No evidence proves imported nodes satisfy diagnosis query identifiers","Empty-path fallback can hide incompatible graph data","A5 knowledge references must define stable identifiers; D phase validates graph benefit",CODE_CONFIRMED,"diagnosis-engine-service/app/kg-reasoning-engine/path_retriever.py:83; knowledge-management-service/app/services/schema_service.py:147"
milvus-deployment-gap,vector_index,"Compose passes MILVUS_HOST and MILVUS_PORT","no Milvus service, client, collection or schema exists",vector_store,CONFIG_WITHOUT_IMPLEMENTATION,"Configuration is present but no executable access path is confirmed","False assumption of vector availability and unknown patient/medical isolation","A5 defines reference metadata only; ADR/D phase decides implementation and namespace",BLOCKED,"docker-compose.yml:35; docs/refactoring/evidence/phase-a/a3/docker-compose-inventory.csv"
book-registry-mutability,knowledge_files,"book_registry.json is tracked knowledge metadata","runtime PATCH rewrites the same repository-relative file",status_versioning,MUTABILITY_DRIFT,"Operational state and version-controlled source asset share one file","Concurrent writes, dirty deployments and unaudited release changes","Define immutable knowledge release metadata and separate operational status store",CODE_CONFIRMED,knowledge-management-service/app/services/book_service.py:143
promtail-position-path,monitoring,"promtail positions file is /tmp/positions.yaml","Compose persists /var/lib/promtail in promtail-positions volume",positions_storage,PATH_DRIFT,"Configured offset file bypasses mounted persistence path","Duplicate/missed log ingestion after restart","Define durable cursor contract and align configured path with owned volume",CODE_CONFIRMED,"monitoring/promtail-config.yml:5; monitoring/docker-compose.yml:58"
required-doc-name-drift,documentation,"task references 企业级临床Agent目标架构.md and 企业级临床Agent分阶段实施路线.md","README navigation uses 总架构与模块设计.md and 可执行实施路线.md",document_identity,DOCUMENTATION_DRIFT,"Requested files are absent; canonical navigation names differ","Automation and reviewers can read the wrong or missing baseline","Keep README canonical links and explicitly map legacy names",DOCUMENTED,docs/refactoring/README.md
