HPO编码,标准名称（英文）,标准名称（中文）,定义（中文）
HP:0000001,All,所有词汇,
HP:0000002,Abnormality of body height,身高异常,
HP:0000003,Multicystic kidney dysplasia,多囊性肾发育不良,
HP:0000005,Mode of inheritance,遗传模式,
HP:0000006,Autosomal dominant inheritance,常染色体显性遗传,
HP:0000007,Autosomal recessive inheritance,常染色体隐性遗传,
HP:0000008,Abnormal morphology of female internal genitalia,女性内生殖器形态异常,
HP:0000009,Functional abnormality of the bladder,膀胱功能异常,
HP:0000010,Recurrent urinary tract infections,复发性尿路感染,
HP:0000011,Neurogenic bladder,神经源性膀胱功能障碍,
HP:0000012,Urinary urgency,尿急,
HP:0000013,Hypoplasia of the uterus,子宫发育不良,
HP:0000014,Abnormality of the bladder,膀胱异常,
HP:0000015,Bladder diverticulum,膀胱憩室,
HP:0000016,Urinary retention,尿潴留,
HP:0000017,Nocturia,夜尿症,
HP:0000019,Urinary hesitancy,排尿踌躇,
HP:0000020,Urinary incontinence,尿失禁,
HP:0000021,Megacystis,巨膀胱症,
HP:0000022,Abnormal male internal genitalia morphology,男性内生殖器形态异常,
HP:0000023,Inguinal hernia,腹股沟疝,
HP:0000024,Prostatitis,前列腺炎,
HP:0000025,Functional abnormality of male internal genitalia,男性内生殖器功能异常,
HP:0000026,Male hypogonadism,男性性腺功能减退症,
HP:0000027,Azoospermia,无精症,
HP:0000028,Cryptorchidism,隐睾,
HP:0000029,Testicular atrophy,睾丸萎缩,
HP:0000030,Testicular gonadoblastoma,睾丸性腺母细胞瘤,
HP:0000031,Epididymitis,附睾炎,
HP:0000032,Abnormal male external genitalia morphology,男性外生殖器形态异常,
HP:0000033,"Ambiguous genitalia, male",男性外阴性别不明,
HP:0000034,Hydrocele testis,睾丸鞘膜积液,
HP:0000035,Abnormal testis morphology,睾丸形态异常,
HP:0000036,Abnormal penis morphology,阴茎形态异常,
HP:0000037,Male pseudohermaphroditism,男性假两性畸形,
HP:0000039,Epispadias,尿道上裂,
HP:0000040,Long penis,长阴茎,
HP:0000041,Chordee,阴茎下曲,
HP:0000042,Absent external genitalia,外生殖器缺如,
HP:0000044,Hypogonadotropic hypogonadism,低促性腺激素性性腺功能减退症,
HP:0000045,Abnormal scrotum morphology,阴囊形态异常,
HP:0000046,Small scrotum,小阴囊,
HP:0000047,Hypospadias,尿道下裂,
HP:0000048,Bifid scrotum,阴囊对裂,
HP:0000049,Shawl scrotum,披肩状阴囊,
HP:0000050,Hypoplastic male external genitalia,男性外生殖器发育不良,
HP:0000051,Perineal hypospadias,会阴型尿道下裂,
HP:0000052,"Urethral atresia, male",男性尿道闭锁,
HP:0000053,Macroorchidism,巨睾,
HP:0000054,Micropenis,小阴茎,
HP:0000055,Abnormal female external genitalia morphology,女性外生殖器形态异常,
HP:0000056,Abnormal clitoris morphology,阴蒂形态异常,
HP:0000058,Abnormal labia morphology,阴唇形态异常,
HP:0000059,Hypoplastic labia majora,大阴唇发育不良,
HP:0000060,Clitoral hypoplasia,阴蒂发育不良,
HP:0000061,"Ambiguous genitalia, female",女性外阴性别不明,
HP:0000062,Ambiguous genitalia,外阴性别不明,
HP:0000063,Fused labia minora,小阴唇融合,
HP:0000064,Hypoplastic labia minora,小阴唇发育不良,
HP:0000065,Labial hypertrophy,阴唇肥厚,
HP:0000066,Labial hypoplasia,阴唇发育不良,
HP:0000067,"Urethral atresia, female",女性尿道闭锁,
HP:0000068,Urethral atresia,尿道闭锁,
HP:0000069,Abnormality of the ureter,输尿管异常,
HP:0000070,Ureterocele,输尿管囊肿,
HP:0000071,Ureteral stenosis,输尿管狭窄,
HP:0000072,Hydroureter,输尿管积水,
HP:0000073,Ureteral duplication,输尿管重复,
HP:0000074,Ureteropelvic junction obstruction,肾盂输尿管连接部梗阻,
HP:0000075,Renal duplication,肾重复,
HP:0000076,Vesicoureteral reflux,膀胱输尿管返流,
HP:0000077,Abnormality of the kidney,肾脏异常,
HP:0000078,Abnormality of the genital system,生殖系统异常,
HP:0000079,Abnormality of the urinary system,泌尿系统异常,
HP:0000080,Abnormality of reproductive system physiology,生殖系统生理机能异常,
HP:0000081,Duplicated collecting system,集合管系统重复,
HP:0000083,Renal insufficiency,肾功能不全,
HP:0000085,Horseshoe kidney,马蹄肾,
HP:0000086,Ectopic kidney,异位肾,
HP:0000089,Renal hypoplasia,肾发育不全,
HP:0000090,Nephronophthisis,肾结核,
HP:0000091,Abnormal renal tubule morphology,肾小管形态异常,
HP:0000092,Renal tubular atrophy,肾小管萎缩,
HP:0000093,Proteinuria,蛋白尿,
HP:0000095,Abnormal renal glomerulus morphology,肾小球形态异常,
HP:0000096,Glomerular sclerosis,肾小球硬化,
HP:0000097,Focal segmental glomerulosclerosis,局灶节段性肾小球硬化,
HP:0000098,Tall stature,高身材,
HP:0000099,Glomerulonephritis,肾小球肾炎,
HP:0000100,Nephrotic syndrome,肾病综合征,
HP:0000103,Polyuria,多尿,
HP:0000104,Renal agenesis,肾缺如,
HP:0000105,Enlarged kidney,肾脏肿大,
HP:0000107,Renal cyst,肾囊肿,
HP:0000108,Renal corticomedullary cysts,肾皮髓质交界处囊肿,
HP:0000110,Renal dysplasia,肾发育不良,
HP:0000111,Renal juxtaglomerular cell hypertrophy/hyperplasia,肾小球球旁细胞肥大/增生,
HP:0000112,Nephropathy,肾病,
HP:0000113,Polycystic kidney dysplasia,多囊肾性发育不良,
HP:0000114,Proximal tubulopathy,近端肾小管病,
HP:0000117,Renal phosphate wasting,肾源性磷酸盐流失,
HP:0000118,Phenotypic abnormality,表型异常,
HP:0000119,Abnormality of the genitourinary system,泌尿生殖系统异常,
HP:0000121,Nephrocalcinosis,肾钙质沉着症,
HP:0000122,Unilateral renal agenesis,单侧肾缺如,
HP:0000123,Nephritis,肾炎,
HP:0000124,Renal tubular dysfunction,肾小管功能障碍,
HP:0000125,Pelvic kidney,盆腔肾,
HP:0000126,Hydronephrosis,肾积水,
HP:0000127,Renal salt wasting,肾源性盐流失,
HP:0000128,Renal potassium wasting,肾源性钾流失,
HP:0000130,Abnormality of the uterus,子宫异常,
HP:0000131,Uterine leiomyoma,子宫肌瘤,
HP:0000132,Menorrhagia,月经过多症,
HP:0000133,Gonadal dysgenesis,性腺发育不全,
HP:0000134,Female hypogonadism,女性性腺功能减退症,
HP:0000135,Hypogonadism,性腺功能减退症,
HP:0000136,Bifid uterus,双角子宫,
HP:0000137,Abnormality of the ovary,卵巢异常,
HP:0000138,Ovarian cyst,卵巢囊肿,
HP:0000139,Uterine prolapse,子宫脱垂,
HP:0000140,Abnormality of the menstrual cycle,月经周期异常,
HP:0000141,Amenorrhea,闭经,
HP:0000142,Abnormal vagina morphology,阴道形态异常,
HP:0000143,Rectovaginal fistula,直肠阴道瘘,
HP:0000144,Decreased fertility,生育能力下降,
HP:0000145,Transverse vaginal septum,阴道横膈,
HP:0000147,Polycystic ovaries,多囊卵巢,
HP:0000148,Vaginal atresia,阴道闭锁,
HP:0000149,Ovarian gonadoblastoma,卵巢性腺母细胞瘤,
HP:0000150,Gonadoblastoma,性腺母细胞瘤,
HP:0000151,Aplasia of the uterus,子宫发育不全,
HP:0000152,Abnormality of head or neck,头颈部异常,
HP:0000153,Abnormality of the mouth,嘴部异常,
HP:0000154,Wide mouth,宽嘴,
HP:0000155,Oral ulcer,口腔溃疡,
HP:0000157,Abnormality of the tongue,舌异常,
HP:0000158,Macroglossia,巨舌症,
HP:0000159,Abnormal lip morphology,唇形态异常,
HP:0000160,Narrow mouth,小口畸形,
HP:0000161,Median cleft upper lip,上唇正中裂,
HP:0000162,Glossoptosis,舌后坠,
HP:0000163,Abnormal oral cavity morphology,口腔形态异常,
HP:0000164,Abnormality of the dentition,牙列异常,
HP:0000166,Severe periodontitis,重度牙周炎,
HP:0000168,Abnormality of the gingiva,牙龈异常,
HP:0000169,Gingival fibromatosis,牙龈纤维瘤病,
HP:0000171,Microglossia,小舌畸形,
HP:0000172,Abnormal uvula morphology,悬雍垂形态异常,
HP:0000174,Abnormal palate morphology,腭形态异常,
HP:0000175,Cleft palate,腭裂,
HP:0000176,Submucous cleft hard palate,黏膜下硬裂腭,
HP:0000177,Abnormal upper lip morphology,上唇形态异常,
HP:0000178,Abnormal lower lip morphology,下唇形态异常,
HP:0000179,Thick lower lip vermilion,厚下红唇,
HP:0000180,Lobulated tongue,分叶舌,
HP:0000182,Movement abnormality of the tongue,舌头运动异常,
HP:0000183,Tongue muscle weakness,舌肌无力,
HP:0000185,Cleft soft palate,软腭裂,
HP:0000187,Broad alveolar ridges,宽牙槽嵴,
HP:0000188,Short upper lip,上唇短小,
HP:0000189,Narrow palate,上腭狭窄,
HP:0000190,Abnormal oral frenulum morphology,口腔系带形态异常,
HP:0000191,Accessory oral frenulum,额外口腔系带,
HP:0000193,Bifid uvula,悬雍垂裂,
HP:0000194,Open mouth,闭口不能,
HP:0000196,Lower lip pit,下唇凹陷,
HP:0000197,Abnormal parotid gland morphology,腮腺形态异常,
HP:0000198,Absence of Stensen duct,无腮腺导管,
HP:0000199,Tongue nodules,舌结节,
HP:0000200,Short lingual frenulum,舌系带过短,
HP:0000201,Pierre-Robin sequence,皮埃尔 - 罗宾序列征,
HP:0000202,Orofacial cleft,口面裂,
HP:0000204,Cleft upper lip,上唇裂,
HP:0000205,Pursed lips,撅起的嘴唇,
HP:0000206,Glossitis,舌炎,
HP:0000207,Triangular mouth,三角嘴,
HP:0000211,Trismus,张口受限,
HP:0000212,Gingival overgrowth,牙龈增生,
HP:0000214,Lip telangiectasia,唇部毛细血管扩张,
HP:0000215,Thick upper lip vermilion,厚上红唇,
HP:0000216,Broad secondary alveolar ridge,宽恒牙槽嵴,
HP:0000217,Xerostomia,口腔干燥,
HP:0000218,High palate,高腭,
HP:0000219,Thin upper lip vermilion,薄上唇红,
HP:0000220,Velopharyngeal insufficiency,腭咽机能不全,
HP:0000221,Furrowed tongue,沟裂舌,
HP:0000222,Gingival hyperkeratosis,牙龈角化过度,
HP:0000223,Abnormality of taste sensation,味觉异常,
HP:0000224,Hypogeusia,味觉减退,
HP:0000225,Gingival bleeding,牙龈出血,
HP:0000227,Tongue telangiectasia,舌毛细血管扩张,
HP:0000228,Oral cavity telangiectasia,口腔毛细管扩张,
HP:0000230,Gingivitis,牙龈炎,
HP:0000232,Everted lower lip vermilion,下唇唇红外翻,
HP:0000233,Thin vermilion border,下红唇薄,
HP:0000234,Abnormality of the head,头部异常,
HP:0000235,Abnormal cranial suture/fontanelle morphology,颅缝或囟门形态异常,
HP:0000236,Abnormal anterior fontanelle morphology,前囟形态异常,
HP:0000237,Small anterior fontanelle,小前囟,
HP:0000238,Hydrocephalus,脑积水,
HP:0000239,Large fontanelles,大囟门,
HP:0000240,Abnormality of skull size,颅骨大小异常,
HP:0000242,Parietal bossing,顶骨隆起,
HP:0000243,Trigonocephaly,三角头畸形,
HP:0000244,Brachyturricephaly,短尖头畸形,
HP:0000245,Abnormal paranasal sinus morphology,副鼻窦形态异常,
HP:0000246,Sinusitis,鼻窦炎,
HP:0000248,Brachycephaly,短头畸形,
HP:0000250,Dense calvaria,颅盖骨密度过高,
HP:0000252,Microcephaly,小头畸形,
HP:0000253,Progressive microcephaly,渐进性小头畸形,
HP:0000255,Acute sinusitis,急性鼻窦炎,
HP:0000256,Macrocephaly,巨头畸形,
HP:0000260,Wide anterior fontanel,前囟增宽,
HP:0000262,Turricephaly,尖头畸形,
HP:0000263,Oxycephaly,锥形头,
HP:0000264,Abnormal mastoid morphology,乳突形态异常,
HP:0000265,Mastoiditis,乳突炎,
HP:0000267,Cranial asymmetry,颅骨不对称,
HP:0000268,Dolichocephaly,长头畸形,
HP:0000269,Prominent occiput,枕骨突出,
HP:0000270,Delayed cranial suture closure,颅缝闭合延迟,
HP:0000271,Abnormality of the face,脸部异常,
HP:0000272,Malar flattening,颧骨扁平,
HP:0000273,Facial grimacing,面部表情痛苦,
HP:0000274,Small face,小脸,
HP:0000275,Narrow face,脸狭窄,
HP:0000276,Long face,长脸,
HP:0000277,Abnormal mandible morphology,下颌骨形态异常,
HP:0000278,Retrognathia,下颌后缩,
HP:0000280,Coarse facial features,面容粗糙,
HP:0000282,Facial edema,面部水肿,
HP:0000283,Broad face,宽脸,
HP:0000286,Epicanthus,内眦赘皮,
HP:0000287,Increased facial adipose tissue,面部脂肪组织增多,
HP:0000288,Abnormality of the philtrum,人中异常,
HP:0000289,Broad philtrum,宽人中,
HP:0000290,Abnormality of the forehead,前额异常,
HP:0000291,Abnormality of facial adipose tissue,面部脂肪组织异常,
HP:0000292,Loss of facial adipose tissue,面部脂肪组织丢失,
HP:0000293,Full cheeks,脸颊丰满,
HP:0000294,Low anterior hairline,前发际低,
HP:0000295,Doll-like facies,娃娃脸,
HP:0000297,Facial hypotonia,面部肌张力低下,
HP:0000298,Mask-like facies,面具样面容,
HP:0000300,Oval face,卵形脸,
HP:0000301,Abnormality of facial musculature,面部肌肉异常,
HP:0000303,Mandibular prognathia,下颌前突,
HP:0000306,Abnormality of the chin,下巴异常,
HP:0000307,Pointed chin,尖下巴,
HP:0000308,Microretrognathia,下颌小且后移,
HP:0000309,Abnormal midface morphology,面中部形态异常,
HP:0000311,Round face,圆脸,
HP:0000315,Abnormality of the orbital region,眼眶异常,
HP:0000316,Hypertelorism,眼距过宽,
HP:0000317,Facial myokymia,面肌颤搐,
HP:0000319,Smooth philtrum,人中扁平,
HP:0000320,Bird-like facies,鸟样面相,
HP:0000321,Square face,方脸,
HP:0000322,Short philtrum,人中短,
HP:0000324,Facial asymmetry,面部不对称,
HP:0000325,Triangular face,三角脸,
HP:0000326,Abnormal maxilla morphology,上颌骨形态异常,
HP:0000327,Hypoplasia of the maxilla,上颌骨发育不全,
HP:0000329,Facial hemangioma,面部血管瘤,
HP:0000331,Short chin,短下巴,
HP:0000336,Prominent supraorbital ridges,眶上嵴突出,
HP:0000337,Broad forehead,宽前额,
HP:0000338,Hypomimic face,面具样面容,
HP:0000339,Pugilistic facies,拳击手面容,
HP:0000340,Sloping forehead,额头倾斜,
HP:0000341,Narrow forehead,额头狭窄,
HP:0000343,Long philtrum,长人中,
HP:0000346,Whistling appearance,吹口哨面容,
HP:0000347,Micrognathia,小下颌,
HP:0000348,High forehead,额头高,
HP:0000349,Widow's peak,美人尖,
HP:0000350,Small forehead,小额头,
