governance_id,execution_id,asset_id,path,task_id,assigned_owner,required_owner_role,license_status,license_evidence,provenance_status,provenance_evidence,privacy_status,clinical_status,permitted_use,forbidden_use,blocking_decision,unblock_evidence,reviewer_roles,human_decision_status,status,notes
A65B-B02-DATA-K001,A65B-CORE-20260806-28947DF,DATA-K001,docs/AI医生/知识内容提取/源数据/hp-zh.babelon.tsv,TASK-B02,UNASSIGNED,legal owner role,LICENSE_REVIEW_REQUIRED,observed_identifier=MIT;observed_source_path=LICENSE;observed_scope=REPOSITORY_ROOT;asset_license_applicability=UNVERIFIED,DERIVED_SOURCE_CHAIN_INCOMPLETE,medical_source_chain_incomplete_in_inventory,AUTHORIZED_METADATA_ONLY,NOT_CLINICALLY_VALIDATED,REPOSITORY_EVIDENCE_REVIEW_ONLY,RUNTIME_REGISTRATION;PRODUCTION_USE;KNOWLEDGE_RELEASE;CLINICAL_APPROVAL,fail_closed_until_review,license_classification;source_provenance_record;publisher_or_version_record;permitted_use_decision;withdrawal_policy,legal;evidence,NOT_COMPLETED,NEEDS_LEGAL_REVIEW,path_status=TRACKED_FILE;observed_provisional_only;privacy_detail=AUTHORIZED_METADATA_ONLY;AUTHORIZED_METADATA_ONLY=repo_metadata_inspection_only;NOT_PRIVACY_APPROVAL;NOT_RUNTIME_ACCESS;NOT_PRODUCTION_USE
A65B-B02-DATA-K002,A65B-CORE-20260806-28947DF,DATA-K002,docs/AI医生/知识内容提取/源数据/hp-zh.synonyms.tsv,TASK-B02,UNASSIGNED,legal owner role,LICENSE_REVIEW_REQUIRED,observed_identifier=MIT;observed_source_path=LICENSE;observed_scope=REPOSITORY_ROOT;asset_license_applicability=UNVERIFIED,DERIVED_SOURCE_CHAIN_INCOMPLETE,medical_source_chain_incomplete_in_inventory,AUTHORIZED_METADATA_ONLY,NOT_CLINICALLY_VALIDATED,REPOSITORY_EVIDENCE_REVIEW_ONLY,RUNTIME_REGISTRATION;PRODUCTION_USE;KNOWLEDGE_RELEASE;CLINICAL_APPROVAL,fail_closed_until_review,license_classification;source_provenance_record;publisher_or_version_record;permitted_use_decision;withdrawal_policy,legal;evidence,NOT_COMPLETED,NEEDS_LEGAL_REVIEW,path_status=TRACKED_FILE;observed_provisional_only;privacy_detail=AUTHORIZED_METADATA_ONLY;AUTHORIZED_METADATA_ONLY=repo_metadata_inspection_only;NOT_PRIVACY_APPROVAL;NOT_RUNTIME_ACCESS;NOT_PRODUCTION_USE
A65B-B02-DATA-K003,A65B-CORE-20260806-28947DF,DATA-K003,docs/AI医生/知识内容提取/源数据/ICPC-2e-v7.0/ICPC-2e-v7.0.xml,TASK-B02,UNASSIGNED,legal owner role,LICENSE_REVIEW_REQUIRED,observed_identifier=MIT;observed_source_path=LICENSE;observed_scope=REPOSITORY_ROOT;asset_license_applicability=UNVERIFIED,DERIVED_SOURCE_CHAIN_INCOMPLETE,medical_source_chain_incomplete_in_inventory,AUTHORIZED_METADATA_ONLY,NOT_CLINICALLY_VALIDATED,REPOSITORY_EVIDENCE_REVIEW_ONLY,RUNTIME_REGISTRATION;PRODUCTION_USE;KNOWLEDGE_RELEASE;CLINICAL_APPROVAL,fail_closed_until_review,license_classification;source_provenance_record;publisher_or_version_record;permitted_use_decision;withdrawal_policy,legal;evidence,NOT_COMPLETED,NEEDS_LEGAL_REVIEW,path_status=TRACKED_FILE;observed_provisional_only;privacy_detail=AUTHORIZED_METADATA_ONLY;AUTHORIZED_METADATA_ONLY=repo_metadata_inspection_only;NOT_PRIVACY_APPROVAL;NOT_RUNTIME_ACCESS;NOT_PRODUCTION_USE
A65B-B02-DATA-K004,A65B-CORE-20260806-28947DF,DATA-K004,docs/AI医生/知识内容提取/源数据/UMLS数据集和关系类型详细说明.md,TASK-B02,UNASSIGNED,legal owner role,LICENSE_REVIEW_REQUIRED,observed_identifier=MIT;observed_source_path=LICENSE;observed_scope=REPOSITORY_ROOT;asset_license_applicability=UNVERIFIED,DERIVED_SOURCE_CHAIN_INCOMPLETE,medical_source_chain_incomplete_in_inventory,AUTHORIZED_METADATA_ONLY,NOT_CLINICALLY_VALIDATED,REPOSITORY_EVIDENCE_REVIEW_ONLY,RUNTIME_REGISTRATION;PRODUCTION_USE;KNOWLEDGE_RELEASE;CLINICAL_APPROVAL,fail_closed_until_review,license_classification;source_provenance_record;publisher_or_version_record;permitted_use_decision;withdrawal_policy,legal;evidence,NOT_COMPLETED,NEEDS_LEGAL_REVIEW,path_status=TRACKED_FILE;observed_provisional_only;privacy_detail=AUTHORIZED_METADATA_ONLY;AUTHORIZED_METADATA_ONLY=repo_metadata_inspection_only;NOT_PRIVACY_APPROVAL;NOT_RUNTIME_ACCESS;NOT_PRODUCTION_USE
A65B-B02-DATA-K005,A65B-CORE-20260806-28947DF,DATA-K005,docs/AI医生/知识内容提取/源数据/归档/icd10cm-table and index-2026/icd10cm-drug-2026.xml,TASK-B02,UNASSIGNED,legal owner role,LICENSE_REVIEW_REQUIRED,observed_identifier=MIT;observed_source_path=LICENSE;observed_scope=REPOSITORY_ROOT;asset_license_applicability=UNVERIFIED,DERIVED_SOURCE_CHAIN_INCOMPLETE,medical_source_chain_incomplete_in_inventory,AUTHORIZED_METADATA_ONLY,NOT_CLINICALLY_VALIDATED,REPOSITORY_EVIDENCE_REVIEW_ONLY,RUNTIME_REGISTRATION;PRODUCTION_USE;KNOWLEDGE_RELEASE;CLINICAL_APPROVAL,fail_closed_until_review,license_classification;source_provenance_record;publisher_or_version_record;permitted_use_decision;withdrawal_policy,legal;evidence,NOT_COMPLETED,NEEDS_LEGAL_REVIEW,path_status=TRACKED_FILE;observed_provisional_only;privacy_detail=AUTHORIZED_METADATA_ONLY;AUTHORIZED_METADATA_ONLY=repo_metadata_inspection_only;NOT_PRIVACY_APPROVAL;NOT_RUNTIME_ACCESS;NOT_PRODUCTION_USE
A65B-B02-DATA-K006,A65B-CORE-20260806-28947DF,DATA-K006,docs/AI医生/知识内容提取/源数据/归档/icd10cm-table and index-2026/icd10cm-eindex-2026.xml,TASK-B02,UNASSIGNED,legal owner role,LICENSE_REVIEW_REQUIRED,observed_identifier=MIT;observed_source_path=LICENSE;observed_scope=REPOSITORY_ROOT;asset_license_applicability=UNVERIFIED,DERIVED_SOURCE_CHAIN_INCOMPLETE,medical_source_chain_incomplete_in_inventory,AUTHORIZED_METADATA_ONLY,NOT_CLINICALLY_VALIDATED,REPOSITORY_EVIDENCE_REVIEW_ONLY,RUNTIME_REGISTRATION;PRODUCTION_USE;KNOWLEDGE_RELEASE;CLINICAL_APPROVAL,fail_closed_until_review,license_classification;source_provenance_record;publisher_or_version_record;permitted_use_decision;withdrawal_policy,legal;evidence,NOT_COMPLETED,NEEDS_LEGAL_REVIEW,path_status=TRACKED_FILE;observed_provisional_only;privacy_detail=AUTHORIZED_METADATA_ONLY;AUTHORIZED_METADATA_ONLY=repo_metadata_inspection_only;NOT_PRIVACY_APPROVAL;NOT_RUNTIME_ACCESS;NOT_PRODUCTION_USE
A65B-B02-DATA-K007,A65B-CORE-20260806-28947DF,DATA-K007,docs/AI医生/知识内容提取/源数据/归档/icd10cm-table and index-2026/icd10cm-index-2026.xml,TASK-B02,UNASSIGNED,legal owner role,LICENSE_REVIEW_REQUIRED,observed_identifier=MIT;observed_source_path=LICENSE;observed_scope=REPOSITORY_ROOT;asset_license_applicability=UNVERIFIED,DERIVED_SOURCE_CHAIN_INCOMPLETE,medical_source_chain_incomplete_in_inventory,AUTHORIZED_METADATA_ONLY,NOT_CLINICALLY_VALIDATED,REPOSITORY_EVIDENCE_REVIEW_ONLY,RUNTIME_REGISTRATION;PRODUCTION_USE;KNOWLEDGE_RELEASE;CLINICAL_APPROVAL,fail_closed_until_review,license_classification;source_provenance_record;publisher_or_version_record;permitted_use_decision;withdrawal_policy,legal;evidence,NOT_COMPLETED,NEEDS_LEGAL_REVIEW,path_status=TRACKED_FILE;observed_provisional_only;privacy_detail=AUTHORIZED_METADATA_ONLY;AUTHORIZED_METADATA_ONLY=repo_metadata_inspection_only;NOT_PRIVACY_APPROVAL;NOT_RUNTIME_ACCESS;NOT_PRODUCTION_USE
A65B-B02-DATA-K008,A65B-CORE-20260806-28947DF,DATA-K008,docs/AI医生/知识内容提取/源数据/归档/icd10cm-table and index-2026/icd10cm-neoplasm-2026.xml,TASK-B02,UNASSIGNED,legal owner role,LICENSE_REVIEW_REQUIRED,observed_identifier=MIT;observed_source_path=LICENSE;observed_scope=REPOSITORY_ROOT;asset_license_applicability=UNVERIFIED,DERIVED_SOURCE_CHAIN_INCOMPLETE,medical_source_chain_incomplete_in_inventory,AUTHORIZED_METADATA_ONLY,NOT_CLINICALLY_VALIDATED,REPOSITORY_EVIDENCE_REVIEW_ONLY,RUNTIME_REGISTRATION;PRODUCTION_USE;KNOWLEDGE_RELEASE;CLINICAL_APPROVAL,fail_closed_until_review,license_classification;source_provenance_record;publisher_or_version_record;permitted_use_decision;withdrawal_policy,legal;evidence,NOT_COMPLETED,NEEDS_LEGAL_REVIEW,path_status=TRACKED_FILE;observed_provisional_only;privacy_detail=AUTHORIZED_METADATA_ONLY;AUTHORIZED_METADATA_ONLY=repo_metadata_inspection_only;NOT_PRIVACY_APPROVAL;NOT_RUNTIME_ACCESS;NOT_PRODUCTION_USE
A65B-B02-DATA-K009,A65B-CORE-20260806-28947DF,DATA-K009,docs/AI医生/知识内容提取/源数据/归档/icd10cm-table and index-2026/icd10cm-tabular-2026.xml,TASK-B02,UNASSIGNED,legal owner role,LICENSE_REVIEW_REQUIRED,observed_identifier=MIT;observed_source_path=LICENSE;observed_scope=REPOSITORY_ROOT;asset_license_applicability=UNVERIFIED,DERIVED_SOURCE_CHAIN_INCOMPLETE,medical_source_chain_incomplete_in_inventory,AUTHORIZED_METADATA_ONLY,NOT_CLINICALLY_VALIDATED,REPOSITORY_EVIDENCE_REVIEW_ONLY,RUNTIME_REGISTRATION;PRODUCTION_USE;KNOWLEDGE_RELEASE;CLINICAL_APPROVAL,fail_closed_until_review,license_classification;source_provenance_record;publisher_or_version_record;permitted_use_decision;withdrawal_policy,legal;evidence,NOT_COMPLETED,NEEDS_LEGAL_REVIEW,path_status=TRACKED_FILE;observed_provisional_only;privacy_detail=AUTHORIZED_METADATA_ONLY;AUTHORIZED_METADATA_ONLY=repo_metadata_inspection_only;NOT_PRIVACY_APPROVAL;NOT_RUNTIME_ACCESS;NOT_PRODUCTION_USE
A65B-B02-DATA-K010,A65B-CORE-20260806-28947DF,DATA-K010,docs/AI医生/知识内容提取/提取结果/hpo/hpo_chinese_mapping.csv,TASK-B02,UNASSIGNED,legal owner role,LICENSE_REVIEW_REQUIRED,observed_identifier=MIT;observed_source_path=LICENSE;observed_scope=REPOSITORY_ROOT;asset_license_applicability=UNVERIFIED,DERIVED_SOURCE_CHAIN_INCOMPLETE,medical_source_chain_incomplete_in_inventory,AUTHORIZED_METADATA_ONLY,NOT_CLINICALLY_VALIDATED,REPOSITORY_EVIDENCE_REVIEW_ONLY,RUNTIME_REGISTRATION;PRODUCTION_USE;KNOWLEDGE_RELEASE;CLINICAL_APPROVAL,fail_closed_until_review,license_classification;source_provenance_record;publisher_or_version_record;permitted_use_decision;withdrawal_policy,legal;evidence,NOT_COMPLETED,NEEDS_LEGAL_REVIEW,path_status=TRACKED_FILE;observed_provisional_only;privacy_detail=AUTHORIZED_METADATA_ONLY;AUTHORIZED_METADATA_ONLY=repo_metadata_inspection_only;NOT_PRIVACY_APPROVAL;NOT_RUNTIME_ACCESS;NOT_PRODUCTION_USE
