asset_id,asset_path,asset_class,risk_level,clinical_relevance,clinical_logic,historical_e01_seed,board_scope,authority_class,file_disposition,runtime_disposition,owner_role,reviewer_roles,evidence_pointer,runtime_consumer_status,replacement_status,decommission_status,decision_basis,board_decision_status,notes
BOUND-001,contracts/v1,NEW_A5_TARGET,P3,LOW,NO,NO,JUSTIFIED_BOUNDARY_ROW,NEW_A5_BOUNDARY,KEEP_READ_ONLY,NOT_LEGACY_RETENTION_SUBJECT,contracts,architecture|governance-boundary,docs/refactoring/plans/phase-a/a6-5/a6-5-legacy-asset-inventory.csv;docs/refactoring/plans/phase-a/a6-5/a6-5-legacy-clinical-non-adoption-strategy.md;docs/refactoring/plans/phase-a/a6-5/a6-5-e01-disposition-board.csv,NOT_RUNTIME_ASSET,NEW_A5_CONTRACTS_IN_PLACE,NOT_APPLICABLE_NEW_BOUNDARY,BOUNDARY_PROTECTION;NOT_LEGACY_CLINICAL,BOUNDARY_RECORDED,E01 board recorded from inventory metadata only; clinical body not read; physical deletion not authorized; E02 not executed. Not a legacy clinical retention subject.
BOUND-002,capabilities/adult_respiratory_v1,NEW_A6_PACKAGE,P3,LOW,NO,NO,JUSTIFIED_BOUNDARY_ROW,NEW_A6_BOUNDARY,KEEP_READ_ONLY,NOT_LEGACY_RETENTION_SUBJECT,architecture,architecture|governance-boundary,docs/refactoring/plans/phase-a/a6-5/a6-5-legacy-asset-inventory.csv;docs/refactoring/plans/phase-a/a6-5/a6-5-legacy-clinical-non-adoption-strategy.md;docs/refactoring/plans/phase-a/a6-5/a6-5-e01-disposition-board.csv,NOT_RUNTIME_ASSET,NEW_A6_PACKAGE_IN_PLACE,NOT_APPLICABLE_NEW_BOUNDARY,BOUNDARY_PROTECTION;NOT_LEGACY_CLINICAL,BOUNDARY_RECORDED,E01 board recorded from inventory metadata only; clinical body not read; physical deletion not authorized; E02 not executed. Not a legacy clinical retention subject.
CLIN-001,clinical-parsing-service/data/vocabularies/symptom_normalization.csv,LEGACY_CLINICAL,P1,HIGH,YES,NO,P0_P1+CLINICAL_LOGIC+HIGH_CLINICAL_RELEVANCE,LEGACY_CLINICAL,KEEP_READ_ONLY,REJECT_FOR_NEW_RUNTIME,governance,governance-boundary|legal,docs/refactoring/plans/phase-a/a6-5/a6-5-legacy-asset-inventory.csv;docs/refactoring/plans/phase-a/a6-5/a6-5-legacy-clinical-non-adoption-strategy.md;docs/refactoring/plans/phase-a/a6-5/a6-5-e01-disposition-board.csv;docs/refactoring/evidence/phase-a/a6-5/a6-5-b-governance-evidence.csv,CONFIRMED_CONSUMER,FUTURE_REBUILD_REQUIRED,NOT_ELIGIBLE_CONSUMER_PRESENT,A6.5-NONADOPT-001;INVENTORY_METADATA;NO_CLINICAL_BODY_READ,BOARD_RECORDED,E01 board recorded from inventory metadata only; clinical body not read; physical deletion not authorized; E02 not executed.
CLIN-002,clinical-parsing-service/data/vocabularies/disease_normalization.csv,LEGACY_CLINICAL,P1,HIGH,YES,NO,P0_P1+CLINICAL_LOGIC+HIGH_CLINICAL_RELEVANCE,LEGACY_CLINICAL,KEEP_READ_ONLY,REJECT_FOR_NEW_RUNTIME,governance,governance-boundary|legal,docs/refactoring/plans/phase-a/a6-5/a6-5-legacy-asset-inventory.csv;docs/refactoring/plans/phase-a/a6-5/a6-5-legacy-clinical-non-adoption-strategy.md;docs/refactoring/plans/phase-a/a6-5/a6-5-e01-disposition-board.csv;docs/refactoring/evidence/phase-a/a6-5/a6-5-b-governance-evidence.csv,CONFIRMED_CONSUMER,FUTURE_REBUILD_REQUIRED,NOT_ELIGIBLE_CONSUMER_PRESENT,A6.5-NONADOPT-001;INVENTORY_METADATA;NO_CLINICAL_BODY_READ,BOARD_RECORDED,E01 board recorded from inventory metadata only; clinical body not read; physical deletion not authorized; E02 not executed.
CLIN-003,clinical-parsing-service/data/vocabularies/medication_normalization.csv,LEGACY_CLINICAL,P1,HIGH,YES,NO,P0_P1+CLINICAL_LOGIC+HIGH_CLINICAL_RELEVANCE,LEGACY_CLINICAL,KEEP_READ_ONLY,REJECT_FOR_NEW_RUNTIME,governance,governance-boundary|legal,docs/refactoring/plans/phase-a/a6-5/a6-5-legacy-asset-inventory.csv;docs/refactoring/plans/phase-a/a6-5/a6-5-legacy-clinical-non-adoption-strategy.md;docs/refactoring/plans/phase-a/a6-5/a6-5-e01-disposition-board.csv;docs/refactoring/evidence/phase-a/a6-5/a6-5-b-governance-evidence.csv,CONFIRMED_CONSUMER,FUTURE_REBUILD_REQUIRED,NOT_ELIGIBLE_CONSUMER_PRESENT,A6.5-NONADOPT-001;INVENTORY_METADATA;NO_CLINICAL_BODY_READ,BOARD_RECORDED,E01 board recorded from inventory metadata only; clinical body not read; physical deletion not authorized; E02 not executed.
CLIN-004,clinical-parsing-service/data/vocabularies/allergy_normalization.csv,LEGACY_CLINICAL,P1,HIGH,YES,NO,P0_P1+CLINICAL_LOGIC+HIGH_CLINICAL_RELEVANCE,LEGACY_CLINICAL,KEEP_READ_ONLY,REJECT_FOR_NEW_RUNTIME,governance,governance-boundary|legal,docs/refactoring/plans/phase-a/a6-5/a6-5-legacy-asset-inventory.csv;docs/refactoring/plans/phase-a/a6-5/a6-5-legacy-clinical-non-adoption-strategy.md;docs/refactoring/plans/phase-a/a6-5/a6-5-e01-disposition-board.csv;docs/refactoring/evidence/phase-a/a6-5/a6-5-b-governance-evidence.csv,CONFIRMED_CONSUMER,FUTURE_REBUILD_REQUIRED,NOT_ELIGIBLE_CONSUMER_PRESENT,A6.5-NONADOPT-001;INVENTORY_METADATA;NO_CLINICAL_BODY_READ,BOARD_RECORDED,E01 board recorded from inventory metadata only; clinical body not read; physical deletion not authorized; E02 not executed.
CLIN-005,clinical-parsing-service/data/vocabularies/examination_normalization.csv,LEGACY_CLINICAL,P1,HIGH,YES,NO,P0_P1+CLINICAL_LOGIC+HIGH_CLINICAL_RELEVANCE,LEGACY_CLINICAL,KEEP_READ_ONLY,REJECT_FOR_NEW_RUNTIME,governance,governance-boundary|legal,docs/refactoring/plans/phase-a/a6-5/a6-5-legacy-asset-inventory.csv;docs/refactoring/plans/phase-a/a6-5/a6-5-legacy-clinical-non-adoption-strategy.md;docs/refactoring/plans/phase-a/a6-5/a6-5-e01-disposition-board.csv;docs/refactoring/evidence/phase-a/a6-5/a6-5-b-governance-evidence.csv,CONFIRMED_CONSUMER,FUTURE_REBUILD_REQUIRED,NOT_ELIGIBLE_CONSUMER_PRESENT,A6.5-NONADOPT-001;INVENTORY_METADATA;NO_CLINICAL_BODY_READ,BOARD_RECORDED,E01 board recorded from inventory metadata only; clinical body not read; physical deletion not authorized; E02 not executed.
CLIN-006,clinical-parsing-service/data/vocabularies/indicator_normalization.csv,LEGACY_CLINICAL,P1,HIGH,YES,NO,P0_P1+CLINICAL_LOGIC+HIGH_CLINICAL_RELEVANCE,LEGACY_CLINICAL,KEEP_READ_ONLY,REJECT_FOR_NEW_RUNTIME,governance,governance-boundary|legal,docs/refactoring/plans/phase-a/a6-5/a6-5-legacy-asset-inventory.csv;docs/refactoring/plans/phase-a/a6-5/a6-5-legacy-clinical-non-adoption-strategy.md;docs/refactoring/plans/phase-a/a6-5/a6-5-e01-disposition-board.csv;docs/refactoring/evidence/phase-a/a6-5/a6-5-b-governance-evidence.csv,CONFIRMED_CONSUMER,FUTURE_REBUILD_REQUIRED,NOT_ELIGIBLE_CONSUMER_PRESENT,A6.5-NONADOPT-001;INVENTORY_METADATA;NO_CLINICAL_BODY_READ,BOARD_RECORDED,E01 board recorded from inventory metadata only; clinical body not read; physical deletion not authorized; E02 not executed.
CLIN-007,clinical-parsing-service/data/vocabularies/ambiguity_rules.json,LEGACY_CLINICAL,P0,HIGH,YES,YES,P0_P1+CLINICAL_LOGIC+HIGH_CLINICAL_RELEVANCE+HISTORICAL_SEED,LEGACY_CLINICAL,KEEP_READ_ONLY,REJECT_FOR_NEW_RUNTIME,governance,governance-boundary|legal,docs/refactoring/plans/phase-a/a6-5/a6-5-legacy-asset-inventory.csv;docs/refactoring/plans/phase-a/a6-5/a6-5-legacy-clinical-non-adoption-strategy.md;docs/refactoring/plans/phase-a/a6-5/a6-5-e01-disposition-board.csv;docs/refactoring/evidence/phase-a/a6-5/a6-5-b-governance-evidence.csv,CONFIRMED_CONSUMER,FUTURE_REBUILD_REQUIRED,NOT_ELIGIBLE_CONSUMER_PRESENT,A6.5-NONADOPT-001;INVENTORY_METADATA;NO_CLINICAL_BODY_READ,BOARD_RECORDED,E01 board recorded from inventory metadata only; clinical body not read; physical deletion not authorized; E02 not executed.
CLIN-008,health-state-assessment-service/data/健康管理路径规则/健康管理路径规则.yaml,LEGACY_CLINICAL,P0,HIGH,YES,YES,P0_P1+CLINICAL_LOGIC+HIGH_CLINICAL_RELEVANCE+HISTORICAL_SEED,LEGACY_CLINICAL,KEEP_READ_ONLY,REJECT_FOR_NEW_RUNTIME,governance,governance-boundary|legal,docs/refactoring/plans/phase-a/a6-5/a6-5-legacy-asset-inventory.csv;docs/refactoring/plans/phase-a/a6-5/a6-5-legacy-clinical-non-adoption-strategy.md;docs/refactoring/plans/phase-a/a6-5/a6-5-e01-disposition-board.csv;docs/refactoring/evidence/phase-a/a6-5/a6-5-b-governance-evidence.csv,CONFIRMED_CONSUMER,FUTURE_REBUILD_REQUIRED,NOT_ELIGIBLE_CONSUMER_PRESENT,A6.5-NONADOPT-001;INVENTORY_METADATA;NO_CLINICAL_BODY_READ,BOARD_RECORDED,E01 board recorded from inventory metadata only; clinical body not read; physical deletion not authorized; E02 not executed.
CLIN-009,health-state-assessment-service/data/入口判定规则/入口判定与工作态切换规则.yaml,LEGACY_CLINICAL,P0,HIGH,YES,YES,P0_P1+CLINICAL_LOGIC+HIGH_CLINICAL_RELEVANCE+HISTORICAL_SEED,LEGACY_CLINICAL,KEEP_READ_ONLY,REJECT_FOR_NEW_RUNTIME,governance,governance-boundary|legal,docs/refactoring/plans/phase-a/a6-5/a6-5-legacy-asset-inventory.csv;docs/refactoring/plans/phase-a/a6-5/a6-5-legacy-clinical-non-adoption-strategy.md;docs/refactoring/plans/phase-a/a6-5/a6-5-e01-disposition-board.csv;docs/refactoring/evidence/phase-a/a6-5/a6-5-b-governance-evidence.csv,CONFIRMED_CONSUMER,FUTURE_REBUILD_REQUIRED,NOT_ELIGIBLE_CONSUMER_PRESENT,A6.5-NONADOPT-001;INVENTORY_METADATA;NO_CLINICAL_BODY_READ,BOARD_RECORDED,E01 board recorded from inventory metadata only; clinical body not read; physical deletion not authorized; E02 not executed.
