code,kind,super_class,preferred,preferred_中文,shortTitle,shortTitle_中文,inclusion,inclusion_中文,exclusion,exclusion_中文,criteria,criteria_中文,consider,consider_中文,note,note_中文,icd10
-30,process,-.2,Medical examination/health evaluation complete,医学检查/健康评估完成,Medical examin/health eval complete,医学检查/健康评估完成,complete examination of one body system or the whole body; complete check-up; well-baby exam; school health care exam for children/youth,全面体检；体格检查；婴儿保健检查；学龄儿童/青少年健康检查,,,,,,,,,
-31,process,-.2,Medical examination/health evaluation partial,医学检查/健康评估部分,Medical examin/health eval partial,医学检查/健康评估（不完全）,"an examination focussed on a specific part of a body system; clinical screening of single health problems, e.g. heart auscultation or blood pressure measurement K31; or body temperature measurement A31",针对身体系统某一部分的检查；单个健康问题的临床筛查，例如心脏听诊或血压测量 K31；或体温测量 A31,,,,,,,,,
-32,process,-.2,Sensitivity test,敏感性试验,Sensitivity test,敏感性试验,skin prick-test; patch test; Mantoux test; radioallergosorbent test (RAST) test; food challange; methacholine challenge test,皮肤点刺试验；贴片试验；曼托克斯试验；放射过敏吸附素试验（RAST）；食物激发试验；甲基胆碱激发试验,desensitisation ,脱敏治疗,tests to detect/exclude allergy,过敏检测/排除试验,blood test ,血液检查,,,
-33,process,-.2,Microbiological/immunological test,微生物/免疫学检测,Microbiological/immunological test,微生物/免疫学检测,"blood culture; microbiological test of blood; microbiological test of faeces; microbiologic test of sputum; microbiological test of throat swab; microbiological test of vaginal swab; antigen or antibody testing e.g. testing for human immunodeficiency virus, human papilloma virus or hepatitis B; antibody titer",血培养；血液微生物学检查；粪便微生物学检查；痰液微生物学检查；咽拭子微生物学检查；阴道分泌物微生物学检查；抗原或抗体检测，例如人类免疫缺陷病毒、人乳头瘤病毒或乙型肝炎病毒的检测；抗体滴度,Mantoux test ,曼托克斯试验,"test relating to bacteria, virus or other micro-organisms",与细菌、病毒或其他微生物相关的检验,blood test ,血液检查,"Laboratory analyses are classified to the substrate/substance in which the test is done, whereas microbiological/immunological tests belong to ",实验室检查按所检测的底物/物质分类，而微生物学/免疫学检查则属于,
-34,process,-.2,Blood test,血液检查,Blood test,血液检查,blood group and type; erythrocyte sedimentation rate (ESR); white blood cell count (WBC); basic metabolic panel; blood hormone level; blood enzyme level; blood drug level; blood alcohol level; C-reactive protein (CRP); prothrombin time (INR); D-dimer; arterial blood gases; calculation of creatinine clearance; blood pregnancy test,血型和种类；红细胞沉降率（ESR）；白细胞计数（WBC）；基本代谢组检测；血液激素水平；血液酶水平；药物浓度测定；血液酒精含量；C反应蛋白（CRP）；凝血酶原时间（INR）；D-二聚体；动脉血气分析；肌酐清除率计算；血液妊娠试验,radioallergosorbent test (RAST) ,放射过敏原吸附试验 (RAST),a laboratory analysis performed on a blood sample,血液样本实验室分析,microbiological/immunological test ,微生物/免疫学检查,"Laboratory analyses are classified to the substrate/substance in which the test is done, whereas microbiological/immunological tests belong to ",实验室检查按所检测的底物/物质分类，而微生物学/免疫学检查则属于,
-35,process,-.2,Urine test,尿液检查,Urine test,尿液检查,urine strip test; test for drugs in urine; urine pregnancy test; measurement of albumin: creatinine ratio,尿液试纸检测；尿液药物检测；尿液妊娠试验；测定白蛋白：肌酐比值,microscopic examination of urine ,尿液显微镜检查,a laboratory analysis performed on a urine sample,尿液样本的实验室分析,microbiological/immunological test ,微生物/免疫学检查,"Laboratory analyses are classified to the substrate/substance in which the test is done, whereas microbiological/immunological tests belong to ",实验室检查按所检测的底物/物质分类，而微生物学/免疫学检查则属于,
-36,process,-.2,Faeces test,粪便检查,Faeces test,粪便检查,stool ova/cyst/parasites test; test for occult blood,粪便虫卵/包囊/寄生虫检查；隐血试验,microbiological culture of faeces ,粪便微生物培养,a laboratory analysis performed on a faeces sample with the exception of microbiological tests,粪便样本的实验室分析，不包括微生物学检查,,,"Laboratory analyses are classified to the substrate/substance in which the test is done, whereas microbiological/immunological tests belong to ",实验室检查按所检测的底物/物质分类，而微生物学/免疫学检查则属于,
-37,process,-.2,Histological/exfoliative cytology,组织学/脱落细胞学,Histological/exfoliative cytology,组织学/脱落细胞学,histological or cytological examination of tissue or fluid retrieved by puncture/biopsy/excision/swabbing/collection; urine cytology; sputum analysis; semen analysis,组织或体液的病理学或细胞学检查（通过穿刺/活检/切除/擦拭/采集取得）；尿液细胞学检查；痰分析；精液分析,microbiological test ,微生物学检测,histological or cytological examination of cells collected from the body as a means of detecting cellular changes,".histological or cytological examination of cells collected from the body as a means of detecting cellular changes

取自身体的细胞进行组织学或细胞学检查以检测细胞变化",,,,,
-38,process,-.2,Other laboratory test NEC,其他实验室检查 NEC,Other laboratory test NEC,其他实验室检查 NEC,antenatal chromosome screening; DNA/genetic/chromosome test; paternity test; sweat test; tear drop test; Helicobacter pylori breath test; any other laboratory test not included in the rubrics -32 to -37,产前染色体筛查；DNA/遗传/染色体检测；亲子鉴定；汗测试；泪滴试验；幽门螺杆菌呼气试验；其他未包括在编码-32至-37中的任何实验室检查-32至-37,exercise tests using imaging ,运动试验结合影像学检查,,,,,,,
-39,process,-.2,Physical function test,体能功能测试,Physical function test,体能功能测试,tympanometry; audiometry; tonometry; vision test; visual field; colour vision; calorimetric/vestibular function test; spirometry; urinary flowmetry,tympanometry; 听力计检查; 眼压测量; 视力测试; 视野检查; 色觉检查; 比色法/前庭功能检查; 肺功能测定（一秒钟用力呼气量等）; 尿流率测定,exercise test using imaging ,运动试验结合影像学检查,quantitative test to measure capacity of body functions excluding the mental state,定量检测身体功能（不包括精神状态）的能力测试,,,,,
