service,asset_type,http_method,path_or_symbol,file_path,class_name,method_name,request_type,response_type,dependencies,authentication,transactional,evidence_level,notes
diagnosis-service,API,POST,/api/v1/diagnosis/start,diagnosis-service/src/main/java/com/aidoctor/diagnosis/controller/DiagnosisController.java,DiagnosisController,startDiagnosis,DiagnosisRequest,ApiResponse<DiagnosisResponse>,DiagnosisOrchestrationService,UNKNOWN,no,CODE_CONFIRMED,旧启动接口真实存在
diagnosis-service,API,POST,/api/v1/diagnosis/continue,diagnosis-service/src/main/java/com/aidoctor/diagnosis/controller/DiagnosisController.java,DiagnosisController,continueDiagnosis,UserAnswer,ApiResponse<DiagnosisResponse>,DiagnosisOrchestrationService,UNKNOWN,no,CODE_CONFIRMED,旧继续接口真实存在
diagnosis-service,API,GET,/api/v1/diagnosis/{cdpId}/status,diagnosis-service/src/main/java/com/aidoctor/diagnosis/controller/DiagnosisController.java,DiagnosisController,getDiagnosisStatus,String,ApiResponse<DiagnosisResponse>,DiagnosisOrchestrationService,UNKNOWN,no,CODE_CONFIRMED,旧状态接口真实存在
diagnosis-service,API,GET,/api/v1/diagnosis/{cdpId}/result,diagnosis-service/src/main/java/com/aidoctor/diagnosis/controller/DiagnosisController.java,DiagnosisController,getDiagnosisResult,String,ApiResponse<DiagnosisResponse>,DiagnosisOrchestrationService,UNKNOWN,no,CODE_CONFIRMED,旧结果接口；患者字段隔离未知
diagnosis-service,API,POST,/api/v1/diagnosis/{diagnosisId}/answer,diagnosis-service/src/main/java/com/aidoctor/diagnosis/controller/DiagnosisController.java,DiagnosisController,answerQuestion,UserAnswer,ApiResponse<DiagnosisResponse>,DiagnosisOrchestrationService,UNKNOWN,no,CODE_CONFIRMED,兼容旧接口并把 diagnosisId 当 cdpId
diagnosis-service,API,POST,/api/v1/diagnosis/{cdpId}/wellness-screening/start,diagnosis-service/src/main/java/com/aidoctor/diagnosis/controller/DiagnosisController.java,DiagnosisController,startWellnessScreening,String,ApiResponse<DiagnosisResponse>,WellnessScreeningOrchestrator,UNKNOWN,no,CODE_CONFIRMED,A1-A5 命名是旧业务步骤不是本重构 Phase A1
diagnosis-service,API,GET,/api/v1/diagnosis/cdp/{cdpId},diagnosis-service/src/main/java/com/aidoctor/diagnosis/controller/CDPController.java,CDPController,getCDP,String,ApiResponse<Map<String Object>>,CDPManager,UNKNOWN,no,CODE_CONFIRMED,返回完整 CDP Map 包含临床状态 Audit Trace
diagnosis-service,API,POST,/api/v1/diagnosis/cdp/{cdpId}/update,diagnosis-service/src/main/java/com/aidoctor/diagnosis/controller/CDPController.java,CDPController,updateCDP,Map<String Object>,ApiResponse<Map<String Object>>,CDPManager,UNKNOWN,indirect,CODE_CONFIRMED,外部服务可写 patient_state
diagnosis-service,API,POST,/api/v1/diagnosis/cdp/update-trace-summary,diagnosis-service/src/main/java/com/aidoctor/diagnosis/controller/CDPController.java,CDPController,updateTraceSummary,Map<String Object>,ApiResponse<Void>,CDPManager,UNKNOWN,indirect,CODE_CONFIRMED,execution-trace-service 回写 CDP
diagnosis-service,API,GET,/health,diagnosis-service/src/main/java/com/aidoctor/diagnosis/controller/HealthController.java,HealthController,health,none,String,none,none,no,CODE_CONFIRMED,基础健康接口
examination-service,API,POST,/api/v1/examination/upload,examination-service/src/main/java/com/aidoctor/examination/controller/ExaminationController.java,ExaminationController,uploadReport,MultipartFile+params,ApiResponse<Map<String Object>>,ExaminationService,UNKNOWN,no,BUILD_VERIFIED,clean compile 验证；未启动服务或调用接口；写文件和记录并同步调用 OCR
examination-service,API,POST,/api/v1/examination/ocr,examination-service/src/main/java/com/aidoctor/examination/controller/ExaminationController.java,ExaminationController,ocrRecognize,MultipartFile+recordId,ApiResponse<Map<String Object>>,ExaminationService,UNKNOWN,no,BUILD_VERIFIED,clean compile 验证；未启动服务或调用接口；recordId 必填
examination-service,API,GET,/api/v1/examination/history,examination-service/src/main/java/com/aidoctor/examination/controller/ExaminationController.java,ExaminationController,getHistory,userId+page,ApiResponse<Map<String Object>>,ExaminationService,UNKNOWN,no,BUILD_VERIFIED,clean compile 验证；未启动服务或调用接口；按 userId 查询无代码级身份比对
examination-service,API,POST,/api/v1/examination/plan,examination-service/src/main/java/com/aidoctor/examination/controller/ExaminationPlanController.java,ExaminationPlanController,designPlan,Map<String Object>,ApiResponse<ExaminationPlan>,ExaminationService,UNKNOWN,no,BUILD_VERIFIED,clean compile 验证；未启动服务或调用接口；简化规则生成并保存方案
diagnosis-service,ENTITY,,CDP,diagnosis-service/src/main/java/com/aidoctor/diagnosis/entity/CDP.java,CDP,,CLOB/JSON,JPA entity,JpaRepository+JsonUtil,,no,CODE_CONFIRMED,表 cdp；大聚合
diagnosis-service,ENTITY,,CDPVersion,diagnosis-service/src/main/java/com/aidoctor/diagnosis/entity/CDPVersion.java,CDPVersion,,CDP snapshot,JPA entity,CDPVersionRepository,,no,CODE_CONFIRMED,表 cdp_version
diagnosis-service,ENTITY,,AgentState,diagnosis-service/src/main/java/com/aidoctor/diagnosis/entity/AgentState.java,AgentState,,JSON state,JPA entity,AgentStateRepository,,no,CODE_CONFIRMED,预算尝试和停止条件
diagnosis-service,ENTITY,,AuditTrail,diagnosis-service/src/main/java/com/aidoctor/diagnosis/entity/AuditTrail.java,AuditTrail,,event maps,JPA entity,AuditTrailRepository,,no,CODE_CONFIRMED,tool/CDP/agent 事件混存
diagnosis-service,ENTITY,,DiagnosisRecord,diagnosis-service/src/main/java/com/aidoctor/diagnosis/entity/DiagnosisRecord.java,DiagnosisRecord,,,JPA entity,DiagnosisRecordRepository,,no,CODE_CONFIRMED,旧诊断记录
diagnosis-service,ENTITY,,ExaminationRecord,diagnosis-service/src/main/java/com/aidoctor/diagnosis/entity/ExaminationRecord.java,ExaminationRecord,,,JPA entity,ExaminationRecordRepository,,no,CODE_CONFIRMED,与 examination-service 有重复实体
diagnosis-service,ENTITY,,ExaminationPlan,diagnosis-service/src/main/java/com/aidoctor/diagnosis/entity/ExaminationPlan.java,ExaminationPlan,,,JPA entity,ExaminationRecordRepository,,no,CODE_CONFIRMED,与 examination-service 有重复实体
diagnosis-service,ENTITY,,FollowUpPlan,diagnosis-service/src/main/java/com/aidoctor/diagnosis/entity/FollowUpPlan.java,FollowUpPlan,,,JPA entity,FollowUpPlanRepository,,no,CODE_CONFIRMED,旧随访记录
diagnosis-service,ENTITY,,HealthStateAssessmentRecord,diagnosis-service/src/main/java/com/aidoctor/diagnosis/entity/HealthStateAssessmentRecord.java,HealthStateAssessmentRecord,,,JPA entity,HealthStateAssessmentRecordRepository,,no,CODE_CONFIRMED,健康状态记录
