scope_id,source_phase,lane,classification,title,dependency,allowed_work,forbidden_work,clinical_impact,contract_impact,capability_impact,runtime_impact,architecture_impact,freeze_gate,implementation_authorized,exit_gate,rejoin_gate,stop_condition,notes
NC-CLOSE-ADR-01,A8,PHASE_A_NC_CLOSURE,IN_LANE_AUTHORITATIVE,ADR-01 Primary DB decision scope,Freeze Candidate DB direction; architecture stop if production primary changes,Define decision scope evidence and review requirements for primary DB; no outcome selection in this amendment,Select production primary DB outcome in this amendment; clinical threshold or clinical schema mutation,none,none,none,none,ADR_PLUS_ARCHITECTURE_REVIEW_IF_CHANGING_PRODUCTION_PRIMARY,A11 ADR checklist,false,PHASE_A_NC_CLOSURE_EXIT,A11 eligibility after NC+A6.5+Full A7 Exit,PHASE_A_NC_CLOSURE_ARCHITECTURE_BOUNDARY_REACHED,Batch NC-CLOSE-01; outcome not decided here
NC-CLOSE-ADR-02,A8,PHASE_A_NC_CLOSURE,IN_LANE_AUTHORITATIVE,ADR-02 Checkpoint and clinical DB boundary,NC-CLOSE-ADR-01 soft,Define deployment boundary between checkpoint and clinical DB,Clinical content rules or clinical threshold decisions,none,none,none,none,low_med,A11 ADR checklist,false,PHASE_A_NC_CLOSURE_EXIT,A11 eligibility after NC+A6.5+Full A7 Exit,PHASE_A_NC_CLOSURE_ARCHITECTURE_BOUNDARY_REACHED,Batch NC-CLOSE-01
NC-CLOSE-ADR-03,A8,PHASE_A_NC_CLOSURE,IN_LANE_AUTHORITATIVE,ADR-03 Java Python protocol,Frozen Java/Python boundary,Define interop protocol decision scope and evidence,Change primary Java/Python ownership without Architecture Review,none,none,none,none,med_boundary,A11 ADR checklist,false,PHASE_A_NC_CLOSURE_EXIT,A11 eligibility after NC+A6.5+Full A7 Exit,PHASE_A_NC_CLOSURE_ARCHITECTURE_BOUNDARY_REACHED,Batch NC-CLOSE-01
NC-CLOSE-ADR-04,A8,PHASE_A_NC_CLOSURE,IN_LANE_AUTHORITATIVE,ADR-04 Python single Runtime package,Existing A7-NC package layout,Define single Runtime package mode decision scope,Reopen Model Runtime semantics without separate review,none,none,none,packaging_only,med_packaging,A11 ADR checklist,false,PHASE_A_NC_CLOSURE_EXIT,A11 eligibility after NC+A6.5+Full A7 Exit,PHASE_A_NC_CLOSURE_ARCHITECTURE_BOUNDARY_REACHED,Batch NC-CLOSE-01; soft fan-out to bindings packaging
NC-CLOSE-ADR-05,A8,PHASE_A_NC_CLOSURE,IN_LANE_AUTHORITATIVE,ADR-05 LangGraph usage,Fixed Workflow principle,Define LangGraph usage decision scope,Modify fixed Workflow fallback principle without Architecture Review,none,none,none,soft_workflow,med,A11 ADR checklist,false,PHASE_A_NC_CLOSURE_EXIT,A11 eligibility after NC+A6.5+Full A7 Exit,PHASE_A_NC_CLOSURE_ARCHITECTURE_BOUNDARY_REACHED,Batch NC-CLOSE-01; soft→ Workflow
NC-CLOSE-ADR-06,A8,PHASE_A_NC_CLOSURE,IN_LANE_AUTHORITATIVE,ADR-06 pgvector and Milvus,Medical RAG Freeze Candidate baseline,Define vector store decision scope,Merge Patient RAG and Medical RAG or remove citation requirements,none,none,none,none,med,A11 ADR checklist,false,PHASE_A_NC_CLOSURE_EXIT,A11 eligibility after NC+A6.5+Full A7 Exit,PHASE_A_NC_CLOSURE_ARCHITECTURE_BOUNDARY_REACHED,Batch NC-CLOSE-01
NC-CLOSE-ADR-07,A8,PHASE_A_NC_CLOSURE,IN_LANE_AUTHORITATIVE,ADR-07 BM25,Medical RAG Freeze Candidate baseline,Define BM25 implementation decision scope,Replace citation or evidence requirements with BM25 alone,none,none,none,none,low_med,A11 ADR checklist,false,PHASE_A_NC_CLOSURE_EXIT,A11 eligibility after NC+A6.5+Full A7 Exit,PHASE_A_NC_CLOSURE_ARCHITECTURE_BOUNDARY_REACHED,Batch NC-CLOSE-01
NC-CLOSE-ADR-08,A8,PHASE_A_NC_CLOSURE,IN_LANE_AUTHORITATIVE,ADR-08 Neo4j retention and enable gate,Graph experimental defaults,Define Neo4j retention and production enable gate mechanics,Treat graph path as clinical guideline truth,none,none,none,none,med,A11 ADR checklist,false,PHASE_A_NC_CLOSURE_EXIT,A11 eligibility after NC+A6.5+Full A7 Exit,PHASE_A_NC_CLOSURE_ARCHITECTURE_BOUNDARY_REACHED,Batch NC-CLOSE-01; enable gate != clinical content
NC-CLOSE-ADR-09,A8,PHASE_A_NC_CLOSURE,IN_LANE_AUTHORITATIVE,ADR-09 Secret Manager mechanics,Provider FORBIDDEN boundary,Define Secret Manager architecture and config mechanics only,Authorize real provider credentials paid API or network inference,none,none,none,config_only,low,A11 ADR checklist,false,PHASE_A_NC_CLOSURE_EXIT,A11 eligibility after NC+A6.5+Full A7 Exit,PHASE_A_NC_CLOSURE_PROVIDER_BOUNDARY_REACHED,Batch NC-CLOSE-01
NC-CLOSE-ADR-10,A8,PHASE_A_NC_CLOSURE,IN_LANE_AUTHORITATIVE,ADR-10 OTel Backend,A6.5 observability mappings input,Define OTel backend decision scope,Replace clinical decision semantics with spans,none,none,none,soft_trace,med,A11 ADR checklist,false,PHASE_A_NC_CLOSURE_EXIT,A11 eligibility after NC+A6.5+Full A7 Exit,PHASE_A_NC_CLOSURE_ARCHITECTURE_BOUNDARY_REACHED,Batch NC-CLOSE-01; soft→ Trace
NC-CLOSE-ADR-11,A8,PHASE_A_NC_CLOSURE,IN_LANE_AUTHORITATIVE,ADR-11 AOP to OTel migration,A6.5 observability mappings input,Define AOP annotation to OTel instrumentation migration approach,Allow AOP to implicitly execute clinical decisions,none,none,none,soft_trace,med,A11 ADR checklist,false,PHASE_A_NC_CLOSURE_EXIT,A11 eligibility after NC+A6.5+Full A7 Exit,PHASE_A_NC_CLOSURE_ARCHITECTURE_BOUNDARY_REACHED,Batch NC-CLOSE-01; soft→ Trace
NC-CLOSE-ADR-12,A8,PHASE_A_NC_CLOSURE,IN_LANE_AUTHORITATIVE,ADR-12 Legacy Trace and AgentEvent ownership,A6.5 legacy mappings input,Define ownership boundaries for Legacy Trace and AgentEvent Store,Change ClinicalDecisionRecord or ComplianceAudit clinical meaning,none,none,none,soft_trace,med,A11 ADR checklist,false,PHASE_A_NC_CLOSURE_EXIT,A11 eligibility after NC+A6.5+Full A7 Exit,PHASE_A_NC_CLOSURE_ARCHITECTURE_BOUNDARY_REACHED,Batch NC-CLOSE-01; ownership != clinical rules
NC-CLOSE-BIND-01,A5,PHASE_A_NC_CLOSURE,IN_LANE_AUTHORITATIVE,Shared Contracts v1 three-language bindings,Shared Contracts v1 semantic authority,Generate Python Java TypeScript bindings; version sync; cross-language tests consuming existing Contracts v1,Change Shared Contracts v1 semantics; add clinical contracts; change compatibility policy,none,IMMUTABLE_WITHIN_LANE,none,types_only,none,A11 three-language bindings,false,PHASE_A_NC_CLOSURE_EXIT,A11 eligibility after NC+A6.5+Full A7 Exit,A5_CONTRACT_SEMANTIC_CHANGE_REQUIRES_SEPARATE_REVIEW,Batch NC-CLOSE-02; parallel-safe vs ADR after separate auth
