error_id,file_path,line,class_name,symbol,error_category,compiler_message_summary,active_path_status,semantic_risk,planned_resolution,resolution_status,test_evidence,notes
E001,diagnosis-service/src/main/java/com/aidoctor/diagnosis/agent/RefusalHandler.java,38,RefusalHandler,getUncertaintyMap,METHOD_NAME_MISMATCH,CDP has no getUncertaintyMap,ACTIVE_AGENT_PATH,HIGH,use canonical getUncertainty,FIXED,CDPSerializationTest,Spring component in agent bean graph; no controller caller found
E002,diagnosis-service/src/main/java/com/aidoctor/diagnosis/agent/RefusalHandler.java,60,RefusalHandler,getTriageMap,METHOD_NAME_MISMATCH,CDP has no getTriageMap,ACTIVE_AGENT_PATH,HIGH,use canonical getTriage,FIXED,CDPSerializationTest,No clinical rule changed
E003,diagnosis-service/src/main/java/com/aidoctor/diagnosis/agent/EscalationHandler.java,38,EscalationHandler,getTriageMap,METHOD_NAME_MISMATCH,CDP has no getTriageMap,ACTIVE_AGENT_PATH,HIGH,use canonical getTriage,FIXED,CDPSerializationTest,No escalation threshold changed
E004,diagnosis-service/src/main/java/com/aidoctor/diagnosis/agent/EscalationHandler.java,62,EscalationHandler,getUncertaintyMap,METHOD_NAME_MISMATCH,CDP has no getUncertaintyMap,ACTIVE_AGENT_PATH,HIGH,use canonical getUncertainty,FIXED,CDPSerializationTest,No missing-information rule changed
E005,diagnosis-service/src/main/java/com/aidoctor/diagnosis/agent/ClinicalAgentBrain.java,49,ClinicalAgentBrain,getCDP,MISSING_METHOD,CDPManager has no getCDP,ACTIVE_AGENT_PATH,MEDIUM,use canonical getCDPById,FIXED,ClinicalAgentBrainTest,Canonical method has identical Optional lookup semantics
E006,diagnosis-service/src/main/java/com/aidoctor/diagnosis/agent/AgentLoop.java,160,AgentLoop,getUncertaintyMap,METHOD_NAME_MISMATCH,CDP has no getUncertaintyMap,ACTIVE_AGENT_PATH,HIGH,use canonical getUncertainty,FIXED,AgentLoopFailClosedTest,AgentLoop is a Spring bean but no external caller was found
E007,diagnosis-service/src/main/java/com/aidoctor/diagnosis/agent/AgentLoop.java,190,AgentLoop,getTriageMap,METHOD_NAME_MISMATCH,CDP has no getTriageMap,ACTIVE_AGENT_PATH,HIGH,use canonical getTriage,FIXED,AgentLoopFailClosedTest,Fixed workflow does not call AgentLoop
E008,diagnosis-service/src/main/java/com/aidoctor/diagnosis/agent/AgentLoop.java,226,AgentLoop,checkRedFlagPriority,MISSING_METHOD,clinical planning method is absent,ACTIVE_AGENT_PATH,CLINICAL,fail closed with explicit semantic blocker,BLOCKED_FAIL_CLOSED,AgentLoopFailClosedTest,No deterministic equivalent exists; call is retained and terminates
E009,diagnosis-service/src/main/java/com/aidoctor/diagnosis/agent/AgentLoop.java,233,AgentLoop,checkConflictReview,MISSING_METHOD,clinical planning method is absent,ACTIVE_AGENT_PATH,CLINICAL,fail closed with explicit semantic blocker,BLOCKED_FAIL_CLOSED,AgentLoopFailClosedTest,No conflict policy was invented
E010,diagnosis-service/src/main/java/com/aidoctor/diagnosis/agent/AgentLoop.java,240,AgentLoop,checkInsufficientEvidence,MISSING_METHOD,clinical planning method is absent,ACTIVE_AGENT_PATH,CLINICAL,fail closed with explicit semantic blocker,BLOCKED_FAIL_CLOSED,AgentLoopFailClosedTest,No evidence threshold was invented
E011,diagnosis-service/src/main/java/com/aidoctor/diagnosis/agent/ToolCaller.java,167,ToolCaller,getCDP,MISSING_METHOD,CDPManager has no getCDP,ACTIVE_AGENT_PATH,MEDIUM,use canonical getCDPById,FIXED,ToolCallerTest,Deprecated compatibility helper retains exception behavior
E012,diagnosis-service/src/main/java/com/aidoctor/diagnosis/agent/ToolCaller.java,199,ToolCaller,getPatientStateMap,METHOD_NAME_MISMATCH,CDP has no getPatientStateMap,ACTIVE_AGENT_PATH,MEDIUM,use canonical getPatientState,FIXED,ToolCallerTest,Return type remains Map
E013,diagnosis-service/src/main/java/com/aidoctor/diagnosis/agent/ToolCaller.java,201,ToolCaller,getDdxMap,METHOD_NAME_MISMATCH,CDP has no getDdxMap,ACTIVE_AGENT_PATH,HIGH,use canonical List getDdx,FIXED,ToolCallerTest,DDX is not converted to Map
E014,diagnosis-service/src/main/java/com/aidoctor/diagnosis/agent/ToolCaller.java,203,ToolCaller,getTriageMap,METHOD_NAME_MISMATCH,CDP has no getTriageMap,ACTIVE_AGENT_PATH,HIGH,use canonical getTriage,FIXED,CDPSerializationTest,Return type remains Map
E015,diagnosis-service/src/main/java/com/aidoctor/diagnosis/agent/ToolCaller.java,205,ToolCaller,getWorkupPlanMap,METHOD_NAME_MISMATCH,CDP has no getWorkupPlanMap,ACTIVE_AGENT_PATH,HIGH,use canonical List getWorkupPlan,FIXED,CDPFieldWriterTest,Plan is not converted to Map
E016,diagnosis-service/src/main/java/com/aidoctor/diagnosis/agent/ToolCaller.java,207,ToolCaller,getManagementPlanMap,METHOD_NAME_MISMATCH,CDP has no getManagementPlanMap,ACTIVE_AGENT_PATH,HIGH,use canonical List getManagementPlan,FIXED,CDPFieldWriterTest,Plan is not converted to Map
E017,diagnosis-service/src/main/java/com/aidoctor/diagnosis/agent/ToolCaller.java,209,ToolCaller,getEvidenceGraphMap,METHOD_NAME_MISMATCH,CDP has no getEvidenceGraphMap,ACTIVE_AGENT_PATH,HIGH,use canonical List getEvidenceGraph,FIXED,CDPFieldWriterTest,Evidence graph storage remains List
E018,diagnosis-service/src/main/java/com/aidoctor/diagnosis/agent/ToolCaller.java,282,ToolCaller,getCDP,MISSING_METHOD,CDPManager has no getCDP,ACTIVE_AGENT_PATH,MEDIUM,use canonical getCDPById,FIXED,ToolCallerTest,Session lookup retains unknown fallback
E019,diagnosis-service/src/main/java/com/aidoctor/diagnosis/agent/ToolCaller.java,283,ToolCaller,CDP::getSessionId,INVALID_METHOD_REFERENCE,method reference cannot type-check after unresolved lookup,ACTIVE_AGENT_PATH,LOW,repair upstream Optional lookup,FIXED,ToolCallerTest,Derived compiler error; method reference itself is valid
E020,diagnosis-service/src/main/java/com/aidoctor/diagnosis/agent/EvidenceFusion.java,225,EvidenceFusion,Map.of,JAVA_VERSION_INCOMPATIBILITY,Map.of is unavailable on Java 8,ACTIVE_AGENT_PATH,MEDIUM,use Java 8 unmodifiable map helper,FIXED,EvidenceFusionTest,Fields and immutability preserved
E021,diagnosis-service/src/main/java/com/aidoctor/diagnosis/agent/EvidenceFusion.java,226,EvidenceFusion,Map.of,JAVA_VERSION_INCOMPATIBILITY,Map.of is unavailable on Java 8,ACTIVE_AGENT_PATH,MEDIUM,use Java 8 unmodifiable map helper,FIXED,EvidenceFusionTest,Missing probability keeps zero default behavior
E022,diagnosis-service/src/main/java/com/aidoctor/diagnosis/agent/ConflictResolution.java,119,ConflictResolution,getDdxMap,METHOD_NAME_MISMATCH,CDP has no getDdxMap,ACTIVE_AGENT_PATH,CLINICAL,use canonical DDX List directly,FIXED,CDPSerializationTest,Existing risk rules unchanged
E023,diagnosis-service/src/main/java/com/aidoctor/diagnosis/agent/ConflictResolution.java,259,ConflictResolution,getDdxMap,METHOD_NAME_MISMATCH,CDP has no getDdxMap,ACTIVE_AGENT_PATH,CLINICAL,use canonical DDX List directly,FIXED,CDPSerializationTest,No new risk priority introduced
E024,diagnosis-service/src/main/java/com/aidoctor/diagnosis/agent/StopConditionEvaluator.java,151,StopConditionEvaluator,getDdxMap,METHOD_NAME_MISMATCH,CDP has no getDdxMap,ACTIVE_AGENT_PATH,CLINICAL,use canonical DDX List,FIXED,CDPSerializationTest,Evidence reference checks still inspect each DDX item
E025,diagnosis-service/src/main/java/com/aidoctor/diagnosis/agent/StopConditionEvaluator.java,181,StopConditionEvaluator,getTriageMap,METHOD_NAME_MISMATCH,CDP has no getTriageMap,ACTIVE_AGENT_PATH,CLINICAL,use canonical getTriage,FIXED,CDPSerializationTest,Risk field requirement unchanged
E026,diagnosis-service/src/main/java/com/aidoctor/diagnosis/agent/StopConditionEvaluator.java,190,StopConditionEvaluator,getDdxMap,METHOD_NAME_MISMATCH,CDP has no getDdxMap,ACTIVE_AGENT_PATH,CLINICAL,use canonical DDX List,FIXED,CDPSerializationTest,Non-empty canonical list represents available candidates
E027,diagnosis-service/src/main/java/com/aidoctor/diagnosis/agent/StopConditionEvaluator.java,203,StopConditionEvaluator,getWorkupPlanMap,METHOD_NAME_MISMATCH,CDP has no getWorkupPlanMap,ACTIVE_AGENT_PATH,CLINICAL,use canonical workup List,FIXED,CDPFieldWriterTest,Existing no_workup_needed alternative retained
E028,diagnosis-service/src/main/java/com/aidoctor/diagnosis/agent/StopConditionEvaluator.java,209,StopConditionEvaluator,getUncertaintyMap,METHOD_NAME_MISMATCH,CDP has no getUncertaintyMap,ACTIVE_AGENT_PATH,CLINICAL,use canonical getUncertainty,FIXED,CDPSerializationTest,No threshold changed
E029,diagnosis-service/src/main/java/com/aidoctor/diagnosis/agent/StopConditionEvaluator.java,221,StopConditionEvaluator,getManagementPlanMap,METHOD_NAME_MISMATCH,CDP has no getManagementPlanMap,ACTIVE_AGENT_PATH,CLINICAL,use canonical management List,FIXED,CDPFieldWriterTest,Non-empty check retained
E030,diagnosis-service/src/main/java/com/aidoctor/diagnosis/agent/StopConditionEvaluator.java,230,StopConditionEvaluator,getEvidenceGraphMap,METHOD_NAME_MISMATCH,CDP has no getEvidenceGraphMap,ACTIVE_AGENT_PATH,CLINICAL,use canonical evidence List,FIXED,CDPFieldWriterTest,Non-empty check retained
E031,diagnosis-service/src/main/java/com/aidoctor/diagnosis/agent/StopConditionEvaluator.java,243,StopConditionEvaluator,getFinalConclusionMap,METHOD_NAME_MISMATCH,CDP has no final conclusion field,ACTIVE_AGENT_PATH,CLINICAL,read existing patient_state conclusion_package,FIXED,CDPFieldWriterTest,No JSON field or database column added
E032,diagnosis-service/src/main/java/com/aidoctor/diagnosis/util/CDPFieldWriter.java,116,CDPFieldWriter,getPatientStateMap,METHOD_NAME_MISMATCH,CDP has no getPatientStateMap,ACTIVE_AGENT_PATH,HIGH,use canonical getPatientState,FIXED,CDPFieldWriterTest,Strict Map contract
E033,diagnosis-service/src/main/java/com/aidoctor/diagnosis/util/CDPFieldWriter.java,118,CDPFieldWriter,getDdxMap,METHOD_NAME_MISMATCH,CDP has no getDdxMap,ACTIVE_AGENT_PATH,HIGH,use canonical List getDdx,FIXED,CDPFieldWriterTest,Strict List contract
E034,diagnosis-service/src/main/java/com/aidoctor/diagnosis/util/CDPFieldWriter.java,120,CDPFieldWriter,getTriageMap,METHOD_NAME_MISMATCH,CDP has no getTriageMap,ACTIVE_AGENT_PATH,HIGH,use canonical getTriage,FIXED,CDPFieldWriterTest,Strict Map contract
E035,diagnosis-service/src/main/java/com/aidoctor/diagnosis/util/CDPFieldWriter.java,122,CDPFieldWriter,getWorkupPlanMap,METHOD_NAME_MISMATCH,CDP has no getWorkupPlanMap,ACTIVE_AGENT_PATH,HIGH,use canonical List getWorkupPlan,FIXED,CDPFieldWriterTest,Strict List contract
E036,diagnosis-service/src/main/java/com/aidoctor/diagnosis/util/CDPFieldWriter.java,124,CDPFieldWriter,getManagementPlanMap,METHOD_NAME_MISMATCH,CDP has no getManagementPlanMap,ACTIVE_AGENT_PATH,HIGH,use canonical List getManagementPlan,FIXED,CDPFieldWriterTest,Strict List contract
E037,diagnosis-service/src/main/java/com/aidoctor/diagnosis/util/CDPFieldWriter.java,126,CDPFieldWriter,getEvidenceGraphMap,METHOD_NAME_MISMATCH,CDP has no getEvidenceGraphMap,ACTIVE_AGENT_PATH,HIGH,use canonical List getEvidenceGraph,FIXED,CDPFieldWriterTest,Strict List contract
