store_id,store_type,technology,service_or_path,purpose,authoritative_or_cache,connection_config,container_or_external,persistence,volume_or_location,data_classes,sensitivity,readers,writers,delete_path,retention_or_ttl,backup_restore,schema_or_index,evidence_level,blocker,evidence_reference
relational-clinical,RDBMS,"Oracle or MySQL via JPA/Hibernate","diagnosis-service; examination-service","CDP, diagnosis, examination, follow-up, wellness, agent state and audit records",AUTHORITATIVE_CANDIDATE,"profile-dependent; visible MySQL localhost config; Oracle profile files absent from tracked tree",EXTERNAL_OR_COMPOSE,CONFIGURED,"mysql_data:/var/lib/mysql for Compose; Oracle location UNKNOWN","PATIENT_PROVIDED; CLINICAL_OBSERVATION; CLINICAL_INFERENCE; CLINICIAN_DECISION; AUDIT_TRACE",PHI,"JPA repositories in diagnosis-service and examination-service","CDPManager; workflow; controllers; examination service; agent and audit managers","CDP hard delete exists; other entities rely on repository defaults or have no located delete path",UNKNOWN,UNKNOWN,"11 distinct mapped table names; 10 diagnosis entities plus 2 duplicate examination entities; migrations cover Oracle diagnosis tables and MySQL agent/audit tables",CODE_CONFIRMED,"No database connection or table/data inspection; dialect/profile and migration drift","diagnosis-service/src/main/resources/application.yml; examination-service/src/main/resources/application-mysql.yml; diagnosis-service/src/main/java/com/aidoctor/diagnosis/entity/CDP.java:30"
relational-trace,RDBMS,"JPA/Hibernate with Oracle migration and MySQL dialect declaration",execution-trace-service,"Technical execution traces and CDP-linked input/output/error payloads",AUTHORITATIVE_CANDIDATE,"datasource profile referenced but tracked datasource configuration absent",EXTERNAL,CONFIGURED,UNKNOWN,"AUDIT_TRACE; PATIENT_PROVIDED; CLINICAL_OBSERVATION",PHI,"trace REST/WebSocket APIs; frontend-admin","ExecutionTraceService and repository","retention query/delete code is present",30_days_configured,UNKNOWN,"execution_trace table; three indexes",CODE_CONFIRMED,"Datasource and migration location are not runtime verified; PHI filtering is unknown","execution-trace-service/src/main/resources/application.yml:10; execution-trace-service/src/main/java/com/aidoctor/trace/entity/ExecutionTrace.java:15"
redis-dialog-context,KEY_VALUE,Redis,dialog-service,"Per-CDP conversation context and history",CACHE_WITH_PROCESS_STATE,"REDIS_HOST/PORT/DB/PASSWORD; database 0 by default",EXTERNAL_OR_COMPOSE,CONFIGURED,"redis_data:/data in root Compose","PATIENT_PROVIDED; CLINICAL_OBSERVATION",PHI,dialog-service,dialog-service,"DEL dialog:context:{cdp_id}",1800_seconds,UNKNOWN,"key dialog:context:{cdp_id}; JSON value",CODE_CONFIRMED,"Redis was not connected; failure falls back to process memory and changes durability semantics","dialog-service/app/services/dialog_service.py:485; dialog-service/app/config/settings.py:21"
dialog-memory-fallback,PROCESS_MEMORY,Python_dict,dialog-service,"Fallback conversation context when Redis is unavailable",NON_AUTHORITATIVE_FALLBACK,"automatic on Redis connection/read/write failure",IN_PROCESS,EPHEMERAL,process_memory,"PATIENT_PROVIDED; CLINICAL_OBSERVATION",PHI,dialog-service,dialog-service,"explicit cleanup method only",NONE,NOT_APPLICABLE,"dictionary keyed by dialog:context:{cdp_id}",CODE_CONFIRMED,"No TTL or process-restart recovery; can diverge from Redis and grow until cleanup/restart","dialog-service/app/services/dialog_service.py:500"
neo4j-knowledge-graph,GRAPH,Neo4j,"diagnosis-engine-service; knowledge-management-service","Medical knowledge graph, schema management and path retrieval",AUTHORITATIVE_CANDIDATE,"bolt://localhost:7687 default; neo4j/password development default",EXTERNAL_OR_COMPOSE,CONFIGURED,"neo4j_data:/data; neo4j_logs:/logs","MEDICAL_KNOWLEDGE",INTERNAL_SENSITIVE,"diagnosis engine path retrieval; knowledge schema/admin APIs","knowledge schema endpoint and importer candidates",UNKNOWN,UNKNOWN,UNKNOWN,"18 documented node labels; 22 relationship types; 17 unique constraints and 9 indexes defined in code",CODE_CONFIRMED,"No connectivity or graph data inspection; importers return success with zero imported rows; patient/medical graph isolation not demonstrated","knowledge-management-service/app/services/schema_service.py:13; diagnosis-engine-service/app/kg-reasoning-engine/path_retriever.py:83"
milvus-reference,VECTOR,Milvus,diagnosis-engine-service,"Configured vector search candidate",UNKNOWN,"MILVUS_HOST=milvus; MILVUS_PORT=19530 in Compose environment",MISSING_COMPOSE_SERVICE,NOT_DEPLOYED,UNKNOWN,"MEDICAL_KNOWLEDGE; UNKNOWN",UNKNOWN,NONE_CONFIRMED,NONE_CONFIRMED,NONE,UNKNOWN,UNKNOWN,"collection/dimension/index/metric/namespace all UNKNOWN",BLOCKED,"No Milvus Compose service and no pymilvus/client code found","docker-compose.yml:35; docs/refactoring/evidence/phase-a/a3/docker-compose-inventory.csv"
exam-report-files,FILESYSTEM,"Host filesystem",examination-service,"Uploaded medical report originals",AUTHORITATIVE_CANDIDATE,"relative path uploads/reports/{userId}",HOST,CONFIGURED,"uploads/reports/{userId}/{timestamp}_{originalFilename}","PATIENT_PROVIDED; CLINICAL_OBSERVATION",PHI,"examination-service; OCR service receives uploaded bytes",examination-service,NONE_LOCATED,UNKNOWN,UNKNOWN,"file path stored in examination_record.report_file_path",CODE_CONFIRMED,"No delete/retention/access-control path; original filename is retained in generated name; overwrite is enabled; atomicity with DB is absent","examination-service/src/main/java/com/aidoctor/examination/service/ExaminationService.java:38"
ocr-in-memory,PROCESS_MEMORY,"FastAPI UploadFile + PIL/OpenCV/Tesseract",ocr-service,"OCR input bytes and derived raw/structured output",TRANSIENT,"multipart upload",IN_PROCESS,EPHEMERAL,memory,"PATIENT_PROVIDED; CLINICAL_OBSERVATION",PHI,ocr-service,ocr-service,request_end,NONE,NOT_APPLICABLE,"image bytes; raw text; structured_data",CODE_CONFIRMED,"MIME/extension/size validation is not visible in OCR service; A2 runtime path was blocked","ocr-service/app/services/ocr_service.py:232"
service-log-files,FILESYSTEM,"RotatingFileHandler and Spring logging","multiple Java/Python services","Application logs",OBSERVABILITY,"relative logs/app.log",HOST,CONFIGURED,"*/logs/app.log; 10 MB x current plus five backups for common Python logger","AUDIT_TRACE; UNKNOWN",UNKNOWN,"operators; Promtail bind mounts",applications,"rotation only",APPROX_60_MB_PER_CONFIGURED_SERVICE,UNKNOWN,"plain UTF-8 log files",CODE_CONFIRMED,"PHI/secret filtering is not validated; no tracked log files were present","common/aidoctor_logger/logger.py:20; monitoring/docker-compose.yml:47"
loki-log-store,LOG_STORE,Loki,monitoring,"Centralized service logs",OBSERVABILITY,"auth disabled; filesystem chunks/index",COMPOSE,CONFIGURED,"loki-data:/loki","AUDIT_TRACE; UNKNOWN",UNKNOWN,"Grafana/Loki clients",Promtail,"retention compactor configured but explicit retention period is not set",UNKNOWN,UNKNOWN,"boltdb-shipper schema v11; 24h index period",CODE_CONFIRMED,"No runtime data inspection; authentication disabled; effective retention is unclear","monitoring/loki-config.yml:1"
