"compose_file","service_name","build_context","dockerfile","image","command","ports","networks","volumes","depends_on","healthcheck","environment_names","secret_risk","referenced_path_exists","config_result","build_result","startup_result","health_result","evidence_level","blocker","evidence_reference"
"docker-compose.yml","diagnosis-service","diagnosis-service","diagnosis-service/Dockerfile","openjdk:8-jdk-alpine","java -jar app.jar","8084:8084","aidoctor-network","NONE","mysql;redis","NONE","SPRING_PROFILES_ACTIVE;DATABASE_URL;REDIS_HOST;REDIS_PORT;NACOS_SERVER;DIAGNOSIS_ENGINE_SERVICE_URL;OCR_SERVICE_URL","Database URL is internal; no value secret in this row","YES Dockerfile/context; NO clean target JAR","PASS","FAIL: openjdk:8-jdk-alpine not found before COPY; clean target JAR also absent","NOT_STARTED","BLOCKED_NO_HEALTHCHECK","BLOCKED","Base image unresolved; prebuilt JAR required; dependency readiness not guaranteed","docker-compose.yml; diagnosis-service/Dockerfile"
"docker-compose.yml","examination-service","examination-service","examination-service/Dockerfile","openjdk:8-jdk-alpine","java -jar app.jar","8085:8085","aidoctor-network","NONE","mysql;ocr-service","NONE","SPRING_PROFILES_ACTIVE;DATABASE_URL;OCR_SERVICE_URL","Database URL is internal; no value secret in this row","YES Dockerfile/context; NO clean target JAR","PASS","BLOCKED: root build aborted on shared base-image resolution; clean target JAR absent","NOT_STARTED","BLOCKED_NO_HEALTHCHECK","BLOCKED","Prebuilt JAR and resolvable base image required; depends_on is not readiness","docker-compose.yml; examination-service/Dockerfile"
"docker-compose.yml","diagnosis-engine-service","diagnosis-engine-service","diagnosis-engine-service/Dockerfile","python:3.10-slim","uvicorn app.main:app --host 0.0.0.0 --port 8086","8086:8086","aidoctor-network","NONE","neo4j","NONE","NEO4J_URI;NEO4J_USER;NEO4J_PASSWORD;MILVUS_HOST;MILVUS_PORT","Hard-coded Neo4j development password","YES","PASS","BLOCKED: Python registry mirror EOF while resolving base image","NOT_STARTED","BLOCKED_NO_HEALTHCHECK","BLOCKED","Milvus host is referenced but no Milvus service exists; A2 dependency resolution also failed","docker-compose.yml; diagnosis-engine-service/Dockerfile"
"docker-compose.yml","workup-planner-service","workup-planner-service","workup-planner-service/Dockerfile","python:3.10-slim","uvicorn app.main:app --host 0.0.0.0 --port 8090","8090:8090","aidoctor-network","NONE","NONE","NONE","NONE","NONE","YES","PASS","BLOCKED: root build aborted while resolving base images","NOT_STARTED","BLOCKED_NO_HEALTHCHECK","BLOCKED","Image build not completed; A2 import blocker remains","docker-compose.yml; workup-planner-service/Dockerfile"
"docker-compose.yml","treatment-engine-service","treatment-engine-service","treatment-engine-service/Dockerfile","python:3.10-slim","uvicorn app.main:app --host 0.0.0.0 --port 8091","8091:8091","aidoctor-network","NONE","NONE","NONE","NONE","NONE","YES","PASS","BLOCKED: root build aborted while resolving base images","NOT_STARTED","BLOCKED_NO_HEALTHCHECK","BLOCKED","Image build not completed; no Compose readiness","docker-compose.yml; treatment-engine-service/Dockerfile"
"docker-compose.yml","risk-assessment-service","risk-assessment-service","risk-assessment-service/Dockerfile","python:3.10-slim","uvicorn app.main:app --host 0.0.0.0 --port 8092","8092:8092","aidoctor-network","NONE","NONE","NONE","NONE","NONE","YES","PASS","BLOCKED: root build aborted while resolving base images","NOT_STARTED","BLOCKED_NO_HEALTHCHECK","BLOCKED","Image build not completed; no Compose readiness","docker-compose.yml; risk-assessment-service/Dockerfile"
"docker-compose.yml","ocr-service","ocr-service","ocr-service/Dockerfile","python:3.10-slim","uvicorn app.main:app --host 0.0.0.0 --port 8087","8087:8087","aidoctor-network","NONE","NONE","NONE","NONE","NONE","YES","PASS","BLOCKED: Python registry mirror EOF while resolving base image","NOT_STARTED","BLOCKED_NO_HEALTHCHECK","BLOCKED","Image build not completed; A2 NumPy/OpenCV blocker remains","docker-compose.yml; ocr-service/Dockerfile"
"docker-compose.yml","mysql","NONE","NONE","mysql:8.0","--default-authentication-plugin=mysql_native_password","3306:3306","aidoctor-network","mysql_data:/var/lib/mysql","NONE","NONE","MYSQL_ROOT_PASSWORD;MYSQL_DATABASE;MYSQL_USER;MYSQL_PASSWORD","Hard-coded development passwords","YES image reference","PASS","NOT_ATTEMPTED_IMAGE_SERVICE","NOT_STARTED_SAFETY","BLOCKED_NO_HEALTHCHECK","CODE_CONFIRMED","Persistent volume and credentials; no safe isolated profile","docker-compose.yml:mysql"
"docker-compose.yml","redis","NONE","NONE","redis:7-alpine","image default","6379:6379","aidoctor-network","redis_data:/data","NONE","NONE","NONE","No authentication configured","YES image reference","PASS","NOT_ATTEMPTED_IMAGE_SERVICE","NOT_STARTED_SAFETY","BLOCKED_NO_HEALTHCHECK","CODE_CONFIRMED","Persistent volume; unauthenticated exposed host port","docker-compose.yml:redis"
"docker-compose.yml","neo4j","NONE","NONE","neo4j:5","image default","7474:7474;7687:7687","aidoctor-network","neo4j_data:/data;neo4j_logs:/logs","NONE","NONE","NEO4J_AUTH;NEO4J_PLUGINS","Hard-coded development password","YES image reference","PASS","NOT_ATTEMPTED_IMAGE_SERVICE","NOT_STARTED_SAFETY","BLOCKED_NO_HEALTHCHECK","CODE_CONFIRMED","Persistent graph data; mutable tag; credentials","docker-compose.yml:neo4j"
"docker-compose.yml","nacos","NONE","NONE","nacos/nacos-server:v2.2.3","image default","8848:8848","aidoctor-network","NONE","mysql","NONE","MODE;SPRING_DATASOURCE_PLATFORM;MYSQL_SERVICE_HOST;MYSQL_SERVICE_DB_NAME;MYSQL_SERVICE_PORT","No database password variable configured in Compose","YES image reference","PASS","NOT_ATTEMPTED_IMAGE_SERVICE","NOT_STARTED_SAFETY","BLOCKED_NO_HEALTHCHECK","CODE_CONFIRMED","depends_on is not readiness; requested nacos database is not initialized by visible MySQL settings","docker-compose.yml:nacos"
"monitoring/docker-compose.yml","prometheus","NONE","NONE","prom/prometheus:latest","prometheus with config and 30d retention flags","9090:9090","monitoring","prometheus.yml;alert_rules.yml;prometheus-data:/prometheus","NONE","NONE","NONE","NONE","YES","PASS","NOT_ATTEMPTED_IMAGE_SERVICE","NOT_STARTED_SAFETY","BLOCKED_NO_HEALTHCHECK","CODE_CONFIRMED","latest tag; persistent volume; lifecycle endpoint enabled","monitoring/docker-compose.yml:prometheus"
"monitoring/docker-compose.yml","loki","NONE","NONE","grafana/loki:latest","-config.file=/etc/loki/local-config.yaml","3100:3100","monitoring","loki-config.yml;loki-data:/loki","NONE","NONE","NONE","NONE","YES","PASS","NOT_ATTEMPTED_IMAGE_SERVICE","NOT_STARTED_SAFETY","BLOCKED_NO_HEALTHCHECK","CODE_CONFIRMED","latest tag; persistent logs; data content not inspected","monitoring/docker-compose.yml:loki"
"monitoring/docker-compose.yml","promtail","NONE","NONE","grafana/promtail:latest","-config.file=/etc/promtail/config.yml","NONE","monitoring","12 service log binds read-only; promtail-positions volume","loki","NONE","NONE","Logs may contain PHI or secrets; filtering not validated","YES referenced config and service directories; log subdirectories may be absent until runtime","PASS","NOT_ATTEMPTED_IMAGE_SERVICE","NOT_STARTED_SAFETY","BLOCKED_NO_HEALTHCHECK","CODE_CONFIRMED","latest tag; broad cross-service log access; content and PHI policy unknown","monitoring/docker-compose.yml:promtail"
"monitoring/docker-compose.yml","node_exporter","NONE","NONE","prom/node-exporter:latest","node exporter with host filesystem flags","9100:9100","monitoring","/proc;/sys;/:/rootfs all read-only","NONE","NONE","NONE","High host visibility despite read-only mounts","Paths are platform-dependent; config resolves","PASS","NOT_ATTEMPTED_IMAGE_SERVICE","NOT_STARTED_SAFETY","BLOCKED_NO_HEALTHCHECK","CODE_CONFIRMED","latest tag; broad host mounts; Windows compatibility unknown","monitoring/docker-compose.yml:node_exporter"
"monitoring/docker-compose.yml","grafana","NONE","NONE","grafana/grafana:latest","image default","3001:3000","monitoring","grafana-data;grafana/provisioning","prometheus;loki","NONE","GF_SECURITY_ADMIN_USER;GF_SECURITY_ADMIN_PASSWORD;GF_INSTALL_PLUGINS","Hard-coded admin/admin development credentials","YES","PASS","NOT_ATTEMPTED_IMAGE_SERVICE","NOT_STARTED_SAFETY","BLOCKED_NO_HEALTHCHECK","CODE_CONFIRMED","latest tag; default credentials; port 3001 conflicts with frontend-admin default","monitoring/docker-compose.yml:grafana"
"NOT_REFERENCED","clinical-parsing-service","clinical-parsing-service","clinical-parsing-service/Dockerfile","python:3.10-slim","uvicorn app.main:app --host 0.0.0.0 --port 8082","Dockerfile exposes none; app command 8082","NONE","NONE","NONE","NONE","NONE","No Docker-specific secret found; build context has no .dockerignore","YES","NOT_IN_COMPOSE","NOT_ATTEMPTED","NOT_STARTED","NOT_APPLICABLE","CODE_CONFIRMED","Standalone Dockerfile omitted from Compose; no USER or healthcheck","clinical-parsing-service/Dockerfile"
"NOT_REFERENCED","dialog-service","dialog-service","dialog-service/Dockerfile","python:3.10-slim","uvicorn app.main:app --host 0.0.0.0 --port 8088","8088 declared by command/EXPOSE","NONE","NONE","NONE","NONE","NONE","Runtime expects model/Redis environment outside Dockerfile","YES","NOT_IN_COMPOSE","NOT_ATTEMPTED","NOT_STARTED","NOT_APPLICABLE","CODE_CONFIRMED","Standalone Dockerfile omitted from Compose; real secret required by blocked import path; no USER/healthcheck","dialog-service/Dockerfile"
"NOT_REFERENCED","explanation-service","explanation-service","explanation-service/Dockerfile","python:3.10-slim","uvicorn app.main:app --host 0.0.0.0 --port 8089","Dockerfile exposes none; app command 8089","NONE","NONE","NONE","NONE","NONE","Runtime provider/CDP variables not defined here","YES","NOT_IN_COMPOSE","NOT_ATTEMPTED","NOT_STARTED","NOT_APPLICABLE","CODE_CONFIRMED","Standalone Dockerfile omitted from Compose; A2 dependency blocker; no USER/healthcheck","explanation-service/Dockerfile"
"NOT_REFERENCED","health-state-assessment-service","health-state-assessment-service","health-state-assessment-service/Dockerfile","python:3.10-slim","uvicorn app.main:app --host 0.0.0.0 --port 8081","Dockerfile exposes none; app command 8081","NONE","NONE","NONE","NONE","NONE","No Docker-specific secret found; build context has no .dockerignore","YES","NOT_IN_COMPOSE","NOT_ATTEMPTED","NOT_STARTED","NOT_APPLICABLE","CODE_CONFIRMED","Standalone Dockerfile omitted from Compose; A2 import blocker; no USER/healthcheck","health-state-assessment-service/Dockerfile"
"NOT_REFERENCED","knowledge-management-service","knowledge-management-service","knowledge-management-service/Dockerfile","python:3.10-slim","uvicorn app.main:app --host 0.0.0.0 --port 8094","8094: Dockerfile EXPOSE only","NONE","NONE","NONE","NONE","NONE","Runtime Neo4j settings external; build context has no .dockerignore","YES","NOT_IN_COMPOSE","NOT_ATTEMPTED","NOT_STARTED","NOT_APPLICABLE","CODE_CONFIRMED","Standalone Dockerfile omitted from Compose; no USER/healthcheck","knowledge-management-service/Dockerfile"
