finding_id,severity,category,file,section,description,evidence,required_fix,fix_status,blocking,notes
F-A65B-P01,P2,FORMAT,a6-5-b-structural-provenance-validation-plan.md,document-header,"Markdown metadata lines used hard-break trailing whitespace; git diff --check fails on PR #15 plan only","git diff --check 90cdc686...3c0e00a reports lines 3-7 trailing whitespace","Remove trailing whitespace without changing field semantics",FIXED,NO,Scope limited to PR #15 plan file
F-A65B-P02,P1,STATUS_SEMANTICS,a6-5-b-structural-provenance-validation-plan.md,§1,"Phrase 'B-Core may proceed independently' can be misread as current implementation authorization","§1 original wording vs required current status PLANNED/NOT_STARTED","Clarify B-Core is dependency-separable from B04 but remains NOT_STARTED until separately authorized; planning PR does not grant AUTHORIZED_FOR_IMPLEMENTATION",FIXED,YES,Added §2.1 current-vs-future status
F-A65B-P03,P1,EVIDENCE_LEAKAGE,a6-5-b-structural-provenance-validation-plan.md,§7,"B01 Evidence schema field top_level_symbols and incomplete redaction flags risk persisting clinical identifiers/literals/excerpts","Recommended fields included top_level_symbols; lacked raw_identifier_output/string_literal_output mandatory=no","Replace with structural_counts/hashes; mandate raw_identifier_output=no string_literal_output=no content_excerpt_emitted=no; forbid raw symbol/heading/literal persistence",FIXED,YES,Parser allow/forbid matrix added
F-A65B-P04,P1,ACCESS_MANIFEST,a6-5-b-structural-provenance-validation-plan.md,§4,"Access Manifest omitted authorization_status and raw_content_persistence; did not force NOT_YET_AUTHORIZED for B01-B03 / BLOCKED for B04; HUMAN_SUPERVISED_CLINICAL_READ listed without inactive constraint for B-Core","§4 original field list and access classes","Add authorization_status/raw_content_persistence; require NOT_YET_AUTHORIZED/BLOCKED at planning time; mark HUMAN_SUPERVISED_CLINICAL_READ inactive except separately authorized B04",FIXED,YES,plan/authorization/execution statuses distinguished
F-A65B-P05,P1,B03_COMPARISON,a6-5-b-structural-provenance-validation-plan.md,§5.3/§9,"7 targets could be misread as 7 comparison pairs or full C(7,2) behavior comparisons; behavior_equivalence and SoT decision fields underspecified","§5.3 expected total 7; §9 fields lacked defaults and relationship generation rules","State 7 targets != comparison pairs; define relationship generation; default behavior_equivalence=NOT_EVALUATED; split sot_candidate/sot_decision_status/decision_owner_role",FIXED,YES,Also forbid silent merge/SoT production selection
F-A65B-P06,P1,B04_GATE,a6-5-b-structural-provenance-validation-plan.md,§10,"B04 unlock list omitted explicit Repository Owner separate authorization and Human Clinical Reviewer Role as first-class conditions","Original §10 listed 9 conditions starting at clinical owner","Expand to 11 unlock conditions including Repository Owner auth != Clinical Owner approval; keep HUMAN_SUPERVISED inactive outside B04; forbid creating extraction artifact during plan review",FIXED,YES,Candidate asset set unchanged (9)
F-A65B-P07,P2,DEPENDENCY_GRAPH,a6-5-b-structural-provenance-validation-plan.md,§5/§18,"Plan did not explicitly document backlog dependency graph B01||B02; B03<-B01; B04 blocked; C02 blocked by B04 without blocking all C","Backlog CSV deps verified TASK-B01<-A01; B02<-A02; B03<-B01; B04<-A03;B01; C01<-B01; C02<-B01;B04; C03<-C01","Add §5.4 dependency graph and sequence notes; do not authorize C tasks",FIXED,NO,Cardinality already correct
F-A65B-P08,P2,HISTORICAL_STATUS,a6-5-b-structural-provenance-validation-plan.md,§2/§4,"Historical backlog PLANNED and Decision Log 'planning only' snapshots could collide with A6.5-A MERGED_AND_VERIFIED without Gate-B0 addendum rule","Backlog A01-A03 still PLANNED; Decision Log header planning only; A6.5-A Evidence merged","Document historical snapshot rule; Gate-B0 Current Implementation Status Addendum without rewriting history",FIXED,NO,No backlog/decision-log edits in this PR
F-A65B-P09,P2,EVIDENCE_KEYS,a6-5-b-structural-provenance-validation-plan.md,§7/§11,"Partial deliverable legacy-design-code-evidence.csv lacked stable append/version strategy and unified key table","Backlog marks design-code evidence partial; schema listed evidence_id only in B01","Define stable keys access_id/evidence_id/governance_id/conflict_id/execution_id+validation_id; append-by-key; no incompatible same-name schema overwrite",FIXED,NO,Supports future C/D reuse
F-A65B-P10,P2,GOVERNANCE_LAYERS,a6-5-b-structural-provenance-validation-plan.md,§8,"B02 allowed statuses were mostly correct but three-layer Observed/Provisional/Human Decision and forbidden auto-approval labels were implicit","License/clinical enums present; LEGAL_APPROVED/CLINICALLY_VALIDATED not listed but not explicitly forbidden","Make three layers explicit; forbid LEGAL_APPROVED/PRODUCT_APPROVED/ELIGIBLE_FOR_KNOWLEDGE_RELEASE/CLINICALLY_* without human decision evidence; clarify UNASSIGNED != no owner required",FIXED,NO,Risk/OD preservation restated
F-A65B-P11,P3,SEQUENCE_CLARITY,a6-5-b-structural-provenance-validation-plan.md,§18/§19,"Recommended sequence jumped from plan merge to B-Core without independent plan remediation step and full-B exit distinction","§16 had CORE vs full B; §18 omitted remediation merge step","Insert plan review/remediation step; restate PARTIALLY_COMPLETE until B04 done",FIXED,NO,Non-blocking clarity
