gate_id,required_for_engineering_freeze,historical_register_state,historical_blocker_classification,current_effective_freeze_judgment,effective_evidence_state,effective_evidence_reference,freeze_blocker,remediation_required,debt_class,future_gate,notes
EB-BUILD-CI,true,SATISFIED,NON_BLOCKING_DURABLE_DEBT,SATISFIED_FOR_ENGINEERING_FREEZE,CI_VERIFIED,NC-CLOSE-03; Phase A CI MVP push 32103822425 success on candidate 840a6fc7f83cec4fda6d53d739d7fd6b8013f031,false,false,none,none,CI_VERIFIED only; not repository runtime clinical or production evidence
EB-A2-WORKUP,true,UNSATISFIED,ENGINEERING_FREEZE_BLOCKER,SATISFIED_FOR_ENGINEERING_FREEZE,RUNTIME_VERIFIED_LOCAL,PR #55; eb-remediate-a2-startup-report.md blob 5f54ca1a33707c83d8f70150aa164e1999429a98; results CSV blob 90f915020d69c7a493dc5c15f4bc8293073a3767; merged candidate 840a6fc7f83cec4fda6d53d739d7fd6b8013f031 / tree d68d96d49eda96fe93dfb0c6c013b961a8e4b966,false,false,none,none,CURRENT JUDGMENT SUPERSESSION only. Historical register remains UNSATISFIED + ENGINEERING_FREEZE_BLOCKER. RUNTIME_VERIFIED_LOCAL != REPOSITORY_RUNTIME_VERIFIED
EB-A2-DIAG-ENGINE,true,UNSATISFIED,ENGINEERING_FREEZE_BLOCKER,SATISFIED_FOR_ENGINEERING_FREEZE,RUNTIME_VERIFIED_LOCAL,PR #55; eb-remediate-a2-startup-report.md blob 5f54ca1a33707c83d8f70150aa164e1999429a98; results CSV blob 90f915020d69c7a493dc5c15f4bc8293073a3767; merged candidate 840a6fc7f83cec4fda6d53d739d7fd6b8013f031 / tree d68d96d49eda96fe93dfb0c6c013b961a8e4b966,false,false,none,none,CURRENT JUDGMENT SUPERSESSION only. Historical register remains UNSATISFIED + ENGINEERING_FREEZE_BLOCKER. jinja2==3.1.2 + lazy LLM getters. A7-NC facade unchanged
EB-A2-OCR,true,UNSATISFIED,ENGINEERING_FREEZE_BLOCKER,SATISFIED_FOR_ENGINEERING_FREEZE,RUNTIME_VERIFIED_LOCAL,PR #55; eb-remediate-a2-startup-report.md blob 5f54ca1a33707c83d8f70150aa164e1999429a98; results CSV blob 90f915020d69c7a493dc5c15f4bc8293073a3767; merged candidate 840a6fc7f83cec4fda6d53d739d7fd6b8013f031 / tree d68d96d49eda96fe93dfb0c6c013b961a8e4b966,false,false,none,none,CURRENT JUDGMENT SUPERSESSION only. Historical register remains UNSATISFIED + ENGINEERING_FREEZE_BLOCKER. numpy==1.24.3; OpenCV unchanged
EB-A2-DIALOG,true,UNSATISFIED,REQUIRES_RESCOPE_EXIT_JUDGMENT,ACCEPTED_DURABLE_DEBT,DOCUMENTED,NC-CLOSE-05; GAP-A2-DIALOG; A7-NC FAIL_CLOSED_NO_ENABLE_PATH; llm_client.py blob 48197f148562c5e7a5d8f05b60c6de2f79d38ffd,false,false,ACCEPTED_DURABLE_DEBT,none,EXPECTED_FAIL_CLOSED_CONTAINMENT. Do not infer dialog clinical/model runtime is operational. Do not enable LLM to remove this debt
EB-CONTRACTS-V1,true,SATISFIED,NON_BLOCKING_DURABLE_DEBT,SATISFIED_FOR_ENGINEERING_FREEZE,DOCUMENTED,contracts/v1 1.0.0 EXACT; NC-CLOSE-02 bindings existing/ACTIVE-STABLE; bindings README,false,false,none,none,contracts/v1 semantics are freeze-protected. BINDING_CREATED != JAVA_RUNTIME_MIGRATED. Future semantic change requires version/change governance
EB-CONTRACT-RUNTIME-MIG,false,PARTIALLY_VALIDATED,POST_FREEZE_IMPLEMENTATION_DEBT,POST_FREEZE_IMPLEMENTATION_DEBT_CONFIRMED,DOCUMENTED,NC-CLOSE-02; GAP-CONTRACT-RUNTIME,false,false,POST_FREEZE_IMPLEMENTATION_DEBT,post_engineering_freeze,DECISION/ADR FROZEN != IMPLEMENTATION COMPLETE. Runtime consumers may implement against existing contracts/v1 semantics after freeze
EB-CAPABILITY-STRUCTURAL,true,PARTIALLY_VALIDATED,NON_BLOCKING_DURABLE_DEBT,ACCEPTED_DURABLE_DEBT,CODE_CONFIRMED,capabilities/adult_respiratory_v1/manifest.yaml; A6 evidence,false,false,ACCEPTED_DURABLE_DEBT,clinical_reentry,STRUCTURAL_CAPABILITY_PACKAGE / DESIGN_REFERENCE_ONLY. adult_respiratory_v1 remains DRAFT PARTIALLY_VALIDATED REQUIRES_CLINICAL_REVIEW NOT_IMPLEMENTED Production BLOCKED owner_status UNASSIGNED. No clinical approval
EB-A65-GOVERNANCE,true,SATISFIED,NON_BLOCKING_DURABLE_DEBT,SATISFIED_FOR_ENGINEERING_FREEZE,DOCUMENTED,A6.5 Exit; PR #38,false,false,none,none,PASS_LEGACY_GOVERNANCE_ONLY != A6 COMPLETE
EB-A7-NC,true,SATISFIED,NON_BLOCKING_DURABLE_DEBT,SATISFIED_FOR_ENGINEERING_FREEZE,DOCUMENTED,A7-NC Exit; llm_client.py blob 48197f148562c5e7a5d8f05b60c6de2f79d38ffd,false,false,none,none,LangChainLLMClient construction raises LegacyLLMDisabledError before SDK network credentials clinical Prompt. Provider 0/FORBIDDEN. Do not reopen A7-NC semantics
EB-A7-ENGINEERING,true,SATISFIED,NON_BLOCKING_DURABLE_DEBT,SATISFIED_FOR_ENGINEERING_FREEZE,DOCUMENTED,RESCOPE-01 amendment section 9; A7-NC Exit,false,false,none,none,A7-ENGINEERING COMPLETE is alias of A7-NC COMPLETE. A7-ENGINEERING COMPLETE != A7 COMPLETE
EB-ADR-COVERAGE,true,SATISFIED,NON_BLOCKING_DURABLE_DEBT,SATISFIED_FOR_ENGINEERING_FREEZE,DOCUMENTED,NC-CLOSE-01A/B/C,false,false,none,none,FULL ADR decision coverage frozen. Decision coverage != implementation authorization
EB-NC03-CI,true,SATISFIED,NON_BLOCKING_DURABLE_DEBT,SATISFIED_FOR_ENGINEERING_FREEZE,CI_VERIFIED,NC-CLOSE-03; Phase A CI MVP,false,false,none,none,Does not authorize original Frozen Baseline or production
EB-NC04-WORKFLOW,true,VERIFIED,REQUIRES_RESCOPE_EXIT_JUDGMENT,SATISFIED_FOR_ENGINEERING_FREEZE,TEST_VERIFIED,NC-CLOSE-04 verification report; NC-CLOSE-07; NC-CLOSE-WF-01 VERIFIED technical characterization,false,false,none,none,TEST_VERIFIED only. Do not write RUNTIME_VERIFIED. NC-CLOSE-04 overall remains PARTIALLY_VALIDATED because TRACE remains PARTIALLY_VALIDATED
EB-NC04-TRACE,true,PARTIALLY_VALIDATED,REQUIRES_RESCOPE_EXIT_JUDGMENT,ACCEPTED_DURABLE_DEBT,PARTIALLY_VALIDATED,NC-CLOSE-04; GAP-NC04-TRACE-DEBT,false,false,ACCEPTED_DURABLE_DEBT,post_engineering_freeze,Do not upgrade to VERIFIED. Preserve coverage gaps default-off OTel equivalence deferred production occupancy UNKNOWN
EB-NC05-ACCOUNTING,true,SATISFIED,NON_BLOCKING_DURABLE_DEBT,SATISFIED_FOR_ENGINEERING_FREEZE,DOCUMENTED,NC-CLOSE-05,false,false,none,none,ACCOUNTING_COMPLETE != ALL_RUNTIME_PASS != RUNTIME_VERIFIED
EB-NC06-RECONCILIATION,true,SATISFIED,NON_BLOCKING_DURABLE_DEBT,SATISFIED_FOR_ENGINEERING_FREEZE,DOCUMENTED,NC-CLOSE-06,false,false,none,none,Design/reconciliation != clinical E2E execution
EB-NC-CLOSURE-EXIT,true,SATISFIED,NON_BLOCKING_DURABLE_DEBT,SATISFIED_FOR_ENGINEERING_FREEZE,DOCUMENTED,NC-CLOSE-07 Exit Record blob e13807cbdc764a81997176ce84e9a5eb9c06e2bb,false,false,none,none,NC Exit != A11 PASS != original Frozen PASS
EB-PROVIDER-ZERO,true,SATISFIED,NON_BLOCKING_DURABLE_DEBT,SATISFIED_FOR_ENGINEERING_FREEZE,DOCUMENTED,A7-NC Exit; A7-CL-01; RESCOPE-01,false,false,none,none,Hard invariant: real provider = 0 / FORBIDDEN; provider activation credentials = 0. Future violation requires governance
EB-PHI-ZERO,true,SATISFIED,NON_BLOCKING_DURABLE_DEBT,SATISFIED_FOR_ENGINEERING_FREEZE,DOCUMENTED,A7-NC Exit; A7-CL-01; RESCOPE-01,false,false,none,none,Hard invariant: PHI = 0; real patient data = 0
EB-A7CL-EXCLUSION,false,DEFERRED_OUT_OF_BASELINE,CLINICAL_ONLY_DEFERRED,DEFERRED_OUT_OF_ENGINEERING_BASELINE_CONFIRMED,DOCUMENTED,A7-CL-01; RESCOPE-01,false,false,DEFERRED_OUT_OF_ENGINEERING_BASELINE,clinical_reentry,A7-CL DEFERRED_OUT_OF_CURRENT_BASELINE but NOT COMPLETE. A7-CL-02 NOT_AUTHORIZED
EB-FB11-EXCLUSION,false,NOT_APPLICABLE_TO_ENGINEERING_BASELINE,CLINICAL_ONLY_DEFERRED,NOT_APPLICABLE_CONFIRMED,DOCUMENTED,A6.5 section 14; A7-CL-01; RESCOPE-01,false,false,NOT_APPLICABLE,original_frozen_baseline,Object-qualified only. Original Frozen FB-11 remains UNSATISFIED / PRESERVED. Never publish unqualified FB-11 NOT_APPLICABLE or SATISFIED
EB-FB21-EXCLUSION,false,NOT_APPLICABLE_TO_ENGINEERING_BASELINE,CLINICAL_ONLY_DEFERRED,NOT_APPLICABLE_CONFIRMED,DOCUMENTED,A6.5 section 14; PR29; RESCOPE-01,false,false,NOT_APPLICABLE,original_frozen_baseline,A7 remains NOT_COMPLETE. FB-21 PRESERVED / UNSATISFIED THROUGH A7 NOT_COMPLETE. Engineering Baseline consumes A7-NC only
EB-PHASEB-EXCLUSION,false,DEFERRED_OUT_OF_BASELINE,PHASE_B_DEFERRED,DEFERRED_OUT_OF_ENGINEERING_BASELINE_CONFIRMED,DOCUMENTED,ADR-02; A7-CL-01; roadmap Phase B,false,false,DEFERRED_OUT_OF_ENGINEERING_BASELINE,phase_b,Phase B = NOT_AUTHORIZED. Do not pull Phase B into Phase A
EB-A11-SEPARATION,false,NOT_APPLICABLE_TO_ENGINEERING_BASELINE,CLINICAL_ONLY_DEFERRED,NOT_APPLICABLE_CONFIRMED,DOCUMENTED,NC Closure amendment section 7; 架构冻结基线 section 12,false,false,NOT_APPLICABLE,original_a11,A11 remains NOT_PASSED. Do not reuse A11 as ENGINEERING_FREEZE_REVIEW. Engineering Freeze != A11 PASS
EB-NEO4J-FUSION,false,PARTIALLY_VALIDATED,REQUIRES_RESCOPE_EXIT_JUDGMENT,ACCEPTED_DURABLE_DEBT,DOCUMENTED,ADR-08; GAP-NEO4J-STRUCT,false,false,ACCEPTED_DURABLE_DEBT,clinical_reentry,CLINICAL_ONLY_DEFERRED. TECHNICAL_GRAPH_UNAVAILABLE != MEDICAL_NEGATIVE_RESULT. Do not claim Neo4j is medical guideline authority
EB-PY-RUNTIME-IMPL,false,UNSATISFIED,POST_FREEZE_IMPLEMENTATION_DEBT,POST_FREEZE_IMPLEMENTATION_DEBT_CONFIRMED,DOCUMENTED,ADR-04; GAP-PY-RUNTIME-IMPL,false,false,POST_FREEZE_IMPLEMENTATION_DEBT,post_engineering_freeze,DECISION/ADR FROZEN != IMPLEMENTATION COMPLETE
EB-DB-BACKEND,false,DEFERRED_OUT_OF_BASELINE,POST_FREEZE_IMPLEMENTATION_DEBT,POST_FREEZE_IMPLEMENTATION_DEBT_CONFIRMED,DOCUMENTED,ADR-01; GAP-DB-VENDOR,false,false,POST_FREEZE_IMPLEMENTATION_DEBT,post_engineering_freeze,Production primary DB vendor remains deferred by valid ADR
EB-VECTOR,false,DEFERRED_OUT_OF_BASELINE,POST_FREEZE_IMPLEMENTATION_DEBT,POST_FREEZE_IMPLEMENTATION_DEBT_CONFIRMED,DOCUMENTED,ADR-06; GAP-VECTOR,false,false,POST_FREEZE_IMPLEMENTATION_DEBT,post_engineering_freeze,No embeddings and no vendor selection
EB-BM25,false,DEFERRED_OUT_OF_BASELINE,POST_FREEZE_IMPLEMENTATION_DEBT,POST_FREEZE_IMPLEMENTATION_DEBT_CONFIRMED,DOCUMENTED,ADR-07; GAP-BM25,false,false,POST_FREEZE_IMPLEMENTATION_DEBT,post_engineering_freeze,Never a citation replacement
EB-SECRET,false,DEFERRED_OUT_OF_BASELINE,POST_FREEZE_IMPLEMENTATION_DEBT,POST_FREEZE_IMPLEMENTATION_DEBT_CONFIRMED,DOCUMENTED,ADR-09; GAP-SECRET,false,false,POST_FREEZE_IMPLEMENTATION_DEBT,post_engineering_freeze,No real provider credentials
EB-OTEL-BACKEND,false,DEFERRED_OUT_OF_BASELINE,POST_FREEZE_IMPLEMENTATION_DEBT,POST_FREEZE_IMPLEMENTATION_DEBT_CONFIRMED,DOCUMENTED,ADR-10; GAP-OTEL-BACKEND,false,false,POST_FREEZE_IMPLEMENTATION_DEBT,post_engineering_freeze,Do not treat OTel backend as implemented
EB-AOP-OTEL,false,DEFERRED_OUT_OF_BASELINE,POST_FREEZE_IMPLEMENTATION_DEBT,POST_FREEZE_IMPLEMENTATION_DEBT_CONFIRMED,DOCUMENTED,ADR-11; GAP-AOP-OTEL,false,false,POST_FREEZE_IMPLEMENTATION_DEBT,post_engineering_freeze,Do not remove AOP first
EB-STATE-COMMITTER,false,DEFERRED_OUT_OF_BASELINE,PHASE_B_DEFERRED,DEFERRED_OUT_OF_ENGINEERING_BASELINE_CONFIRMED,DOCUMENTED,ADR-02; GAP-STATE-COMMITTER,false,false,DEFERRED_OUT_OF_ENGINEERING_BASELINE,phase_b,Executable implementation = PHASE_B_DEFERRED. Structural ownership may be freeze protected. Implementation is NOT part of Phase A Engineering Baseline
