quarantine_id,asset_id,path,path_status,risk_id,risk_basis,quarantine_reason,containment,allowed_actions,forbidden_actions,owner_role,reviewer_roles,blocking_decision,unblock_evidence,evidence_reference,status,notes
Q-001,ENG-006,common/aidoctor_trace/trace_decorator.py,TRACKED_FILE,RISK-001,PHI_CAPABLE_PATH,PHI_CAPABLE_OR_POTENTIAL_PATIENT_BEARING_PATH,path_level_metadata_only;no_file_move;no_content_read;no_live_store_access,metadata_inventory;path_reference_check;governance_review_request,content_read;approve;knowledge_release;runtime_enable;migrate;delete;live_store_access,UNASSIGNED,security;privacy,fail_closed_until_review,privacy_authorization_record;retention_policy;redaction_policy;access_control_evidence;audit_log_policy,a6-5-a-quarantine-register.csv#Q-001,QUARANTINED_AT_PATH_LEVEL,assigned_owner=UNASSIGNED; required_owner_role=security/privacy owner role; validation_method_hint=PRIVACY_REVIEW; UNASSIGNED means no accountable human owner is assigned. Required reviewer/owner roles are recorded in reviewer_roles / required_owner_role note. PHI_CAPABLE_PATH_ONLY; not confirmed patient data
Q-002,ENG-007,common/aidoctor_logger/logger.py,TRACKED_FILE,RISK-001,PHI_CAPABLE_PATH,PHI_CAPABLE_OR_POTENTIAL_PATIENT_BEARING_PATH,path_level_metadata_only;no_file_move;no_content_read;no_live_store_access,metadata_inventory;path_reference_check;governance_review_request,content_read;approve;knowledge_release;runtime_enable;migrate;delete;live_store_access,UNASSIGNED,security;privacy,fail_closed_until_review,privacy_authorization_record;retention_policy;redaction_policy;access_control_evidence;audit_log_policy,a6-5-a-quarantine-register.csv#Q-002,QUARANTINED_AT_PATH_LEVEL,assigned_owner=UNASSIGNED; required_owner_role=security/privacy owner role; validation_method_hint=PRIVACY_REVIEW; UNASSIGNED means no accountable human owner is assigned. Required reviewer/owner roles are recorded in reviewer_roles / required_owner_role note. PHI_CAPABLE_PATH_ONLY; not confirmed patient data
Q-003,PHI-001,diagnosis-service runtime DB entities CDP/DiagnosisRecord/etc,RUNTIME_PATH_ONLY,RISK-001,PHI_CAPABLE_PATH,PHI_CAPABLE_OR_POTENTIAL_PATIENT_BEARING_PATH,path_level_metadata_only;no_file_move;no_content_read;no_live_store_access,metadata_inventory;path_reference_check;governance_review_request,content_read;approve;knowledge_release;runtime_enable;migrate;delete;live_store_access,UNASSIGNED,security;privacy,fail_closed_until_review,privacy_authorization_record;retention_policy;redaction_policy;access_control_evidence;audit_log_policy,a6-5-a-quarantine-register.csv#Q-003,QUARANTINED_AT_PATH_LEVEL,assigned_owner=UNASSIGNED; required_owner_role=security/privacy owner role; validation_method_hint=PRIVACY_REVIEW; UNASSIGNED means no accountable human owner is assigned. Required reviewer/owner roles are recorded in reviewer_roles / required_owner_role note. PHI_CAPABLE_PATH_ONLY; not confirmed patient data
Q-004,PHI-002,examination-service uploads/reports/{userId}/,RUNTIME_PATH_ONLY,RISK-001,PHI_CAPABLE_PATH,PHI_CAPABLE_OR_POTENTIAL_PATIENT_BEARING_PATH,path_level_metadata_only;no_file_move;no_content_read;no_live_store_access,metadata_inventory;path_reference_check;governance_review_request,content_read;approve;knowledge_release;runtime_enable;migrate;delete;live_store_access,UNASSIGNED,security;privacy,fail_closed_until_review,privacy_authorization_record;retention_policy;redaction_policy;access_control_evidence;audit_log_policy,a6-5-a-quarantine-register.csv#Q-004,QUARANTINED_AT_PATH_LEVEL,assigned_owner=UNASSIGNED; required_owner_role=security/privacy owner role; validation_method_hint=PRIVACY_REVIEW; UNASSIGNED means no accountable human owner is assigned. Required reviewer/owner roles are recorded in reviewer_roles / required_owner_role note. PHI_CAPABLE_PATH_ONLY; not confirmed patient data
Q-005,PHI-003,dialog-service Redis key dialog:context:{cdp_id},RUNTIME_PATH_ONLY,RISK-001,PHI_CAPABLE_PATH,PHI_CAPABLE_OR_POTENTIAL_PATIENT_BEARING_PATH,path_level_metadata_only;no_file_move;no_content_read;no_live_store_access,metadata_inventory;path_reference_check;governance_review_request,content_read;approve;knowledge_release;runtime_enable;migrate;delete;live_store_access,UNASSIGNED,security;privacy,fail_closed_until_review,privacy_authorization_record;retention_policy;redaction_policy;access_control_evidence;audit_log_policy,a6-5-a-quarantine-register.csv#Q-005,QUARANTINED_AT_PATH_LEVEL,assigned_owner=UNASSIGNED; required_owner_role=security/privacy owner role; validation_method_hint=PRIVACY_REVIEW; UNASSIGNED means no accountable human owner is assigned. Required reviewer/owner roles are recorded in reviewer_roles / required_owner_role note. PHI_CAPABLE_PATH_ONLY; not confirmed patient data
Q-006,PHI-004,ocr-service input/output buffers,RUNTIME_PATH_ONLY,RISK-001,PHI_CAPABLE_PATH,PHI_CAPABLE_OR_POTENTIAL_PATIENT_BEARING_PATH,path_level_metadata_only;no_file_move;no_content_read;no_live_store_access,metadata_inventory;path_reference_check;governance_review_request,content_read;approve;knowledge_release;runtime_enable;migrate;delete;live_store_access,UNASSIGNED,security;privacy,fail_closed_until_review,privacy_authorization_record;retention_policy;redaction_policy;access_control_evidence;audit_log_policy,a6-5-a-quarantine-register.csv#Q-006,QUARANTINED_AT_PATH_LEVEL,assigned_owner=UNASSIGNED; required_owner_role=security/privacy owner role; validation_method_hint=PRIVACY_REVIEW; UNASSIGNED means no accountable human owner is assigned. Required reviewer/owner roles are recorded in reviewer_roles / required_owner_role note. PHI_CAPABLE_PATH_ONLY; not confirmed patient data
Q-007,PHI-005,execution-trace-service ExecutionTrace store,RUNTIME_PATH_ONLY,RISK-001,PHI_CAPABLE_PATH,PHI_CAPABLE_OR_POTENTIAL_PATIENT_BEARING_PATH,path_level_metadata_only;no_file_move;no_content_read;no_live_store_access,metadata_inventory;path_reference_check;governance_review_request,content_read;approve;knowledge_release;runtime_enable;migrate;delete;live_store_access,UNASSIGNED,security;privacy,fail_closed_until_review,privacy_authorization_record;retention_policy;redaction_policy;access_control_evidence;audit_log_policy,a6-5-a-quarantine-register.csv#Q-007,QUARANTINED_AT_PATH_LEVEL,assigned_owner=UNASSIGNED; required_owner_role=security/privacy owner role; validation_method_hint=PRIVACY_REVIEW; UNASSIGNED means no accountable human owner is assigned. Required reviewer/owner roles are recorded in reviewer_roles / required_owner_role note. PHI_CAPABLE_PATH_ONLY; not confirmed patient data
Q-008,PHI-006,frontend/src/components/cdp-visualization/,TRACKED_DIRECTORY_SUMMARY,RISK-001,PHI_CAPABLE_PATH,PHI_CAPABLE_OR_POTENTIAL_PATIENT_BEARING_PATH,path_level_metadata_only;no_file_move;no_content_read;no_live_store_access,metadata_inventory;path_reference_check;governance_review_request,content_read;approve;knowledge_release;runtime_enable;migrate;delete;live_store_access,UNASSIGNED,security;privacy,fail_closed_until_review,privacy_authorization_record;retention_policy;redaction_policy;access_control_evidence;audit_log_policy,a6-5-a-quarantine-register.csv#Q-008,QUARANTINED_AT_PATH_LEVEL,assigned_owner=UNASSIGNED; required_owner_role=security/privacy owner role; validation_method_hint=PRIVACY_REVIEW; UNASSIGNED means no accountable human owner is assigned. Required reviewer/owner roles are recorded in reviewer_roles / required_owner_role note. PHI_CAPABLE_PATH_ONLY; not confirmed patient data
Q-009,WF-004,diagnosis-service/src/main/java/com/aidoctor/diagnosis/entity/CDP.java,TRACKED_FILE,RISK-001,PHI_CAPABLE_PATH,PHI_CAPABLE_OR_POTENTIAL_PATIENT_BEARING_PATH,path_level_metadata_only;no_file_move;no_content_read;no_live_store_access,metadata_inventory;path_reference_check;governance_review_request,content_read;approve;knowledge_release;runtime_enable;migrate;delete;live_store_access,UNASSIGNED,security;privacy,fail_closed_until_review,privacy_authorization_record;retention_policy;redaction_policy;access_control_evidence;audit_log_policy,a6-5-a-quarantine-register.csv#Q-009,QUARANTINED_AT_PATH_LEVEL,assigned_owner=UNASSIGNED; required_owner_role=security/privacy owner role; validation_method_hint=PRIVACY_REVIEW; UNASSIGNED means no accountable human owner is assigned. Required reviewer/owner roles are recorded in reviewer_roles / required_owner_role note. PHI_CAPABLE_PATH_ONLY; not confirmed patient data
Q-010,WF-005,diagnosis-service/src/main/java/com/aidoctor/diagnosis/entity/CDPVersion.java,TRACKED_FILE,RISK-001,PHI_CAPABLE_PATH,PHI_CAPABLE_OR_POTENTIAL_PATIENT_BEARING_PATH,path_level_metadata_only;no_file_move;no_content_read;no_live_store_access,metadata_inventory;path_reference_check;governance_review_request,content_read;approve;knowledge_release;runtime_enable;migrate;delete;live_store_access,UNASSIGNED,security;privacy,fail_closed_until_review,privacy_authorization_record;retention_policy;redaction_policy;access_control_evidence;audit_log_policy,a6-5-a-quarantine-register.csv#Q-010,QUARANTINED_AT_PATH_LEVEL,assigned_owner=UNASSIGNED; required_owner_role=security/privacy owner role; validation_method_hint=PRIVACY_REVIEW; UNASSIGNED means no accountable human owner is assigned. Required reviewer/owner roles are recorded in reviewer_roles / required_owner_role note. PHI_CAPABLE_PATH_ONLY; not confirmed patient data
