service,file_path,symbol,operation,state_object,field_or_domain,direct_or_indirect,transport,target_service,version_check,transaction_or_atomicity,fallback,possible_multi_writer,evidence_level,risk,target_action_candidate,notes
health-state-assessment-service,health-state-assessment-service/app/utils/cdp_reader.py,read_cdp_fields,READ,CDP,requested fields mapped between snake_case/camelCase,direct,HTTP GET,diagnosis-service,NO,none,returns empty dict on error,NO,CODE_CONFIRMED,silent empty-state fallback,WRAP,default URL is commonly localhost:8080 while Java diagnosis is documented on 8084
clinical-parsing-service,clinical-parsing-service/app/utils/cdp_reader.py,read_cdp_fields,READ,CDP,requested fields mapped between snake_case/camelCase,direct,HTTP GET,diagnosis-service,NO,none,returns empty dict on error,NO,CODE_CONFIRMED,silent empty-state fallback,WRAP,default URL is commonly localhost:8080 while Java diagnosis is documented on 8084
dialog-service,dialog-service/app/utils/cdp_reader.py,read_cdp_fields,READ,CDP,requested fields mapped between snake_case/camelCase,direct,HTTP GET,diagnosis-service,NO,none,returns empty dict on error,NO,CODE_CONFIRMED,silent empty-state fallback,WRAP,default URL is commonly localhost:8080 while Java diagnosis is documented on 8084
diagnosis-engine-service,diagnosis-engine-service/app/utils/cdp_reader.py,read_cdp_fields,READ,CDP,requested fields mapped between snake_case/camelCase,direct,HTTP GET,diagnosis-service,NO,none,returns empty dict on error,NO,CODE_CONFIRMED,silent empty-state fallback,WRAP,default URL is commonly localhost:8080 while Java diagnosis is documented on 8084
workup-planner-service,workup-planner-service/app/utils/cdp_reader.py,read_cdp_fields,READ,CDP,requested fields mapped between snake_case/camelCase,direct,HTTP GET,diagnosis-service,NO,none,returns empty dict on error,NO,CODE_CONFIRMED,silent empty-state fallback,WRAP,default URL is commonly localhost:8080 while Java diagnosis is documented on 8084
treatment-engine-service,treatment-engine-service/app/utils/cdp_reader.py,read_cdp_fields,READ,CDP,requested fields mapped between snake_case/camelCase,direct,HTTP GET,diagnosis-service,NO,none,returns empty dict on error,NO,CODE_CONFIRMED,silent empty-state fallback,WRAP,default URL is commonly localhost:8080 while Java diagnosis is documented on 8084
risk-assessment-service,risk-assessment-service/app/utils/cdp_reader.py,read_cdp_fields,READ,CDP,requested fields mapped between snake_case/camelCase,direct,HTTP GET,diagnosis-service,NO,none,returns empty dict on error,NO,CODE_CONFIRMED,silent empty-state fallback,WRAP,default URL is commonly localhost:8080 while Java diagnosis is documented on 8084
explanation-service,explanation-service/app/utils/cdp_reader.py,read_cdp_fields,READ,CDP,requested fields mapped between snake_case/camelCase,direct,HTTP GET,diagnosis-service,NO,none,returns empty dict on error,NO,CODE_CONFIRMED,silent empty-state fallback,WRAP,default URL is commonly localhost:8080 while Java diagnosis is documented on 8084
health-state-assessment-service,health-state-assessment-service/app/api/routes.py,ToolResult.suggested_writes,PROPOSE_WRITE,CDP,cdp.health_state_assessment;cdp.wellness_plan,indirect,ToolResult payload,agent/orchestrator,reference version present in ToolContext but no local enforcement,none,caller decides,YES if multiple consumers also write,CODE_CONFIRMED,proposal is not an atomic commit,ADAPT,A2 did not execute writes
clinical-parsing-service,clinical-parsing-service/app/api/routes.py,ToolResult.suggested_writes,PROPOSE_WRITE,CDP,cdp.patient_state,indirect,ToolResult payload,agent/orchestrator,reference version present in ToolContext but no local enforcement,none,caller decides,YES if multiple consumers also write,CODE_CONFIRMED,proposal is not an atomic commit,ADAPT,A2 did not execute writes
