asset_id,path,asset_name,asset_category,asset_type,format,language,current_status,current_consumer,declared_owner,source_of_truth,version,last_known_usage,clinical_relevance,runtime_relevance,contract_relevance,contains_prompt_logic,contains_clinical_logic,contains_thresholds,contains_medical_sources,potential_patient_data,provenance_status,license_status,schema_status,test_coverage,duplicate_or_overlap,candidate_target,proposed_disposition,validation_level,implementation_batch,blocking_dependencies,risk_level,decision_status,required_evidence,notes
DOC-001,docs/AI医生/项目文档/0.文档索引/全局文档索引.md,全局文档索引,DESIGN_DOCUMENT,LEGACY_DESIGN_SPEC,MD,zh,LEGACY_ACTIVE,refactoring-planning;legacy-services,UNASSIGNED,CANDIDATE,UNKNOWN,UNKNOWN,LOW,LOW,MED,NO,NO,NO,NO,NO,UNKNOWN,UNKNOWN,UNKNOWN,NONE,NO,,KEEP_READ_ONLY,L0,A6.5-A,code-mapping;owner-assignment,P2,PROPOSED,document_to_code_mapping;owner;retention_decision,Primary historical design evidence source per A6.5 normative docs; not production truth
DOC-002,docs/AI医生/项目文档/0.文档索引/按场景索引.md,按场景索引,DESIGN_DOCUMENT,LEGACY_DESIGN_SPEC,MD,zh,LEGACY_ACTIVE,refactoring-planning;legacy-services,UNASSIGNED,CANDIDATE,UNKNOWN,UNKNOWN,LOW,LOW,MED,NO,NO,NO,NO,NO,UNKNOWN,UNKNOWN,UNKNOWN,NONE,NO,,KEEP_READ_ONLY,L0,A6.5-A,code-mapping;owner-assignment,P2,PROPOSED,document_to_code_mapping;owner;retention_decision,Primary historical design evidence source per A6.5 normative docs; not production truth
DOC-003,docs/AI医生/项目文档/0.文档索引/按角色索引.md,按角色索引,DESIGN_DOCUMENT,LEGACY_DESIGN_SPEC,MD,zh,LEGACY_ACTIVE,refactoring-planning;legacy-services,UNASSIGNED,CANDIDATE,UNKNOWN,UNKNOWN,LOW,LOW,MED,NO,NO,NO,NO,NO,UNKNOWN,UNKNOWN,UNKNOWN,NONE,NO,,KEEP_READ_ONLY,L0,A6.5-A,code-mapping;owner-assignment,P2,PROPOSED,document_to_code_mapping;owner;retention_decision,Primary historical design evidence source per A6.5 normative docs; not production truth
DOC-004,docs/AI医生/项目文档/1.系统概述/AI医生系统 - 系统定位与核心理念.md,AI医生系统 - 系统定位与核心理念,DESIGN_DOCUMENT,LEGACY_DESIGN_SPEC,MD,zh,LEGACY_ACTIVE,refactoring-planning;legacy-services,UNASSIGNED,CANDIDATE,UNKNOWN,UNKNOWN,LOW,LOW,MED,NO,NO,NO,NO,NO,UNKNOWN,UNKNOWN,UNKNOWN,NONE,NO,,KEEP_READ_ONLY,L0,A6.5-A,code-mapping;owner-assignment,P2,PROPOSED,document_to_code_mapping;owner;retention_decision,Primary historical design evidence source per A6.5 normative docs; not production truth
DOC-005,docs/AI医生/项目文档/1.系统概述/整体架构概述.md,整体架构概述,DESIGN_DOCUMENT,LEGACY_DESIGN_SPEC,MD,zh,LEGACY_ACTIVE,refactoring-planning;legacy-services,UNASSIGNED,CANDIDATE,UNKNOWN,UNKNOWN,LOW,LOW,MED,NO,NO,NO,NO,NO,UNKNOWN,UNKNOWN,UNKNOWN,NONE,NO,,KEEP_READ_ONLY,L0,A6.5-A,code-mapping;owner-assignment,P2,PROPOSED,document_to_code_mapping;owner;retention_decision,Primary historical design evidence source per A6.5 normative docs; not production truth
DOC-006,docs/AI医生/项目文档/1.系统概述/核心概念与术语.md,核心概念与术语,DESIGN_DOCUMENT,LEGACY_DESIGN_SPEC,MD,zh,LEGACY_ACTIVE,refactoring-planning;legacy-services,UNASSIGNED,CANDIDATE,UNKNOWN,UNKNOWN,LOW,LOW,MED,NO,NO,NO,NO,NO,UNKNOWN,UNKNOWN,UNKNOWN,NONE,NO,,KEEP_READ_ONLY,L0,A6.5-A,code-mapping;owner-assignment,P2,PROPOSED,document_to_code_mapping;owner;retention_decision,Primary historical design evidence source per A6.5 normative docs; not production truth
DOC-007,docs/AI医生/项目文档/1.系统概述/系统定位与核心理念.md,系统定位与核心理念,DESIGN_DOCUMENT,LEGACY_DESIGN_SPEC,MD,zh,LEGACY_ACTIVE,refactoring-planning;legacy-services,UNASSIGNED,CANDIDATE,UNKNOWN,UNKNOWN,LOW,LOW,MED,NO,NO,NO,NO,NO,UNKNOWN,UNKNOWN,UNKNOWN,NONE,NO,,KEEP_READ_ONLY,L0,A6.5-A,code-mapping;owner-assignment,P2,PROPOSED,document_to_code_mapping;owner;retention_decision,Primary historical design evidence source per A6.5 normative docs; not production truth
DOC-008,docs/AI医生/项目文档/10.实现与部署/技术栈选型.md,技术栈选型,DESIGN_DOCUMENT,LEGACY_DESIGN_SPEC,MD,zh,LEGACY_ACTIVE,refactoring-planning;legacy-services,UNASSIGNED,CANDIDATE,UNKNOWN,UNKNOWN,LOW,LOW,MED,NO,NO,NO,NO,NO,UNKNOWN,UNKNOWN,UNKNOWN,NONE,NO,,KEEP_READ_ONLY,L0,A6.5-A,code-mapping;owner-assignment,P2,PROPOSED,document_to_code_mapping;owner;retention_decision,Primary historical design evidence source per A6.5 normative docs; not production truth
DOC-009,docs/AI医生/项目文档/10.实现与部署/环境配置指南.md,环境配置指南,DESIGN_DOCUMENT,LEGACY_DESIGN_SPEC,MD,zh,LEGACY_ACTIVE,refactoring-planning;legacy-services,UNASSIGNED,CANDIDATE,UNKNOWN,UNKNOWN,LOW,LOW,MED,NO,NO,NO,NO,NO,UNKNOWN,UNKNOWN,UNKNOWN,NONE,NO,,KEEP_READ_ONLY,L0,A6.5-A,code-mapping;owner-assignment,P2,PROPOSED,document_to_code_mapping;owner;retention_decision,Primary historical design evidence source per A6.5 normative docs; not production truth
DOC-010,docs/AI医生/项目文档/10.实现与部署/部署架构设计.md,部署架构设计,DESIGN_DOCUMENT,LEGACY_DESIGN_SPEC,MD,zh,LEGACY_ACTIVE,refactoring-planning;legacy-services,UNASSIGNED,CANDIDATE,UNKNOWN,UNKNOWN,LOW,LOW,MED,NO,NO,NO,NO,NO,UNKNOWN,UNKNOWN,UNKNOWN,NONE,NO,,KEEP_READ_ONLY,L0,A6.5-A,code-mapping;owner-assignment,P2,PROPOSED,document_to_code_mapping;owner;retention_decision,Primary historical design evidence source per A6.5 normative docs; not production truth
