discovery_id,asset_id,path,risk_level_before,risk_level_after,path_status_before,path_status_after,risk_basis_before,risk_basis_after,phi_path_class,existence_method,reference_method,reference_paths,result,inventory_change,quarantine_status,evidence_reference,notes
DISC-001,DOC-001,docs/AI医生/项目文档/0.文档索引/全局文档索引.md,P2,P2,TRACKED_FILE,TRACKED_FILE,NON_BLOCKING_LEGACY_DEBT,NON_BLOCKING_LEGACY_DEBT,,git_cat-file_-e+git_ls_files,none,,VALIDATED_FOR_DISCOVERY,NONE,,a6-5-a-discovery-results.csv#DISC-001,Path/metadata discovery only; no content inspection
DISC-002,DOC-002,docs/AI医生/项目文档/0.文档索引/按场景索引.md,P2,P2,TRACKED_FILE,TRACKED_FILE,NON_BLOCKING_LEGACY_DEBT,NON_BLOCKING_LEGACY_DEBT,,git_cat-file_-e+git_ls_files,none,,VALIDATED_FOR_DISCOVERY,NONE,,a6-5-a-discovery-results.csv#DISC-002,Path/metadata discovery only; no content inspection
DISC-003,DOC-003,docs/AI医生/项目文档/0.文档索引/按角色索引.md,P2,P2,TRACKED_FILE,TRACKED_FILE,NON_BLOCKING_LEGACY_DEBT,NON_BLOCKING_LEGACY_DEBT,,git_cat-file_-e+git_ls_files,none,,VALIDATED_FOR_DISCOVERY,NONE,,a6-5-a-discovery-results.csv#DISC-003,Path/metadata discovery only; no content inspection
DISC-004,DOC-004,docs/AI医生/项目文档/1.系统概述/AI医生系统 - 系统定位与核心理念.md,P2,P2,TRACKED_FILE,TRACKED_FILE,NON_BLOCKING_LEGACY_DEBT,NON_BLOCKING_LEGACY_DEBT,,git_cat-file_-e+git_ls_files,none,,VALIDATED_FOR_DISCOVERY,NONE,,a6-5-a-discovery-results.csv#DISC-004,Path/metadata discovery only; no content inspection
DISC-005,DOC-005,docs/AI医生/项目文档/1.系统概述/整体架构概述.md,P2,P2,TRACKED_FILE,TRACKED_FILE,NON_BLOCKING_LEGACY_DEBT,NON_BLOCKING_LEGACY_DEBT,,git_cat-file_-e+git_ls_files,none,,VALIDATED_FOR_DISCOVERY,NONE,,a6-5-a-discovery-results.csv#DISC-005,Path/metadata discovery only; no content inspection
DISC-006,DOC-006,docs/AI医生/项目文档/1.系统概述/核心概念与术语.md,P2,P2,TRACKED_FILE,TRACKED_FILE,NON_BLOCKING_LEGACY_DEBT,NON_BLOCKING_LEGACY_DEBT,,git_cat-file_-e+git_ls_files,none,,VALIDATED_FOR_DISCOVERY,NONE,,a6-5-a-discovery-results.csv#DISC-006,Path/metadata discovery only; no content inspection
DISC-007,DOC-007,docs/AI医生/项目文档/1.系统概述/系统定位与核心理念.md,P2,P2,TRACKED_FILE,TRACKED_FILE,NON_BLOCKING_LEGACY_DEBT,NON_BLOCKING_LEGACY_DEBT,,git_cat-file_-e+git_ls_files,none,,VALIDATED_FOR_DISCOVERY,NONE,,a6-5-a-discovery-results.csv#DISC-007,Path/metadata discovery only; no content inspection
DISC-008,DOC-008,docs/AI医生/项目文档/10.实现与部署/技术栈选型.md,P2,P2,TRACKED_FILE,TRACKED_FILE,NON_BLOCKING_LEGACY_DEBT,NON_BLOCKING_LEGACY_DEBT,,git_cat-file_-e+git_ls_files,none,,VALIDATED_FOR_DISCOVERY,NONE,,a6-5-a-discovery-results.csv#DISC-008,Path/metadata discovery only; no content inspection
DISC-009,DOC-009,docs/AI医生/项目文档/10.实现与部署/环境配置指南.md,P2,P2,TRACKED_FILE,TRACKED_FILE,NON_BLOCKING_LEGACY_DEBT,NON_BLOCKING_LEGACY_DEBT,,git_cat-file_-e+git_ls_files,none,,VALIDATED_FOR_DISCOVERY,NONE,,a6-5-a-discovery-results.csv#DISC-009,Path/metadata discovery only; no content inspection
DISC-010,DOC-010,docs/AI医生/项目文档/10.实现与部署/部署架构设计.md,P2,P2,TRACKED_FILE,TRACKED_FILE,NON_BLOCKING_LEGACY_DEBT,NON_BLOCKING_LEGACY_DEBT,,git_cat-file_-e+git_ls_files,none,,VALIDATED_FOR_DISCOVERY,NONE,,a6-5-a-discovery-results.csv#DISC-010,Path/metadata discovery only; no content inspection
DISC-011,DOC-011,docs/AI医生/项目文档/10.实现与部署/项目结构设计.md,P2,P2,TRACKED_FILE,TRACKED_FILE,NON_BLOCKING_LEGACY_DEBT,NON_BLOCKING_LEGACY_DEBT,,git_cat-file_-e+git_ls_files,none,,VALIDATED_FOR_DISCOVERY,NONE,,a6-5-a-discovery-results.csv#DISC-011,Path/metadata discovery only; no content inspection
DISC-012,DOC-012,docs/AI医生/项目文档/11.错误处理与异常/异常场景处理设计.md,P1,P1,TRACKED_FILE,TRACKED_FILE,ARCHITECTURE_GOVERNANCE_BLOCKER,ARCHITECTURE_GOVERNANCE_BLOCKER,,git_cat-file_-e+git_ls_files,git_grep_-l_filename_only,docs/AI医生/项目文档/0.文档索引/全局文档索引.md;docs/AI医生/项目文档/0.文档索引/按场景索引.md;docs/AI医生/项目文档/0.文档索引/按角色索引.md;docs/AI医生/项目文档/11.错误处理与异常/错误处理策略设计.md;docs/AI医生/项目文档/7.接口规范/错误处理规范.md;docs/refactoring/plans/phase-a/a6-5/a6-5-legacy-asset-inventory.csv,VALIDATED_FOR_DISCOVERY,NONE,,a6-5-a-discovery-results.csv#DISC-012,Path/metadata discovery only; no content inspection
DISC-013,DOC-013,docs/AI医生/项目文档/11.错误处理与异常/错误处理策略设计.md,P1,P1,TRACKED_FILE,TRACKED_FILE,ARCHITECTURE_GOVERNANCE_BLOCKER,ARCHITECTURE_GOVERNANCE_BLOCKER,,git_cat-file_-e+git_ls_files,git_grep_-l_filename_only,docs/AI医生/项目文档/0.文档索引/全局文档索引.md;docs/AI医生/项目文档/0.文档索引/按场景索引.md;docs/AI医生/项目文档/0.文档索引/按角色索引.md;docs/AI医生/项目文档/11.错误处理与异常/异常场景处理设计.md;docs/AI医生/项目文档/7.接口规范/错误处理规范.md;docs/refactoring/plans/phase-a/a6-5/a6-5-legacy-asset-inventory.csv,VALIDATED_FOR_DISCOVERY,NONE,,a6-5-a-discovery-results.csv#DISC-013,Path/metadata discovery only; no content inspection
DISC-014,DOC-014,docs/AI医生/项目文档/11.错误处理与异常/错误处理规范.md,P1,P1,TRACKED_FILE,TRACKED_FILE,ARCHITECTURE_GOVERNANCE_BLOCKER,ARCHITECTURE_GOVERNANCE_BLOCKER,,git_cat-file_-e+git_ls_files,git_grep_-l_filename_only,clinical-parsing-service/app/utils/exceptions.py;clinical-parsing-service/app/utils/specific_exceptions.py;clinical-parsing-service/docs/clinical-parsing-service - 服务实现方案.md;diagnosis-engine-service/app/utils/exceptions.py;diagnosis-engine-service/app/utils/specific_exceptions.py;diagnosis-engine-service/docs/diagnosis-engine-service - 服务实现方案.md;diagnosis-service/docs/diagnosis-service - 服务实现方案.md;diagnosis-service/src/main/java/com/aidoctor/diagnosis/constant/ErrorCode.java;diagnosis-service/src/main/java/com/aidoctor/diagnosis/exception/GlobalExceptionHandler.java;dialog-service/app/utils/exceptions.py;dialog-service/app/utils/specific_exceptions.py;dialog-service/docs/dialog-service - 已实现功能清单.md;dialog-service/docs/dialog-service - 服务实现方案.md;docs/AI医生/项目文档/0.文档索引/全局文档索引.md;docs/AI医生/项目文档/0.文档索引/按场景索引.md,VALIDATED_FOR_DISCOVERY,NONE,,a6-5-a-discovery-results.csv#DISC-014,Path/metadata discovery only; no content inspection
DISC-015,DOC-015,docs/AI医生/项目文档/12.性能与评估/复杂度分析.md,P1,P1,TRACKED_FILE,TRACKED_FILE,ARCHITECTURE_GOVERNANCE_BLOCKER,ARCHITECTURE_GOVERNANCE_BLOCKER,,git_cat-file_-e+git_ls_files,git_grep_-l_filename_only,diagnosis-engine-service/docs/diagnosis-engine-service - 服务实现方案.md;docs/AI医生/项目文档/0.文档索引/全局文档索引.md;docs/AI医生/项目文档/0.文档索引/按场景索引.md;docs/AI医生/项目文档/0.文档索引/按角色索引.md;docs/AI医生/项目文档/12.性能与评估/性能优化设计.md;docs/AI医生/项目文档/12.性能与评估/评估验证体系.md;docs/refactoring/plans/phase-a/a6-5/a6-5-legacy-asset-inventory.csv;docs/方案讨论过程文件/AI医生系统-开发流程.md;docs/方案讨论过程文件/功能与技术设计/AI医生系统-技术架构设计-性能与评估.md;docs/方案讨论过程文件/功能与技术设计/AI医生系统-技术架构设计-索引.md;science/科研设想大纲.md;science/科研设想正文.md,VALIDATED_FOR_DISCOVERY,NONE,,a6-5-a-discovery-results.csv#DISC-015,Path/metadata discovery only; no content inspection
