evidence_id,execution_id,asset_id,path,task_id,format,parser,encoding,parse_status,top_level_type,structural_counts,schema_hash,content_hash,record_count,raw_identifier_output,string_literal_output,content_excerpt_emitted,external_dependency_required,failure_class,quarantine_action,reviewer_role,notes
A65B-B01-CLIN-001,A65B-CORE-20260806-28947DF,CLIN-001,clinical-parsing-service/data/vocabularies/symptom_normalization.csv,TASK-B01,CSV,csv.reader,utf-8,PARSED_STRUCTURALLY,table,column_count=5;delimiter_class=comma;record_count=11,ced2823bf13540b018a1c2b6020996be24c98b8af2306de6a648732e253e9201,01b04c2ed462ae3a89bb17250673f5c991bd3399262891e63528709be8f7d046,11,no,no,no,no,,NONE,architecture;evidence,
A65B-B01-CLIN-002,A65B-CORE-20260806-28947DF,CLIN-002,clinical-parsing-service/data/vocabularies/disease_normalization.csv,TASK-B01,CSV,csv.reader,utf-8,PARSED_STRUCTURALLY,table,column_count=5;delimiter_class=comma;record_count=11,ced2823bf13540b018a1c2b6020996be24c98b8af2306de6a648732e253e9201,63645b1254cfba916268a55a475e3b3af6a6276403d0c1ac408bba8382d741c0,11,no,no,no,no,,NONE,architecture;evidence,
A65B-B01-CLIN-003,A65B-CORE-20260806-28947DF,CLIN-003,clinical-parsing-service/data/vocabularies/medication_normalization.csv,TASK-B01,CSV,csv.reader,utf-8,PARSED_STRUCTURALLY,table,column_count=5;delimiter_class=comma;record_count=11,ced2823bf13540b018a1c2b6020996be24c98b8af2306de6a648732e253e9201,25679a4f09f28848e289b7e8b189ae24197a667a0caf0fc1342aa41e3e3a1a87,11,no,no,no,no,,NONE,architecture;evidence,
A65B-B01-CLIN-004,A65B-CORE-20260806-28947DF,CLIN-004,clinical-parsing-service/data/vocabularies/allergy_normalization.csv,TASK-B01,CSV,csv.reader,utf-8,PARSED_STRUCTURALLY,table,column_count=4;delimiter_class=comma;record_count=9,5a2c8b84b8fbb91bee31b8202974c5633bbe145800d05a041ce2b92bcb6813c6,3deab6deb536cbce1b38d18b23ab4605a87aaf049ab088faa7edad8091ea1455,9,no,no,no,no,,NONE,architecture;evidence,
A65B-B01-CLIN-005,A65B-CORE-20260806-28947DF,CLIN-005,clinical-parsing-service/data/vocabularies/examination_normalization.csv,TASK-B01,CSV,csv.reader,utf-8,PARSED_STRUCTURALLY,table,column_count=5;delimiter_class=comma;record_count=11,ced2823bf13540b018a1c2b6020996be24c98b8af2306de6a648732e253e9201,e8a5a5c770af4cfe45421270d21f3926eff288f5eec1911c68daeb6c19c8a443,11,no,no,no,no,,NONE,architecture;evidence,
A65B-B01-CLIN-006,A65B-CORE-20260806-28947DF,CLIN-006,clinical-parsing-service/data/vocabularies/indicator_normalization.csv,TASK-B01,CSV,csv.reader,utf-8,PARSED_STRUCTURALLY,table,column_count=4;delimiter_class=comma;record_count=11,5a2c8b84b8fbb91bee31b8202974c5633bbe145800d05a041ce2b92bcb6813c6,b7463461ef9819cf5c1f47efab22973e334924edd5081091e17bb5bfc05c85d6,11,no,no,no,no,,NONE,architecture;evidence,
A65B-B01-CLIN-007,A65B-CORE-20260806-28947DF,CLIN-007,clinical-parsing-service/data/vocabularies/ambiguity_rules.json,TASK-B01,JSON,json.load,utf-8,PARSED_STRUCTURALLY,list,"field_count=15;nesting_depth=3;parser=json;value_type_distribution=dict:5,list:6,str:21",3668cf41d1ffb55b781c6f0da2903688e9ee2c5a21eaea646c68547caccab792,941ce7961034379e6c98351c8d6ba5d0cbcfe9f3d85fd190b8430bf11ff35b77,,no,no,no,no,,NONE,architecture;evidence,
A65B-B01-CLIN-008,A65B-CORE-20260806-28947DF,CLIN-008,health-state-assessment-service/data/健康管理路径规则/健康管理路径规则.yaml,TASK-B01,YAML,yaml.safe_load,utf-8,PARSED_STRUCTURALLY,dict,"field_count=572;nesting_depth=7;parser=yaml.safe_load;value_type_distribution=bool:17,dict:131,float:6,int:23,list:73,other:1,str:481",b90d5ac9d6dd4d2905c191176c3a9f389af44734d8a78ed258b379330b2a0e65,91260b3c46a7638aefd5527bcdb12aeb6aa9bf3829ab58e6cd44e056cef8fa2d,,no,no,no,no,,NONE,architecture;evidence,
A65B-B01-CLIN-009,A65B-CORE-20260806-28947DF,CLIN-009,health-state-assessment-service/data/入口判定规则/入口判定与工作态切换规则.yaml,TASK-B01,YAML,yaml.safe_load,utf-8,PARSED_STRUCTURALLY,dict,"field_count=124;nesting_depth=4;parser=yaml.safe_load;value_type_distribution=bool:1,dict:25,int:7,list:6,other:1,str:107",84986567a80136c14cbd4421f2199cdc8169fa3db9c92627da3aaef6b12608ec,d11cf126304a593792c5fa9a55604b014af0bd073eccc5e246aeb4900f2a4f2e,,no,no,no,no,,NONE,architecture;evidence,
A65B-B01-CLIN-010,A65B-CORE-20260806-28947DF,CLIN-010,health-state-assessment-service/data/入口判定规则/入口角度统一转换规则.yaml,TASK-B01,YAML,yaml.safe_load,utf-8,PARSED_STRUCTURALLY,dict,"field_count=535;nesting_depth=7;parser=yaml.safe_load;value_type_distribution=dict:120,float:39,int:57,list:54,other:1,str:418",918e1f37381b0cb246c3e6fef6c527df93279ffee6ea9759171194a12950f23c,4746b108185bd64f8482688b24bf16d3d9dc6ea840afe008f97efe281017853a,,no,no,no,no,,NONE,architecture;evidence,
