access_id,service,source_file,line_or_symbol,store_id,target_entity,operation,read_write_delete,sync_async,input_contract,output_contract,patient_or_session_key,transaction_boundary,expected_version,idempotency,error_behavior,fallback_continuation,audit,authorization,data_class,sensitivity,evidence_level,evidence_reference
cdp-create,diagnosis-service,diagnosis-service/src/main/java/com/aidoctor/diagnosis/service/cdp/CDPManager.java,createCDP,relational-clinical,CDP,CREATE,WRITE,SYNC,"patientId; sessionId; Map initialData",CDP,"patientId; sessionId",TRANSACTIONAL,"initial version only",NO,"throws on persistence failure",NO,"initial version snapshot; audit not enforced",UNKNOWN,"PATIENT_PROVIDED; CLINICAL_OBSERVATION",PHI,CODE_CONFIRMED,docs/refactoring/evidence/phase-a/a1/java-state-write-inventory.csv
cdp-update,diagnosis-service,diagnosis-service/src/main/java/com/aidoctor/diagnosis/service/cdp/CDPManager.java,updateCDP,relational-clinical,CDP,UPDATE,WRITE,SYNC,"cdpId; broad Map updates",CDP,cdpId,"TRANSACTIONAL with PESSIMISTIC_WRITE",NO_CALLER_EXPECTED_VERSION,NO,"retries missing row three times; otherwise throws",NO,"pre-update version snapshot; audit not enforced",UNKNOWN,"CLINICAL_OBSERVATION; CLINICAL_INFERENCE; AUDIT_TRACE",PHI,CODE_CONFIRMED,docs/refactoring/evidence/phase-a/a1/java-state-write-inventory.csv
cdp-read,diagnosis-service,diagnosis-service/src/main/java/com/aidoctor/diagnosis/service/cdp/CDPManager.java,getCDPById,relational-clinical,CDP,READ,READ,SYNC,cdpId,full_CDP,cdpId,NONE,NO,NOT_APPLICABLE,"not-found exception",NO,NONE,UNKNOWN,"PATIENT_PROVIDED; CLINICAL_INFERENCE",PHI,CODE_CONFIRMED,docs/refactoring/evidence/phase-a/a1/java-state-write-inventory.csv
cdp-delete,diagnosis-service,diagnosis-service/src/main/java/com/aidoctor/diagnosis/service/cdp/CDPManager.java,deleteCDP,relational-clinical,CDP,HARD_DELETE,DELETE,SYNC,cdpId,void,cdpId,TRANSACTIONAL,NO,NO,"repository delete failure propagates",NO,"no code-level audit located",UNKNOWN,"PATIENT_PROVIDED; CLINICAL_INFERENCE",PHI,CODE_CONFIRMED,docs/refactoring/evidence/phase-a/a1/java-state-write-inventory.csv
cdp-version-append,diagnosis-service,diagnosis-service/src/main/java/com/aidoctor/diagnosis/service/cdp/CDPVersionService.java,"createInitialVersion/createVersion",relational-clinical,CDPVersion,APPEND,WRITE,SYNC,full_CDP_snapshot,CDPVersion,cdpId,"joins caller transaction",SERVER_SIDE_MAX_PLUS_ONE,NO,"max+1 depends on outer CDP lock",NO,"snapshot is history",UNKNOWN,AUDIT_TRACE,PHI,CODE_CONFIRMED,docs/refactoring/evidence/phase-a/a1/java-state-write-inventory.csv
cdp-replay,diagnosis-service,diagnosis-service/src/main/java/com/aidoctor/diagnosis/service/cdp/CDPReplayService.java,replayCDP,relational-clinical,CDP,SUPERSEDE,WRITE,SYNC,"cdpId; version",CDP,cdpId,UNKNOWN,"selected stored version",UNKNOWN,"deserialization/write failure propagates",NO,UNKNOWN,UNKNOWN,"PATIENT_PROVIDED; CLINICAL_INFERENCE",PHI,CODE_CONFIRMED,docs/refactoring/evidence/phase-a/a1/java-state-write-inventory.csv
cdp-rollback,diagnosis-service,diagnosis-service/src/main/java/com/aidoctor/diagnosis/service/cdp/CDPRollbackService.java,rollbackToVersion,relational-clinical,CDP,SUPERSEDE,WRITE,SYNC,"cdpId; version",CDP,cdpId,UNKNOWN,"selected stored version",UNKNOWN,"deserialization/write failure propagates",NO,UNKNOWN,UNKNOWN,"PATIENT_PROVIDED; CLINICAL_INFERENCE",PHI,CODE_CONFIRMED,docs/refactoring/evidence/phase-a/a1/java-state-write-inventory.csv
cdp-http-read,diagnosis-service,diagnosis-service/src/main/java/com/aidoctor/diagnosis/controller/CDPController.java,getCDP,relational-clinical,CDP,HTTP_READ,READ,SYNC,cdpId,full_Map,cdpId,NONE,NO,NOT_APPLICABLE,"HTTP error",NO,NONE,UNKNOWN,"PATIENT_PROVIDED; CLINICAL_INFERENCE",PHI,CODE_CONFIRMED,docs/refactoring/evidence/phase-a/a1/java-state-write-inventory.csv
cdp-http-update,diagnosis-service,diagnosis-service/src/main/java/com/aidoctor/diagnosis/controller/CDPController.java,updateCDP,relational-clinical,CDP,HTTP_UPDATE,WRITE,SYNC,"cdpId; patientState Map",CDP,cdpId,"manager transaction",NO_CALLER_EXPECTED_VERSION,NO,"HTTP error",NO,"snapshot only",UNKNOWN,"PATIENT_PROVIDED; CLINICAL_OBSERVATION",PHI,CODE_CONFIRMED,docs/refactoring/evidence/phase-a/a1/java-state-write-inventory.csv
cdp-trace-summary-update,diagnosis-service,diagnosis-service/src/main/java/com/aidoctor/diagnosis/controller/CDPController.java,updateTraceSummary,relational-clinical,CDP,HTTP_UPDATE,WRITE,SYNC,"cdpId; trace summary",CDP,cdpId,"manager transaction",NO_CALLER_EXPECTED_VERSION,NO,"HTTP error",NO,"snapshot only",UNKNOWN,AUDIT_TRACE,PHI,CODE_CONFIRMED,docs/refactoring/evidence/phase-a/a1/java-state-write-inventory.csv
