risk_id,severity,category,description,affected_tasks,affected_assets,trigger,containment,required_owner_role,required_reviewer_role,unblock_evidence,status,notes
C-RISK-001,P0,SEMANTICS,STATIC_MAPPING_MISTAKEN_FOR_RUNTIME_COMPATIBILITY — static/schema mapping treated as runtime-compatible implementation.,TASK-C01;TASK-C03,WF-004;WF-005;WF-006;WF-015;WF-016;BOUND-001,Compatibility claimed without runtime Evidence,Forbid RUNTIME_COMPATIBLE/PRODUCTION_COMPATIBLE; require separate runtime gate,architecture,architecture,Independent runtime Evidence under future authorization,OPEN,Planning forbids these enums
C-RISK-002,P0,IDENTIFIER,"IDENTIFIER_AND_VERSION_SEMANTICS_MISMATCH — numeric DB IDs, decimal-string IDs, Exact Contract Version 1.0.0, and legacy version fields conflated.",TASK-C01,WF-004;WF-005;WF-006;BOUND-001,Silent numeric-to-string or version conflation,Record identifier/version gaps; keep Exact Version 1.0.0,architecture,architecture|platform-contracts,Field mapping rows covering ID/version semantics,OPEN,C-OD-001
C-RISK-003,P0,AUTHORIZATION,STATE_PATCH_MISTAKEN_FOR_FIELD_AUTHORIZATION — StatePatch validation treated as write authorization.,TASK-C01,WF-006;BOUND-001,StatePatch used to authorize mutations,Explicit non-authorization rule in plan and Evidence,architecture,architecture|security,Validation check + reviewer acknowledgement,OPEN,
C-RISK-004,P0,PRIVACY,PHI_CAPABLE_STATIC_PATH_SCOPE_CONFUSION — static PHI-capable source read expanded to patient-data content access.,TASK-C01;TASK-C03,WF-004;WF-005;WF-006;WF-007;WF-010;WF-011;WF-012;WF-013;ENG-006,Store/log/payload content inspection,runtime_content_access=no; static names/types/annotations only,security,security|privacy,Access/validation Evidence with zero store access,OPEN,static source code read != patient-data content access
C-RISK-005,P0,OBSERVABILITY,TRACE_AND_AUDIT_SEMANTICS_CONFLATED — TraceRef and AuditRef treated interchangeably.,TASK-C01;TASK-C03,WF-007;WF-010;WF-013,Trace entity used as audit SoT,Separate contracts and checks,architecture,architecture|audit|security,Trace/Audit separation Evidence,OPEN,C-OD-006
C-RISK-006,P0,RELIABILITY,OBSERVABILITY_FAILURE_BREAKS_WORKFLOW — trace/AOP/decorator/interceptor failures alter business workflow results.,TASK-C03,WF-010;WF-012;ENG-006,Uncaught observability exception changes business outcome,Failure isolation matrix; observability fail-open != patient-safety fail-open,architecture,architecture|security,Synthetic failure isolation tests,OPEN,C-OD-008
C-RISK-007,P1,PROPAGATION,"FEIGN_TRACE_CONTEXT_DUPLICATED_OR_OVERWRITTEN — headers assumed, duplicated, or overwritten.",TASK-C03,WF-012,Assumed header names without static extraction,Extract headers from static code; plan duplicate/malformed handling,architecture,architecture|security,Static header Evidence + propagation tests,OPEN,Candidate headers observed in static code are not yet normative
C-RISK-008,P0,PRIVACY,RAW_PAYLOAD_OR_PHI_CAPTURED_IN_TRACE — raw bodies/prompts/identifiers captured in traces.,TASK-C03,WF-010;WF-013;ENG-006,Payload-capable capture without redaction allowlist,Synthetic-only tests; redaction allowlist; privacy review,security,privacy|security,Redaction matrix Evidence,OPEN,C-OD-010
C-RISK-009,P0,CONTRACTS,CONTRACT_SCHEMA_MUTATION_SNEAKS_INTO_MAPPING — mapping work modifies contracts/v1.,TASK-C01,BOUND-001,PR includes contracts/v1 diffs,READ_ONLY destination; record gaps only,platform-contracts,architecture|platform-contracts,git diff excludes contracts/v1,OPEN,
C-RISK-010,P0,SCOPE,C02_OR_B04_SCOPE_BLEED — C02 clinical mapping or B04 clinical read activated under C work.,TASK-C02;TASK-B04,CLIN-*;PROMPT-*,Clinical extraction or HUMAN_SUPERVISED_CLINICAL_READ activation,C02/B04 targets remain 0; B04 BLOCKED,architecture,clinical|security,Target register + access gates,OPEN,C-OD-011 ACKNOWLEDGED_BLOCKED
C-RISK-011,P0,ROLLBACK,LEGACY_TRACE_PATH_REMOVED_BEFORE_FALLBACK_EXISTS — legacy path deleted before coexistence/fallback Evidence.,TASK-C03,WF-010;WF-011;WF-012;WF-013;ENG-006,Delete/disable legacy path without rollback,Retain legacy path; coexistence + rollback plan,architecture,architecture|security,Coexistence/rollback Evidence,OPEN,C-OD-009
C-RISK-012,P1,DEPENDENCY,EXTERNAL_OTEL_OR_RUNTIME_DEPENDENCY_REQUIRED — OTel install/collector/exporter or live stores required.,TASK-C03,WF-010;WF-012;ENG-006;BOUND-001,OTel deployment or runtime store connection,OTel planning-only; no collector/exporter/cutover,architecture,architecture|security,Evidence of no external runtime dependency,OPEN,
