asset_id,path,asset_type,capability_id,version,parse_status,schema_status,review_status,runtime_eligibility,owner_role,evidence_level,evidence_reference
delivery-policy-asset,capabilities/adult_respiratory_v1/delivery/delivery_policy.yaml,delivery,adult_respiratory_v1,1.0.0,PASS,PASS,REQUIRES_CLINICAL_REVIEW,NOT_IMPLEMENTED,patient-delivery-owner,CODE_CONFIRMED,docs/refactoring/evidence/phase-a/a6/capability-package-skeleton-report.md
e2e-cases-asset,capabilities/adult_respiratory_v1/evals/e2e_cases.jsonl,evals,adult_respiratory_v1,1.0.0,PASS,PASS,REQUIRES_CLINICAL_REVIEW,NOT_IMPLEMENTED,clinical-capability-owner,TEST_VERIFIED,docs/refactoring/evidence/phase-a/a6/capability-package-skeleton-report.md
extraction-cases-asset,capabilities/adult_respiratory_v1/evals/extraction_cases.jsonl,evals,adult_respiratory_v1,1.0.0,PASS,PASS,REQUIRES_CLINICAL_REVIEW,NOT_IMPLEMENTED,clinical-capability-owner,TEST_VERIFIED,docs/refactoring/evidence/phase-a/a6/capability-package-skeleton-report.md
question-cases-asset,capabilities/adult_respiratory_v1/evals/question_cases.jsonl,evals,adult_respiratory_v1,1.0.0,PASS,PASS,REQUIRES_CLINICAL_REVIEW,NOT_IMPLEMENTED,clinical-capability-owner,TEST_VERIFIED,docs/refactoring/evidence/phase-a/a6/capability-package-skeleton-report.md
rag-cases-asset,capabilities/adult_respiratory_v1/evals/rag_cases.jsonl,evals,adult_respiratory_v1,1.0.0,PASS,PASS,REQUIRES_CLINICAL_REVIEW,NOT_IMPLEMENTED,clinical-capability-owner,TEST_VERIFIED,docs/refactoring/evidence/phase-a/a6/capability-package-skeleton-report.md
safety-cases-asset,capabilities/adult_respiratory_v1/evals/safety_cases.jsonl,evals,adult_respiratory_v1,1.0.0,PASS,PASS,REQUIRES_CLINICAL_REVIEW,NOT_IMPLEMENTED,clinical-capability-owner,TEST_VERIFIED,docs/refactoring/evidence/phase-a/a6/capability-package-skeleton-report.md
limited-hypotheses-asset,capabilities/adult_respiratory_v1/hypotheses/limited_hypotheses.yaml,hypotheses,adult_respiratory_v1,1.0.0,PASS,PASS,REQUIRES_CLINICAL_REVIEW,BLOCKED,clinical-review-owner,BLOCKED,docs/refactoring/evidence/phase-a/a6/capability-package-skeleton-report.md
knowledge-policy-asset,capabilities/adult_respiratory_v1/knowledge/knowledge_policy.yaml,knowledge,adult_respiratory_v1,1.0.0,PASS,PASS,REQUIRES_CLINICAL_REVIEW,BLOCKED,knowledge-governance-owner,BLOCKED,docs/refactoring/evidence/phase-a/a6/capability-package-skeleton-report.md
source-manifest-asset,capabilities/adult_respiratory_v1/knowledge/source_manifest.yaml,knowledge,adult_respiratory_v1,1.0.0,PASS,PASS,REQUIRES_CLINICAL_REVIEW,BLOCKED,knowledge-license-owner,BLOCKED,docs/refactoring/evidence/phase-a/a6/capability-package-skeleton-report.md
observation-profile-asset,capabilities/adult_respiratory_v1/observations/observation_profile.yaml,observations,adult_respiratory_v1,1.0.0,PASS,PASS,REQUIRES_CLINICAL_REVIEW,BLOCKED,clinical-data-owner,BLOCKED,docs/refactoring/evidence/phase-a/a6/capability-package-skeleton-report.md
