finding_id,severity,category,file,record_id,description,evidence,required_fix,fix_status,blocking,notes
F-A65A-R01,P1,QUARANTINE_DUP,a6-5-a-quarantine-register.csv,DATA-DR001..DATA-DR006,"Same (asset_id,risk_id=RISK-003) duplicated with only quarantine_reason text differing (LICENSE vs DR_KNOWS) while status/blocking/unblock identical","Analyzer: 6 duplicate (asset_id,risk_id) pairs","Merge reasons into one business row per (asset_id,risk_id); specialize DR.KNOWS unblock evidence",FIXED,YES,Business key now (asset_id,risk_id)
F-A65A-R02,P1,RISK_MEMBERSHIP,a6-5-a-quarantine-register.csv;a6-5-risk-register.csv,RISK-003,"40 quarantine rows referenced RISK-003 while asset not in related_asset_ids (DATA-S*, DATA-DR*, DOC-019, MODEL-008, DATA-KG*)","Analyzer membership_fail=40","Expand RISK-003 related_asset_ids for medical-source/DR.KNOWS/KG license aspects; add RISK-004 quarantine rows for path-injection assets",FIXED,YES,Membership fail count now 0
F-A65A-R03,P1,VALIDATION_ID,a6-5-a-validation-evidence.csv,QCHECK-DATA-DR00x,"Duplicate validation_id for DATA-DR001..006 because duplicate quarantine rows generated identical QCHECK-<asset> IDs","dup validation_id count=6","Use QCHECK-<risk_id>-<asset_id>; remove redundant TASK-A02 rows",FIXED,YES,Duplicate validation_id count now 0
F-A65A-R04,P1,VALIDATION_METHOD,a6-5-a-validation-evidence.csv,TASK-A02,"All 91 TASK-A02 rows used PRIVACY_REVIEW regardless of license/architecture domain","Counter PRIVACY_REVIEW=91","Specialize methods: PRIVACY_REVIEW / LICENSE_REVIEW / MANUAL_ARCHITECTURE_REVIEW; actual_result=EVIDENCE_RECORDED_FAIL_CLOSED not approval",FIXED,YES,Not an approval claim
F-A65A-R05,P1,UNBLOCK_EVIDENCE,a6-5-a-quarantine-register.csv,ALL,"All quarantine rows shared identical generic unblock_evidence string","Counter single unblock string=91","Domain-specific unblock evidence for PHI / license / DR.KNOWS / path-injection",FIXED,YES,4 distinct unblock evidence templates
F-A65A-R06,P1,PLAN_STATS,a6-5-legacy-asset-validation-plan.md,backlog,"Plan still said implementation backlog (12 tasks) while backlog CSV has 13 tasks","grep 12 tasks vs backlog rows=13","Update plan text to 13 tasks",FIXED,YES,Risk themes remain 8 (theme rows not findings)
F-A65A-R07,P2,OWNER_SEMANTICS,a6-5-a-quarantine-register.csv,owner_role,"owner_role=UNASSIGNED on all rows without clarifying assigned vs required owner role","owner Counter UNASSIGNED=all","Keep owner_role=UNASSIGNED; document assigned_owner/required_owner_role in notes; keep reviewer_roles",FIXED,NO,No invented human names
F-A65A-R08,P2,PHI006,a6-5-legacy-asset-inventory.csv;a6-5-a-discovery-results.csv,PHI-006,"Reclassification RUNTIME_PATH_ONLY->TRACKED_DIRECTORY_SUMMARY requires tracked-file evidence and must not downgrade PHI risk","git ls-files shows 6 tracked files under frontend/src/components/cdp-visualization/; still P0 PHI_CAPABLE_API_PATH QUARANTINED","Confirm evidence and PHI quarantine retention",FIXED,NO,Validated; PHI risk not downgraded
F-A65A-R09,P2,KG_RUNTIME_THEME,a6-5-risk-register.csv,DATA-KG001..003,"KG import/client assets have RUNTIME_COUPLING_BLOCKER basis; license quarantine under RISK-003 is correct for medical-source flag; no separate path-injection membership","Inventory risk_basis=RUNTIME_COUPLING_BLOCKER; not in RISK-004 path-injection set","Keep RISK-003 license membership; do not invent new risk theme in this review; document residual architecture coupling",OPEN,NO,Residual coupling tracked in inventory risk_basis; OD/theme expansion deferred
F-A65A-R10,P3,REPORT_CLARITY,a6-5-a-discovery-and-quarantine-report.md,patient-records,"Ensure 'tracked real patient records found: 0' is not read as runtime stores empty","Static repo scan only; runtime paths uninspected","Clarify wording in independent review report",FIXED,NO,Review report states static-scan-only meaning
