gate_id,category,source_authority,original_object,engineering_baseline_requirement,current_state,evidence_state,evidence_reference,clinical_dependency,required_for_engineering_freeze,blocker_classification,resolution_required,deferred_destination,notes
EB-BUILD-CI,build_test,NC_CLOSE_03; PHASE_A_CI_MVP,PHASE_A_ENGINEERING_BASELINE,Phase A CI MVP continues to protect the non-clinical engineering build,SATISFIED,CI_VERIFIED,NC-CLOSE-03; run 32093894830,false,true,NON_BLOCKING_DURABLE_DEBT,false,none,CI success is not runtime success and not engineering freeze PASS
EB-A2-WORKUP,runtime_startup,NC_CLOSE_05; A2_BASELINE,PHASE_A_ENGINEERING_BASELINE,workup-planner-service startup evidence,UNSATISFIED,DOCUMENTED,NC-CLOSE-05; GAP-A2-WORKUP,false,true,ENGINEERING_FREEZE_BLOCKER,true,none,FAIL_CURRENT_IMPLEMENTATION missing ServiceException; do not manufacture PASS
EB-A2-DIAG-ENGINE,runtime_startup,NC_CLOSE_05; A2_BASELINE,PHASE_A_ENGINEERING_BASELINE,diagnosis-engine-service import/startup evidence,UNSATISFIED,DOCUMENTED,NC-CLOSE-05; GAP-A2-DIAG-ENGINE,false,true,ENGINEERING_FREEZE_BLOCKER,true,none,FAIL_CURRENT_IMPLEMENTATION undeclared jinja2; ACCOUNTING_COMPLETE != ALL_RUNTIME_PASS
EB-A2-OCR,runtime_startup,NC_CLOSE_05; A2_BASELINE,PHASE_A_ENGINEERING_BASELINE,ocr-service import/startup evidence,UNSATISFIED,DOCUMENTED,NC-CLOSE-05; GAP-A2-OCR,false,true,ENGINEERING_FREEZE_BLOCKER,true,none,FAIL_CURRENT_IMPLEMENTATION OpenCV/NumPy ABI; do not manufacture PASS
EB-A2-DIALOG,runtime_startup,NC_CLOSE_05; A7_NC_CONTAINMENT,PHASE_A_ENGINEERING_BASELINE,dialog-service startup evidence with A7-NC legacy containment,UNSATISFIED,DOCUMENTED,NC-CLOSE-05; GAP-A2-DIALOG,false,true,REQUIRES_RESCOPE_EXIT_JUDGMENT,false,none,LegacyLLMDisabledError may be fail-closed containment; do not reopen A7-NC
EB-CONTRACTS-V1,contracts,A5; NC_CLOSE_02,PHASE_A_ENGINEERING_BASELINE,Shared Contracts v1 structure and bindings exist,SATISFIED,DOCUMENTED,contracts/v1; NC-CLOSE-02,false,true,NON_BLOCKING_DURABLE_DEBT,false,none,BINDING_CREATED != JAVA_RUNTIME_MIGRATED
EB-CONTRACT-RUNTIME-MIG,contracts,NC_CLOSE_02; GAP-CONTRACT-RUNTIME,PHASE_A_ENGINEERING_BASELINE,legacy Feign FastAPI frontend types remain parallel to v1 bindings,PARTIALLY_VALIDATED,DOCUMENTED,GAP-CONTRACT-RUNTIME,false,false,POST_FREEZE_IMPLEMENTATION_DEBT,false,post_engineering_freeze,Do not migrate runtimes in RESCOPE-01
EB-CAPABILITY-STRUCTURAL,capability,A6; capability_manifest,PHASE_A_ENGINEERING_BASELINE,adult_respiratory_v1 remains a structural package only,PARTIALLY_VALIDATED,CODE_CONFIRMED,capabilities/adult_respiratory_v1/manifest.yaml,true,true,NON_BLOCKING_DURABLE_DEBT,false,none,STRUCTURAL_CAPABILITY_PACKAGE; DESIGN_REFERENCE_ONLY; CLINICAL_ACTIVATION_DEFERRED; do not upgrade lifecycle
EB-A65-GOVERNANCE,governance,A6_5_NONADOPT; A6_5_EXIT,PHASE_A_ENGINEERING_BASELINE,A6.5 legacy governance closed; non-adoption Exit preserved,SATISFIED,DOCUMENTED,A6.5 Exit; PR38,false,true,NON_BLOCKING_DURABLE_DEBT,false,none,PASS_LEGACY_GOVERNANCE_ONLY != A6 COMPLETE
EB-A7-NC,model_runtime,A7_NC_EXIT,PHASE_A_ENGINEERING_BASELINE,A7-NC Model Runtime boundary remains COMPLETE CLOSED STABLE,SATISFIED,DOCUMENTED,A7-NC Exit,false,true,NON_BLOCKING_DURABLE_DEBT,false,none,Do not reopen A7-NC semantics
EB-A7-ENGINEERING,model_runtime,RESCOPE_01; A7_NC_EXIT,PHASE_A_ENGINEERING_BASELINE,A7-ENGINEERING is an alias of A7-NC COMPLETE,SATISFIED,DOCUMENTED,RESCOPE-01 amendment section 9,false,true,NON_BLOCKING_DURABLE_DEBT,false,none,A7-ENGINEERING COMPLETE != A7 COMPLETE
EB-ADR-COVERAGE,adr,NC_CLOSE_01A; NC_CLOSE_01B; NC_CLOSE_01C,PHASE_A_ENGINEERING_BASELINE,NC-CLOSE-01 ADR decision coverage remains COMPLETE,SATISFIED,DOCUMENTED,NC-CLOSE-01A/B/C,false,true,NON_BLOCKING_DURABLE_DEBT,false,none,Decision coverage != implementation authorization
EB-NC03-CI,ci,NC_CLOSE_03,PHASE_A_ENGINEERING_BASELINE,CI MVP remains MERGED_AND_VERIFIED for engineering baseline protection,SATISFIED,CI_VERIFIED,NC-CLOSE-03,false,true,NON_BLOCKING_DURABLE_DEBT,false,none,Does not authorize Frozen Baseline or production
