mapping_id,execution_id,task_id,source_asset_id,source_path,source_symbol,source_field_path,source_type,source_requiredness,source_nullability,source_enum_or_domain,target_contract_name,target_schema_path,target_json_pointer,target_type,target_requiredness,target_nullability,mapping_class,transform_class,compatibility_class,phi_risk,runtime_wiring_required,contract_mutation_required,evidence_reference,reviewer_role,status,notes
A65C-C01-WF-004-F3607EEBA0DB,A65C-C01-20260807-FD246A2,TASK-C01,WF-004,diagnosis-service/src/main/java/com/aidoctor/diagnosis/entity/CDP.java,CDP,id,String,ANNOTATION_OR_COLUMN_NONNULL_EVIDENCE,ANNOTATION_OR_COLUMN_NONNULL_EVIDENCE,,IdentifierSet,contracts/v1/schemas/identifier-set.schema.json,/cdp_id,string;pattern,OPTIONAL,NON_NULL_TYPED,RENAMED,STRING_NORMALIZATION,ADAPTER_REQUIRED,phi_capable_identifier,yes,no,git-blob:bfdfe43ac328feb4280ba0a77a9024b77f1a8b44,pending_independent_review,GAP_RECORDED,Legacy CDP.id structurally maps to IdentifierSet.cdp_id; opaqueIdentifier pattern not proven from Java String alone but types are both string identifiers. | REVIEW_REMEDIATION: F-A65C-C01-R01: Java String does not prove opaqueIdentifier pattern ^[A-Za-z0-9][A-Za-z0-9._:-]*$; COMPATIBLE_AS_IS downgraded.
A65C-C01-WF-004-DF790B4C08EA,A65C-C01-20260807-FD246A2,TASK-C01,WF-004,diagnosis-service/src/main/java/com/aidoctor/diagnosis/entity/CDP.java,CDP,patientId,String,ANNOTATION_OR_COLUMN_NONNULL_EVIDENCE,ANNOTATION_OR_COLUMN_NONNULL_EVIDENCE,,IdentifierSet,contracts/v1/schemas/identifier-set.schema.json,/patient_id,string;pattern,OPTIONAL,NON_NULL_TYPED,RENAMED,STRING_NORMALIZATION,ADAPTER_REQUIRED,phi_capable_identifier,yes,no,git-blob:bfdfe43ac328feb4280ba0a77a9024b77f1a8b44,pending_independent_review,GAP_RECORDED,Structural rename patientId->patient_id; PHI-capable identifier metadata only. | REVIEW_REMEDIATION: F-A65C-C01-R01: Java String does not prove opaqueIdentifier pattern ^[A-Za-z0-9][A-Za-z0-9._:-]*$; COMPATIBLE_AS_IS downgraded.
A65C-C01-WF-004-C18AE6F2BCAB,A65C-C01-20260807-FD246A2,TASK-C01,WF-004,diagnosis-service/src/main/java/com/aidoctor/diagnosis/entity/CDP.java,CDP,sessionId,String,ANNOTATION_OR_COLUMN_NONNULL_EVIDENCE,ANNOTATION_OR_COLUMN_NONNULL_EVIDENCE,,IdentifierSet,contracts/v1/schemas/identifier-set.schema.json,/session_id,string;pattern,OPTIONAL,NON_NULL_TYPED,RENAMED,STRING_NORMALIZATION,ADAPTER_REQUIRED,low,yes,no,git-blob:bfdfe43ac328feb4280ba0a77a9024b77f1a8b44,pending_independent_review,GAP_RECORDED,Structural rename sessionId->session_id. | REVIEW_REMEDIATION: F-A65C-C01-R01: Java String does not prove opaqueIdentifier pattern ^[A-Za-z0-9][A-Za-z0-9._:-]*$; COMPATIBLE_AS_IS downgraded.
A65C-C01-WF-004-B63BB1A97A93,A65C-C01-20260807-FD246A2,TASK-C01,WF-004,diagnosis-service/src/main/java/com/aidoctor/diagnosis/entity/CDP.java,CDP,version,Integer,ANNOTATION_OR_COLUMN_NONNULL_EVIDENCE,ANNOTATION_OR_COLUMN_NONNULL_EVIDENCE,,StatePatch,contracts/v1/schemas/state-patch.schema.json,/base_version,integer,REQUIRED,NON_NULL_TYPED,RENAMED,NONE,COMPATIBLE_AS_IS,low,no,no,git-blob:bfdfe43ac328feb4280ba0a77a9024b77f1a8b44,pending_independent_review,MAPPED_STRUCTURALLY,Legacy CDP.version/version_no maps to StatePatch.base_version structurally as integer. VERSIONING: legacy CDP version != Shared Contract schema version 1.0.0.
A65C-C01-WF-004-6AC36848AC37,A65C-C01-20260807-FD246A2,TASK-C01,WF-004,diagnosis-service/src/main/java/com/aidoctor/diagnosis/entity/CDP.java,CDP,cdpStatus,String,UNKNOWN_FAIL_CLOSED,UNKNOWN_FAIL_CLOSED,comment_domain:initial|wellness_mode|clinical_mode_*|completed|follow_up,,,,,,,SOURCE_ONLY,NONE,DOCUMENTED_ONLY,low,yes,yes,git-blob:bfdfe43ac328feb4280ba0a77a9024b77f1a8b44,pending_independent_review,GAP_RECORDED,No Shared Contract field for CDP lifecycle status string; C-OD-001 remains open. | REVIEW_REMEDIATION: F-A65C-C01-R05: No evidence legacy semantic must survive cross-boundary contract; DOCUMENTED_ONLY.
A65C-C01-WF-004-BF3F97C9CF23,A65C-C01-20260807-FD246A2,TASK-C01,WF-004,diagnosis-service/src/main/java/com/aidoctor/diagnosis/entity/CDP.java,CDP,healthStateAssessment,String,UNKNOWN_FAIL_CLOSED,UNKNOWN_FAIL_CLOSED,json_clob_domain:health_state_assessment,,,,,,,SOURCE_ONLY,OBJECT_WRAPPER,ADAPTER_REQUIRED,phi_capable_payload_structure,yes,no,git-blob:bfdfe43ac328feb4280ba0a77a9024b77f1a8b44,pending_independent_review,GAP_RECORDED,Legacy JSON CLOB field aligns with StatePatch operation path domain /health_state_assessment/... but source stores whole blob String/Map; not a StatePatch field. StatePatch validation != field authorization. runtime_wiring_authorized=no.
A65C-C01-WF-004-83CAEE65A60A,A65C-C01-20260807-FD246A2,TASK-C01,WF-004,diagnosis-service/src/main/java/com/aidoctor/diagnosis/entity/CDP.java,CDP,wellnessPlan,String,UNKNOWN_FAIL_CLOSED,UNKNOWN_FAIL_CLOSED,json_clob_domain:wellness_plan,,,,,,,SOURCE_ONLY,OBJECT_WRAPPER,ADAPTER_REQUIRED,phi_capable_payload_structure,yes,no,git-blob:bfdfe43ac328feb4280ba0a77a9024b77f1a8b44,pending_independent_review,GAP_RECORDED,Legacy JSON CLOB field aligns with StatePatch operation path domain /wellness_plan/... but source stores whole blob String/Map; not a StatePatch field. StatePatch validation != field authorization. runtime_wiring_authorized=no.
A65C-C01-WF-004-7EC6FCC6F13C,A65C-C01-20260807-FD246A2,TASK-C01,WF-004,diagnosis-service/src/main/java/com/aidoctor/diagnosis/entity/CDP.java,CDP,patientState,String,UNKNOWN_FAIL_CLOSED,UNKNOWN_FAIL_CLOSED,json_clob_domain:patient_state,,,,,,,SOURCE_ONLY,OBJECT_WRAPPER,ADAPTER_REQUIRED,phi_capable_payload_structure,yes,no,git-blob:bfdfe43ac328feb4280ba0a77a9024b77f1a8b44,pending_independent_review,GAP_RECORDED,Legacy JSON CLOB field aligns with StatePatch operation path domain /patient_state/... but source stores whole blob String/Map; not a StatePatch field. StatePatch validation != field authorization. runtime_wiring_authorized=no.
A65C-C01-WF-004-9D0835114C32,A65C-C01-20260807-FD246A2,TASK-C01,WF-004,diagnosis-service/src/main/java/com/aidoctor/diagnosis/entity/CDP.java,CDP,ddx,String,UNKNOWN_FAIL_CLOSED,UNKNOWN_FAIL_CLOSED,json_clob_domain:ddx,,,,,,,SOURCE_ONLY,OBJECT_WRAPPER,ADAPTER_REQUIRED,phi_capable_payload_structure,yes,no,git-blob:bfdfe43ac328feb4280ba0a77a9024b77f1a8b44,pending_independent_review,GAP_RECORDED,Legacy JSON CLOB field aligns with StatePatch operation path domain /ddx/... but source stores whole blob String/Map; not a StatePatch field. StatePatch validation != field authorization. runtime_wiring_authorized=no.
A65C-C01-WF-004-373F8DB3F081,A65C-C01-20260807-FD246A2,TASK-C01,WF-004,diagnosis-service/src/main/java/com/aidoctor/diagnosis/entity/CDP.java,CDP,evidenceGraph,String,UNKNOWN_FAIL_CLOSED,UNKNOWN_FAIL_CLOSED,json_clob_domain:evidence_graph,,,,,,,SOURCE_ONLY,OBJECT_WRAPPER,ADAPTER_REQUIRED,phi_capable_payload_structure,yes,no,git-blob:bfdfe43ac328feb4280ba0a77a9024b77f1a8b44,pending_independent_review,GAP_RECORDED,Legacy JSON CLOB field aligns with StatePatch operation path domain /evidence_graph/... but source stores whole blob String/Map; not a StatePatch field. StatePatch validation != field authorization. runtime_wiring_authorized=no.
