risk_id,risk,severity,affected_contracts,control_in_a5,evidence_level,remaining_gate
A5-R01,"Schemas are not adopted by Java/Python/TypeScript services",HIGH,ALL,"language-neutral source plus mapping only",CODE_CONFIRMED,"bindings/adapters and consumer tests"
A5-R02,"StatePatch proposal validation is not field authorization",HIGH,StatePatch;ToolContext,"Schema domain/leaf plus canonical protected-token validator tests",TEST_VERIFIED,"State Committer Capability/Policy Registry enforcement"
A5-R03,"Existing multiple CDP writers bypass the new contract",HIGH,StatePatch;CommitResult,"legacy mapping records the gap",CODE_CONFIRMED,"service migration and single-writer enforcement"
A5-R04,"Identifier String/Long drift remains in storage and APIs",HIGH,IdentifierSet,"opaque string boundary",CODE_CONFIRMED,"adapter/data migration decision"
A5-R05,"Claim structure does not prove clinical validity",HIGH,EvidencePack;PatientDeliveryView,"reference/type/validity integrity only",TEST_VERIFIED,"source quality clinical review and evaluation"
A5-R06,"Safety rules must not inherit medical-evidence support",HIGH,EvidencePack,"RULE-only semantic source matrix",TEST_VERIFIED,"reviewed safety policy registry"
A5-R07,"Knowledge withdrawal is not enforced by a runtime registry",HIGH,KnowledgeReleaseRef;PatientDeliveryView,"status matrix and new-delivery semantic test",TEST_VERIFIED,"release registry/runtime gate"
A5-R08,"PatientDelivery structure is not a content-safety API/UI gate",HIGH,PatientDeliveryView,"closed UI structures; free-text explicitly POLICY_ENFORCED_LATER",TEST_VERIFIED,"authorized mapper/content safety/clinician workflow"
A5-R09,"Trace/Audit payloads may already contain PHI",HIGH,TraceRef;AuditRef,"v1 references reject embedded payload fields",CODE_CONFIRMED,"existing data classification/migration"
A5-R10,"No compatibility bindings or cross-language serialization tests",MEDIUM,ALL,"exact-version IDs/manifest and safe integer bounds",TEST_VERIFIED,"binding generation and consumer release gate"
A5-R11,"Minor additions are not automatically wire compatible",MEDIUM,ALL,"exact-version negotiation and unknown-version rejection",TEST_VERIFIED,"runtime negotiation/adapters"
A5-R12,"Validation depends on a pinned contract-test graph",MEDIUM,ALL,"complete lock plus pip check",BUILD_VERIFIED,"CI installation/check wiring"
A5-R13,"Storage resolver and multi-node lineage cycles are not globally validated",HIGH,SourceArtifact,"decoded traversal and both parent/derived direct self-reference checks",TEST_VERIFIED,"registry/storage resolver and global graph validation"
