adr_id,parent_batch,refined_batch,title,decision_depth,concrete_backend_status,dependency,required_before,architecture_stop,clinical_impact,implementation_authorized,notes
ADR-01,NC-CLOSE-01,NC-CLOSE-01B,Primary DB,BOUNDARY_DECISION_REQUIRED,DEFERRED_WITH_EXPLICIT_GATE,none,PHASE_A_NC_CLOSURE_EXIT,PHASE_A_NC_CLOSURE_ARCHITECTURE_BOUNDARY_REACHED,none,false,Do not select a new production primary DB here; changing production primary requires Architecture Review; valid later result may preserve current primary and defer migration
ADR-02,NC-CLOSE-01,NC-CLOSE-01A,Checkpoint / clinical DB boundary,FULL_DECISION_REQUIRED,NOT_A_CONCRETE_BACKEND_SELECTION,ADR-01 soft,NC-CLOSE-02 soft; NC-CLOSE-03 soft; NC-CLOSE-04 soft; PHASE_A_NC_CLOSURE_EXIT,PHASE_A_NC_CLOSURE_ARCHITECTURE_BOUNDARY_REACHED,none,false,Define checkpoint persistence versus clinical system-of-record ownership; do not decide clinical data semantics
ADR-03,NC-CLOSE-01,NC-CLOSE-01A,Java / Python protocol,FULL_DECISION_REQUIRED,NOT_A_CONCRETE_BACKEND_SELECTION,none,NC-CLOSE-02 soft; NC-CLOSE-03 soft; NC-CLOSE-04 soft; PHASE_A_NC_CLOSURE_EXIT,PHASE_A_NC_CLOSURE_ARCHITECTURE_BOUNDARY_REACHED,none,false,Define interoperability boundary; do not reopen Shared Contracts v1 semantics
ADR-04,NC-CLOSE-01,NC-CLOSE-01A,Python single Runtime package,FULL_DECISION_REQUIRED,NOT_A_CONCRETE_BACKEND_SELECTION,none,NC-CLOSE-02 soft; NC-CLOSE-03 soft; PHASE_A_NC_CLOSURE_EXIT,PHASE_A_NC_CLOSURE_ARCHITECTURE_BOUNDARY_REACHED,none,false,Define Python Runtime package ownership/layout boundary; do not reopen completed A7-NC Model Runtime semantics
ADR-05,NC-CLOSE-01,NC-CLOSE-01A,LangGraph usage,FULL_DECISION_REQUIRED,NOT_A_CONCRETE_BACKEND_SELECTION,none,NC-CLOSE-04 soft; PHASE_A_NC_CLOSURE_EXIT,PHASE_A_NC_CLOSURE_ARCHITECTURE_BOUNDARY_REACHED,none,false,Decide where LangGraph is allowed versus fixed workflow/deterministic control; do not authorize autonomous unconstrained agents
ADR-06,NC-CLOSE-01,NC-CLOSE-01B,pgvector / Milvus,BOUNDARY_DECISION_REQUIRED,DEFERRED_WITH_EXPLICIT_GATE,none,PHASE_A_NC_CLOSURE_EXIT,PHASE_A_NC_CLOSURE_ARCHITECTURE_BOUNDARY_REACHED,none,false,Do not force vendor selection to close Phase A; future concrete selection needs technical evidence; clinical source approval is out of lane
ADR-07,NC-CLOSE-01,NC-CLOSE-01B,BM25,BOUNDARY_DECISION_REQUIRED,DEFERRED_WITH_EXPLICIT_GATE,none,PHASE_A_NC_CLOSURE_EXIT,PHASE_A_NC_CLOSURE_ARCHITECTURE_BOUNDARY_REACHED,none,false,Optional retrieval component only; must never replace evidence or citation requirements
ADR-08,NC-CLOSE-01,NC-CLOSE-01B,Neo4j,BOUNDARY_DECISION_REQUIRED,DEFERRED_WITH_EXPLICIT_GATE,none,PHASE_A_NC_CLOSURE_EXIT,PHASE_A_NC_CLOSURE_ARCHITECTURE_BOUNDARY_REACHED,none,false,Must not become clinical guideline authority; production enablement needs a separate enable gate and evidence
ADR-09,NC-CLOSE-01,NC-CLOSE-01C,Secret Manager mechanics,BOUNDARY_DECISION_REQUIRED,DEFERRED_WITH_EXPLICIT_GATE,none,PHASE_A_NC_CLOSURE_EXIT,PHASE_A_NC_CLOSURE_PROVIDER_BOUNDARY_REACHED,none,false,Freeze secret-access mechanics/abstraction only; do not authorize real provider credentials; vendor may be deferred
ADR-10,NC-CLOSE-01,NC-CLOSE-01C,OTel Backend,BOUNDARY_DECISION_REQUIRED,DEFERRED_WITH_EXPLICIT_GATE,none,NC-CLOSE-04 Trace/Observability; PHASE_A_NC_CLOSURE_EXIT,PHASE_A_NC_CLOSURE_ARCHITECTURE_BOUNDARY_REACHED,none,false,Freeze telemetry exporter/backend boundary; do not require hosted backend selection without deployment evidence
ADR-11,NC-CLOSE-01,NC-CLOSE-01C,AOP to OTel migration,FULL_DECISION_REQUIRED,NOT_A_CONCRETE_BACKEND_SELECTION,none,NC-CLOSE-04 Trace/Observability; PHASE_A_NC_CLOSURE_EXIT,PHASE_A_NC_CLOSURE_ARCHITECTURE_BOUNDARY_REACHED,none,false,Require explicit AOP-to-OTel migration/bridge strategy; do not remove fallback/legacy observability before verification
ADR-12,NC-CLOSE-01,NC-CLOSE-01C,Legacy Trace / AgentEvent ownership,FULL_DECISION_REQUIRED,NOT_A_CONCRETE_BACKEND_SELECTION,none,NC-CLOSE-04 Trace/Observability; PHASE_A_NC_CLOSURE_EXIT,PHASE_A_NC_CLOSURE_ARCHITECTURE_BOUNDARY_REACHED,none,false,Distinguish Technical Span AgentEvent ClinicalDecisionRecord ComplianceAudit; do not collapse into one event model
